constructorId,constructorRef,name,nationality,url
1,"mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren"
2,"bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber"
3,"williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering"
4,"renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One"
5,"toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso"
6,"ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari"
7,"toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing"
8,"super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1"
9,"red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing"
10,"force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India"
11,"honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1"
12,"spyker","Spyker","Dutch","http://en.wikipedia.org/wiki/Spyker_F1"
13,"mf1","MF1","Russian","http://en.wikipedia.org/wiki/Midland_F1_Racing"
14,"spyker_mf1","Spyker MF1","Dutch","http://en.wikipedia.org/wiki/Midland_F1_Racing"
15,"sauber","Sauber","Swiss","http://en.wikipedia.org/wiki/Sauber"
16,"bar","BAR","British","http://en.wikipedia.org/wiki/British_American_Racing"
17,"jordan","Jordan","Irish","http://en.wikipedia.org/wiki/Jordan_Grand_Prix"
18,"minardi","Minardi","Italian","http://en.wikipedia.org/wiki/Minardi"
19,"jaguar","Jaguar","British","http://en.wikipedia.org/wiki/Jaguar_Racing"
20,"prost","Prost","French","http://en.wikipedia.org/wiki/Prost_Grand_Prix"
21,"arrows","Arrows","British","http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International"
22,"benetton","Benetton","Italian","http://en.wikipedia.org/wiki/Benetton_Formula"
23,"brawn","Brawn","British","http://en.wikipedia.org/wiki/Brawn_GP"
24,"stewart","Stewart","British","http://en.wikipedia.org/wiki/Stewart_Grand_Prix"
25,"tyrrell","Tyrrell","British","http://en.wikipedia.org/wiki/Tyrrell_Racing"
26,"lola","Lola","British","http://en.wikipedia.org/wiki/MasterCard_Lola"
27,"ligier","Ligier","French","http://en.wikipedia.org/wiki/Ligier"
28,"forti","Forti","Italian","http://en.wikipedia.org/wiki/Forti"
29,"footwork","Footwork","British","http://en.wikipedia.org/wiki/Footwork_Arrows"
30,"pacific","Pacific","British","http://en.wikipedia.org/wiki/Pacific_Racing"
31,"simtek","Simtek","British","http://en.wikipedia.org/wiki/Simtek"
32,"team_lotus","Team Lotus","British","http://en.wikipedia.org/wiki/Team_Lotus"
33,"larrousse","Larrousse","French","http://en.wikipedia.org/wiki/Larrousse"
34,"brabham","Brabham","British","http://en.wikipedia.org/wiki/Brabham"
35,"dallara","Dallara","Italian","http://en.wikipedia.org/wiki/Dallara"
36,"fondmetal","Fondmetal","Italian","http://en.wikipedia.org/wiki/Fondmetal"
37,"march","March","British","http://en.wikipedia.org/wiki/March_Engineering"
38,"moda","Andrea Moda","Italian","http://en.wikipedia.org/wiki/Andrea_Moda_Formula"
39,"ags","AGS","French","http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives"
40,"lambo","Lambo","Italian","http://en.wikipedia.org/wiki/Modena_(racing_team)"
41,"leyton","Leyton House","British","http://en.wikipedia.org/wiki/Leyton_House"
