driverStandingsId,raceId,driverId,points,position,positionText,wins
1,18,1,10,1,"1",1
2,18,2,8,2,"2",0
3,18,3,6,3,"3",0
4,18,4,5,4,"4",0
5,18,5,4,5,"5",0
6,18,6,3,6,"6",0
7,18,7,2,7,"7",0
8,18,8,1,8,"8",0
9,19,1,14,1,"1",1
10,19,2,11,3,"3",0
11,19,3,6,6,"6",0
12,19,4,6,7,"7",0
13,19,5,10,4,"4",0
14,19,6,3,9,"9",0
15,19,7,2,10,"10",0
16,19,8,11,2,"2",1
17,19,9,8,5,"5",0
18,19,15,5,8,"8",0
19,19,17,2,11,"11",0
20,19,14,0,12,"12",0
21,19,18,0,13,"13",0
22,19,12,0,14,"14",0
23,19,21,0,15,"15",0
24,19,22,0,16,"16",0
25,19,19,0,17,"17",0
26,19,11,0,18,"18",0
27,20,1,14,3,"3",1
28,20,2,16,2,"2",0
29,20,3,7,8,"8",0
30,20,4,6,9,"9",0
31,20,5,14,5,"5",0
32,20,6,3,11,"11",0
33,20,7,2,12,"12",0
34,20,8,19,1,"1",1
35,20,9,14,4,"4",0
36,20,15,8,7,"7",0
37,20,17,4,10,"10",0
38,20,14,0,13,"13",0
39,20,18,0,15,"15",0
40,20,12,0,17,"17",0
41,20,21,0,18,"18",0
42,20,22,0,16,"16",0
43,20,19,0,19,"19",0
44,20,11,0,20,"20",0
45,20,13,10,6,"6",1
46,20,10,0,14,"14",0
47,20,16,0,21,"21",0
48,21,1,20,2,"2",1
49,21,2,16,5,"5",0
50,21,3,7,9,"9",0
51,21,4,6,10,"10",0
52,21,5,14,6,"6",0
53,21,6,5,11,"11",0
54,21,7,2,13,"13",0
55,21,8,29,1,"1",2
56,21,9,19,3,"3",0
57,21,15,9,7,"7",0
58,21,17,8,8,"8",0
59,21,14,0,15,"15",0
60,21,18,3,12,"12",0
61,21,12,0,18,"18",0
62,21,21,0,16,"16",0
63,21,22,0,17,"17",0
64,21,19,0,20,"20",0
65,21,11,0,19,"19",0
66,21,13,18,4,"4",1
67,21,10,0,14,"14",0
68,21,16,0,21,"21",0
69,22,1,28,3,"3",1
70,22,2,20,5,"5",0
71,22,3,8,10,"10",0
72,22,4,9,8,"8",0
73,22,5,14,6,"6",0
74,22,6,5,11,"11",0
75,22,7,2,13,"13",0
76,22,8,35,1,"1",2
77,22,9,24,4,"4",0
78,22,15,9,9,"9",0
79,22,17,10,7,"7",0
80,22,14,0,14,"14",0
81,22,18,3,12,"12",0
82,22,12,0,18,"18",0
83,22,21,0,16,"16",0
84,22,22,0,17,"17",0
85,22,19,0,20,"20",0
86,22,11,0,19,"19",0
87,22,13,28,2,"2",2
88,22,10,0,15,"15",0
89,22,16,0,21,"21",0
90,22,20,0,22,"22",0
91,23,1,38,1,"1",2
92,23,2,20,5,"5",0
93,23,3,8,10,"10",0
94,23,4,9,8,"8",0
95,23,5,15,6,"6",0
96,23,6,7,11,"11",0
97,23,7,2,15,"15",0
98,23,8,35,2,"2",2
99,23,9,32,4,"4",0
100,23,15,9,9,"9",0
101,23,17,15,7,"7",0
102,23,14,0,16,"16",0
103,23,18,3,13,"13",0
104,23,12,0,19,"19",0
105,23,21,0,18,"18",0
106,23,22,3,14,"14",0
107,23,19,0,21,"21",0
108,23,11,0,20,"20",0
109,23,13,34,3,"3",2
110,23,10,0,17,"17",0
111,23,16,0,22,"22",0
112,23,20,4,12,"12",0
113,24,1,38,2,"2",2
114,24,2,28,5,"5",0
115,24,3,8,10,"10",0
116,24,4,9,9,"9",0
117,24,5,15,6,"6",0
118,24,6,7,11,"11",0
119,24,7,2,17,"17",0
120,24,8,35,4,"4",2
121,24,9,42,1,"1",1
122,24,15,12,8,"8",0
123,24,17,15,7,"7",0
124,24,14,6,12,"12",0
125,24,18,3,16,"16",0
126,24,12,0,19,"19",0
127,24,21,0,18,"18",0
128,24,22,5,15,"15",0
129,24,19,0,21,"21",0
130,24,11,0,20,"20",0
131,24,13,38,3,"3",2
132,24,10,5,13,"13",0
133,24,16,0,22,"22",0
134,24,20,5,14,"14",0
135,25,1,38,4,"4",2
136,25,2,28,5,"5",0
137,25,3,8,10,"10",0
138,25,4,10,9,"9",0
139,25,5,20,6,"6",0
140,25,6,7,11,"11",0
141,25,7,2,18,"18",0
142,25,8,43,3,"3",2
143,25,9,46,2,"2",1
144,25,15,18,7,"7",0
145,25,17,18,8,"8",0
146,25,14,6,12,"12",0
147,25,18,3,16,"16",0
148,25,12,2,17,"17",0
149,25,21,0,19,"19",0
150,25,22,5,15,"15",0
151,25,19,0,21,"21",0
152,25,11,0,20,"20",0
153,25,13,48,1,"1",3
154,25,10,5,13,"13",0
155,25,16,0,22,"22",0
156,25,20,5,14,"14",0
157,26,1,48,1,"1",3
158,26,2,36,5,"5",0
159,26,3,8,11,"11",0
160,26,4,13,9,"9",0
161,26,5,24,6,"6",0
162,26,6,8,12,"12",0
163,26,7,2,17,"17",0
164,26,8,48,3,"3",2
165,26,9,46,4,"4",1
166,26,15,20,7,"7",0
167,26,17,18,8,"8",0
168,26,14,6,13,"13",0
169,26,18,3,16,"16",0
170,26,12,2,18,"18",0
171,26,21,0,19,"19",0
172,26,22,11,10,"10",0
173,26,19,0,21,"21",0
174,26,11,0,20,"20",0
175,26,13,48,2,"2",3
176,26,10,5,14,"14",0
177,26,16,0,22,"22",0
178,26,20,5,15,"15",0
179,27,1,58,1,"1",4
180,27,2,41,5,"5",0
