year,url
2009,"https://en.wikipedia.org/wiki/2009_Formula_One_season"
2008,"https://en.wikipedia.org/wiki/2008_Formula_One_season"
2007,"https://en.wikipedia.org/wiki/2007_Formula_One_season"
2006,"https://en.wikipedia.org/wiki/2006_Formula_One_season"
2005,"https://en.wikipedia.org/wiki/2005_Formula_One_season"
2004,"https://en.wikipedia.org/wiki/2004_Formula_One_season"
2003,"https://en.wikipedia.org/wiki/2003_Formula_One_season"
2002,"https://en.wikipedia.org/wiki/2002_Formula_One_season"
2001,"https://en.wikipedia.org/wiki/2001_Formula_One_season"
2000,"https://en.wikipedia.org/wiki/2000_Formula_One_season"
1999,"https://en.wikipedia.org/wiki/1999_Formula_One_season"
1998,"https://en.wikipedia.org/wiki/1998_Formula_One_season"
1997,"https://en.wikipedia.org/wiki/1997_Formula_One_season"
1996,"https://en.wikipedia.org/wiki/1996_Formula_One_season"
1995,"https://en.wikipedia.org/wiki/1995_Formula_One_season"
1994,"https://en.wikipedia.org/wiki/1994_Formula_One_season"
1993,"https://en.wikipedia.org/wiki/1993_Formula_One_season"
1992,"https://en.wikipedia.org/wiki/1992_Formula_One_season"
1991,"https://en.wikipedia.org/wiki/1991_Formula_One_season"
1990,"https://en.wikipedia.org/wiki/1990_Formula_One_season"
2010,"https://en.wikipedia.org/wiki/2010_Formula_One_season"
1989,"https://en.wikipedia.org/wiki/1989_Formula_One_season"
1988,"https://en.wikipedia.org/wiki/1988_Formula_One_season"
1987,"https://en.wikipedia.org/wiki/1987_Formula_One_season"
1986,"https://en.wikipedia.org/wiki/1986_Formula_One_season"
1985,"https://en.wikipedia.org/wiki/1985_Formula_One_season"
1984,"https://en.wikipedia.org/wiki/1984_Formula_One_season"
1983,"https://en.wikipedia.org/wiki/1983_Formula_One_season"
1982,"https://en.wikipedia.org/wiki/1982_Formula_One_season"
1981,"https://en.wikipedia.org/wiki/1981_Formula_One_season"
1980,"https://en.wikipedia.org/wiki/1980_Formula_One_season"
1979,"https://en.wikipedia.org/wiki/1979_Formula_One_season"
1978,"https://en.wikipedia.org/wiki/1978_Formula_One_season"
1977,"https://en.wikipedia.org/wiki/1977_Formula_One_season"
1976,"https://en.wikipedia.org/wiki/1976_Formula_One_season"
1975,"https://en.wikipedia.org/wiki/1975_Formula_One_season"
1974,"https://en.wikipedia.org/wiki/1974_Formula_One_season"
1973,"https://en.wikipedia.org/wiki/1973_Formula_One_season"
1972,"https://en.wikipedia.org/wiki/1972_Formula_One_season"
1971,"https://en.wikipedia.org/wiki/1971_Formula_One_season"
1970,"https://en.wikipedia.org/wiki/1970_Formula_One_season"
1969,"https://en.wikipedia.org/wiki/1969_Formula_One_season"
1968,"https://en.wikipedia.org/wiki/1968_Formula_One_season"
1967,"https://en.wikipedia.org/wiki/1967_Formula_One_season"
1966,"https://en.wikipedia.org/wiki/1966_Formula_One_season"
1965,"https://en.wikipedia.org/wiki/1965_Formula_One_season"
1964,"https://en.wikipedia.org/wiki/1964_Formula_One_season"
1963,"https://en.wikipedia.org/wiki/1963_Formula_One_season"
1962,"https://en.wikipedia.org/wiki/1962_Formula_One_season"
1961,"https://en.wikipedia.org/wiki/1961_Formula_One_season"
1960,"https://en.wikipedia.org/wiki/1960_Formula_One_season"
1959,"https://en.wikipedia.org/wiki/1959_Formula_One_season"
1958,"https://en.wikipedia.org/wiki/1958_Formula_One_season"
1957,"https://en.wikipedia.org/wiki/1957_Formula_One_season"
1956,"https://en.wikipedia.org/wiki/1956_Formula_One_season"
1955,"https://en.wikipedia.org/wiki/1955_Formula_One_season"
1954,"https://en.wikipedia.org/wiki/1954_Formula_One_season"
1953,"https://en.wikipedia.org/wiki/1953_Formula_One_season"
1952,"https://en.wikipedia.org/wiki/1952_Formula_One_season"
1951,"https://en.wikipedia.org/wiki/1951_Formula_One_season"
1950,"https://en.wikipedia.org/wiki/1950_Formula_One_season"
2011,"https://en.wikipedia.org/wiki/2011_Formula_One_season"
2012,"https://en.wikipedia.org/wiki/2012_Formula_One_season"
2013,"https://en.wikipedia.org/wiki/2013_Formula_One_season"
2014,"https://en.wikipedia.org/wiki/2014_Formula_One_season"
2015,"https://en.wikipedia.org/wiki/2015_Formula_One_season"
2016,"https://en.wikipedia.org/wiki/2016_Formula_One_season"
2017,"https://en.wikipedia.org/wiki/2017_Formula_One_season"
2018,"https://en.wikipedia.org/wiki/2018_Formula_One_World_Championship"
2019,"https://en.wikipedia.org/wiki/2019_Formula_One_World_Championship"
2020,"https://en.wikipedia.org/wiki/2020_Formula_One_World_Championship"
2021,"https://en.wikipedia.org/wiki/2021_Formula_One_World_Championship"
