Week,Date,year,data_files,data_type,delim,path,nrows,ncols,github
4,2018-04-23,2018,week4_australian_salary.csv,csv,",",data/2018/2018-04-23/week4_australian_salary.csv,2197,6,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-04-23/week4_australian_salary.csv
5,2018-04-30,2018,week5_acs2015_county_data.csv,csv,",",data/2018/2018-04-30/week5_acs2015_county_data.csv,3220,37,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-04-30/week5_acs2015_county_data.csv
7,2018-05-14,2018,week7_starwars.csv,csv,",",data/2018/2018-05-14/week7_starwars.csv,1187,38,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-05-14/week7_starwars.csv
9,2018-05-29,2018,week9_comic_characters.csv,csv,",",data/2018/2018-05-29/week9_comic_characters.csv,23272,17,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-05-29/week9_comic_characters.csv
11,2018-06-12,2018,week11_fifa_audience.csv,csv,",",data/2018/2018-06-12/week11_fifa_audience.csv,191,6,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-06-12/week11_fifa_audience.csv
12,2018-06-19,2018,week12_google_trends.csv,csv,NA,data/2018/2018-06-19/week12_google_trends.csv,38,1,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-06-19/week12_google_trends.csv
12,2018-06-19,2018,week12_mediacloud_hurricanes.csv,csv,",",data/2018/2018-06-19/week12_mediacloud_hurricanes.csv,38,5,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-06-19/week12_mediacloud_hurricanes.csv
12,2018-06-19,2018,week12_mediacloud_states.csv,csv,",",data/2018/2018-06-19/week12_mediacloud_states.csv,51,4,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-06-19/week12_mediacloud_states.csv
12,2018-06-19,2018,week12_mediacloud_top_online_news.csv,csv,",",data/2018/2018-06-19/week12_mediacloud_top_online_news.csv,49,2,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-06-19/week12_mediacloud_top_online_news.csv
12,2018-06-19,2018,week12_mediacloud_trump.csv,csv,",",data/2018/2018-06-19/week12_mediacloud_trump.csv,51,7,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-06-19/week12_mediacloud_trump.csv
12,2018-06-19,2018,week12_tv_hurricanes.csv,csv,",",data/2018/2018-06-19/week12_tv_hurricanes.csv,37,5,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-06-19/week12_tv_hurricanes.csv
13,2018-06-26,2018,week13_alcohol_global.csv,csv,",",data/2018/2018-06-26/week13_alcohol_global.csv,193,5,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-06-26/week13_alcohol_global.csv
14,2018-07-03,2018,week14_global_life_expectancy.csv,csv,",",data/2018/2018-07-03/week14_global_life_expectancy.csv,17894,4,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-07-03/week14_global_life_expectancy.csv
19,2018-08-07,2018,week19_airline_safety.csv,csv,",",data/2018/2018-08-07/week19_airline_safety.csv,336,6,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-08-07/week19_airline_safety.csv
21,2018-08-21,2018,cal-fire-incidents.csv,csv,",",data/2018/2018-08-21/cal-fire-incidents.csv,83,4,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-08-21/cal-fire-incidents.csv
21,2018-08-21,2018,calfire_damage.csv,csv,",",data/2018/2018-08-21/calfire_damage.csv,29,2,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-08-21/calfire_damage.csv
21,2018-08-21,2018,week21_calfire_frap.csv,csv,",",data/2018/2018-08-21/week21_calfire_frap.csv,14847,21,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-08-21/week21_calfire_frap.csv
22,2018-08-28,2018,nfl_2010-2017.csv,csv,",",data/2018/2018-08-28/nfl_2010-2017.csv,81525,23,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-08-28/nfl_2010-2017.csv
23,2018-09-04,2018,fastfood_calories.csv,csv,",",data/2018/2018-09-04/fastfood_calories.csv,515,18,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-09-04/fastfood_calories.csv
24,2018-09-11,2018,cats_vs_dogs.csv,csv,",",data/2018/2018-09-11/cats_vs_dogs.csv,49,13,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-09-11/cats_vs_dogs.csv
25,2018-09-18,2018,hypoxia.csv,csv,",",data/2018/2018-09-18/hypoxia.csv,7,10,https://raw.githubusercontent.com/rfordatascience/tidytuesday/master/data/2018/2018-09-18/hypoxia.csv
