"","airline","avail_seat_km_per_week","year_range","type_of_event","n_events"
"1","Aer Lingus",320906734,"85_99","incidents",2
"2","Aeroflot*",1197672318,"85_99","incidents",76
"3","Aerolineas Argentinas",385803648,"85_99","incidents",6
"4","Aeromexico*",596871813,"85_99","incidents",3
"5","Air Canada",1865253802,"85_99","incidents",2
"6","Air France",3004002661,"85_99","incidents",14
"7","Air India*",869253552,"85_99","incidents",2
"8","Air New Zealand*",710174817,"85_99","incidents",3
"9","Alaska Airlines*",965346773,"85_99","incidents",5
"10","Alitalia",698012498,"85_99","incidents",7
"11","All Nippon Airways",1841234177,"85_99","incidents",3
"12","American*",5228357340,"85_99","incidents",21
"13","Austrian Airlines",358239823,"85_99","incidents",1
"14","Avianca",396922563,"85_99","incidents",5
"15","British Airways*",3179760952,"85_99","incidents",4
"16","Cathay Pacific*",2582459303,"85_99","incidents",0
"17","China Airlines",813216487,"85_99","incidents",12
"18","Condor",417982610,"85_99","incidents",2
"19","COPA",550491507,"85_99","incidents",3
"20","Delta / Northwest*",6525658894,"85_99","incidents",24
"21","Egyptair",557699891,"85_99","incidents",8
"22","El Al",335448023,"85_99","incidents",1
"23","Ethiopian Airlines",488560643,"85_99","incidents",25
"24","Finnair",506464950,"85_99","incidents",1
"25","Garuda Indonesia",613356665,"85_99","incidents",10
"26","Gulf Air",301379762,"85_99","incidents",1
"27","Hawaiian Airlines",493877795,"85_99","incidents",0
"28","Iberia",1173203126,"85_99","incidents",4
"29","Japan Airlines",1574217531,"85_99","incidents",3
"30","Kenya Airways",277414794,"85_99","incidents",2
"31","KLM*",1874561773,"85_99","incidents",7
"32","Korean Air",1734522605,"85_99","incidents",12
"33","LAN Airlines",1001965891,"85_99","incidents",3
"34","Lufthansa*",3426529504,"85_99","incidents",6
"35","Malaysia Airlines",1039171244,"85_99","incidents",3
"36","Pakistan International",348563137,"85_99","incidents",8
"37","Philippine Airlines",413007158,"85_99","incidents",7
"38","Qantas*",1917428984,"85_99","incidents",1
"39","Royal Air Maroc",295705339,"85_99","incidents",5
"40","SAS*",682971852,"85_99","incidents",5
"41","Saudi Arabian",859673901,"85_99","incidents",7
