name,x,y,dist2HW,cc
Scott Fortmann-Roe,10.814683118674282,3.832628056839483,3,83465
Martin Bladt,10.391375805740992,3.925175745526089,3,81176
Christian Furrer,8.215216124829325,6.194007470050177,4,96593
Sigbert Klinke,7.84168635034788,4.456035578812087,3,77218
Gaurav Sood,9.177948915464171,-0.481156093365979,2,66745
Katalin Csillery,10.421599359571722,-3.5706035785546795,4,97885
Louisiane Lemaire,10.888900598959196,-3.2807402358162396,4,97885
Olivier Francois,9.768951433214667,-3.8788926000354818,4,97871
Michael Blum,8.430673941919418,-2.7879398399435695,3,82472
Michael Thrun,8.207950026908556,2.76749898230651,2,63591
Jorn Lotsch,8.980258376477385,4.467346593435811,3,79003
Alfred Ultsch,8.117103501179784,2.756770007009416,2,63599
Wenjie Wang,10.629848161504045,1.3853602423897298,3,72548
Eli Lilly,8.950797550610485,-0.2597646214739963,2,63317
Company,9.018850831576465,-0.19811692126728717,2,63277.00000000001
George Vega Yon,9.066403317877297,2.1901132863307904,2,67270
Enyelbert Munoz,6.246433777977497,4.270011740359338,3,82687
Matt Nunes,3.349030872611301,-0.7431176631637263,4,96226
Dennis Prangle,2.7082616529893255,-2.3585476804746697,5,111641.99999999999
Guilherme Rodrigues,2.93791262282289,-2.6851113656598042,5,111641.99999999999
Jin Zhu,6.356444656205706,0.6358311444071633,2,68487
Zezhi Wang,4.395037837471051,0.0026674034800519106,3,83877
Liyuan Hu,4.448352329059226,-0.15900876088599622,3,83877
Junhao Huang,4.676891267302749,-0.6902848137478776,3,83877
Kangkang Jiang,4.519275268740615,-0.3452909656302357,3,83877
Yanhang Zhang,4.778421361857094,-0.8663983625945831,3,83877
Borui Tang,4.931814862618905,-1.112241223323547,3,83876
Shiyun Lin,5.006780287047,-1.2120442276261179,3,83876
Junxian Zhu,6.3315241743529205,0.5968388186411872,2,69055
Canhong Wen,4.559089183381653,-0.4349184330411414,3,83869
Heping Zhang,5.279543958209374,0.3202241419176185,3,75941
Xueqin Wang,6.328309092051764,0.49735226057642146,2,68472
Tony Plate,8.117127854275155,1.5227888187617997,1,52899
Richard Heiberger,7.997325663703275,1.758282983407698,1,53236
Julio Trecenti,10.211223727444114,0.10162712929522315,2,71096
Renata Hirota,9.49052661122455,-2.536345962288121,3,82988
Katerine Witkoski,11.417519401038781,-1.3565147662184156,3,86227
Caio Lente,11.487532272408123,-1.3199509023177904,3,86512
Benjamin Gochanour,6.073464560945061,-2.9681791570097213,4,89829
Javier Fernandez-Lopez,5.875310302566464,-0.64730310460334906,3,74413
Andrea Contina,5.698756914558419,-2.765507266534429,4,89829
Matteo Delucchi,5.932155451622685,3.5012584148112804,3,78411
Reinhard Furrer,6.7783340637309575,0.8301551471203648,2,65554
Gilles Kratzer,7.579186085358424,3.2528768133627586,2,67432
Fraser Iain Lewis,5.769703145616752,3.332833146688968,3,78411
Marta Pittavino,6.169600290176384,3.6994172901953473,3,78411
Kalina Cherneva,7.006253679639296,-0.18641425111840249,2,66883
Jose Jimenez,8.74373848942207,6.206520353133368,4,97351
Nathanael Sheehan,7.0003374018844156,-1.2519689656523987,2,71553
Robin Lovelace,7.654345157725548,0.49165850988555965,1,56145
Trevor Nederlof,6.626197716572024,-1.0448313614389,2,71559
Lucas Dias,6.926899844558506,-1.2176279230996152,2,71559
Dustin Carlino,6.841153994424193,-1.1761892638800326,2,71559
Himadri Ghosh,-0.6441196520877728,3.9766346617103108,7,148779
Mr. Saikath Das,-0.8082993601118922,3.39057936231614,7,148779
Yeasin,0.5721752013144745,4.140022689421436,6,133364
Amrit Kumar Paul,-0.37290828660470215,4.720050182642273,7,148779
Quentin F. Gronau,7.236601426012073,0.6903231598632705,2,62759
Akash Raj,5.169956565770526,-0.1323049242696802,3,77990
Eric-Jan Wagenmakers,6.767740468238415,1.2786903387675677,2,64467.99999999999
Hugh Warden,7.493966144709927,-3.019026961684115,3,86064
Christopher Barrie,6.533741598587254,2.9612324767422527,3,73829
Justin Chun-Ting Ho,6.7904455224035365,-1.3799168891298945,3,75531
Chung-Hong Chan,7.832007672880107,0.7717140904442853,2,60170
Noelia Rico,6.464753565303738,-1.1600027470695138,3,75531
Tim Konig,6.339303741160734,-1.0564503009311268,3,75531
Thomas Davidson,6.621441603322694,-1.2755044881408935,3,75531
Jaejoon Song,11.116512055042364,-2.765748211465312,4,93198
Matthew G. Cox,12.264381501923314,-3.387111620825736,5,108615.00000000001
Livio Finos,9.440409252365367,-3.1391448929005668,4,89021
Andreas Kiermeier,8.240456343932037,4.900396884532906,3,82162
Peter Bloomfield,7.0496228925702304,2.8339887875895635,2,66745
Rafael H. M. Pereira,7.694487762718014,-1.2011410373562248,2,69048
Daniel Herszenhut,7.0948836336097365,0.14836010652713283,2,64379.00000000001
Lukas Butikofer,12.84480296982556,3.5381311326412432,4,99980
Alan G. Haynes,11.26528059530841,3.604876564164987,3,84563
Mark Van Der Loo,7.117305079413759,1.5270042652408577,2,59440.00000000001
Peng Wang,5.969099801624849,-2.6918574556552546,4,88338
Pengfei Lyu,4.182629373106898,2.6295041599868294,4,88689
Shyamal Peddada,3.187535760437168,-0.8771239029542404,5,98880
Hongyuan Cao,4.175799557837943,0.45421566433041577,4,85377
Stephane Laurent,7.774542980692176,-0.02445747783602659,2,58981.00000000001
James Hrisho,7.994845029276241,-1.892706329321903,3,74327
James Long,8.39945083382977,-1.853344851829725,3,74032
Zeb Zhao,8.125725445365807,-1.9014528535196011,3,74323
Tristan Edwards,8.795958069927536,-1.4290802219122394,2,71168
Limon Monte,7.654804259720675,-1.8366652453542784,3,74175
Phil Spector,6.656386038095285,2.9021391015648828,3,69335
Jerome Friedman,6.363855360732292,2.343984354777661,3,66735
Robert Tibshirani,6.812002262394233,2.9402586289710735,3,68758
Thomas Lumley,7.712202748555813,1.6701481167700083,2,54603
Shawn Garbett,7.195999004691891,0.44985025281485463,2,63677
Jonathan Baron,6.557366502972546,2.819699160141465,3,69335
Higor Cotta,9.836958553343827,3.8756335572085145,3,77033
Valderio Reisen,8.57957834379812,2.3598396648361155,2,61880
Pascal Bondon,9.965836761084285,3.789766411009687,3,77030
Celine Levy-Leduc,7.775257365336552,3.9614566520488808,3,72834
Frank Defalco,4.526673117280967,-3.344807725398583,5,102902.00000000001
Patrick Ryan,4.773646108016809,-1.6535458309410107,4,87522
Martijn Schuemie,5.325878592848068,-2.224697874596198,4,87491
Vojtech Huser,3.8243623356547856,-2.6895384648443637,5,102902.00000000001
Chris Knoll,4.214743784105689,-3.081516769443298,5,102902.00000000001
Ajit Londhe,4.767044187561398,-3.52475240403829,5,102902.00000000001
Taha Abdul-Basser,3.633776416103261,-2.4659747971891033,5,102902.00000000001
Anthony Molinaro,4.021071822553597,-2.896992100483429,5,102902.00000000001
Christoph Dworschak,5.085501703559363,-2.1696754543735604,3,89021
Rob Williams,6.083870467450788,-0.6005223706774824,2,73620
Maria Ortiz,7.144227223988111,-0.37915913347143654,2,65748
Henrik Bengtsson,7.904500473306191,0.7373318203244291,1,50482
Angel Rubio,7.334554263326706,-0.5398361422045826,2,65738
Morgane Pierre-Jean,4.982907268210687,0.7225131735355905,3,77740
Pierre Neuvial,7.016135916952515,0.8297022548390193,2,63193.99999999999
Denis Arnold,7.412095018304449,-1.1585242698718525,2,70274
Elnaz Shafaei Bajestan,9.072854291195826,-2.9687344590128326,3,85691
Vp Nagraj,9.516113793335562,-0.0381576678925026,2,67200
Nicolas Gauvrit,6.329608966207752,2.23944271295777,2,68319
Henrik Singmann,7.765032090875453,1.3722775610013709,1,52904
Fernando Soler Toscano,6.12426175724858,1.7812410223992898,2,68319
Hector Zenil,6.226422304398484,2.0545446492545856,2,68319
Junrui Di,10.101874480809979,-0.013902607355666802,2,68743
Vadim Zipunnikov,10.010570188782076,-0.25670596325779926,2,68740
Vincent Van Hees,9.833165133831153,-0.4458737755562512,2,68614
John Muschelli,8.721247121480047,0.6030410940887142,1,53330
Juri Reimand,12.631916882317926,8.179259650907838,7,139941
Helen Zhu,12.300553631512477,7.079680254862643,6,124528.99999999999
Kevin Cheng,13.076082293497224,7.860429746996969,7,139943
Nathan Wycoff,3.494047601161183,3.843704325588947,4,97556.00000000001
Mickael Binois,4.72092135065785,3.058172094909736,3,82139
Jonathan Barenboim,12.522406558541082,9.480652662047396,8,155357
Mykhaylo Slobodyanyuk,12.929068415712845,9.2447246650518,8,155357
Jiawei Bai,10.123359386062173,0.05475298811887302,2,68747
Robert Corty,10.087253637672017,0.20137881157241264,3,70441
Vincent Goulet,7.892404476024673,1.8327088661642432,2,58598
Sebastien Auclair,7.022910830388471,1.9183177395405533,2,62746.00000000001
Christophe Dutang,7.664103058709121,1.7564426701985194,1,54788.99999999999
Walter Garcia-Fontes,6.900890060425669,1.7879135461596192,2,62746.00000000001
Nicholas Langevin,6.993245842827268,1.8931893960010495,2,62746.00000000001
Xavier Milhaud,6.88241714796301,1.8570365759158907,2,62742
Tommy Ouellet,6.945104516967618,1.8446525245477816,2,62746.00000000001
Alexandre Parent,6.966594998302004,1.8766248388642697,2,62746.00000000001
Mathieu Pigeon,6.878988804970175,1.7625007471676712,2,62746.00000000001
Louis-Philippe Pouliot,6.922835713400611,1.8156640478233441,2,62746.00000000001
Jeffrey A. Ryan,7.486895937540994,2.2421028506431324,2,60846.00000000001
Robert Gentleman,7.586748508905238,1.5054056361253432,2,56141.00000000001
Ross Ihaka,7.604884281748837,1.7212817660406448,2,55924
R Core Team,7.534219152614212,1.4018225495367946,1,49269
R Foundation,8.229322567778128,1.0954161927130726,1,54301.99999999999
Muhammad Imran,12.21211532768915,2.5264560429580607,3,87767
M.h. Tahir,12.237430278744306,2.4111089887611308,3,87773
Saima Shakoor,13.567924191996115,2.3388436015192893,4,103183
