Package,authorsR
A3,Scott Fortmann-Roe
AalenJohansen,Martin Bladt
AalenJohansen,Christian Furrer
AATtools,Sercan Kahveci
ABACUS,Mintu Nath
abasequence,Andrew Pilny
abbreviate,Sigbert Klinke
abbyyR,Gaurav Sood
abc,Katalin Csillery
abc,Louisiane Lemaire
abc,Olivier Francois
abc,Michael Blum
abc.data,Katalin Csillery
abc.data,Louisiane Lemaire
abc.data,Olivier Francois
abc.data,Michael Blum
ABC.RAP,Abdulmonem Alsaleh
ABCanalysis,Michael Thrun
ABCanalysis,Jorn Lotsch
ABCanalysis,Alfred Ultsch
abclass,Wenjie Wang
abclass,Eli Lilly
abclass,Company
ABCoptim,George Vega Yon
ABCoptim,Enyelbert Munoz
ABCp2,M. Catherine Duryea
ABCp2,Andrew D. Kern
ABCp2,Robert M. Cox
ABCp2,Ryan Calsbeek
abcrf,Jean-Michel Marin
abcrlda,Dmitriy Fedorov
abcrlda,Amin Zollanvari
abcrlda,Aresh Dadlani
abcrlda,Berdakh Abibullaev
abctools,Matt Nunes
abctools,Dennis Prangle
abctools,Guilherme Rodrigues
abd,Kevin M. Middleton
abdiv,Kyle Bittinger
abe,Rok Blagus
abe,Sladana Babic
abess,Jin Zhu
abess,Zezhi Wang
abess,Liyuan Hu
abess,Junhao Huang
abess,Kangkang Jiang
abess,Yanhang Zhang
abess,Borui Tang
abess,Shiyun Lin
abess,Junxian Zhu
abess,Canhong Wen
abess,Heping Zhang
abess,Xueqin Wang
abglasso,Jarod Smith
abglasso,Mohammad Arashi
abglasso,Andriette Bekker
ABHgenotypeR,Stefan Reuscher
ABHgenotypeR,Tomoyuki Furuta
abind,Tony Plate
abind,Richard Heiberger
abjData,Julio Trecenti
abjData,Renata Hirota
abjData,Katerine Witkoski
abjutils,Caio Lente
abjutils,Julio Trecenti
abjutils,Katerine Witkoski
ABM,Junling Ma
abmR,Benjamin Gochanour
abmR,Javier Fernandez-Lopez
abmR,Andrea Contina
abn,Matteo Delucchi
abn,Reinhard Furrer
abn,Gilles Kratzer
abn,Fraser Iain Lewis
abn,Marta Pittavino
abn,Kalina Cherneva
abnormality,Michael Marks
abodOutlier,Jose Jimenez
ABPS,Frederic Schutz
ABPS,Alix Zollinger
abstr,Nathanael Sheehan
abstr,Robin Lovelace
abstr,Trevor Nederlof
abstr,Lucas Dias
abstr,Dustin Carlino
abstractr,Matthew Kumar
ABSurvTDC,Himadri Ghosh
ABSurvTDC,Mr. Saikath Das
ABSurvTDC,Yeasin
ABSurvTDC,Amrit Kumar Paul
abtest,Quentin F. Gronau
abtest,Akash Raj
abtest,Eric-Jan Wagenmakers
abundant,Adam J. Rothman
Ac3net,Gokmen Altay
ACA,Daniel Amorese
AcademicThemes,Hugh Warden
academictwitteR,Christopher Barrie
academictwitteR,Justin Chun-Ting Ho
academictwitteR,Chung-Hong Chan
academictwitteR,Noelia Rico
academictwitteR,Tim Konig
academictwitteR,Thomas Davidson
acc,Jaejoon Song
acc,Matthew G. Cox
acca,Livio Finos
accelerometry,Dane R. Van Domelen
accelmissing,Jung Ae Lee
accept,Amin Adibi
accept,Mohsen Sadatsafavi
accept,Abdollah Safari
accept,Ainsleigh Hill
AcceptanceSampling,Andreas Kiermeier
AcceptanceSampling,Peter Bloomfield
accessibility,Rafael H. M. Pereira
accessibility,Daniel Herszenhut
accessrmd,Rich Leyshon
accrualPlot,Lukas Butikofer
accrualPlot,Alan G. Haynes
accSDA,Gudmundur Einarsson
accSDA,Line Clemmensen
accSDA,Brendan Ames
accSDA,Summer Atkins
accucor,Xiaoyang Su
accucor,Lance Parsons
accucor,Yujue Wang
accumulate,Mark Van Der Loo
acdcR,Seong D. Yun
ACDm,Markus Belfrage
ACE.CoCo,Peng Wang
ACE.CoCo,Pengfei Lyu
ACE.CoCo,Shyamal Peddada
ACE.CoCo,Hongyuan Cao
ace2fastq,Reinhard Simon
acebayes,Antony M. Overstall
acebayes,David C. Woods
acebayes,Maria Adamou
acebayes,Damianos Michaelides
aceEditor,Stephane Laurent
aceEditor,James Hrisho
aceEditor,James Long
aceEditor,Zeb Zhao
aceEditor,Tristan Edwards
aceEditor,Limon Monte
ACEP,Agustin Nieto
acepack,Phil Spector
acepack,Jerome Friedman
acepack,Robert Tibshirani
acepack,Thomas Lumley
acepack,Shawn Garbett
acepack,Jonathan Baron
ACEsearch,Vladimir Polony
ACEsimFit,Xuanyu Lyu
ACEsimFit,S.mason Garrison
ACEt,Liang He
acfMPeriod,Higor Cotta
acfMPeriod,Valderio Reisen
acfMPeriod,Pascal Bondon
acfMPeriod,Celine Levy-Leduc
Achilles,Frank Defalco
Achilles,Patrick Ryan
Achilles,Martijn Schuemie
Achilles,Vojtech Huser
Achilles,Chris Knoll
Achilles,Ajit Londhe
Achilles,Taha Abdul-Basser
Achilles,Anthony Molinaro
acid,Alexander Sohn
acled.api,Christoph Dworschak
acled.api,Rob Williams
ACNE,Maria Ortiz
ACNE,Henrik Bengtsson
ACNE,Angel Rubio
acnr,Morgane Pierre-Jean
acnr,Pierre Neuvial
acopula,Tomas Bacigal
AcousticNDLCodeR,Denis Arnold
AcousticNDLCodeR,Elnaz Shafaei Bajestan
acp,Siakoulis Vasileios
acroname,Vp Nagraj
AcrossTic,Dave Ruth
AcrossTic,Sam Buttrey
acs,Ezra Haber Glenn
acss,Nicolas Gauvrit
acss,Henrik Singmann
acss,Fernando Soler Toscano
acss,Hector Zenil
acss.data,Fernando Soler Toscano
acss.data,Nicolas Gauvrit
acss.data,Hector Zenil
acss.data,Henrik Singmann
ACSWR,Prabhanjan Tattar
act,Oliver Ehmer
ACTCD,Chia-Yi Chiu Rutgers
ActCR,Junrui Di
ActCR,Vadim Zipunnikov
ActCR,Vincent Van Hees
actel,Hugo Flavio
ActFrag,Junrui Di
ActFrag,John Muschelli
ActFrag,Vadim Zipunnikov
actilifecounts,Jairo Hidalgo Migueles
activAnalyzer,Pierre-Yves De Mullenheim
activatr,Daniel Schafer
ActiveDriver,Juri Reimand
ActiveDriverWGS,Juri Reimand
ActiveDriverWGS,Helen Zhu
ActiveDriverWGS,Kevin Cheng
activegp,Nathan Wycoff
activegp,Mickael Binois
ActivePathways,Juri Reimand
ActivePathways,Jonathan Barenboim
ActivePathways,Mykhaylo Slobodyanyuk
activity,Marcus Rowcliffe
activityGCMM,Liz Ad Campbell
ActivityIndex,Jiawei Bai
ActivityIndex,John Muschelli
activPAL,Craig Speirs
activPAL,Kate Lyden
activPAL,Douglas Maxwell
activPAL,David Loudon
actogrammr,Robert Corty
actuar,Vincent Goulet
actuar,Sebastien Auclair
actuar,Christophe Dutang
actuar,Walter Garcia-Fontes
actuar,Nicholas Langevin
actuar,Xavier Milhaud
actuar,Tommy Ouellet
actuar,Alexandre Parent
actuar,Mathieu Pigeon
actuar,Louis-Philippe Pouliot
actuar,Jeffrey A. Ryan
actuar,Robert Gentleman
actuar,Ross Ihaka
actuar,R Core Team
actuar,R Foundation
actuaRE,Campo Bavo D.c.
ActuarialM,Muhammad Imran
ActuarialM,M.h. Tahir
ActuarialM,Saima Shakoor
actuaryr,Zuzanna Chmielewska
actxps,Matt Heaphy
AcuityView,Eleanor Caves
acumos,Simon Urbanek
acumos,Alassane Samba
acumos,Tech Mahindra
acumos,Orange
ACV,Filip Stanek
ACWR,Jorge R Fernandez-Santos
ada,Mark Culp
ada,Kjell Johnson
ada,George Michailidis
adabag,Alfaro
adabag,Esteban
adabag,Gamez
adabag,Matias
adabag,Garcia
adabag,Noelia
adace,Jiaxun Chen
adace,Rui Jin
adace,Yongming Qu
adace,Run Zhuang
adace,Ying Zhang
adace,Eli Lilly
adace,Company
adagio,Hans W. Borchers
adaHuber,Xiaoou Pan
adaHuber,Wen-Xin Zhou
adamethods,Guillermo Vinue
adamethods,Irene Epifanio
adana,Zeynel Cebeci
AdapSamp,Dong Zhang
adapt4pv,Emeline Courtois
