manuscript_id,short_name,composition,composition_type,language,script_type,material,period,site,site_parent,cave,num_images,keywords,biblical_book,canon_status,bible_section,testament,content_category
1Q1,1Q Gen,Genesis,Scripture,Hebrew,Square,Parchment,Herodian,"Qumran, Cave 1",Qumran,1,4,"Garden of Eden, Abraham, Binding of Isaac, camel
גן עדן, אברהם, עקדת יצחק, גמל",Genesis,Protocanonical,Torah,OT,Biblical
1Q2,1Q Exod,Exodus,Scripture,Hebrew,Square,Parchment,Hellenistic-Roman,"Qumran, Cave 1",Qumran,1,10,"manna, ten commandments, decalogue
עשרת הדברות",Exodus,Protocanonical,Torah,OT,Biblical
1Q3,1Q paleoLev-Num,paleoLeviticus-Numbers,Scripture,Hebrew,Paleo-Hebrew,Parchment,Hellenistic-Roman,"Qumran, Cave 1",Qumran,1,15,"Passover
פסח",Leviticus,Protocanonical,Torah,OT,Biblical
1Q4,1Q Deut,Deuteronomy,Scripture,Hebrew,Square,Parchment,Hellenistic-Roman,"Qumran, Cave 1",Qumran,1,14,NA,Deuteronomy,Protocanonical,Torah,OT,Biblical
1Q5,1Q Deut,Deuteronomy,Scripture,Hebrew,Square,Parchment,Hellenistic-Roman,"Qumran, Cave 1",Qumran,1,142,NA,Deuteronomy,Protocanonical,Torah,OT,Biblical
1Q6,1Q Judg,Judges,Scripture,Hebrew,Square,Parchment,Hellenistic-Roman,"Qumran, Cave 1",Qumran,1,4,NA,Judges,Protocanonical,Nevi'im,OT,Biblical
1Q7,1Q Sam,Samuel,Scripture,Hebrew,Square,Parchment,Hellenistic-Roman,"Qumran, Cave 1",Qumran,1,2,NA,Samuel,Protocanonical,Nevi'im,OT,Biblical
1Q8,1Q Isa,Isaiah,Scripture,Hebrew,Square,Parchment,Herodian,"Qumran, Cave 1",Qumran,1,35,"Babylon, Garden of Eden
בבל, גן עדן",Isaiah,Protocanonical,Nevi'im,OT,Biblical
1Q9,1Q Ezek,Ezekiel,Scripture,Hebrew,Square,Parchment,Hellenistic-Roman,"Qumran, Cave 1",Qumran,1,10,NA,Ezekiel,Protocanonical,Nevi'im,OT,Biblical
1Q10,1Q Ps,Psalms,Scripture,Hebrew,Square,Parchment,Hellenistic-Roman,"Qumran, Cave 1",Qumran,1,8,NA,Psalms,Protocanonical,Ketuvim,OT,Biblical
1Q11,1Q Ps,Psalms,Scripture,Hebrew,Square,Parchment,Hellenistic-Roman,"Qumran, Cave 1",Qumran,1,4,NA,Psalms,Protocanonical,Ketuvim,OT,Biblical
1Q12,1Q Ps,Psalms,Scripture,Hebrew,Square,Parchment,Herodian,"Qumran, Cave 1",Qumran,1,3,NA,Psalms,Protocanonical,Ketuvim,OT,Biblical
1Q13,1Q Phyl,Phylacteries,Tefillin,Hebrew,Square,Parchment,Hellenistic-Roman,"Qumran, Cave 1",Qumran,1,14,NA,Phylactery (Tefillin),Non-canonical,Liturgical,Non-biblical,Liturgical
1Q14,1Q pMic,Pesher Micah,Pesher,Hebrew,Square,Parchment,Herodian,"Qumran, Cave 1",Qumran,1,7,"Teacher of Righteousness, End of Days
מורה צדק, מורה הצדק, מורי צדק, אחרית הימים",Pesher (Commentary),Non-canonical,Sectarian,Non-biblical,Sectarian
1Q15,1Q pZeph,Pesher Zephaniah,Pesher,Hebrew,Square,Parchment,Hellenistic-Roman,"Qumran, Cave 1",Qumran,1,1,NA,Pesher (Commentary),Non-canonical,Sectarian,Non-biblical,Sectarian
1Q16,1Q pPs,Pesher Psalms,Pesher,Hebrew,Square,Parchment,Hellenistic-Roman,"Qumran, Cave 1",Qumran,1,10,NA,Pesher (Commentary),Non-canonical,Sectarian,Non-biblical,Sectarian
1Q17,1Q Jub,Jubilees,Parabiblical Texts,Hebrew,Square,Parchment,Hellenistic-Roman,"Qumran, Cave 1",Qumran,1,2,NA,Jubilees,Non-canonical,Pseudepigrapha,Non-biblical,Parabiblical
1Q18,1Q Jub,Jubilees,Parabiblical Texts,Hebrew,Square,Parchment,Hasmonean,"Qumran, Cave 1",Qumran,1,4,NA,Jubilees,Non-canonical,Pseudepigrapha,Non-biblical,Parabiblical
1Q19,1Q Noah,Noah,Parabiblical Texts,Hebrew,Square,Parchment,Herodian,"Qumran, Cave 1",Qumran,1,9,NA,Book of Noah,Non-canonical,Pseudepigrapha,Non-biblical,Parabiblical
1Q20,1Q apGen,Genesis Apocryphon,Parabiblical Texts,Aramaic,Square,Parchment,Herodian,"Qumran, Cave 1",Qumran,1,11,NA,Genesis Apocryphon,Non-canonical,Pseudepigrapha,Non-biblical,Parabiblical
1Q21,1Q ALD,Aramaic Levi Document,Parabiblical Texts,Aramaic,Square,Parchment,Hasmonean,"Qumran, Cave 1",Qumran,1,18,NA,Aramaic Levi Document,Non-canonical,Pseudepigrapha,Non-biblical,Parabiblical
1Q22,1Q DM,Words of Moses,Parabiblical Texts,Hebrew,Square,Parchment,Hellenistic-Roman,"Qumran, Cave 1",Qumran,1,10,NA,NA,Non-canonical,Other,Non-biblical,Other Non-biblical
1Q23,1Q EnGiants,"Enoch, Book of Giants",Parabiblical Texts,Aramaic,Square,Parchment,Hasmonean,"Qumran, Cave 1",Qumran,1,11,NA,1 Enoch,Non-canonical,Pseudepigrapha,Non-biblical,Parabiblical
