response_id,main_branch,age,remote_work,ed_level,years_code,years_code_pro,dev_type,org_size,purchase_influence,buildvs_buy,country,currency,comp_total,so_visit_freq,so_account,so_part_freq,so_comm,ai_select,ai_sent,ai_acc,ai_complex,ai_threat,survey_length,survey_ease,converted_comp_yearly,r_used,r_want_to_use
1,1,8,3,4,NA,NA,NA,NA,NA,NA,United States of America,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA
2,1,3,3,2,20,17,16,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,5,3,6,5,1,NA,NA,NA,NA,NA,NA,NA,0,0
3,1,4,3,3,37,27,10,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,5,3,6,5,1,NA,NA,NA,NA,1,2,NA,0,0
4,2,1,NA,7,4,NA,16,NA,NA,NA,Canada,NA,NA,3,1,NA,3,3,5,5,1,2,2,2,NA,0,0
5,1,1,NA,6,9,NA,16,NA,NA,NA,Norway,NA,NA,5,3,6,5,1,NA,NA,NA,NA,3,2,NA,0,0
6,4,8,NA,4,10,NA,33,NA,NA,NA,United States of America,NA,NA,5,3,6,5,3,1,5,2,2,1,2,NA,0,0
7,3,3,3,5,7,7,1,NA,NA,NA,United States of America,NA,NA,3,3,3,5,1,NA,NA,NA,NA,2,3,NA,1,1
8,2,1,NA,6,1,NA,33,NA,NA,NA,Uzbekistan,NA,NA,4,1,NA,2,3,2,4,1,3,1,1,NA,0,0
9,4,4,2,5,20,NA,1,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,5,3,6,5,1,NA,NA,NA,NA,1,3,NA,0,0
10,1,3,3,3,15,11,16,NA,NA,NA,Serbia,NA,NA,2,3,5,6,3,2,3,1,1,2,2,NA,0,0
11,5,3,3,2,20,NA,28,NA,NA,NA,United States of America,NA,NA,2,3,5,5,3,1,4,3,2,1,2,NA,0,0
12,1,4,2,5,30,25,9,NA,NA,NA,Poland,NA,NA,5,3,6,5,1,NA,NA,NA,NA,1,3,NA,0,0
13,1,3,1,2,20,12,12,NA,NA,NA,United States of America,NA,NA,5,3,2,5,1,NA,NA,NA,NA,1,2,NA,0,0
14,5,3,NA,2,20,NA,26,NA,NA,NA,Philippines,NA,NA,3,3,2,5,3,5,2,5,1,2,3,NA,0,0
15,1,2,1,3,15,10,NA,NA,NA,NA,Bulgaria,NA,NA,3,3,2,6,1,NA,NA,NA,NA,1,2,NA,0,0
16,1,4,1,7,31,27,16,NA,NA,NA,Switzerland,NA,NA,1,3,1,6,1,NA,NA,NA,NA,1,3,NA,0,0
17,4,8,NA,4,7,NA,33,NA,NA,NA,Canada,NA,NA,2,3,5,3,3,1,4,3,2,1,2,NA,0,0
18,1,1,3,2,6,3,15,NA,NA,NA,India,NA,NA,4,3,5,1,2,1,NA,NA,1,1,2,NA,0,0
19,1,2,1,7,12,10,16,NA,NA,NA,Germany,NA,NA,3,3,2,5,3,5,3,3,2,1,2,NA,0,0
20,1,3,1,7,22,11,7,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,5,3,6,5,1,NA,NA,NA,NA,1,3,NA,0,0
21,3,2,1,3,5,0,26,NA,NA,NA,Germany,NA,NA,1,3,5,6,3,4,5,1,1,1,2,NA,0,1
22,1,3,2,3,36,11,16,NA,NA,NA,Germany,NA,NA,5,3,6,5,3,5,5,2,2,1,2,NA,0,0
23,1,4,3,2,25,18,12,NA,NA,NA,Ireland,NA,NA,1,3,4,3,3,5,5,2,2,1,3,NA,0,0
24,1,5,1,2,44,37,13,NA,NA,NA,United States of America,NA,NA,5,3,6,6,1,NA,NA,NA,NA,1,3,NA,0,0
25,1,3,3,2,20,15,16,NA,NA,NA,Italy,NA,NA,2,3,5,3,1,NA,NA,NA,NA,1,2,NA,0,0
26,1,4,1,1,24,20,16,NA,NA,NA,United States of America,NA,NA,2,3,5,6,2,2,NA,NA,2,1,2,NA,0,0
27,1,3,3,2,20,17,16,NA,NA,NA,Italy,NA,NA,2,3,2,6,3,1,3,2,1,1,3,NA,0,0
28,1,2,3,5,7,6,3,NA,NA,NA,Ukraine,NA,NA,5,3,3,5,3,5,5,1,2,1,3,NA,0,0
29,1,2,3,6,18,12,16,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,5,3,1,6,2,2,NA,NA,2,1,2,NA,0,0
30,1,2,3,2,9,6,16,NA,NA,NA,Philippines,NA,NA,5,1,NA,6,3,5,3,2,2,1,2,NA,0,0
31,1,7,NA,8,3,2,12,NA,NA,NA,Australia,NA,NA,NA,3,2,5,3,2,4,3,2,1,3,NA,0,0
32,1,2,1,2,10,7,26,NA,NA,NA,United States of America,NA,NA,5,1,NA,6,2,2,NA,NA,2,1,2,NA,0,0
33,1,2,2,1,12,7,12,NA,NA,NA,Brazil,NA,NA,5,3,5,6,3,2,4,3,2,1,1,NA,0,0
34,1,3,1,2,18,16,12,NA,NA,NA,Japan,NA,NA,3,3,2,6,2,2,NA,NA,2,1,3,NA,0,0
35,4,8,NA,6,5,NA,33,NA,NA,NA,United States of America,NA,NA,2,3,1,5,3,1,4,1,2,3,2,NA,0,0
36,1,2,3,7,10,6,16,NA,NA,NA,United States of America,NA,NA,5,3,5,5,1,NA,NA,NA,NA,1,2,NA,0,0
37,1,1,3,6,9,8,33,NA,NA,NA,Austria,NA,NA,5,3,6,5,1,NA,NA,NA,NA,1,2,NA,0,0
38,1,2,3,5,10,6,6,NA,NA,NA,"Iran, Islamic Republic of...",NA,NA,3,3,4,5,3,1,5,1,2,1,2,NA,0,0
39,1,3,3,5,8,7,16,NA,NA,NA,France,NA,NA,2,3,5,6,1,NA,NA,NA,NA,1,3,NA,0,0
40,1,8,NA,6,1,0,16,NA,NA,NA,Saudi Arabia,NA,NA,5,3,5,3,3,2,3,2,2,1,2,NA,0,0
41,1,2,3,2,9,7,16,NA,NA,NA,Brazil,NA,NA,3,3,2,1,3,5,5,4,2,1,2,NA,0,0
42,1,3,3,3,15,12,29,NA,NA,NA,Italy,NA,NA,3,3,5,6,3,5,5,3,2,1,2,NA,0,0
43,1,3,3,2,22,15,16,NA,NA,NA,Ireland,NA,NA,1,3,4,6,3,2,3,3,2,2,3,NA,0,0
44,1,3,2,3,22,14,1,NA,NA,NA,Austria,NA,NA,5,3,6,5,1,NA,NA,NA,NA,1,2,NA,0,0
45,1,2,1,3,10,7,16,NA,NA,NA,Romania,NA,NA,2,3,1,6,3,2,3,1,1,1,3,NA,0,0
46,1,2,3,2,6,4,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,2,3,1,5,3,1,5,2,3,1,2,NA,0,0
47,1,3,1,3,20,15,14,NA,NA,NA,United States of America,NA,NA,5,3,6,6,3,6,1,4,2,1,3,NA,0,0
48,1,4,1,5,25,15,34,NA,NA,NA,United States of America,NA,NA,5,3,6,6,1,NA,NA,NA,NA,1,2,NA,1,1
49,1,6,3,7,51,45,13,NA,NA,NA,Germany,NA,NA,5,3,2,5,1,NA,NA,NA,NA,1,3,NA,0,0
50,1,2,3,7,11,4,12,NA,NA,NA,Germany,NA,NA,2,2,NA,3,3,5,5,3,2,1,2,NA,0,0
51,3,1,NA,7,6,0,33,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,2,3,5,6,3,1,5,2,2,1,2,NA,0,0
52,1,1,1,6,8,3,16,NA,NA,NA,United States of America,NA,NA,1,3,5,1,3,1,4,4,2,1,2,NA,0,0
53,1,1,1,6,7,1,16,NA,NA,NA,Germany,NA,NA,5,3,2,3,3,1,4,2,3,1,2,NA,0,0
54,1,2,2,3,8,6,16,NA,NA,NA,Bulgaria,NA,NA,3,3,5,6,1,NA,NA,NA,NA,1,2,NA,0,0
55,1,2,1,7,18,8,12,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,2,3,2,1,1,NA,NA,NA,NA,2,2,NA,0,0
56,3,5,2,5,29,24,26,NA,NA,NA,Germany,NA,NA,2,3,5,5,1,NA,NA,NA,NA,1,2,NA,0,0
57,4,8,NA,6,4,NA,16,NA,NA,NA,Italy,NA,NA,5,3,5,6,1,NA,NA,NA,NA,1,2,NA,0,0
58,1,2,3,7,6,2,12,NA,NA,NA,Turkey,NA,NA,5,3,3,5,2,6,NA,NA,2,1,2,NA,0,0
59,3,1,NA,7,4,NA,33,NA,NA,NA,India,NA,NA,2,3,5,1,3,1,5,3,2,1,2,NA,0,0
60,1,2,NA,3,11,6,12,NA,NA,NA,Ireland,NA,NA,2,1,NA,2,2,1,NA,NA,1,1,3,NA,0,0
61,4,1,1,6,5,NA,26,NA,NA,NA,Nepal,NA,NA,3,3,1,1,3,1,4,4,2,2,3,NA,0,0
62,1,5,1,3,40,29,12,NA,NA,NA,Switzerland,NA,NA,5,3,6,5,2,2,NA,NA,2,1,3,NA,0,0
63,2,1,NA,6,5,NA,33,NA,NA,NA,Algeria,NA,NA,2,3,4,1,3,4,3,1,2,1,2,NA,0,0
64,3,2,1,2,5,5,20,NA,NA,NA,Bulgaria,NA,NA,2,1,NA,1,1,NA,NA,NA,NA,1,2,NA,0,0
65,5,4,1,2,39,NA,23,NA,NA,NA,Sweden,NA,NA,5,3,2,6,2,2,NA,NA,2,1,2,NA,0,0
66,1,1,NA,2,6,1,33,NA,NA,NA,"Iran, Islamic Republic of...",NA,NA,1,3,5,6,1,NA,NA,NA,NA,1,2,NA,0,0
67,1,1,NA,3,6,0,33,NA,NA,NA,Switzerland,NA,NA,3,1,NA,1,3,1,4,2,1,1,3,NA,0,0
68,1,3,1,3,NA,NA,16,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,2,3,1,5,3,1,4,3,3,NA,NA,NA,0,0
69,1,3,NA,3,15,15,16,NA,NA,NA,Netherlands,NA,NA,1,3,5,5,3,5,1,5,2,1,3,NA,0,0
70,1,2,3,3,15,8,16,NA,NA,NA,Croatia,NA,NA,3,3,1,6,3,1,4,3,2,1,2,NA,0,0
71,5,3,NA,7,2,NA,NA,NA,NA,NA,Australia,NA,NA,4,3,5,6,1,NA,NA,NA,NA,1,2,NA,NA,NA
72,3,4,1,2,30,30,16,NA,NA,NA,Sweden,NA,NA,2,3,5,1,2,1,NA,NA,2,2,2,NA,0,0
73,1,1,1,6,3,1,6,4,3,1,Pakistan,PKR	Pakistani rupee,2040000,2,3,5,6,3,5,5,2,2,2,2,7322,1,0
74,1,3,2,5,24,10,13,NA,NA,NA,Czech Republic,NA,NA,5,3,3,6,1,NA,NA,NA,NA,1,3,NA,1,0
75,1,5,1,3,40,30,16,NA,NA,NA,Switzerland,NA,NA,3,3,5,3,1,NA,NA,NA,NA,1,2,NA,1,1
76,2,2,NA,7,4,NA,8,NA,NA,NA,India,NA,NA,3,3,2,1,2,1,NA,NA,2,1,2,NA,0,0
77,1,4,3,3,31,25,7,NA,NA,NA,United States of America,NA,NA,5,3,6,5,1,NA,NA,NA,NA,1,2,NA,0,0
78,1,1,1,7,10,5,16,NA,NA,NA,Republic of North Macedonia,NA,NA,2,3,1,5,3,2,5,1,2,2,2,NA,0,0
79,1,4,3,2,30,24,16,NA,NA,NA,United States of America,NA,NA,5,3,6,5,2,6,NA,NA,1,1,2,NA,0,0
