name,address,town_city,county_area,state_region,country,lat,long,type,status,year_completed,approaches,driveways,lane_type,functional_class,control_type,other_control_type,previous_control_type
Arapahoe Ave. / 4th St.,"Boulder, Boulder Co., CO (United States)",Boulder, Boulder Co., CO,United States,-105.2916,40.01294,Traffic Calming Circle,Existing,0,3,0,Single-Lane,Other (At-Grade),One-Way/Two-Way Stop,None,Unknown
Arapahoe Ave. / 5th St.,"Boulder, Boulder Co., CO (United States)",Boulder, Boulder Co., CO,United States,-105.2892,40.01295,Traffic Calming Circle,Existing,0,3,0,Single-Lane,Other (At-Grade),One-Way/Two-Way Stop,None,Unknown
10th Ave. / B St.,"Belmar, Monmouth Co., NJ (United States)",Belmar, Monmouth Co., NJ,United States,-74.01782,40.17772,Traffic Calming Circle,Existing,0,4,0,Single-Lane,Other (At-Grade),Unknown,Unknown,Unknown
10th Ave. / D St.,"Belmar, Monmouth Co., NJ (United States)",Belmar, Monmouth Co., NJ,United States,-74.02169,40.17855,Traffic Calming Circle,Existing,0,4,0,Single-Lane,Other (At-Grade),Unknown,Unknown,Unknown
Bagley Ave. N / N 42nd St.,"Seattle, King Co., WA (United States)",Seattle, King Co., WA,United States,-122.3326,47.65796,Traffic Calming Circle,Existing,0,0,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
8th Ave. NE / NE 115th St.,"Seattle, King Co., WA (United States)",Seattle, King Co., WA,United States,-122.3206,47.71221,Traffic Calming Circle,Existing,0,0,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
8th Ave. NE / NE 117th St.,"Seattle, King Co., WA (United States)",Seattle, King Co., WA,United States,-122.3207,47.71402,Traffic Calming Circle,Existing,0,0,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
8th Ave. NE / NE 120th St.,"Seattle, King Co., WA (United States)",Seattle, King Co., WA,United States,-122.3207,47.71584,Traffic Calming Circle,Existing,0,0,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
Kendall Ave. / Grand Ave.,"Madison, Dane Co., WI (United States)",Madison, Dane Co., WI,United States,-89.43156,43.07145,Traffic Calming Circle,Existing,1997,4,0,Single-Lane,Other (At-Grade),Unknown,Unknown,Unknown
Bagley Ave. N / N 43rd St.,"Seattle, King Co., WA (United States)",Seattle, King Co., WA,United States,-122.3326,47.65912,Traffic Calming Circle,Existing,0,0,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
Meridian Ave. N / N 43rd St.,"Seattle, King Co., WA (United States)",Seattle, King Co., WA,United States,-122.3338,47.65914,Traffic Calming Circle,Existing,0,0,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
Burke Ave. N / N 43rd St.,"Seattle, King Co., WA (United States)",Seattle, King Co., WA,United States,-122.335,47.65915,Traffic Calming Circle,Existing,0,0,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
Corliss Ave. N / N 43rd St.,"Seattle, King Co., WA (United States)",Seattle, King Co., WA,United States,-122.3314,47.65912,Traffic Calming Circle,Existing,0,0,0,Unknown,Other (At-Grade),Unknown,Unknown,Unknown
Capitol Ave. / 12th St.,"Springfield, Sangamon Co., IL (United States)",Springfield, Sangamon Co., IL,United States,-89.63947,39.79816,Roundabout,Existing,2012,4,0,Single-Lane,Other (At-Grade),All-Way Yield,None,All-Way Stop
