22,"t","Honey Bee Colonies: Released August 3, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
22,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2020 and April-June 2020"
22,"h","","","","","","","",""
22,"h","","","April-June","April-June","April-June","April-June","April-June","April-June"
22,"h","State","April 1","","","","","",""
22,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
22,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
22,"h","","","","","","","",""
22,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
22,"d","Alabama",8500,8500,4100,48,4700,2620,31
22,"d","Arizona",26000,26000,1300,5,14000,4700,18
22,"d","Arkansas",17000,17000,1900,11,5000,800,5
22,"d","California",1200000,1200000,74000,6,184000,240000,20
22,"d","Colorado",16500,27000,2100,8,6000,2800,10
22,"d","Connecticut",3900,4300,30,1,1200,480,11
22,"d","Florida",325000,325000,39000,12,36000,23000,7
22,"d","Georgia",141000,143000,10000,7,19500,19000,13
22,"d","Hawaii",15500,15500,40,"(Z)",240,2300,15
22,"d","Idaho",48000,81000,14500,18,32000,29000,36
22,"d","",,,,,,,
22,"d","Illinois",12000,12000,1500,13,4200,1700,14
22,"d","Indiana",11000,12000,920,8,4300,3200,27
22,"d","Iowa",21000,29000,3600,12,14500,4700,16
22,"d","Kansas",7500,8000,440,6,1800,1800,23
22,"d","Kentucky",11000,11000,1200,11,4200,3500,32
22,"d","Louisiana",53000,53000,1800,3,2200,4700,9
22,"d","Maine",1600,22000,1300,6,520,110,1
22,"d","Maryland",7000,8000,680,9,4500,1700,21
22,"d","Massachusetts",4300,13500,740,5,980,590,4
22,"d","Michigan",64000,79000,2600,3,9500,10000,13
22,"d","",,,,,,,
22,"d","Minnesota",59000,126000,6500,5,20000,2600,2
22,"d","Mississippi",34000,37000,3000,8,3700,570,2
22,"d","Missouri",6500,6500,390,6,2900,1200,18
22,"d","Montana",48000,120000,3800,3,14000,16500,14
22,"d","Nebraska",16500,39000,1800,5,7000,1100,3
22,"d","New Jersey",7000,20000,760,4,1600,720,4
22,"d","New Mexico",3100,6000,50,1,250,60,1
22,"d","New York",33000,56000,4900,9,6500,3300,6
22,"d","North Carolina",24000,25000,1600,6,6000,1300,5
22,"d","North Dakota",67000,395000,17500,4,29000,37000,9
22,"d","",,,,,,,
22,"d","Ohio",15500,16500,1700,10,9500,3700,22
22,"d","Oklahoma",16000,16000,1500,9,6000,3100,19
22,"d","Oregon",89000,95000,2500,3,10500,19000,20
22,"d","Pennsylvania",24000,27000,1000,4,6000,1700,6
22,"d","South Carolina",19500,20000,1700,9,2700,2500,13
22,"d","South Dakota",9500,205000,4600,2,8500,14500,7
22,"d","Tennessee",13500,13500,1200,9,4200,3200,24
22,"d","Texas",360000,385000,25000,6,75000,136000,35
22,"d","Utah",21000,31000,2700,9,7000,13500,44
22,"d","Vermont",7000,7000,260,4,700,130,2
22,"d","",,,,,,,
22,"d","Virginia",7500,8000,1200,15,4800,1300,16
22,"d","Washington",50000,114000,3100,3,5000,3300,3
22,"d","West Virginia",7500,7500,570,8,1600,1500,20
22,"d","Wisconsin",27000,53000,1700,3,11500,4600,9
22,"d","Wyoming",17500,24000,1600,7,2300,2100,9
22,"d","",,,,,,,
22,"d","Other States 5/",6500,7440,250,3,1270,1500,20
22,"d","",,,,,,,
22,"d","United States",2982900,"(X)",252630,8,596860,632680,21
22,"c",""
22,"f","(X)  Not applicable."
22,"f","(Z)  Less than half of the unit shown."
22,"f","1/ April 1 number of colonies plus all colonies moved into that state during the quarter."
22,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 number of colonies."
22,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
22,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 number of colonies."
22,"f","5/ Includes data for States not published in this table."
