1,"t","Honey Bee Colonies: Released August 3, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2019 and April-June 2019 6/"
1,"h","","","","","","","",""
1,"h","","","April-June","April-June","April-June","April-June","April-June","April-June"
1,"h","State","April 1","","","","","",""
1,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
1,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
1,"h","","","","","","","",""
1,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
1,"d","Alabama","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Arizona","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Arkansas","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","California","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Colorado","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Connecticut","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Florida","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Georgia","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Hawaii","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Idaho","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","",,,,,,,
1,"d","Illinois","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Indiana","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Iowa","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Kansas","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Kentucky","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Louisiana","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Maine","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Maryland","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Massachusetts","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Michigan","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","",,,,,,,
1,"d","Minnesota","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Mississippi","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Missouri","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Montana","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Nebraska","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","New Jersey","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","New Mexico","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","New York","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","North Carolina","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","North Dakota","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","",,,,,,,
1,"d","Ohio","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Oklahoma","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Oregon","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Pennsylvania","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","South Carolina","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","South Dakota","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Tennessee","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Texas","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Utah","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Vermont","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","",,,,,,,
1,"d","Virginia","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Washington","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","West Virginia","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Wisconsin","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","Wyoming","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","",,,,,,,
1,"d","Other States 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"d","",,,,,,,
1,"d","United States","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
1,"c",""
1,"f","(NA)  Not available."
1,"f","1/ April 1 colonies plus all colonies moved into that state during the quarter."
1,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 colonies."
1,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
1,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 colonies."
1,"f","5/ Includes data for States not published in this table."
1,"f","6/ Data collection for July 2019 quarterly honey bee colonies was suspended."
