7,"t","Honey Bee Colonies: Released August 3, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
7,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: July 1, 2019 and July-September 2019"
7,"h","","","","","","","",""
7,"h","","","July-September","July-September","July-September","July-September","July-September","July-September"
7,"h","State","July 1","","","","","",""
7,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
7,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","Renovated 4/"
7,"h","","","","","","","",""
7,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
7,"d","Alabama",7000,7000,990,14,160,330,5
7,"d","Arizona",26000,30000,2000,7,5500,3800,13
7,"d","Arkansas",20000,21000,2100,10,170,680,3
7,"d","California",650000,700000,93000,13,87000,108000,15
7,"d","Colorado",33000,36000,9500,26,2200,3400,9
7,"d","Connecticut",4400,4400,200,5,70,470,11
7,"d","Florida",210000,240000,20000,8,46000,33000,14
7,"d","Georgia",116000,118000,13000,11,12000,36000,31
7,"d","Hawaii",17000,17000,200,1,200,6000,35
7,"d","Idaho",95000,111000,10500,9,8500,12500,11
7,"d","",,,,,,,
7,"d","Illinois",13500,13500,940,7,460,1300,10
7,"d","Indiana",14000,16000,1000,6,2200,1500,9
7,"d","Iowa",30000,33000,3400,10,2000,4800,15
7,"d","Kansas",7500,7500,1900,25,190,400,5
7,"d","Kentucky",8000,8500,850,10,700,430,5
7,"d","Louisiana",42000,44000,4100,9,4400,13000,30
7,"d","Maine",11500,12000,1100,9,460,3500,29
7,"d","Maryland",7500,7500,790,11,720,1200,16
7,"d","Massachusetts",13500,13500,1100,8,800,560,4
7,"d","Michigan",94000,99000,11000,11,3000,3300,3
7,"d","",,,,,,,
7,"d","Minnesota",126000,129000,21000,16,5000,2100,2
7,"d","Mississippi",23000,23000,2900,13,550,850,4
7,"d","Missouri",10500,10500,500,5,260,350,3
7,"d","Montana",147000,154000,18500,12,3600,12500,8
7,"d","Nebraska",40000,41000,3700,9,680,1400,3
7,"d","New Jersey",16000,16000,680,4,650,3100,19
7,"d","New Mexico",2400,5500,170,3,1000,550,10
7,"d","New York",65000,69000,8500,12,3200,3700,5
7,"d","North Carolina",22000,22000,2700,12,1800,5000,23
7,"d","North Dakota",530000,530000,81000,15,15000,17500,3
7,"d","",,,,,,,
7,"d","Ohio",19500,19500,1600,8,2800,3000,15
7,"d","Oklahoma",7500,7500,930,12,130,1100,15
7,"d","Oregon",83000,118000,8000,7,6000,21000,18
7,"d","Pennsylvania",19000,20000,980,5,1800,1900,10
7,"d","South Carolina",14500,14500,2200,15,2000,1400,10
7,"d","South Dakota",255000,255000,51000,20,1300,8000,3
7,"d","Tennessee",14000,14000,4500,32,2200,2200,16
7,"d","Texas",126000,133000,11000,8,6500,7000,5
7,"d","Utah",24000,29000,2800,10,3500,1700,6
7,"d","Vermont",7000,7000,120,2,80,490,7
7,"d","",,,,,,,
7,"d","Virginia",9000,9000,570,6,350,820,9
7,"d","Washington",85000,97000,21000,22,12000,10000,10
7,"d","West Virginia",10000,10000,1100,11,200,1100,11
7,"d","Wisconsin",63000,63000,6500,10,2400,10000,16
7,"d","Wyoming",24000,27000,3000,11,2500,3500,13
7,"d","",,,,,,,
7,"d","Other States 5/",13660,13900,2080,15,320,900,6
7,"d","",,,,,,,
7,"d","United States",3175960,"(X)",434700,14,252550,355330,11
7,"c",""
7,"f","(X)  Not applicable."
7,"f","1/ July 1 colonies plus all colonies moved into that state during the quarter."
7,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the July 1 colonies."
7,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
7,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the July 1 colonies."
7,"f","5/ Includes data for States not published in this table."
