...1,Date,Team 1,Score 1,Score 2,Team 2,Venue,Tournament,Stage,T1 game no,T2 game no,Series,Margin,Winner,Loser,Notes
NA,1997-03-15,New Zealand Wild Ducks,54,0,Japan,Hong Kong,Hong Kong Sevens,Pool A,1,1,1,54,New Zealand Wild Ducks,Japan,NA
2,1997-03-15,England,10,7,Australia,Hong Kong,Hong Kong Sevens,Pool A,1,1,1,3,England,Australia,NA
3,1997-03-15,Canada,31,0,Netherlands,Hong Kong,Hong Kong Sevens,Pool A,1,1,1,31,Canada,Netherlands,NA
4,1997-03-15,Hong Kong,12,5,Fiji,Hong Kong,Hong Kong Sevens,Pool B,1,1,1,7,Hong Kong,Fiji,NA
5,1997-03-15,United States,26,5,Scotland,Hong Kong,Hong Kong Sevens,Pool B,1,1,1,21,United States,Scotland,NA
6,1997-03-15,Arabian Gulf,42,0,Singapore,Hong Kong,Hong Kong Sevens,Pool B,1,1,1,42,Arabian Gulf,Singapore,NA
7,1997-03-15,New Zealand Wild Ducks,29,0,Australia,Hong Kong,Hong Kong Sevens,Pool A,2,2,1,29,New Zealand Wild Ducks,Australia,NA
8,1997-03-15,England,29,0,Netherlands,Hong Kong,Hong Kong Sevens,Pool A,2,2,1,29,England,Netherlands,NA
9,1997-03-15,Canada,36,5,Japan,Hong Kong,Hong Kong Sevens,Pool A,2,2,1,31,Canada,Japan,NA
10,1997-03-15,United States,10,7,Hong Kong,Hong Kong,Hong Kong Sevens,Pool B,2,2,1,3,United States,Hong Kong,NA
11,1997-03-15,Scotland,44,0,Singapore,Hong Kong,Hong Kong Sevens,Pool B,2,2,1,44,Scotland,Singapore,NA
12,1997-03-15,Arabian Gulf,17,15,Fiji,Hong Kong,Hong Kong Sevens,Pool B,2,2,1,2,Arabian Gulf,Fiji,NA
13,1997-03-15,New Zealand Wild Ducks,26,0,England,Hong Kong,Hong Kong Sevens,Pool A,3,3,1,26,New Zealand Wild Ducks,England,NA
14,1997-03-15,Netherlands,41,0,Japan,Hong Kong,Hong Kong Sevens,Pool A,3,3,1,41,Netherlands,Japan,NA
15,1997-03-15,Australia,24,5,Canada,Hong Kong,Hong Kong Sevens,Pool A,3,3,1,19,Australia,Canada,NA
16,1997-03-15,Hong Kong,26,5,Scotland,Hong Kong,Hong Kong Sevens,Pool B,3,3,1,21,Hong Kong,Scotland,NA
17,1997-03-15,Fiji,53,0,Singapore,Hong Kong,Hong Kong Sevens,Pool B,3,3,1,53,Fiji,Singapore,NA
18,1997-03-15,United States,43,0,Arabian Gulf,Hong Kong,Hong Kong Sevens,Pool B,3,3,1,43,United States,Arabian Gulf,NA
19,1997-03-15,England,41,12,Japan,Hong Kong,Hong Kong Sevens,Pool A,4,4,1,29,England,Japan,NA
20,1997-03-15,New Zealand Wild Ducks,41,0,Canada,Hong Kong,Hong Kong Sevens,Pool A,4,4,1,41,New Zealand Wild Ducks,Canada,NA
21,1997-03-15,Australia,43,0,Netherlands,Hong Kong,Hong Kong Sevens,Pool A,4,4,1,43,Australia,Netherlands,NA
22,1997-03-15,Fiji,12,12,Scotland,Hong Kong,Hong Kong Sevens,Pool B,4,4,1,0,Draw,Draw,NA
23,1997-03-15,Hong Kong,21,5,Arabian Gulf,Hong Kong,Hong Kong Sevens,Pool B,4,4,1,16,Hong Kong,Arabian Gulf,NA
24,1997-03-15,United States,53,0,Singapore,Hong Kong,Hong Kong Sevens,Pool B,4,4,1,53,United States,Singapore,NA
25,1997-03-15,England,10,5,Canada,Hong Kong,Hong Kong Sevens,Pool A,5,5,1,5,England,Canada,NA
26,1997-03-15,Australia,46,7,Japan,Hong Kong,Hong Kong Sevens,Pool A,5,5,1,39,Australia,Japan,NA
27,1997-03-15,New Zealand Wild Ducks,38,0,Netherlands,Hong Kong,Hong Kong Sevens,Pool A,5,5,1,38,New Zealand Wild Ducks,Netherlands,NA
28,1997-03-15,Scotland,43,0,Arabian Gulf,Hong Kong,Hong Kong Sevens,Pool B,5,5,1,43,Scotland,Arabian Gulf,NA
29,1997-03-15,United States,29,0,Singapore,Hong Kong,Hong Kong Sevens,Pool B,5,5,2,29,United States,Singapore,NA
30,1997-03-15,Hong Kong,41,0,Scotland,Hong Kong,Hong Kong Sevens,Pool B,5,6,2,41,Hong Kong,Scotland,NA
31,1997-03-16,Netherlands,51,5,Singapore,Hong Kong,Hong Kong Sevens,Bowl Semi-Final,6,6,1,46,Netherlands,Singapore,NA
32,1997-03-16,Fiji,25,5,Japan,Hong Kong,Hong Kong Sevens,Bowl Semi-Final,5,6,1,20,Fiji,Japan,NA
33,1997-03-16,Australia,41,0,Arabian Gulf,Hong Kong,Hong Kong Sevens,Plate Semi-Final,6,6,1,41,Australia,Arabian Gulf,NA
34,1997-03-16,Canada,17,12,Scotland,Hong Kong,Hong Kong Sevens,Plate Semi-Final,6,7,1,5,Canada,Scotland,After extra time
35,1997-03-16,New Zealand Wild Ducks,39,7,Hong Kong,Hong Kong,Hong Kong Sevens,Semi-Final,6,6,1,32,New Zealand Wild Ducks,Hong Kong,NA
36,1997-03-16,United States,17,5,England,Hong Kong,Hong Kong Sevens,Semi-Final,6,6,1,12,United States,England,NA
37,1997-03-16,Netherlands,29,17,Fiji,Hong Kong,Hong Kong Sevens,Bowl final,7,6,1,12,Netherlands,Fiji,NA
38,1997-03-16,Australia,17,7,Canada,Hong Kong,Hong Kong Sevens,Plate final,7,7,2,10,Australia,Canada,NA
39,1997-03-16,New Zealand Wild Ducks,43,0,United States,Hong Kong,Hong Kong Sevens,Final,7,7,1,43,New Zealand Wild Ducks,United States,NA
40,1998-12-01,Trinidad & Tobago,12,29,Saint Vincent & the Grenadines,Port of Spain,Carib International,Exhibition,1,1,1,17,Saint Vincent & the Grenadines,Trinidad & Tobago,Exact date unknown
41,1999-03-22,Japan,15,5,Russia,Hong Kong,Hong Kong Sevens,Pool A,7,1,1,10,Japan,Russia,NA
42,1999-03-22,Samoa,34,0,Hong Kong,Hong Kong,Hong Kong Sevens,Pool B,1,7,1,34,Samoa,Hong Kong,NA
