test_no,date,team_1,score_1,score_2,team_2,venue,home_test_no,away_test_no,series_no,tournament,margin_of_victory,home_away_win,winner,loser
1,1982-06-13,Netherlands,0,4,France,Utrecht,1,1,1,Friendly,4,A,France,Netherlands
2,1983-06-05,France,10,0,Netherlands,La Teste,2,2,2,Friendly,10,H,France,Netherlands
3,1984-05-27,Netherlands,0,3,France,Hilversum,3,3,3,Friendly,3,A,France,Netherlands
4,1984-12-31,Sweden,0,34,Netherlands,Malmö,1,4,1,Friendly,34,A,Netherlands,Sweden
5,1985-06-02,France,20,0,Netherlands,Bourg en Bresse,4,5,4,Friendly,20,H,France,Netherlands
6,1985-06-22,Italy,0,0,France,Riccione,1,5,1,Friendly,0,D,Draw,Draw
7,1985-12-31,Netherlands,19,0,Sweden,Nijmegen,6,2,2,Friendly,19,H,Netherlands,Sweden
8,1986-04-19,Great Britain,8,14,France,Richmond,1,6,1,Friendly,6,A,France,Great Britain
9,1986-05-01,Netherlands,10,0,France,Enschede,7,7,5,Friendly,10,H,Netherlands,France
10,1986-05-18,France,12,0,Italy,Bardos,8,2,2,Friendly,12,H,France,Italy
11,1986-12-31,Belgium,0,32,Sweden,Brussels,1,3,1,Friendly,32,A,Sweden,Belgium
12,1986-12-31,Netherlands,11,6,Sweden,Akersloot,8,4,3,Friendly,5,H,Netherlands,Sweden
13,1987-04-05,Wales,4,22,England,Pontypool Park,1,1,1,Friendly,18,A,England,Wales
14,1987-05-02,France,28,6,Great Britain,Chalon-sur-Saône,9,2,2,Friendly,22,H,France,Great Britain
15,1987-05-17,Italy,4,16,France,Rome,3,10,3,Friendly,12,A,France,Italy
16,1987-05-31,France,22,3,Netherlands,Chalon-sur-Saône,11,9,6,Friendly,19,H,France,Netherlands
17,1987-11-14,Canada,3,22,United States,"Victoria, British Columbia",1,1,1,Friendly,19,A,United States,Canada
18,1987-11-22,Great Britain,16,0,Netherlands,Richmond,3,10,1,Friendly,16,H,Great Britain,Netherlands
19,1988-04-24,Wales,6,36,England,Newport RFC,2,2,2,Friendly,30,A,England,Wales
20,1988-05-21,France,13,3,Netherlands,Bourg en Bresse,12,11,7,European Championship,10,H,France,Netherlands
21,1988-05-21,Great Britain,32,9,Italy,Bourg en Bresse,4,4,1,European Championship,23,N,Great Britain,Italy
22,1988-05-22,France,16,3,Italy,Bourg en Bresse,13,5,4,European Championship,13,H,France,Italy
23,1988-05-22,Great Britain,26,0,Netherlands,Bourg en Bresse,5,12,2,European Championship,26,N,Great Britain,Netherlands
24,1988-05-23,France,8,6,Great Britain,Bourg en Bresse,14,6,3,European Championship,2,H,France,Great Britain
25,1988-05-23,Italy,6,10,Netherlands,Bourg en Bresse,6,13,1,European Championship,4,N,Netherlands,Italy
26,1988-08-08,United States,26,10,Canada,"Saranac Lake, NY",2,2,2,Friendly,16,H,United States,Canada
27,1988-10-15,England,40,0,Sweden,Waterloo,3,5,1,Friendly,40,H,England,Sweden
28,1988-11-27,Belgium,0,66,France,Brussels,2,15,1,Friendly,66,A,France,Belgium
29,1988-11-27,Netherlands,3,0,Wales,Utrecht,14,3,1,Friendly,3,H,Netherlands,Wales
30,1989-02-12,England,38,4,Wales,Moseley RFC,4,4,3,Friendly,34,H,England,Wales
31,1989-03-04,Great Britain,13,0,France,Rosslyn Park,7,16,4,Friendly,13,H,Great Britain,France
32,1989-04-20,Italy,26,14,Netherlands,Rome,7,15,2,Friendly,13,H,Italy,Netherlands
33,1989-05-02,Spain,0,28,France,Boe,1,17,1,Friendly,28,A,France,Spain
34,1989-09-03,Canada,3,28,United States,Edmonton,3,3,3,Friendly,25,A,United States,Canada
35,1989-10-14,Germany,0,8,Sweden,Berlin,1,6,1,Friendly,8,A,Sweden,Germany
36,1990-02-11,Wales,12,18,England,Neath RFC,5,5,4,Friendly,6,A,England,Wales
37,1990-03-18,Great Britain,32,0,Italy,Moseley,8,8,2,Friendly,32,H,Great Britain,Italy
