repair_id,repair_date,repair_cafe_number,repair_cafe_name,country,kind_of_product,category,brand,estimated_year_of_production,repaired,repairability
0550_2026_0214_006,2026-02-14,550,Louth,GB,Vacuum cleaner,Household appliances electric,Henry,2005,no,3
0550_2026_0214_005,2026-02-14,550,Louth,GB,Accordion,Display and sound equipment,Microvox,1999,no,6
0250_2026_0307_018,2026-03-07,250,Madrid Medialab Matadero,ES,Television,Display and sound equipment,LG,2017,no,7
0882_2025_1122_018,2025-11-22,882,Berden,GB,Vacuum cleaner,Household appliances electric,Miele,2007,half,NA
0250_2026_0307_017,2026-03-07,250,Madrid Medialab Matadero,ES,Table clock,Clocks / alarm clocks,Unknown/n.a.,NA,yes,7
0882_2025_1122_017,2025-11-22,882,Berden,GB,Smartphone,Computer equipment / phones,Samsung,NA,half,NA
0250_2026_0307_016,2026-03-07,250,Madrid Medialab Matadero,ES,Vacuum cleaner,Household appliances electric,Rowenta,NA,no,NA
0250_2026_0307_015,2026-03-07,250,Madrid Medialab Matadero,ES,Television,Display and sound equipment,Engel,2010,no,7
0250_2026_0307_014,2026-03-07,250,Madrid Medialab Matadero,ES,Radio / tape recorder,Display and sound equipment,Sanyo,1980,half,NA
0250_2026_0307_013,2026-03-07,250,Madrid Medialab Matadero,ES,Toaster,Household appliances electric,Philips,NA,no,NA
0250_2026_0307_012,2026-03-07,250,Madrid Medialab Matadero,ES,Walkman,Display and sound equipment,Sanyo,NA,yes,9
0250_2026_0307_011,2026-03-07,250,Madrid Medialab Matadero,ES,Electric drill / Power drill,Tools electric,Bosch,1985,yes,7
0250_2026_0307_010,2026-03-07,250,Madrid Medialab Matadero,ES,Badge maker,Other,Unknown/n.a.,NA,half,8
0882_2025_1122_016,2025-11-22,882,Berden,GB,Trousers / pants,Textile,Unknown/n.a.,NA,yes,NA
0882_2025_1122_015,2025-11-22,882,Berden,GB,Ride on car,Toys electric,V-Tech,NA,yes,NA
0882_2025_1122_014,2025-11-22,882,Berden,GB,Pruning shears / Garden shears / Secateurs,Tools non-electric,Unknown/n.a.,NA,yes,NA
0882_2025_1122_013,2025-11-22,882,Berden,GB,Pruning shears / Garden shears / Secateurs,Tools non-electric,Unknown/n.a.,NA,yes,NA
0882_2025_1122_012,2025-11-22,882,Berden,GB,Loppers / Tree lopper,Tools non-electric,Unknown/n.a.,NA,yes,NA
0882_2025_1122_011,2025-11-22,882,Berden,GB,Pruning shears / Garden shears / Secateurs,Tools non-electric,Unknown/n.a.,NA,yes,NA
0882_2025_1122_010,2025-11-22,882,Berden,GB,Pruning shears / Garden shears / Secateurs,Tools non-electric,Unknown/n.a.,NA,yes,NA
0250_2026_0307_009,2026-03-07,250,Madrid Medialab Matadero,ES,Coffee maker,Household appliances electric,DeLonghi,2021,no,6
0882_2025_1122_009,2025-11-22,882,Berden,GB,Pruning shears / Garden shears / Secateurs,Tools non-electric,Unknown/n.a.,NA,yes,NA
0882_2025_1122_008,2025-11-22,882,Berden,GB,Pruning shears / Garden shears / Secateurs,Tools non-electric,Unknown/n.a.,NA,yes,NA
0882_2025_1122_007,2025-11-22,882,Berden,GB,Leaf blower,Tools electric,Stihl,2016,no,NA
0250_2026_0307_008,2026-03-07,250,Madrid Medialab Matadero,ES,Radiant heater,Household appliances electric,Orbegozo,2024,no,NA
0882_2025_1122_005,2025-11-22,882,Berden,GB,Wall lamp,Household appliances electric,Unknown/n.a.,NA,yes,NA
0882_2025_1122_004,2025-11-22,882,Berden,GB,Table lamp,Household appliances electric,Marks & Spencer,NA,yes,NA
0250_2026_0307_007,2026-03-07,250,Madrid Medialab Matadero,ES,Smartphone,Computer equipment / phones,Doogee,NA,no,NA
0250_2026_0307_006,2026-03-07,250,Madrid Medialab Matadero,ES,Television,Display and sound equipment,Blaupunkt,2000,half,NA
0882_2025_1122_002,2025-11-22,882,Berden,GB,Electric fan,Household appliances electric,Neostar Electronics,NA,yes,NA
0882_2025_1122_001,2025-11-22,882,Berden,GB,Steam mop,Household appliances electric,Vax,2010,yes,NA
0250_2026_0307_005,2026-03-07,250,Madrid Medialab Matadero,ES,Hair dryer,Household appliances electric,Parlux,NA,yes,1
0250_2026_0307_004,2026-03-07,250,Madrid Medialab Matadero,ES,Radio,Display and sound equipment,Sanyo,NA,no,NA
0882_2025_0607_021,2025-06-07,882,Berden,GB,Necklace / Chain,Jewelry,Unknown/n.a.,NA,yes,NA
0882_2025_0920_003,2025-09-20,882,Berden,GB,Lawn mower / lawn raker,Tools electric,Unknown/n.a.,NA,half,NA
0250_2026_0307_003,2026-03-07,250,Madrid Medialab Matadero,ES,Radio,Display and sound equipment,Pritech,NA,yes,10
0882_2025_0920_002,2025-09-20,882,Berden,GB,Coffee maker,Household appliances electric,Sage,NA,yes,NA
0882_2025_0920_012,2025-09-20,882,Berden,GB,Coffee maker,Household appliances electric,Krups Nespresso,2018,half,NA
0250_2026_0307_002,2026-03-07,250,Madrid Medialab Matadero,ES,Laptop,Computer equipment / phones,Packard Bell,1990,yes,5
0250_2026_0307_001,2026-03-07,250,Madrid Medialab Matadero,ES,Hair dryer,Household appliances electric,Russell Hobbs,NA,yes,2
0550_2025_1101_468,2025-11-01,550,Louth,GB,Hair dryer,Household appliances electric,Mark Hill,2010,yes,10
0550_2026_0214_003,2026-02-14,550,Louth,GB,Radio,Display and sound equipment,Daewoo,2010,no,2
0041_2026_0307_018,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Cardigan,Textile,Unknown/n.a.,2025,yes,5
0041_2026_0307_017,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Dress,Textile,Unknown/n.a.,2025,yes,4
0041_2026_0307_016,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Coat / Jacket,Textile,Unknown/n.a.,2024,yes,5
0621_2026_0204_006,2026-02-04,621,Gif-sur-Yvette,FR,Chair,Furniture,Unknown/n.a.,NA,yes,NA
0041_2026_0307_015,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Fitted sheet,Textile,Unknown/n.a.,2025,yes,4
0621_2026_0214_022,2026-02-14,621,Gif-sur-Yvette,FR,Thermal blanket / Heated blanket,Household appliances electric,SilverCrest,NA,no,NA
0621_2026_0304_008,2026-03-04,621,Gif-sur-Yvette,FR,Coffee maker,Household appliances electric,Krups Nespresso,NA,no,NA
0041_2026_0307_014,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Trousers / pants,Textile,Unknown/n.a.,2025,yes,4
0621_2026_0304_007,2026-03-04,621,Gif-sur-Yvette,FR,Coffee maker,Household appliances electric,Magimix,NA,yes,NA
0621_2026_0304_006,2026-03-04,621,Gif-sur-Yvette,FR,Coffee maker,Household appliances electric,Krups Nespresso,NA,yes,NA
0621_2026_0306_001,2026-03-06,621,Gif-sur-Yvette,FR,Printer,Computer equipment / phones,HP,NA,no,NA
0041_2026_0307_013,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Coffee maker,Household appliances electric,Philips,2025,yes,6
0621_2026_0307_002,2026-03-07,621,Gif-sur-Yvette,FR,Table tennis net,Textile,Unknown/n.a.,NA,yes,NA
0621_2026_0307_001,2026-03-07,621,Gif-sur-Yvette,FR,Laptop,Computer equipment / phones,HP,NA,yes,NA
0041_2026_0307_012,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Trousers / pants,Textile,Unknown/n.a.,2025,yes,4
0460_2026_0307_577,2026-03-07,460,Kirchzarten,DE,Radio / CD player,Display and sound equipment,Clatronic,2000,yes,6
0041_2026_0307_011,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Upright vacuum cleaner,Household appliances electric,AEG,2020,yes,3
0041_2026_0307_010,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Hammer drill,Tools electric,Parkside,2018,yes,4
0041_2026_0307_009,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Trousers / pants,Textile,Unknown/n.a.,2024,yes,3
0041_2026_0307_008,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Trousers / pants,Textile,Unknown/n.a.,2024,yes,3
0041_2026_0307_007,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Bicycle / Bike,Bicycles,Victoria,2020,yes,3
0041_2026_0307_006,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Floor lamp / Standard lamp,Household appliances electric,Unknown/n.a.,2010,yes,7
0460_2026_0307_576,2026-03-07,460,Kirchzarten,DE,Paper shredder,Tools electric,Leitz,2024,yes,6
0041_2026_0307_005,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Floor lamp / Standard lamp,Household appliances electric,Unknown/n.a.,NA,no,6
0041_2026_0307_004,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Oven,Household appliances electric,Bauknecht,2018,no,NA
0227_2026_0307_013,2026-03-07,227,Rugby,GB,Angle grinder / Disc cutter,Tools electric,Marksman power tools,NA,half,5
0227_2026_0307_016,2026-03-07,227,Rugby,GB,Bicycle / Bike,Bicycles,Cross,NA,yes,6
0907_2026_0307_021,2026-03-07,907,Bognor Regis,GB,Table lamp,Household appliances electric,Unknown/n.a.,NA,yes,NA
0227_2026_0307_012,2026-03-07,227,Rugby,GB,Lawn mower / lawn raker,Tools electric,Unknown/n.a.,NA,half,3
0041_2026_0307_003,2026-03-07,41,Utrecht-Leidsche Rijn,NL,Stove,Household appliances electric,Intertek,2025,yes,4
0460_2026_0307_570,2026-03-07,460,Kirchzarten,DE,Power bank,Household appliances electric,Neue Marke hinzufügen,NA,yes,8
0907_2026_0307_020,2026-03-07,907,Bognor Regis,GB,Shoulder bag,Textile,Unknown/n.a.,NA,yes,9
