year,month,state,price_index,us_avg
1975,1,AK,34.631201972,23.461492062
1975,2,AK,35.103874851,23.610787997
1975,3,AK,35.491460392,23.824585401
1975,4,AK,35.872228811,24.089202907
1975,5,AK,36.283563411,24.234247665
1975,6,AK,36.701889483,24.217180949
1975,7,AK,37.169827579,24.252426446
1975,8,AK,37.737277877,24.363000315
1975,9,AK,38.387524772,24.469021911
1975,10,AK,39.097697373,24.591065046
1975,11,AK,39.778133334,24.765052206
1975,12,AK,40.291933759,24.96965562
1976,1,AK,40.626424492,25.153328174
1976,2,AK,40.796120174,25.311604877
1976,3,AK,40.829648588,25.497601189
1976,4,AK,40.824078986,25.722246396
1976,5,AK,40.798623603,25.875089276
1976,6,AK,40.746615701,25.952305832
1976,7,AK,40.750302663,26.101005457
1976,8,AK,40.902457031,26.283725002
1976,9,AK,41.256914165,26.439316683
1976,10,AK,41.819889353,26.620073754
1976,11,AK,42.491665491,26.882084517
1976,12,AK,43.120264935,27.160694662
1977,1,AK,43.648795498,27.401109749
1977,2,AK,44.018852396,27.648642444
1977,3,AK,44.190745557,27.983465877
1977,4,AK,44.26132771,28.435965301
1977,5,AK,44.288509572,28.824296297
1977,6,AK,44.272268301,29.068080724
1977,7,AK,44.319440002,29.37479701
1977,8,AK,44.532459185,29.755479477
1977,9,AK,44.89457332,30.093641881
1977,10,AK,45.378919986,30.43573616
1977,11,AK,45.930597662,30.832990014
1977,12,AK,46.437405907,31.203589722
1978,1,AK,46.877325856,31.515508388
1978,2,AK,47.265217834,31.789925959
1978,3,AK,47.637668407,32.074914218
1978,4,AK,48.053864705,32.446144405
1978,5,AK,48.45978888,32.838298302
1978,6,AK,48.746276537,33.15920748
1978,7,AK,48.93021823,33.530404004
1978,8,AK,49.135884163,33.935325797
1978,9,AK,49.469987543,34.302011247
1978,10,AK,50.010755558,34.684906396
1978,11,AK,50.731200257,35.080739406
1978,12,AK,51.499163712,35.440695683
1979,1,AK,52.263244546,35.780421978
1979,2,AK,53.009023285,36.128051643
1979,3,AK,53.777937347,36.513787383
1979,4,AK,54.62046385,36.972924883
1979,5,AK,55.31114908,37.400619445
1979,6,AK,55.561810113,37.712749904
1979,7,AK,55.458977964,38.071214229
1979,8,AK,55.298141503,38.506876189
1979,9,AK,55.260142645,38.914217601
1979,10,AK,55.422089486,39.265989356
1979,11,AK,55.716561711,39.617870224
1979,12,AK,55.962201152,39.94660032
1980,1,AK,56.087168889,40.231566683
1980,2,AK,56.011528719,40.51003352
1980,3,AK,55.687636315,40.805865596
1980,4,AK,55.245738025,41.1030703
1980,5,AK,54.770031653,41.30931076
1980,6,AK,54.312877644,41.427418301
1980,7,AK,54.052709356,41.681424478
1980,8,AK,54.171820223,42.056812133
1980,9,AK,54.702036626,42.383639106
1980,10,AK,55.579281405,42.604463241
1980,11,AK,56.66010426,42.759908557
1980,12,AK,57.753672276,42.953636056
1981,1,AK,58.813802093,43.171315478
1981,2,AK,59.794478396,43.361517693
1981,3,AK,60.663939376,43.541734291
1981,4,AK,61.523904474,43.721147186
1981,5,AK,62.375858564,43.905817873
1981,6,AK,63.183684796,44.037806794
1981,7,AK,64.097813577,44.159372706
1981,8,AK,65.293776359,44.265790535
1981,9,AK,66.769207883000007,44.353356553
1981,10,AK,68.433456852,44.44935749
1981,11,AK,70.105763846,44.555503039
1981,12,AK,71.540333318,44.678032708
1982,1,AK,72.681773587,44.811808705
