file,language,blank,comment,code,pkg_name,version
2,R,96,353,365,A3,1.0.0
1,HTML,347,5,2661,aaSEA,1.0.0
23,R,63,325,676,aaSEA,1.0.0
3,HTML,307,9,1275,abbyyR,0.5.5
30,R,224,636,587,abbyyR,0.5.5
5,Markdown,246,0,418,abbyyR,0.5.5
1,HTML,26,1,190,ABC.RAP,0.9.0
11,R,32,202,141,ABC.RAP,0.9.0
10,R,104,333,406,ABCanalysis,1.2.1
16,R,153,62,882,abcdeFBA,0.4
6,R,101,330,294,ABCoptim,0.15.0
2,C++,60,46,233,ABCoptim,0.15.0
1,Markdown,11,0,10,ABCoptim,0.15.0
6,R,15,0,145,ABCp2,1.2
15,R,312,98,1137,abcrf,1.8
7,C++,20,22,311,abcrf,1.8
16,R,168,65,1326,abctools,1.1.3
2,C,76,26,192,abctools,1.1.3
11,R,385,574,1521,abc,2.1
30,R,812,3463,718,abd,0.2-8
1,R,822,433,1272,abe,3.0.1
1,R,90,21,673,abf2,0.7-1
12,R,99,208,392,ABHgenotypeR,1.0.1
1,HTML,24,1,250,ABHgenotypeR,1.0.1
2,Markdown,16,0,34,ABHgenotypeR,1.0.1
10,R,34,142,707,abind,1.4-5
15,R,92,408,464,abjutils,0.2.3
1,Markdown,17,0,41,abjutils,0.2.3
3,R,32,56,100,abnormality,0.1.0
1,Markdown,0,0,1,abnormality,0.1.0
20,C,2083,2846,7506,abn,2.1
33,R,1534,1290,4702,abn,2.1
1,Bourne Shell,304,363,2225,abn,2.1
11,C++,192,266,626,abn,2.1
20,C/C++ Header,149,34,306,abn,2.1
2,Bourne Again Shell,10,4,28,abn,2.1
1,Markdown,5,0,26,abn,2.1
1,m4,3,0,17,abn,2.1
1,R,14,30,104,abodOutlier,0.1
1,Markdown,7,0,14,abodOutlier,0.1
6,R,58,294,148,ABPS,0.3
2,C++,73,47,639,AbsFilterGSEA,1.5.1
2,R,22,100,132,AbsFilterGSEA,1.5.1
7,R,144,469,802,AbSim,0.2.6
