deployment_id,start_date,end_date,latitude,longitude
depl_01,2018-02-20,2018-04-25,44.57130379,-64.035121470000007
depl_02,2018-04-25,2019-05-02,44.56983,-64.03411
depl_03,2019-05-02,2019-11-22,44.56975,-64.03448
depl_04,2019-11-22,2020-11-08,44.56985,-64.03443
depl_05,2020-11-08,2021-05-21,44.569923,-64.034399
depl_06,2021-05-21,2021-11-26,44.569798,-64.034438
depl_07,2021-11-26,2022-05-12,44.569828,-64.034397
depl_08,2022-05-12,2022-11-03,44.569912,-64.0342992
depl_09,2022-11-03,2023-05-15,44.569876,-64.034411
depl_10,2023-05-15,2023-11-10,44.570148,-64.034546
depl_11,2023-11-10,2024-05-02,44.569939,-64.034463
depl_12,2024-05-02,2024-11-21,44.5701,-64.034383
depl_13,2024-11-21,2025-05-02,44.56983333333,-64.03428333333
depl_14,2025-05-02,2025-12-06,44.57016666667,-64.03473333333
