survey_year,urban_rural,bioregions,bird_type,bird_count
2014,Urban,South Eastern Queensland,Bassian Thrush,0
2014,Urban,South Eastern Queensland,Chestnut-breasted Mannikin,0
2014,Urban,South Eastern Queensland,Wild Duck,0
2014,Urban,South Eastern Queensland,Willie Wagtail,0
2014,Urban,South Eastern Queensland,Regent Bowerbird,0
2014,Urban,South Eastern Queensland,Rufous Fantail,0
2014,Urban,South Eastern Queensland,Spiny-cheeked Honeyeater,0
2014,Urban,South Eastern Queensland,Flame Robin,0
2014,Urban,South Eastern Queensland,European Goldfinch,0
2014,Urban,South Eastern Queensland,Noisy Friarbird,0
2014,Urban,South Eastern Queensland,Sulphur-crested Cockatoo,0
2014,Urban,South Eastern Queensland,Scaly-breasted Lorikeet,0
2014,Urban,South Eastern Queensland,Tete,0
2014,Urban,South Eastern Queensland,Double-barred Finch,0
2014,Urban,South Eastern Queensland,Buff-rumped Thornbill,0
2014,Urban,South Eastern Queensland,Purple Swamphen,0
2014,Urban,South Eastern Queensland,Green Catbird,0
2014,Urban,South Eastern Queensland,Rufous Whistler,0
2014,Urban,South Eastern Queensland,Southern Whiteface,0
2014,Urban,South Eastern Queensland,Musk Lorikeet,0
2014,Urban,South Eastern Queensland,Red-capped Robin,0
2014,Urban,South Eastern Queensland,Gang-gang Cockatoo,0
2014,Urban,South Eastern Queensland,Satin Bowerbird,0
2014,Urban,South Eastern Queensland,Grey Currawong,0
2014,Urban,South Eastern Queensland,Eastern Spinebill,0
2014,Urban,South Eastern Queensland,Laughing Kookaburra,0
2014,Urban,South Eastern Queensland,Little Wattlebird,0
2014,Urban,South Eastern Queensland,Restless Flycatcher,0
2014,Urban,South Eastern Queensland,Buff-banded Rail,0
2014,Urban,South Eastern Queensland,Red-backed Fairy-wren,0
2014,Urban,South Eastern Queensland,Fan-tailed Cuckoo,0
2014,Urban,South Eastern Queensland,Brown Goshawk,0
2014,Urban,South Eastern Queensland,Brown Gerygone,0
2014,Urban,South Eastern Queensland,Variegated Fairy-wren,0
2014,Urban,South Eastern Queensland,Blue-faced Honeyeater,0
2014,Urban,South Eastern Queensland,Red Wattlebird,0
2014,Urban,South Eastern Queensland,Emerald Dove,0
2014,Urban,South Eastern Queensland,Red-tailed Black Cockatoo,0
2014,Urban,South Eastern Queensland,Eastern Koel,0
2014,Urban,South Eastern Queensland,White-plumed Honeyeater,0
2014,Urban,South Eastern Queensland,Long-billed Corella,0
2014,Urban,South Eastern Queensland,Dollarbird,0
2014,Urban,South Eastern Queensland,Pied Butcherbird,0
2014,Urban,South Eastern Queensland,Striped Honeyeater,0
2014,Urban,South Eastern Queensland,Crimson Rosella,0
2014,Urban,South Eastern Queensland,New Holland Honeyeater,0
2014,Urban,South Eastern Queensland,Grey Butcherbird,0
2014,Urban,South Eastern Queensland,Scarlet Robin,0
2014,Urban,South Eastern Queensland,Bell Miner,0
