country_code,indicator_code,year,value
AFG,BI.WAG.PRVS.FM.SM,2007,1.11029934883118
AFG,BI.WAG.PRVS.FM.SM,2013,0.649133205413818
AFG,BI.WAG.PRVS.FM.MD,2007,0.533333361148834
AFG,BI.WAG.PRVS.FM.MD,2013,0.433333337306976
AFG,BI.WAG.PUBS.FM.SM,2007,0.858063042163849
AFG,BI.WAG.PUBS.FM.SM,2013,0.661412835121155
AFG,BI.WAG.PUBS.FM.MD,2007,0.833333313465118
AFG,BI.WAG.PUBS.FM.MD,2013,0.699999988079071
AFG,BI.PWK.PRVS.FE.ZS,2007,0.0454945452511311
AFG,BI.PWK.PRVS.FE.ZS,2011,0.0546391718089581
AFG,BI.PWK.PRVS.FE.ZS,2013,0.0686802566051483
AFG,BI.PWK.PRVS.FE.Q1.ZS,2007,0.0951192378997803
AFG,BI.PWK.PRVS.FE.Q1.ZS,2013,0.194922924041748
AFG,BI.PWK.PRVS.FE.Q2.ZS,2007,0.00845469813793898
AFG,BI.PWK.PRVS.FE.Q2.ZS,2013,0.0124733550474048
AFG,BI.PWK.PRVS.FE.Q3.ZS,2007,0.0133082401007414
AFG,BI.PWK.PRVS.FE.Q3.ZS,2013,0.0344389341771603
AFG,BI.PWK.PRVS.FE.Q4.ZS,2007,0.0174186918884516
AFG,BI.PWK.PRVS.FE.Q4.ZS,2013,0.0509968250989914
AFG,BI.PWK.PRVS.FE.Q5.ZS,2007,0.0236436538398266
AFG,BI.PWK.PRVS.FE.Q5.ZS,2013,0.0440018810331821
AFG,BI.PWK.PUBS.FE.ZS,2007,0.142711147665977
AFG,BI.PWK.PUBS.FE.ZS,2011,0.133999109268188
AFG,BI.PWK.PUBS.FE.ZS,2013,0.10150133818388
AFG,BI.PWK.PUBS.FE.Q2.ZS,2007,0
AFG,BI.PWK.PUBS.FE.Q2.ZS,2013,0.203895598649979
AFG,BI.PWK.PUBS.FE.Q4.ZS,2007,0
AFG,BI.PWK.PUBS.FE.Q4.ZS,2013,0.0235604960471392
AFG,BI.WAG.PRVS.ED.FM,2013,-0.231242671608925
AFG,BI.WAG.PRVS.HE.FM,2013,-0.0296888612210751
AFG,BI.WAG.PRVS.MW.FM,2013,-0.177459970116615
AFG,BI.WAG.PRVS.TS.FM,2013,-0.221408501267433
AFG,BI.PWK.PRVS.NN.ZS,2007,0.741394817829132
AFG,BI.PWK.PRVS.NN.ZS,2011,0.639870584011078
AFG,BI.PWK.PRVS.NN.ZS,2013,0.638430237770081
AFG,BI.PWK.PUBS.NN.ZS,2007,0.168940603733063
AFG,BI.PWK.PUBS.NN.ZS,2011,0.205073192715645
AFG,BI.PWK.PUBS.NN.ZS,2013,0.213488578796387
