country_code,short_name,table_name,long_name,x2_alpha_code,currency_unit,special_notes,region,income_group,wb_2_code,national_accounts_base_year,national_accounts_reference_year,sna_price_valuation,lending_category,other_groups,system_of_national_accounts,balance_of_payments_manual_in_use,external_debt_reporting_status,system_of_trade,government_accounting_concept,imf_data_dissemination_standard,latest_household_survey,source_of_most_recent_income_and_expenditure_data,vital_registration_complete,latest_agricultural_census,latest_industrial_data,latest_trade_data,latest_population_census_year,latest_population_census_notes
ABW,Aruba,Aruba,Aruba,AW,Aruban florin,NA,Latin America & Caribbean,High income,AW,2013,NA,Value added at basic prices (VAB),NA,NA,1993,BPM6,NA,General trade system,NA,Enhanced General Data Dissemination System (e-GDDS),NA,NA,TRUE,NA,NA,2018,2020,(expected)
AFG,Afghanistan,Afghanistan,Islamic State of Afghanistan,AF,Afghan afghani,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",South Asia,Low income,AF,2016,NA,Value added at basic prices (VAB),IDA,HIPC,1993,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2015","Integrated household survey (IHS), 2016/17",FALSE,NA,NA,2018,1979,NA
AGO,Angola,Angola,People's Republic of Angola,AO,Angolan kwanza,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Lower middle income,AO,2002,NA,Value added at basic prices (VAB),IBRD,NA,1993,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2008/09",FALSE,NA,NA,2018,2014,NA
AIA,Anguilla,Anguilla,Anguilla (U.K.),NA,Eastern Caribbean dollar,"Anguilla, a British Overseas Territory in the Eastern Caribbean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
ALB,Albania,Albania,Republic of Albania,AL,Albanian lek,NA,Europe & Central Asia,Upper middle income,AL,NA,2010,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2017/18","Living Standards Measurement Study Survey (LSMS), 2012",TRUE,2012,2013,2018,2020,(expected)
ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates,AE,U.A.E. dirham,NA,Middle East & North Africa,High income,AE,2010,NA,Value added at producer prices (VAP),NA,NA,1993,NA,NA,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"World Health Survey, 2003",NA,TRUE,2012,1985,2018,2020,(expected)
ARG,Argentina,Argentina,Argentine Republic,AR,Argentine peso,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Latin America & Caribbean,Upper middle income,AR,2004,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Multiple Indicator Cluster Survey, 2019/20","Integrated household survey (IHS), 2016",TRUE,2008,2002,2018,2020,(expected)
ARM,Armenia,Armenia,Republic of Armenia,AM,Armenian dram,NA,Europe & Central Asia,Upper middle income,AM,NA,2012,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2016",TRUE,2014,NA,2018,2020,(expected)
ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,AG,East Caribbean dollar,NA,Latin America & Caribbean,High income,AG,2006,NA,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,NA,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),NA,NA,TRUE,2007,NA,2018,2011,NA
AUS,Australia,Australia,Commonwealth of Australia,AU,Australian dollar,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",East Asia & Pacific,High income,AU,NA,2020,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),NA,"Expenditure survey/budget survey (ES/BS), 2010",TRUE,2015,2013,2018,2016,NA
AUT,Austria,Austria,Republic of Austria,AT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,AT,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),NA,"Income survey (IS), 2015",TRUE,2010,2014,2018,2011,Population figures compiled from administrative registers.
AZE,Azerbaijan,Azerbaijan,Republic of Azerbaijan,AZ,New Azeri manat,NA,Europe & Central Asia,Upper middle income,AZ,NA,2005,Value added at basic prices (VAB),IBRD,NA,1993,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2006","Living Standards Measurement Study Survey (LSMS), 2012",TRUE,2015,2013,2018,2019,NA
BDI,Burundi,Burundi,Republic of Burundi,BI,Burundi franc,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Low income,BI,2005,NA,Value added at basic prices (VAB),IDA,HIPC,1993,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2016/17","Core Welfare Indicator Questionnaire Survey (CWIQ), 2014",FALSE,NA,2012,2018,2008,NA
BEL,Belgium,Belgium,Kingdom of Belgium,BE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,BE,NA,2015,Value added at basic prices (VAB),NA,Euro area,2008,BPM6,NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),NA,"Income survey (IS), 2015",TRUE,2010,2014,2018,2011,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
BEN,Benin,Benin,Republic of Benin,BJ,West African CFA franc,NA,Sub-Saharan Africa,Lower middle income,BJ,2015,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2017/18","Core Welfare Indicator Questionnaire Survey (CWIQ), 2015",FALSE,NA,1981,2018,2013,NA
BFA,Burkina Faso,Burkina Faso,Burkina Faso,BF,West African CFA franc,NA,Sub-Saharan Africa,Low income,BF,2015,NA,Value added at basic prices (VAB),IDA,HIPC,2008,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Malaria Indicator Survey, 2017/18","Core Welfare Indicator Questionnaire Survey (CWIQ), 2014",FALSE,2006,1983,2018,2019,NA
BGD,Bangladesh,Bangladesh,People's Republic of Bangladesh,BD,Bangladeshi taka,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",South Asia,Lower middle income,BD,2016,NA,Value added at basic prices (VAB),IDA,NA,1993,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2016",FALSE,2008,2011,2015,2011,NA
BGR,Bulgaria,Bulgaria,Republic of Bulgaria,BG,Bulgarian lev,NA,Europe & Central Asia,Upper middle income,BG,NA,2015,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),Multitopic Household Survey 2007,"Expenditure survey/budget survey (ES/BS), 2014",TRUE,2010,2014,2018,2011,NA
BHR,Bahrain,Bahrain,Kingdom of Bahrain,BH,Bahraini dinar,NA,Middle East & North Africa,High income,BH,2010,NA,Value added at producer prices (VAP),NA,NA,1993,BPM6,NA,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2000",NA,TRUE,2010,2013,2018,2020,(expected). Population figures compiled from administrative registers.
BHS,The Bahamas,"Bahamas, The",Commonwealth of The Bahamas,BS,Bahamian dollar,NA,Latin America & Caribbean,High income,BS,2012,NA,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),NA,NA,FALSE,NA,1998,2015,2020,(expected)
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,Bosnia and Herzegovina convertible mark,NA,Europe & Central Asia,Upper middle income,BA,NA,2015,Value added at basic prices (VAB),IBRD,NA,1993,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2011/12","Expenditure survey/budget survey (ES/BS), 2015",TRUE,NA,2011,2018,2013,NA
BLR,Belarus,Belarus,Republic of Belarus,BY,Belarusian rubel,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",Europe & Central Asia,Upper middle income,BY,NA,2014,Value added at basic prices (VAB),IBRD,NA,2008,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2017",TRUE,NA,2014,2018,2019,NA
BLZ,Belize,Belize,Belize,BZ,Belize dollar,NA,Latin America & Caribbean,Upper middle income,BZ,2000,NA,Value added at basic prices (VAB),IBRD,NA,1993,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Multiple Indicator Cluster Survey, 2015/16","Labor force survey (LFS), 1999",FALSE,2011,1992,2018,2020,(expected)
BMU,Bermuda,Bermuda,The Bermudas,BM,Bermuda dollar,NA,North America,High income,BM,2013,NA,Value added at basic prices (VAB),NA,NA,2008,BPM6,NA,General trade system,NA,NA,NA,NA,TRUE,NA,NA,2018,2016,NA
BOL,Bolivia,Bolivia,Plurinational State of Bolivia,BO,Bolivian Boliviano,NA,Latin America & Caribbean,Lower middle income,BO,1990,NA,Value added at basic prices (VAB),IBRD,HIPC,1993,BPM6,Actual,General trade system,NA,Enhanced General Data Dissemination System (e-GDDS),"Demographic and Health Survey, 2008","Integrated household survey (IHS), 2016",FALSE,2013,2010,2018,2012,NA
