indicator_code,indicator_name
BI.EMP.FRML.CA.PB.ZS,"Core Public Administration workers, as a share of public formal employees"
BI.EMP.FRML.ED.PB.ZS,"Education workers, as a share of public formal employees"
BI.EMP.FRML.HE.PB.ZS,"Health workers, as a share of public formal employees"
BI.EMP.FRML.MW.PB.ZS,"Medical workers, as a share of public formal employees"
BI.EMP.FRML.PB.ED.ZS,"Public sector employment, as a share of formal employment, by industry: Education"
BI.EMP.FRML.PB.HE.ZS,"Public sector employment, as a share of formal employment, by industry: Health"
BI.EMP.FRML.PB.MW.ZS,"Public sector employment, as a share of formal employment, by occupation: Medical workers"
BI.EMP.FRML.PB.PA.ZS,"Public Administration workers, as a share of public formal employees"
BI.EMP.FRML.PB.PS.ZS,"Public Safety workers, as a share of public formal employees"
BI.EMP.FRML.PB.TS.ZS,"Public sector employment, as a share of formal employment, by occupation: Teachers"
BI.EMP.FRML.PB.ZS,"Public sector employment, as a share of formal employment"
BI.EMP.FRML.SS.PB.ZS,"Social Security workers, as a share of public formal employees"
BI.EMP.FRML.TS.PB.ZS,"Teachers, as a share of public formal employees"
BI.EMP.PUBS.FE.CK.ZS,"Public sector female employment, as a share of paid employment by occupational group: Clerks"
BI.EMP.PUBS.FE.ED.ZS,"Public sector female employment, as a share of paid employment by industry: Education"
BI.EMP.PUBS.FE.EO.ZS,"Public sector female employment, as a share of paid employment by occupational group: Elementary workers"
BI.EMP.PUBS.FE.HE.ZS,"Public sector female employment, as a share of paid employment by industry: Health"
BI.EMP.PUBS.FE.MW.ZS,"Public sector female employment, as a share of paid employment by occupation: Medical workers"
BI.EMP.PUBS.FE.PN.ZS,"Public sector female employment, as a share of paid employment by occupational group: Professionals"
BI.EMP.PUBS.FE.SN.ZS,"Public sector female employment, as a share of paid employment by occupational group: Manager"
BI.EMP.PUBS.FE.TN.ZS,"Public sector female employment, as a share of paid employment by occupational group: Technicians"
BI.EMP.PUBS.FE.TS.ZS,"Public sector female employment, as a share of paid employment by occupation: Teachers"
BI.EMP.PWRK.CA.PB.ZS,"Core Public Administration workers, as a share of public paid employees"
BI.EMP.PWRK.ED.PB.ZS,"Education workers, as a share of public paid employees"
BI.EMP.PWRK.HE.PB.ZS,"Health workers, as a share of public paid employees"
BI.EMP.PWRK.MW.PB.ZS,"Medical workers, as a share of public paid employees"
BI.EMP.PWRK.PB.CK.ZS,"Public sector employment, as a share of paid employment, by occupational group: Clerks"
BI.EMP.PWRK.PB.ED.ZS,"Public sector employment, as a share of paid employment, by industry: Education"
BI.EMP.PWRK.PB.EO.ZS,"Public sector employment, as a share of paid employment, by occupational group: Elementary workers"
BI.EMP.PWRK.PB.FE.ZS,"Public sector employment, as a share of paid employment by gender: Female"
BI.EMP.PWRK.PB.HE.ZS,"Public sector employment, as a share of paid employment, by industry: Health"
BI.EMP.PWRK.PB.MA.ZS,"Public sector employment, as a share of paid employment by gender: male"
BI.EMP.PWRK.PB.MW.ZS,"Public sector employment, as a share of paid employment, by occupation: Medical workers"
BI.EMP.PWRK.PB.PA.ZS,"Public Administration workers, as a share of public paid employees"
BI.EMP.PWRK.PB.PN.ZS,"Public sector employment, as a share of paid employment, by occupational group: Professionals"
BI.EMP.PWRK.PB.PS.ZS,"Public Safety workers, as a share of public paid employees"
BI.EMP.PWRK.PB.RU.ZS,"Public sector employment, as a share of paid employment by location: rural"
BI.EMP.PWRK.PB.SN.ZS,"Public sector employment, as a share of paid employment, by occupational group: Manager"
BI.EMP.PWRK.PB.TN.ZS,"Public sector employment, as a share of paid employment, by occupational group: Technicians"
BI.EMP.PWRK.PB.TS.ZS,"Public sector employment, as a share of paid employment, by occupation: Teachers"
BI.EMP.PWRK.PB.UR.ZS,"Public sector employment, as a share of paid employment by location: urban"
BI.EMP.PWRK.PB.ZS,"Public sector employment, as a share of paid employment"
BI.EMP.PWRK.SS.PB.ZS,"Social Security workers, as a share of public paid employees"
BI.EMP.PWRK.TS.PB.ZS,"Teachers, as a share of public paid employees"
BI.EMP.TOTL.CA.PB.ZS,"Core Public Administration workers, as a share of public total employees"
BI.EMP.TOTL.ED.PB.ZS,"Education workers, as a share of public total employees"
BI.EMP.TOTL.HE.PB.ZS,"Health workers, as a share of public total employees"
BI.EMP.TOTL.MW.PB.ZS,"Medical workers, as a share of public total employees"
BI.EMP.TOTL.NO,Number of employed individuals
BI.EMP.TOTL.NO.CA,"Number of employed employees, by industry: Core Public Administration"
BI.EMP.TOTL.NO.ED,"Number of employed employees, by industry: Education"
BI.EMP.TOTL.NO.HE,"Number of employed employees, by industry: Health"
BI.EMP.TOTL.NO.MW,"Number of employed employees, by occupation: Medical workers"
BI.EMP.TOTL.NO.PA,"Number of employed employees, by industry: Public Administration"
BI.EMP.TOTL.NO.PS,"Number of employed employees, by industry: Public Safety"
BI.EMP.TOTL.NO.SS,"Number of employed employees, by industry: Social Security"
BI.EMP.TOTL.NO.TS,"Number of employed employees, by occupation: Teachers"
BI.EMP.TOTL.PB.CK.ZS,"Public sector employment, as a share of total employment, by occupational group: Clerks"
BI.EMP.TOTL.PB.ED.ZS,"Public sector employment, as a share of total employment, by industry: Education"
BI.EMP.TOTL.PB.EO.ZS,"Public sector employment, as a share of total employment, by occupationa group: Elementary workers"
BI.EMP.TOTL.PB.FE.ZS,"Public sector employment, as a share of total employment by gender: Female"
BI.EMP.TOTL.PB.HE.ZS,"Public sector employment, as a share of total employment, by industry: Health"
BI.EMP.TOTL.PB.MA.ZS,"Public sector employment, as a share of total employment by gender: male"
BI.EMP.TOTL.PB.MW.ZS,"Public sector employment, as a share of total employment, by occupation: Medical workers"
BI.EMP.TOTL.PB.PA.ZS,"Public Administration workers, as a share of public total employees"
BI.EMP.TOTL.PB.PN.ZS,"Public sector employment, as a share of total employment, by occupational group: Professionals"
BI.EMP.TOTL.PB.PS.ZS,"Public Safety workers, as a share of total public employees"
BI.EMP.TOTL.PB.RU.ZS,"Public sector employment, as a share of total employment by location: rural"
BI.EMP.TOTL.PB.SN.ZS,"Public sector employment, as a share of total employment, by occupational group: Manager"
BI.EMP.TOTL.PB.TN.ZS,"Public sector employment, as a share of total employment, by occupational group: Technicians"
BI.EMP.TOTL.PB.TS.ZS,"Public sector employment, as a share of total employment, by occupation: Teachers"
BI.EMP.TOTL.PB.TT.ZS,Proportion of total employees with tertiary Education working in public sector
BI.EMP.TOTL.PB.UR.ZS,"Public sector employment, as a share of total employment by location: urban"
BI.EMP.TOTL.PB.ZS,"Public sector employment, as a share of total employment"
