chip_name,capacity_bits,bit_units,ram_type,transistor_count,date_of_introduction,manufacturer_s,process,area,ref
N/A,1,Bits,SRAM (cell),6,1963,Fairchild,NA,NA,[162]
N/A,1,Bits,DRAM (cell),1,1965,Toshiba,NA,NA,[163][164]
?,8,Bits,SRAM (bipolar),48,1965,"SDS, Signetics",NA,NA,[162]
SP95,16,Bits,SRAM (bipolar),80,1965,IBM,NA,NA,[165]
TMC3162,16,Bits,SRAM (TTL),96,1966,Transitron,NA,NA,[160]
?,NA,,SRAM (MOS),NA,1966,NEC,NA,NA,[159]
?,256,Bits,DRAM (IC),256,1968,Fairchild,NA,NA,[160]
?,64,Bits,SRAM (PMOS),384,1968,Fairchild,NA,NA,[159]
?,144,Bits,SRAM (NMOS),864,1968,NEC,NA,NA,[159]
1101,256,Bits,SRAM (PMOS),1536,1969,Intel,12000,NA,[166][167][168]
1102,1,kb,DRAM (PMOS),768,1970,"Intel, Honeywell",NA,NA,[159]
1103,1,kb,DRAM (PMOS),3072,1970,Intel,8000,10,[169][158][170][160]
μPD403,1,kb,DRAM (NMOS),3072,1971,NEC,NA,NA,[171]
?,2,kb,DRAM (PMOS),6144,1971,General Instrument,NA,12,[172]
2102,1,kb,SRAM (NMOS),6144,1972,Intel,NA,NA,[166][173]
?,8,kb,DRAM (PMOS),8192,1973,IBM,NA,18,[172]
5101,1,kb,SRAM (CMOS),6144,1974,Intel,NA,NA,[166]
2116,16,kb,DRAM (NMOS),16384,1975,Intel,NA,NA,[174][160]
2114,4,kb,SRAM (NMOS),24576,1976,Intel,NA,NA,[166][175]
?,4,kb,SRAM (CMOS),24576,1977,Toshiba,NA,NA,[167]
?,64,kb,DRAM (NMOS),65536,1977,NTT,NA,35,[172]
?,64,kb,DRAM (VMOS),65536,1979,Siemens,NA,25,[172]
?,16,kb,SRAM (CMOS),98304,1980,"Hitachi, Toshiba",NA,NA,[176]
?,256,kb,DRAM (NMOS),262144,1980,NEC,1500,41,[172]
?,256,kb,DRAM (NMOS),262144,1980,NTT,1000,34,[172]
?,64,kb,SRAM (CMOS),393216,1980,Matsushita,NA,NA,[176]
?,288,kb,DRAM,294912,1981,IBM,NA,25,[177]
?,64,kb,SRAM (NMOS),393216,1982,Intel,1500,NA,[176]
?,256,kb,SRAM (CMOS),1572864,1984,Toshiba,1200,NA,[176][168]
?,8,Mb,DRAM,8388608,1984,Hitachi,NA,NA,[178][179]
?,16,Mb,DRAM (CMOS),16777216,1987,NTT,700,148,[172]
?,4,Mb,SRAM (CMOS),25165824,1990,"NEC, Toshiba, Hitachi, Mitsubishi",NA,NA,[176]
?,64,Mb,DRAM (CMOS),67108864,1991,"Matsushita, Mitsubishi, Fujitsu, Toshiba",400,NA,[176]
KM48SL2000,16,Mb,SDRAM,16777216,1992,Samsung,NA,NA,[180][181]
?,16,Mb,SRAM (CMOS),100663296,1992,"Fujitsu, NEC",400,NA,[176]
?,256,Mb,DRAM (CMOS),268435456,1993,"Hitachi, NEC",250,NA,[176]
?,1,Gb,DRAM,1073741824,1995,NEC,250,NA,[182][183]
?,1,Gb,DRAM,1073741824,1995,Hitachi,160,NA,[182][183]
?,1,Gb,SDRAM,1073741824,1996,Mitsubishi,150,NA,[176]
?,1,Gb,SDRAM (SOI),1073741824,1997,Hyundai,NA,NA,[184]
?,4,Gb,DRAM (4-bit),1073741824,1997,NEC,150,NA,[176]
?,4,Gb,DRAM,4294967296,1998,Hyundai,NA,NA,[184]
?,8,Gb,SDRAM (DDR3),8589934592,2008,Samsung,50,NA,[185]
?,16,Gb,SDRAM (DDR3),17179869184,2008,Samsung,50,NA,[185]
?,32,Gb,SDRAM (HBM2),34359738368,2016,Samsung,20,NA,[186]
?,64,Gb,SDRAM (HBM2),68719476736,2017,Samsung,20,NA,[186]
?,128,Gb,SDRAM (DDR4),137438953472,2018,Samsung,10,NA,[187]
