processor,transistor_count,date_of_introduction,designer_s,manufacturer_s,process,area,ref
µPD7220 GDC,40000,1982,NEC,NEC,5000,NA,[107]
ARTC HD63484,60000,1984,Hitachi,Hitachi,NA,NA,[108]
YM7101 VDP,100000,1988,Sega,Yamaha,NA,NA,[109]
Tom & Jerry,750000,1993,Flare,IBM,NA,NA,[109]
VDP1,1000000,1994,Sega,Hitachi,500,NA,[110][111]
Sony GPU,1000000,1994,Toshiba,LSI,500,NA,[112][113][114]
NV1,1000000,1995,"Nvidia, Sega",SGS,500,90,[110]
Reality Coprocessor,2600000,1996,SGI,NEC,350,81,[115]
PowerVR,1200000,1996,VideoLogic,NEC,350,NA,[116]
Voodoo Graphics,1000000,1996,3dfx,TSMC,500,NA,[117][118]
Voodoo Rush,1000000,1997,3dfx,TSMC,500,NA,[117][118]
NV3,3500000,1997,Nvidia,"SGS, TSMC",350,90,[119][120]
PowerVR2 CLX2,10000000,1998,VideoLogic,NEC,250,116,[44][121][122][46]
i740,3500000,1998,"Intel, Real3D",Real3D,350,NA,[117][118]
Voodoo 2,4000000,1998,3dfx,TSMC,350,NA,[117][118]
Voodoo Rush,4000000,1998,3dfx,TSMC,350,NA,[117][118]
Riva TNT,7000000,1998,Nvidia,TSMC,350,NA,[117][120]
PowerVR2 PMX1,6000000,1999,VideoLogic,NEC,250,NA,[123]
Rage 128,8000000,1999,ATI,"TSMC, UMC",250,70,[118]
Voodoo 3,8100000,1999,3dfx,TSMC,250,NA,[124]
Graphics Synthesizer,43000000,1999,"Sony, Toshiba","Sony, Toshiba",180,279,[50][48][47][49]
NV5,15000000,1999,Nvidia,TSMC,250,NA,[118]
NV10,17000000,1999,Nvidia,TSMC,220,111,[125][120]
Voodoo 4,14000000,2000,3dfx,TSMC,220,NA,[117][118]
NV11,20000000,2000,Nvidia,TSMC,180,65,[118]
NV15,25000000,2000,Nvidia,TSMC,180,81,[118]
Voodoo 5,28000000,2000,3dfx,TSMC,220,NA,[117][118]
R100,30000000,2000,ATI,TSMC,180,97,[118]
Flipper,51000000,2000,ArtX,NEC,180,106,[50][126]
PowerVR3 KYRO,14000000,2001,Imagination,ST,250,NA,[117][118]
PowerVR3 KYRO II,15000000,2001,Imagination,ST,180,NA,[117][118]
NV2A,60000000,2001,Nvidia,TSMC,150,NA,[117][127]
NV20,57000000,2001,Nvidia,TSMC,150,128,[118]
R200,60000000,2001,ATI,TSMC,150,68,[118]
NV25,63000000,2002,Nvidia,TSMC,150,142,[118]
R300,107000000,2002,ATI,TSMC,150,218,[118]
R360,117000000,2003,ATI,TSMC,150,218,[118]
NV38,135000000,2003,Nvidia,TSMC,130,207,[118]
R480,160000000,2004,ATI,TSMC,130,297,[118]
NV40,222000000,2004,Nvidia,IBM,130,305,[118]
Xenos,232000000,2005,ATI,TSMC,90,182,[128][129]
RSX Reality Synthesizer,300000000,2005,"Nvidia, Sony",Sony,90,186,[130][131]
G70,303000000,2005,Nvidia,"TSMC, Chartered",110,333,[118]
R520,321000000,2005,ATI,TSMC,90,288,[118]
R580,384000000,2006,ATI,TSMC,90,352,[118]
G80,681000000,2006,Nvidia,TSMC,90,480,[118]
G86 Tesla,210000000,2007,Nvidia,TSMC,80,127,[118]
G84 Tesla,289000000,2007,Nvidia,TSMC,80,169,[118]
R600,700000000,2007,ATI,TSMC,80,420,[118]
G92,754000000,2007,Nvidia,"TSMC, UMC",65,324,[118]
G98 Tesla,210000000,2008,Nvidia,TSMC,65,86,[118]
RV710,242000000,2008,ATI,TSMC,55,73,[118]
G96 Tesla,314000000,2008,Nvidia,TSMC,55,121,[118]
G94 Tesla,505000000,2008,Nvidia,TSMC,65,240,[118]
RV730,514000000,2008,ATI,TSMC,55,146,[118]
RV670,666000000,2008,ATI,TSMC,55,192,[118]
RV770,956000000,2008,ATI,TSMC,55,256,[118]
RV790,959000000,2008,ATI,TSMC,55,282,[132][118]
GT200b Tesla,1400000000,2008,Nvidia,"TSMC, UMC",55,470,[118]
GT200 Tesla,1400000000,2008,Nvidia,TSMC,65,576,[133][118]
GT218 Tesla,260000000,2009,Nvidia,TSMC,40,57,[118]
GT216 Tesla,486000000,2009,Nvidia,TSMC,40,100,[118]
