incident_number,date_time_of_call,cal_year,fin_year,type_of_incident,pump_count,pump_hours_total,hourly_notional_cost,incident_notional_cost,final_description,animal_group_parent,originof_call,property_type,property_category,special_service_type_category,special_service_type,ward_code,ward,borough_code,borough,stn_ground_name,uprn,street,usrn,postcode_district,easting_m,northing_m,easting_rounded,northing_rounded,latitude,longitude
139091,01/01/2009 03:01,2009,2008/09,Special Service,1,2,255,510,Redacted,Dog,Person (land line),House - single occupancy,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05011467,Crystal Palace & Upper Norwood,E09000008,Croydon,Norbury,NULL,Waddington Way,20500146,SE19,NULL,NULL,532350,170050,NULL,NULL
275091,01/01/2009 08:51,2009,2008/09,Special Service,1,1,255,255,Redacted,Fox,Person (land line),Railings,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,E05000169,Woodside,E09000008,Croydon,Woodside,NULL,Grasmere Road,NULL,SE25,534785,167546,534750,167550,51.39095371,-0.064166887
2075091,04/01/2009 10:07,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (mobile),Pipe or drain,Outdoor Structure,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,E05000558,Carshalton Central,E09000029,Sutton,Wallington,NULL,Mill Lane,NULL,SM5,528041,164923,528050,164950,51.36894086,-0.161985191
2872091,05/01/2009 12:27,2009,2008/09,Special Service,1,1,255,255,Redacted,Horse,Person (mobile),"Intensive Farming Sheds (chickens, pigs etc)",Non Residential,Animal rescue from water,Animal rescue from water - Farm animal,E05000330,Harefield,E09000017,Hillingdon,Ruislip,1.00021E+11,Park Lane,21401484,UB9,504689,190685,504650,190650,51.60528344,-0.489683853
3553091,06/01/2009 15:23,2009,2008/09,Special Service,1,1,255,255,Redacted,Rabbit,Person (mobile),House - single occupancy,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05000310,Gooshays,E09000016,Havering,Harold Hill,NULL,Swindon Lane,21300122,RM3,NULL,NULL,554650,192350,NULL,NULL
3742091,06/01/2009 19:30,2009,2008/09,Special Service,1,1,255,255,Redacted,Unknown - Heavy Livestock Animal,Person (land line),House - single occupancy,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,E05000027,Alibon,E09000002,Barking and Dagenham,Dagenham,NULL,Rogers Road,19900321,RM10,NULL,NULL,549350,184950,NULL,NULL
4011091,07/01/2009 06:29,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (land line),Park,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,E05000591,Cathall,E09000031,Waltham Forest,Leytonstone,NULL,Holloway Road,NULL,E11,539013,186162,539050,186150,51.55722086,0.003880198
4211091,07/01/2009 11:55,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (mobile),Lake/pond/reservoir,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,E05000515,Wanstead,E09000026,Redbridge,Leytonstone,NULL,Aldersbrook Road,NULL,E12,541327,186654,541350,186650,51.56106688,0.037433776
4306091,07/01/2009 13:48,2009,2008/09,Special Service,1,1,255,255,Redacted,Squirrel,Person (land line),House - single occupancy,Dwelling,Animal rescue from height,Wild animal rescue from height,E05011470,New Addington North,E09000008,Croydon,Addington,NULL,Brockham Crescent,20501673,CR0,NULL,NULL,538750,163350,NULL,NULL
4715091,07/01/2009 21:24,2009,2008/09,Special Service,1,1,255,255,Redacted,Dog,Person (mobile),River/canal,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,E05009380,Lea Bridge,E09000012,Hackney,Stoke Newington,NULL,Southwold Road,NULL,E5,535425,186743,535450,186750,51.56331352,-0.047620955
