season,location,round_stage,obstacle_name,obstacle_order
1,Venice,Qualifying,Quintuple Steps,1
1,Venice,Qualifying,Rope Swing,2
1,Venice,Qualifying,Rolling Barrel,3
1,Venice,Qualifying,Jumping Spider,4
1,Venice,Qualifying,Pipe Slider,5
1,Venice,Qualifying,Warped Wall,6
1,Venice,Semi-Finals,Quintuple Steps,1
1,Venice,Semi-Finals,Rope Swing,2
1,Venice,Semi-Finals,Rolling Barrel,3
1,Venice,Semi-Finals,Jumping Spider,4
1,Venice,Semi-Finals,Pipe Slider,5
1,Venice,Semi-Finals,Warped Wall,6
1,Venice,Semi-Finals,Tarzan Swing,7
1,Venice,Semi-Finals,Jumping Bars,8
1,Venice,Semi-Finals,Cargo Climb,9
1,Sasuke 23 (Japan),National Finals - Stage 1,Twelve Timbers,1
1,Sasuke 23 (Japan),National Finals - Stage 1,Curtain Slider,2
1,Sasuke 23 (Japan),National Finals - Stage 1,Log Grip,3
1,Sasuke 23 (Japan),National Finals - Stage 1,Jumping Spider,4
1,Sasuke 23 (Japan),National Finals - Stage 1,Half-Pipe Attack,5
1,Sasuke 23 (Japan),National Finals - Stage 1,Warped Wall,6
1,Sasuke 23 (Japan),National Finals - Stage 1,Slider Jump,7
1,Sasuke 23 (Japan),National Finals - Stage 1,Tarzan Rope,8
1,Sasuke 23 (Japan),National Finals - Stage 1,Rope Ladder,9
1,Sasuke 23 (Japan),National Finals - Stage 2,Downhill Jump,1
1,Sasuke 23 (Japan),National Finals - Stage 2,Salmon Ladder,2
1,Sasuke 23 (Japan),National Finals - Stage 2,Stick Slider,3
1,Sasuke 23 (Japan),National Finals - Stage 2,Unstable Bridge,4
1,Sasuke 23 (Japan),National Finals - Stage 2,Metal Spin,5
1,Sasuke 23 (Japan),National Finals - Stage 2,Wall Lift,6
1,Sasuke 23 (Japan),National Finals - Stage 3,Arm Rings,1
1,Sasuke 23 (Japan),National Finals - Stage 3,Descending Lamp Grasper,2
1,Sasuke 23 (Japan),National Finals - Stage 3,Devil Steps,3
1,Sasuke 23 (Japan),National Finals - Stage 3,Shin Cliffhanger,4
1,Sasuke 23 (Japan),National Finals - Stage 3,Jumping Bars,5
