grant_number,project_title,termination_letter_date,org_name,org_city,org_state,org_district,usaspending_obligated,award_type,directorate_abbrev,directorate,division,nsf_program_name,nsf_url,usaspending_url,nsf_startdate,nsf_expected_end_date,org_zip,org_uei,abstract,in_cruz_list
2135329,Collaborative Research: Research: Early-Career Engineers Experiences with Equity and Ethics as They Transition to Practice and Implications for Formation of Engineers,2025-04-25,University of New Mexico,ALBUQUERQUE,NM,NM01,190725,Standard Grant,ENG,Engineering,Engineering Education and Centers,ER2-Ethical & Responsible Res,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2135329,https://www.usaspending.gov/award/ASST_NON_2135329_4900,2022-09-01,2025-04-18,871310001,F6XLTRUQJEN4,"Transportation systems, computing algorithms, and healthcare devices are among the many designs, products, and systems developed by the engineering profession that have important impacts on society. The decisions made by engineers can help advance fairness and justice in society, or these decisions can increase and build upon existing inequities leading to adverse consequences for minoritized populations. Furthermore, the engineering profession is a field with a history of exclusion where People of Color, people with disabilities, members of the LGBTQ+ community, and white women remain underrepresented after years of effort to increase diversity. To address these concerns about engineering practice, we need to understand and then transform how new engineers form their attitudes and behaviors around social equity and inclusion in the workplace. Engineering students learn about the ethical obligations of engineers to benefit humanity while they are in school, and it is becoming more common for engineering students to learn specifically about how diversity, equity, and inclusion are important to the engineering profession. And hiring organizations might also provide learning opportunities on issues of diversity and inclusion with various goals such as creating more inclusive environment. In this project we will study new engineers, in their first five years of practice, to learn how these engineers are using lessons from school and the messages they receive in the workplace to shape their professional behavior at a key transitional stage. The ultimate goal of this study is to help develop ethical and equity minded engineers who are prepared to use their professional work to enhance fairness in society and in engineering workplaces.    This project will use a sequential mixed methods design including a national survey and interviews. The research process will document the perceptions and experiences of early-career engineers involving equity and ethics and their preparedness to address these issues based on their learning experiences at both engineering school and the workplace. Our research seeks to answer the following questions: 1) What aspects of their academic preparation and exposure to issues of equity and ethics do early-career engineers find relevant and use in their professional work? 2) What are early-career engineers’ experiences of on-the-job learning related to equity and ethics and what types of resources are available to support these learning experiences? 3) What are the perceptions of early-career engineers about equity and ethics and their importance in interpersonal interactions in the work environment? 4) What are the perceptions of early-career engineers about equity and ethics and their importance in the professional work of engineers? In addition, what experiences/situations have contributed to these perceptions? And 5) To what extent and in what ways do early-career engineers with different social identities have differing views and motivation to act on issues of equity and ethics in engineering? We will use our findings to create learning activities (such as videos) based on the situations where our participants encountered decisions with equity and ethics implications. These activities can be used by engineering instructors to incorporate realistic early-career situations involving equity and ethics in undergraduate education. This project has an advisory board including members of professional societies and industry who will help guide the study and convey our findings to organizations that can use our findings to shape early-career professional development of engineers.    This project is jointly funded by the Research in the Formation of Engineers (RFE) and the Ethical and Responsible Research (ER2) programs.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",TRUE
2342099,MyTurn: An Afterschool Social Robotics Program to Promote Interest in Computing Among Middle School Students,2025-04-25,University of Illinois at Chicago,CHICAGO,IL,IL07,499999,Standard Grant,EDU,STEM Education,Research on Learning in Formal and Informal Settings,ITEST-Inov Tech Exp Stu & Teac,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2342099,https://www.usaspending.gov/award/ASST_NON_2342099_4900,2024-08-15,2027-07-31,606124305,W8XEAJDKMXH3,"Computational thinking and robotics are increasingly essential to many scientific and technological careers of the future, yet youth often do not have opportunities to practice broad and diverse applications of computing beyond basic programming. This project will address this issue through developing and testing design principles for afterschool programs that build youths’ interest in a broad range of computing careers. As part of this project, girls in middle school will co-design an afterschool robotics program, named MyTurn, in partnership with women mentors from industry and undergraduate computer science programs. While participating in MyTurn, girls will work in teams to design and program reconfigurable social robots that will perform youth-selected applications, such as providing various types of assistance to others. The research will explore whether and how different design elements of the program fostered girls’ interest in computing and computing careers. The materials associated with MyTurn, as well as the design principles that informed the creation of the program, will be widely and freely disseminated through numerous professional networks that develop afterschool programming. Ultimately, the deliverables from this project are likely to advance knowledge and practice regarding broadening participation in computing careers and career pathways among girls and women who have historically been underrepresented in these fields.     In this Exploring Theory and Design Principles project, the University of Illinois Chicago will develop theories and principles which illustrate how stakeholders can co-design afterschool programs that increase middle school girls’ interest in computing careers. These theories and design principles will be iteratively developed and tested in conjunction with the afterschool social robotics program. Mixed methods research will identify key mechanisms that positively influence youths’ experiences, sense of belonging, and interest in computing and computing careers. Specifically, the project team will analyze surveys that explore youths’ interest in computing and computing careers; transcripts of interviews with the youth and their mentors; videos of the participatory sessions during which women and girls co-design the afterschool program; and youth artifacts. The findings from these analyses will be disseminated widely via professional networks of computer science education researchers and practitioners. This project will result in empirically-tested design principles, which outline how educators of afterschool programs can build girls’ interest in computing careers at a critical time in their trajectories, which can prepare and inspire them to pursue additional computer science experiences and courses in high school and beyond. This project is funded by the Innovative Technology Experiences for Students and Teachers (ITEST) program, which supports projects that build understandings of practices, program elements, contexts and processes contributing to increasing students' knowledge and interest in science, technology, engineering, and mathematics (STEM) and information and communication technology (ICT) careers.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",FALSE
2201103,Collaborative Research: The Organizational Climate Challenge: Promoting the Retention of Students from Underrepresented Groups in Doctoral Engineering Programs,2025-04-25,American Society For Engineering Education,WASHINGTON,DC,DC00,124241,Continuing Grant,EDU,STEM Education,Equity for Excellence in STEM,ECR-EDU Core Research,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2201103,https://www.usaspending.gov/award/ASST_NON_2201103_4900,2022-08-01,2026-07-31,200362476,F6G9C4HMNHW4,"The ongoing lack of diversity in the engineering doctoral workforce remains a significant problem with far-reaching implications for the US economy. The long-term vitality of the US workforce relies on the full range of engineering career pathways being available to all Americans. A diverse STEM workforce is more creative and innovative. While the number of women completing STEM doctorates has risen, the proportion of women earning engineering doctorates remains low. And, in 2019, while 24.1% of engineering doctorates were earned by women, only 1.4% were earned by Hispanic, Black, and Native American women (no Native Hawaiian/ Pacific Islander women). Doctoral engineering attrition rates reveal a disproportionately high loss of students from groups historically underrepresented in STEM. The problem is not students’ inability to complete the Ph.D. degree requirements, but rather that talented students leave engineering doctoral programs before completing their doctorates. Student attrition results in a loss of human talent to the national endeavor of research and discovery at universities fueling US economic growth. Unwelcoming organizational climates in engineering doctoral programs likely contribute to this attrition. This project aims to examine the organizational climates of engineering doctoral programs to guide efforts that promote the persistence and retention of doctoral students in engineering.     The goal of this mixed-methods project is to examine doctoral students’ perceptions of the factors that impact their persistence in degree completion and the differences in experiencing those factors based on intersecting social categories. This project adopts an explicitly intersectional approach to the meaning and relevance of students’ belonging to multiple social categories, including gender, race/ethnicity, and sexual orientation, considered within the context of engineering doctoral education. Drawing on organizational climate research and intersectionality theory, the project’s multidisciplinary team aims to use a student-centered approach to shed light on multiple climate factors (e.g., climate for diversity, climate for inclusion, student sense of belonging, etc.) by engaging with students from diverse groups. To achieve a comprehensive picture of departmental climate and persistence, which may differ by intersectional group, major, and institution type, iterative and complementary cycles of project implementation are planned over the four-year project period. In Year 1, the researchers aim to use findings from the quantitative pilot climate survey approach to inform the qualitative design. The team aims to repeat this process in Year 2 to develop, refine, and validate the final survey instrument, including a climate scale which will be sensitive enough to assess intersectional phenomena unique to students from diverse groups. The scale will be grounded in measurement invariance, in that factors will be measured in the same way across different groups to reveal similarities and differences between engineering doctoral student populations. In Years 3 and 4, the researchers plan to administer the final survey nationally and incorporate follow-up interviews with a subsample of survey respondents, using a mixed-methods approach. In partnership with the American Society for Engineering Education, the team plans to deploy the climate survey nationally to engineering doctoral students and to share survey findings with engineering deans.       This project is supported by NSF's EHR Core Research (ECR) program. The ECR program emphasizes fundamental STEM education research that generates foundational knowledge in the field. Investments are made in critical areas that are essential, broad and enduring: STEM learning and STEM learning environments, broadening participation in STEM, and STEM workforce development. The program supports the accumulation of robust evidence to inform efforts to understand, build theory to explain, and suggest intervention and innovations to address persistent.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",TRUE
2215382,"Engaging Rural, Latinx Youth in an After School Program That Integrates Design Thinking, Making and Math",2025-04-25,TERC Inc,CAMBRIDGE,MA,MA05,2601763,Continuing Grant,EDU,STEM Education,Research on Learning in Formal and Informal Settings,AISL,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2215382,https://www.usaspending.gov/award/ASST_NON_2215382_4900,2022-08-01,2026-07-31,021401339,GSLCJ3M62XX1,"The project will develop and research an after-school program designed to engage rural, Latinx youth in design thinking and math through making. Making is a learner-centered environment where participants design, create, and develop projects. Latinx individuals are underrepresented in the STEM workforce. The project will engage Latinx youth during the critical middle school years when young people make choices that affect their futures. The project will work with community members, after school staff, and youth as co-designers to develop and pilot the complete after school program. The program will involve Latinx youth who live in the agricultural regions of the Southwest United States with the goal of developing agency and positive identity, as makers, mathematical doers and users, and active community members. They will engage in developmentally appropriate mathematics, such as the volume and surface area of geometric shapes, within the context of informal learning projects. The program will comprise four semester-long after school projects, involving participants for 2-4 hours each week, during which time youth will design and create objects to address typical community challenges. Each project will incorporate smaller modules to enable youth with different attendance needs to participate. Real community problems (e.g., drought) and solution paths (e.g., water catchment system) will motivate the making and the mathematics. The program, co-designed in partnership with the Cesar Chavez Foundation, promises to reach 100,000 youth over the next decade. Because the program can serve as a model for others with similar goals, this reach has the potential to be expanded in many other communities.     Project research will address a gap in the current literature on mathematics, making, and community membership. The project connects community mathematics—the rich mathematical knowledge and practices drawn from communities—to educational making to both enrich understanding of school mathematics and aid in developing students’ positive mathematical and cultural identities. The project will also result in a model of professional development that can be used and studied by after school programs and researchers, contributing to the limited body of knowledge of professional development on STEM making for after school facilitators. The research design for this project will follow a mixed methods approach where quantitative and qualitative data collection and analysis will occur simultaneously. Results of both strands will be brought together at the interpretation and reporting level to compare and bring out the convergence, divergence, or complementarity of findings. The research will take place in two stages (co-design and pilot) over 3 years, with an additional half year for developing communications of the findings. Research will address the following questions: (1) What are the key features of projects for integrating community mathematics, school mathematics understanding, and design/making? (2) How do facilitators support the youth in engaging in program activities? (3) What math content and practices do youth learn through participation in program activities? and (4) How do youth’s agency and identity as makers, mathematics doers and users, and community members change with participation in the program? Program research and resources will be disseminated nationally through the Cesar Chavez Foundation and by sharing project research and resources through publications and conference presentations reaching researchers, educators, and program developers.     This research project is funded by the Advancing Informal STEM Learning (AISL) program, which seeks to (a) advance new approaches to and evidence-based understanding of the design and development of STEM learning in informal environments; (b) provide multiple pathways for broadening access to and engagement in STEM learning experiences; (c) advance innovative research on and assessment of STEM learning in informal environments; and (d) engage the public of all ages in learning STEM in informal environments.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",TRUE
2405633,Design Effective and Equitable Professional Learning for Middle School Computer Science Teachers,2025-04-25,San Francisco State University,SAN FRANCISCO,CA,CA11,565771,Continuing Grant,EDU,STEM Education,Research on Learning in Formal and Informal Settings,Discovery Research K-12,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2405633,https://www.usaspending.gov/award/ASST_NON_2405633_4900,2024-10-01,2028-09-30,941321740,F4SLJ5WF59F6,"Providing computer science (CS) education to students prior to high school is critical for catalyzing their interest in CS and closing achievement and development gaps. However, the retention rate for underrepresented group participants in middle school CS teacher preparation programs is lower than that for their peers. The resulting lack of diversity in CS teachers contributes to students’ inequitable access to quality middle school CS education. In this four-year, Design and Development, Teaching Strand project, San Francisco State University, WestEd, and 10+ school districts in California will investigate effective design and implementation strategies of CS teacher preparation programs aimed to increase the number of middle school CS teachers from underrepresented groups. By investigating and designing an effective and equitable model for preparing middle school CS teachers, this project will increase the number of middle school CS teachers, particularly those from underrepresented groups. Society as a whole will benefit from a more diverse CS workforce.     In this project, the project team will first work with participants in our CS teacher preparation program to identify factors responsible for the lower retention rate of underrepresented group participants and develop potential interventions to address these factors. The team will then integrate these interventions into three evidence-based components of a 1-year teacher preparation program: (1) a new teacher certification program to increase middle school teachers’ knowledge of CS content and culturally relevant pedagogy, (2) mentoring from experienced CS teachers from underrepresented groups, to provide CS content and pedagogical support for those teachers, and (3) professional learning communities to provide teachers in the program with a supportive community as they learn. The team will gather and analyze data throughout the program to determine which intervention components improve retention of underrepresented group teachers. This project will address the following research questions: (1) Which factors have contributed to lower retention rates for underrepresented group participants in CS teacher preparation programs? (2) What interventions can be implemented to address those factors and boost the retention rate of underrepresented group teachers in a middle school CS teacher preparation program? The project findings will contribute to the relatively scant evidence base on strategies to improve the retention rate of in-service teachers from underrepresented groups in CS teacher preparation programs, providing a foundation for creating more equitable CS learning environments for teachers and students. This project will reach 90 teachers during the grant period. The knowledge produced for retaining underrepresented group teachers in CS teacher preparation programs will be of wide interest, since school districts throughout the country are facing or will face CS teacher shortages.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",FALSE
2317714,Collaborative Research: SBP: Increasing Social Equality in STEM through Children's Structural Reasoning,2025-04-25,Occidental College,LOS ANGELES,CA,CA34,250200,Standard Grant,SBE,"""Social, Behavioral and Economic Sciences""",Behavioral and Cognitive Sciences,DS -Developmental Sciences,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2317714,https://www.usaspending.gov/award/ASST_NON_2317714_4900,2023-09-01,2026-08-31,900413314,DCQQX5TRCYN9,"There are major gender and racial inequalities in who pursues Science, Technology, Engineering, and Mathematics (STEM) careers, and these disparities take root in early childhood. STEM inequalities are largely caused by structural factors, which are systemic societal barriers such as negative societal stereotypes and unequal educational opportunities. The present research addresses STEM inequalities by encouraging children to recognize structural constraints as a primary cause. A structural understanding may help children from disadvantaged groups realize that current inequalities do not reflect any deficiencies inherent about their groups and thus empower them to pursue STEM. Moreover, structural thinking may encourage children to include their marginalized peers in STEM activities. The proposed project thus tackles issues of STEM disparities by addressing three interrelated questions: (1) How to increase children’s structural reasoning about STEM inequalities? (2) Does structural reasoning increase children’s motivation to persist in STEM and to include marginalized children in STEM activities? (3) How can parents promote children’s structural reasoning and STEM motivation? Findings from this research will provide new insights on how to promote structural reasoning to increase STEM equality from early on, and will help to develop educational materials for educators and parents. The project also directly addresses STEM inequalities by including research training opportunities for students from underrepresented backgrounds in STEM.     Using cognitive and behavioral experimental methods with 5- to 8-year-old children, the present research is a systematic investigation of structural reasoning in childhood and its behavioral consequences. Specifically, the research tests two approaches to promoting structural reasoning: (1) between-group comparisons that emphasize differential structural barriers between advantaged and disadvantaged groups, and (2) within-group comparisons that show that how the removal of structural barriers make a difference for the disadvantaged group. In addition, the research examines how increasing structural reasoning can have downstream consequences for children’s STEM motivation and inclusion of marginalized children. The project also informs the socialization of structural reasoning by examining the role of parents in transmitting structural information to children. The proposed research advances the field by applying theoretically-novel approaches to increase children’s structural reasoning about real-world inequalities. Additionally, by studying the effects of structural reasoning on STEM pursuits and inclusion, this research informs how structural reasoning can diversify STEM participation in childhood. Ultimately, this project can transform our understanding of the early-developing barriers underlying systemic inequalities in STEM.    This project is also supported by the Racial Equity in STEM Education activity in the Directorate for STEM Education (EDU Racial Equity). This activity supports projects that advance racial equity in STEM education and workforce development through research and practice.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",TRUE
2046081,CAREER: SBP: Understanding how diversity exposure impacts social categorization,2025-04-25,University of California-Santa Barbara,SANTA BARBARA,CA,CA24,741659,Continuing Grant,SBE,"""Social, Behavioral and Economic Sciences""",Behavioral and Cognitive Sciences,SBP-Science of Broadening Part,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2046081,https://www.usaspending.gov/award/ASST_NON_2046081_4900,2021-06-01,2026-05-31,931060001,G9QBQDH39DF4,"People divide the social world into groups, based on attributes such as race, gender, and nationality. Beginning early in life, people use information about another person’s groups to form expectations about that person’s likely traits and behaviors. Even infants expect people in the same group to be similar. Expecting people within a group to be similar may lay the foundation for negative stereotypes and bias. One potential way to reduce bias is through positive interactions. Past research has shown that positive interactions with someone from an unfamiliar group improves attitudes towards other members of that group. But most communities do not include representation of people from every background. As a result, it is not feasible to have positive interactions with people from all groups. This project develops a new idea: that exposure to diversity more broadly (rather than to a specific group) may itself reduce stereotyping. This idea is tested by developing measures of the racial and linguistic diversity of infants’ and children’s neighborhoods and networks along with traditional measures of stereotyping.    The project develops novel measures of exposure to diversity, based on the principle of  entropy: networks that contain a greater number of groups and with more equal representation of groups are scored as more diverse. By pairing this novel measure with other validated measures of children’s stereotyping, the research will test whether differences in exposure to diversity are related to differences in stereotyping. This approach helps to address a number of fundamental questions.  One is whether exposure to racial diversity reduces race-based stereotyping. Another is whether the effects of diversity exposure are even broader, such that exposure to linguistic diversity can reduce race-based stereotyping. A third is how children’s stereotyping based on racial groups compares to linguistic groups. The broad aim is to better understand how  early exposure to diversity is related to stereotyping in infants and children. The laboratory-based research is a critical first step that can be leveraged for future interventions aimed at mitigating the negative impacts of stereotyping. The project also provides training in social psychology and developmental science for a diverse group of early-career researchers, and supports partnerships between the university and local museums aimed at increasing scientific literacy.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",FALSE
2348705,Rural Community Responses to Environmental Stewardship Plans and Government Action,2025-04-25,Hamilton College,CLINTON,NY,NY22,80955,Continuing Grant,SBE,"""Social, Behavioral and Economic Sciences""",Social and Economic Sciences,Sociology,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2348705,https://www.usaspending.gov/award/ASST_NON_2348705_4900,2024-08-01,2029-07-31,133231218,Z6WLZ6RDFDM7,"This project investigates how and why local people come to either oppose or support changes happening through the implementation of environmental stewardship plans in multiple regions. Around the world, environmental and stewardship plans are increasingly initiating substantial changes to rural landscapes and to rural ways of life. These plans include construction of wind power, solar power and other forms of renewable energy, planting trees, and attempts to reduce the amount of livestock being raised because of their environmental impact. While many regions support these changes as they seek to address climate impacts, some responses in rural communities have been mixed. This research can advance understanding about how to make environmental and stewardship plans work better both for people living in rural communities and ultimately for everyone.    Relying on longitudinal interviews of local residents (including farmers and other agricultural producers, community and municipal leaders, activists and organizers, and Indigenous residents) and participant observation in community events, this study has three primary goals. First, it explores how rural residents in different regions support or resist environmental reforms, and if and how their responses are influenced by perceived threats to their sociodemographic and sociopolitical identities. Second, it investigates people’s understandings of environmental change, their responses, and their sense of what is possible for future environmental action over time. Third, it assesses if and how rural stakeholders connect and share responsibility of stewardship of the environment and environmental changes or not at the community level, and where barriers impede collective action.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",FALSE
2404708,Postdoctoral Fellowship: SPRF: Examining the Statistics of Children's Social World,2025-04-25,New York University,New York,CA,NY10,160000,Fellowship Award,SBE,"""Social, Behavioral and Economic Sciences""",Multidisciplinary Activities,DS -Developmental Sciences,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2404708,https://www.usaspending.gov/award/ASST_NON_2404708_4900,2024-09-01,2026-08-31,94305,NX9PXMKW5KW8,"This award was provided as part of the NSF Social, Behavioral and Economic Sciences Postdoctoral Research Fellowships (SPRF), Sociology, and Law and Science programs. The goal of the SPRF program is to prepare promising, early career doctoral-level scientists for scientific careers in academia, industry or private sector, and government. SPRF awards involve two years of training under the sponsorship of established scientists and encourage Postdoctoral Fellows to perform independent research. NSF seeks to promote the participation of scientists from all segments of the scientific community, including those from underrepresented groups, in its research programs and activities; the postdoctoral period is considered to be an important level of professional development in attaining this goal. Each Postdoctoral Fellow must address important scientific questions that advance their respective disciplinary fields. Under the sponsorship of Dr. Marjorie Rhodes at New York University, this postdoctoral fellowship award supports an early career scientist investigating children’s stereotyping. This project seeks to understand how children develop stereotypes about social groups, such as racial and gender groups, and how to disrupt such stereotypes. Specifically, this project investigates the idea that children could naturally develop stereotypes from growing up in social environments that, due to structural biases, do not present representative information about social groups. This project examines whether children might develop stereotypes from misrepresentations in who they do (and do not) see, and whether these stereotypes could be prevented if children are informed about the structural biases that affect who they see. This project will advance our understanding of how children develop stereotypes by examining how stereotypes might originate in the social structure of children’s early social experiences and contribute to our understanding of how to prevent such stereotypes from developing in the first place.     This project aims to identify how statistical reasoning might contribute to—and could be used to combat—the development of social stereotypes in early childhood. Here, we identify a potential novel source of stereotypes in children’s social environments: social structures (e.g., segregation, information bubbles, media biases) that skew who children see and meet, causing children to be exposed to a sample of group members that is not representative of social group populations as a whole. The proposed project will leverage experimental and computational methods to address whether children can identify skew in the information about group members that they observe, adjust their beliefs about groups accordingly, and recruit these mechanisms in real-world skewed social environments. Together, these studies will identify how children might develop stereotypes in skewed social environments, and how children’s reasoning might be harnessed to prevent the development of stereotypes.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",FALSE
2215138,BRITE Girls Online STEM Practices: Building Relevance and Identity to Transform Experiences,2025-04-25,Florida State University,TALLAHASSEE,FL,FL02,1902274,Standard Grant,EDU,STEM Education,Research on Learning in Formal and Informal Settings,AISL,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2215138,https://www.usaspending.gov/award/ASST_NON_2215138_4900,2022-08-15,2026-07-31,323060001,JF2BLNN4PJC3,"Despite decades of policies and programs meant to increase the representation of girls and women in science, technology, engineering, and mathematics (STEM), girls and women of color still represent a much smaller percent of the STEM workforce than they do in the US population. This lack of representation is preventing the US STEM workforce from reaching its true potential. Intersecting inequalities of gender, race, ethnicity, and class, along with stereotypes associated with who is successful in STEM (i.e., White men), lead to perceptions that they do not belong and may not succeed in STEM. Ultimately, these issues hinder girls’ STEM identity development (i.e., sense of belonging and future success), lead to a crisis of representation for women of color and have compounding impacts on the STEM workforce. Research suggests there are positive impacts of in-person STEM learning after-school and out-of-school time programs on girls’ sense of belonging. The increasing need for online learning initiated by the COVID-19 pandemic means it is vital to investigate girls’ STEM identity development within an online community. Thus, the project will refine and test approaches in online learning communities to make a valuable impact on the STEM identity development of girls of color by 1) training educators and role models on exemplary approaches for STEM identity development;  2) implementing a collaborative, girl-focused Brite Online Learning Community that brings together 400 girls ages 13-16 from a minimum of 10 sites across the United States; and 3) researching the impact of the three core approaches -- community building, authentic and competence-demonstrating hands-on activities, and interactive learning with women role models -- on participating girls’ STEM identities in online settings.    The mixed methods study is guided by guided by Carlone & Johnson’s model of STEM identity involving four constructs: competence, performance, recognition, and sense of belonging. Data collection sources for the quantitative portion of the project include pre- and post-surveys, while qualitative data sources will be collected from six case study sites and will include observations, focus group interviews with girls, artifacts created by girls and educators, educator interviews, and open-ended survey responses. This approach will enable the research team to determine how and the extent to which the Brite Online Learning Community influences STEM identity constructs, interpreting which practices lead to meaningful outcomes that can be linked to the development of STEM identity for participating girls in an online environment. The products of this work will include research-based, tested Brite Practices and a toolkit for fostering girls’ interest, identification, and long-term participation in STEM. The resulting products will increase the reach of informal STEM education programming to girls of color across the nation as online spaces can reach more girls, potentially increasing the representation of women of color in the STEM workforce. This project is funded by the Advancing Informal STEM Learning (AISL) program which seeks to advance new approaches to, and evidence-based understanding of, the design and development of STEM learning in informal environments.    This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",TRUE
