reported_date_time,reported_date_time_utc,posted_date,city,state,country_code,shape,reported_duration,duration_seconds,summary,has_images,day_part
2022-08-29T06:03:00Z,2022-08-29T06:03:00Z,2022-09-09,Pinehurst,NC,US,NA,15 mins,900,Saw multi color object above horizon.,FALSE,night
2022-08-20T01:51:00Z,2022-08-20T01:51:00Z,2022-10-08,Rapid City,MI,US,NA,1 minute,60,An object in the shape of a straight line about an inch from our viewing area moving slowly across the sky,FALSE,nautical dusk
2022-08-13T05:30:00Z,2022-08-13T05:30:00Z,2022-09-09,Cleveland,OH,US,NA,2 hours,172800,Tone in the air.,FALSE,night
2022-08-06T21:00:00Z,2022-08-06T21:00:00Z,2022-09-09,Bloomington,IN,US,NA,30 seconds,30,Black tic-tac shaped ufo. Moved with insane speed,FALSE,afternoon
2022-08-04T07:40:00Z,2022-08-04T07:40:00Z,2022-09-09,Irvine,CA,US,NA,3 minutes,180,Two alien were scanning me,FALSE,night
2022-07-22T16:00:00Z,2022-07-22T16:00:00Z,2022-09-09,Moore,OK,US,NA,10 minutes,600,Long cigar solid shaped craft with light beam,FALSE,morning
2022-07-19T16:27:00Z,2022-07-19T16:27:00Z,2022-09-09,Short Pump,VA,US,NA,20 seconds,20,"Saw a strange cloud in the sky. Twisting upward like an upside down tornado. That's what caught my eye, so I took a few pictures of it.",FALSE,morning
2022-07-14T18:56:00Z,2022-07-14T18:56:00Z,2022-09-09,Norwalk,CT,US,NA,5 minutes,300,Figure over South Norwalk,FALSE,afternoon
2022-07-13T19:40:00Z,2022-07-13T19:40:00Z,2022-09-09,Blayney,New South Wales,AU,NA,90 - 120 seconds,120,A long string of star size lights,FALSE,NA
2022-07-13T04:10:00Z,2022-07-13T04:10:00Z,2022-09-09,Greybull,WY,US,NA,20-30 minutes,1800,"Two large glowing objects ejected 3-5 smaller, faster, brighter flying objects into the sky, disappearing over the Western horizon.",FALSE,astronomical dusk
2022-07-08T00:03:00Z,2022-07-08T00:03:00Z,2022-09-09,North Conway,NH,US,NA,10seconds,10,Object flying south low altitude,FALSE,afternoon
2022-07-07T16:45:00Z,2022-07-07T16:45:00Z,2022-09-09,Phoenix,AZ,US,NA,3 seconds,3,Very large shiny silver object in sky,FALSE,morning
2022-07-05T02:34:00Z,2022-07-05T02:34:00Z,2022-09-09,Lauderhill,FL,US,NA,30-45 second,45,Red and Green alternating colored lights on a craft,FALSE,night
2022-07-02T16:00:00Z,2022-07-02T16:00:00Z,2022-09-09,Sutherlin,OR,US,NA,about 1 min,60,An alien in a weird space suit,FALSE,morning
2022-06-17T17:38:00Z,2022-06-17T17:38:00Z,2022-06-22,Gurgaon,Haryana,IN,NA,3 to 4 minutes,240,"Unidentified flying object oversky in Gurgaon, india",FALSE,night
2022-06-07T02:00:00Z,2022-06-07T02:00:00Z,2022-06-22,Albuquerque,NM,US,NA,32 seconds,32,Lights in the sky that did not resemble a normal pattern,FALSE,afternoon
2022-06-05T22:00:00Z,2022-06-05T22:00:00Z,2022-06-22,Redlands,CA,US,NA,5 min,300,7 spherical UFOs with lights heading in north direction,FALSE,afternoon
2022-05-30T20:00:00Z,2022-05-30T20:00:00Z,2022-06-22,Carolina Beach,NC,US,NA,10 minutes,600,"Long cylinder, reflecting sun, moving at high rate of speed.",FALSE,afternoon
2022-05-21T02:00:00Z,2022-05-21T02:00:00Z,2022-06-22,yukon,OK,US,NA,3 minutes,180,flew in a weird odd patern not normal to aircraft,FALSE,civil dusk
