city,alternate_city_names,state,country,country_code,latitude,longitude,timezone,population,elevation_m
Pinehurst,"Pajnkherst,bynhwrst,pynhwrst  karwlynay shmaly,Пајнхерст,بينهورست,پینهورست، کارولینای شمالی",NC,USA,US,35.19543,-79.46948,America/New_York,15752,160
Rapid City,NA,MI,USA,US,44.83445,-85.28256,America/Detroit,1352,192
Cleveland,"CLE,Cleaveland,Cleveland,Forest City,Klevalehnd,Kliulend,Klivelant,Klivland,Klivlandas,Klivlando,Klivlend,Klivlenda,Klīvlenda,ka fu lan,ke li fu lan,keullibeullaendeu,kilivlant,klebhilyanda,klivhalanda,klyfland,klywlnd,kuriburando,qlyblnd,Κλίβελαντ,Клевалэнд,Кливланд,Кливленд,Клівленд,Кліўленд,Քլիվլենդ,קליבלנד,קליוולאנד,كليفلاند,کلیولند,کلیولینڈ، اوہائیو,क्लीव्हलंड,ক্লেভিল্যান্ড,கிளீவ்லன்ட்,คลีฟแลนด์,კლივლენდი,クリーブランド,克利夫兰,克里夫蘭,卡夫蘭,클리블랜드",OH,USA,US,41.4995,-81.69541,America/New_York,388072,199
Bloomington,"BMG,Bloomington,Blumington,Blumingtona,Blumingtun,Blūmingtona,beullumingteon,blumintana,blwmnghtwn,blwmyngtwn,blwmyngtwn  ayndyana,bu lu ming dun,buruminton,Блумингтон,Блумингтън,Блумінгтон,בלומינגטון,بلومنغتون,بلومنگٹن، انڈیانا,بلومینگتون، ایندیانا,ব্লুমিংটন,ブルーミントン,布卢明顿,블루밍턴",IN,USA,US,39.16533,-86.52639,America/Indiana/Indianapolis,84067,235
Irvine,"rvajn,Ervajn,Irvajn,Irvin,Irvinas,Irvine,abain,arfayn,arwayn,arwayn  kalyfrnya,eobain,er wan,ou wen,Ервайн,Ервајн,Ирвайн,Ирвин,Ървайн,אירוויין,إرفاين,اروائن,ارواین، کالیفرنیا,アーバイン,歐文,爾灣,어바인",CA,USA,US,33.66946,-117.82311,America/Los_Angeles,256927,17
Moore,"Mur,mu er,mua,mueo,mwr,mwr  aklahma,Мур,مور,مور، اکلاهما,موور، اوکلاہوما,ムーア,穆尔,무어",OK,USA,US,35.33951,-97.4867,America/Chicago,60451,382
Short Pump,NA,VA,USA,US,37.65042,-77.61249,America/New_York,24729,89
Norwalk,"Chichester,Naramake,Noruolk,Norvalk,Norvok,Norvolk,Norvolkas,Norwaake,Norwalk,ORQ,The Bridge,The Great Bridge,naravaka,noravoka,nouoku,nowokeu,nuo wo ke,nwrwak  kntykt,nwrwwlk,Норвалк,Норвок,Норволк,Норуолк,نارواک، کنیکٹیکٹ,نورواک، کنتیکت,نوروولك,नरवाक,नॉरवॉक,ノーウォーク,诺沃克,노워크",CT,USA,US,41.1176,-73.4079,America/New_York,88485,11
Blayney,Blayney,New South Wales,Australia,AU,-33.53233,149.25367,Australia/Sydney,3355,NA
Greybull,"GEY,Grejbal,Grejbull,ge lei bo er,ghrybwl,grybwl  waywmyng,Грейбулл,Грејбал,Ґрейбулл,غريبول,گریبول، وایومینگ,格雷伯尔",WY,USA,US,44.48912,-108.05621,America/Denver,1879,1156
