Year,group,percent
1979,"Total, 16 years and older",62.3
1980,"Total, 16 years and older",64.2
1981,"Total, 16 years and older",64.4
1982,"Total, 16 years and older",65.7
1983,"Total, 16 years and older",66.5
1984,"Total, 16 years and older",67.6
1985,"Total, 16 years and older",68.1
1986,"Total, 16 years and older",69.5
1987,"Total, 16 years and older",69.8
1988,"Total, 16 years and older",70.2
1989,"Total, 16 years and older",70.1
1990,"Total, 16 years and older",71.9
1991,"Total, 16 years and older",74.2
1992,"Total, 16 years and older",75.8
1993,"Total, 16 years and older",77.1
1994,"Total, 16 years and older",76.4
1995,"Total, 16 years and older",75.5
1996,"Total, 16 years and older",75
1997,"Total, 16 years and older",74.4
1998,"Total, 16 years and older",76.3
1999,"Total, 16 years and older",76.5
2000,"Total, 16 years and older",76.9
2001,"Total, 16 years and older",76.4
2002,"Total, 16 years and older",77.9
2003,"Total, 16 years and older",79.4
2004,"Total, 16 years and older",80.4
2005,"Total, 16 years and older",81
2006,"Total, 16 years and older",80.8
2007,"Total, 16 years and older",80.2
2008,"Total, 16 years and older",79.9
2009,"Total, 16 years and older",80.2
2010,"Total, 16 years and older",81.2
2011,"Total, 16 years and older",82.2
1979,16-19 years,85.2
1980,16-19 years,89.5
1981,16-19 years,91.7
1982,16-19 years,92.9
1983,16-19 years,94
1984,16-19 years,93.1
1985,16-19 years,90.7
1986,16-19 years,91.4
1987,16-19 years,87.8
1988,16-19 years,89.8
1989,16-19 years,94.3
1990,16-19 years,90.8
1991,16-19 years,93.6
1992,16-19 years,94
1993,16-19 years,92.8
1994,16-19 years,92.5
1995,16-19 years,88.1
1996,16-19 years,88.8
1997,16-19 years,91.6
1998,16-19 years,88.6
1999,16-19 years,91.4
2000,16-19 years,92.5
2001,16-19 years,90.3
2002,16-19 years,94.6
2003,16-19 years,93.1
2004,16-19 years,92.1
2005,16-19 years,92.1
2006,16-19 years,87.6
2007,16-19 years,89.1
2008,16-19 years,87.3
2009,16-19 years,90.7
2010,16-19 years,94.6
2011,16-19 years,88.6
1979,20-24 years,76.3
1980,20-24 years,78.1
1981,20-24 years,80.6
1982,20-24 years,82.4
1983,20-24 years,85.5
1984,20-24 years,85.2
1985,20-24 years,85.7
1986,20-24 years,87.5
1987,20-24 years,88
1988,20-24 years,90
1989,20-24 years,89.7
1990,20-24 years,90.3
1991,20-24 years,93.3
1992,20-24 years,94.3
1993,20-24 years,95.4
1994,20-24 years,94.5
1995,20-24 years,92.4
1996,20-24 years,92.8
1997,20-24 years,90.5
1998,20-24 years,89.4
1999,20-24 years,90.5
2000,20-24 years,92.7
2001,20-24 years,91.9
2002,20-24 years,93.9
2003,20-24 years,93.9
2004,20-24 years,93.8
2005,20-24 years,93.8
2006,20-24 years,94.9
