pmid,doi,jabbrv,journal,year,month,day,title,abstract,keywords,study_aim,study_location,study_year_start,study_year_end,study_type,data_source,race1,race1_ss,race2,race2_ss,race3,race3_ss,race4,race4_ss,race5,race5_ss,race6,race6_ss,race7,race7_ss,race8,race8_ss,eth1,eth1_ss,eth2,eth2_ss,eth3,eth3_ss,eth4,eth4_ss,eth5,eth5_ss,eth6,eth6_ss,eth7,eth7_ss,eth8,eth8_ss,access_to_care,treatment_received,health_outcome,cancer_ovarian,cancer_uterine,cancer_cervical,cancer_vulvar,other_gyn_onc,endo,fibroids,other_gyn_surg,fert,matmorbmort,other_preg,phys_div,other,covid
31764726,10.1097/AOG.0000000000003552,Obstet Gynecol,Obstetrics and gynecology,2020,04,03,Desired Sterilization Procedure at the Time of Cesarean Delivery According to Insurance Status.,"To evaluate whether women with Medicaid are less likely than their privately insured counterparts to receive a desired sterilization procedure at the time of cesarean delivery. This is a secondary analysis of a single-center retrospective cohort examining 8,654 postpartum women from 2012 to 2014, of whom 2,205 (25.5%) underwent cesarean delivery. Insurance was analyzed as Medicaid compared with private insurance. The primary outcome was sterilization at the time of cesarean delivery. Reason for sterilization noncompletion and Medicaid sterilization consent form validity were recorded. Secondary outcomes included postpartum visit attendance, outpatient postpartum sterilization, and subsequent pregnancy within 365 days of delivery. Of the 481 women included in this analysis, 78 of 86 (90.7%) women with private insurance and 306 of 395 (77.4%) women with Medicaid desiring sterilization obtained sterilization at the time of cesarean delivery (relative risk 0.85, 95% CI 0.78-0.94). After multivariable logistic regression, gestational age at delivery (1.02 [1.00-1.03]), adequacy of prenatal care (1.30 [1.18-1.43]), and marital status (1.09 [1.01-1.19]) were associated with achievement of sterilization at the time of cesarean delivery. Sixty-four (66.0%) women who desired but did not receive sterilization at the time of cesarean delivery did not have valid, signed Medicaid sterilization forms, and 10 (10.3%) sterilizations were not able to be completed at the time of surgery owing to adhesions. Sterilization during cesarean delivery was not associated with less frequent postpartum visit attendance for either the Medicaid or privately insured population. Rates of outpatient postpartum sterilization were similar among those with Medicaid compared with private insurance. Among patients who did not receive sterilization at the time of delivery, 15 patients (each with Medicaid) had a subsequent pregnancy within the study period. Women with Medicaid insurance received sterilization at the time of cesarean delivery less frequently than privately insured counterparts, most commonly due to the absence of a valid Medicaid sterilization consent form as well as adhesive disease. The constraints surrounding the Medicaid form serve as a significant barrier to achieving desired sterilization.","Adult; Cesarean Section; Cohort Studies; Female; Healthcare Disparities; Humans; Insurance Coverage; Medicaid; Ohio; Patient Preference; Pregnancy; Prenatal Care; Retrospective Studies; Sterilization, Tubal; United States",To evaluate whether women with Medicaid are less likely than their privately insured counterparts to receive a desired sterilization procedure at the time of cesarean delivery.,OH,2012,2014,Retrospective cohort,Case Western Reserve University Electronic Medical Record,Black or African American,332,White,157,Hispanic,70,Asian,6,Other,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31492539,10.1016/j.ygyno.2019.08.013,Gynecol Oncol,Gynecologic oncology,2019,11,05,Medicaid and Medicare payer status are associated with worse surgical outcomes in gynecologic oncology.,"To compare postoperative outcomes by primary payer status for patients with gynecologic malignancies. We retrospectively reviewed patients who underwent elective surgery for gynecologic malignancies between 2015 and 2019. Patient outcomes were compared by payer status using logistic regression. Sociodemographic and clinical covariates were selected a priori and included age, American Society of Anesthesiologists physical status classification, body mass index, smoking status, malignancy site, surgery type, race, estimated income, marital status, and medical interpreter requirement. A total of 1894 patients comprised the study sample. In the multivariate model, compared to patients with private insurance, Medicaid and Medicare patients were more likely to mobilize &gt;24â€¯h after surgery (OR 1.9, pâ€¯&lt;â€¯0.05 and OR 3.2, pâ€¯&lt;â€¯0.001, respectively), to require ICU admission (OR 4.0, pâ€¯&lt;â€¯0.05 and OR 5.0, pâ€¯&lt;â€¯0.05, respectively), and to have longer lengths of stay (OR 1.8, pâ€¯&lt;â€¯0.05 and OR 2.2, pâ€¯&lt;â€¯0.001, respectively). Medicaid patients were also more likely to have higher total hospital costs (OR 1.7, pâ€¯&lt;â€¯0.05). Payer status was not associated with postoperative pain, postoperative opiate use, or 30-day readmission rates. Medicaid and Medicare payer status are associated with worse postoperative outcomes in patients with gynecologic malignancies. The poor outcomes of Medicaid patients - a cohort defined by limited income - are noteworthy. The etiology is likely multifactorial, arising from a complex interplay of factors ranging from system issues such as access to care to the unique health status of a population bearing a high burden of disease and socioeconomic adversity.","Health disparities; Medicaid; Medicare; Outcomes; Payer status; Female; Genital Neoplasms, Female; Gynecologic Surgical Procedures; Healthcare Disparities; Hospital Costs; Humans; Length of Stay; Medicaid; Medicare; Middle Aged; Pain, Postoperative; Patient Readmission; Retrospective Studies; San Francisco; Treatment Outcome; United States",To compare postoperative outcomes by primary payer status for patients with gynecologic malignancies,CA,2015,2019,Retrospective cohort,UCSF Perioperative Pathway program Electronic Medical Records,White - not Hispanic or Latino,1058,"American Indian, Alaska Native, and Native Hawaiian",37,Asian,228,Black or African American,80,Hispanic or Latino,347,Other,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30890269,10.1016/j.ygyno.2019.03.007,Gynecol Oncol,Gynecologic oncology,2019,07,05,Identifying disparities in germline and somatic testing for ovarian cancer.,"Germline mutations occur in approximately 25% of patients with epithelial ovarian cancers while somatic BRCA mutations are estimated at 5-7%. The objectives of this study were to determine the rate of germline and somatic testing in women with ovarian cancer and to identify disparities in testing at a comprehensive cancer center (CCC) and a safety net hospital (SNH). Patients treated for ovarian cancer from 2011 to 2016 were included. Clinicopathologic data were abstracted from the electronic medical records. Logistic regression modeling were performed to calculate odds ratios (OR) and corresponding 95% confidence intervals (95%CI). Out of 367 women, 55.3% completed germline testing; 27.0% received somatic testing. Women at the CCC were more likely to be tested for germline (60.4% vs 38.1%, pâ€¯â‰¤â€¯0.001) and somatic (34.3% vs 2.4%, pâ€¯â‰¤â€¯0.001) mutations than those at the SNH. Patients with Medicare (aORâ€¯=â€¯0.51, 95%CI 0.28-0.94, pâ€¯=â€¯0.032) or Medicaid (aORâ€¯=â€¯0.42, 95%CI 0.18-0.99, pâ€¯=â€¯0.048) were less likely to receive germline testing than those privately insured. Patients with Medicaid were less likely to receive somatic testing (aORâ€¯=â€¯0.15, 95%CI 0.04-0.62, pâ€¯=â€¯0.009) than those privately insured. Women with disease recurrence had a higher likelihood of being tested for germline (ORâ€¯=â€¯3.64, 95%CI 1.94-6.83, Pâ€¯&lt;â€¯0.001) and somatic (ORâ€¯=â€¯7.89, 95%CI 3.41-18.23, pâ€¯&lt;â€¯0.001) mutations. There was no difference in germline or somatic testing by race/ethnicity. Disparities in both germline and somatic testing exist. Understanding and overcoming barriers to testing may improve cancer-related mortality by allowing for more tailored treatments as well as for improved cascade testing.","Adult; Aged; Aged, 80 and over; BRCA1 Protein; BRCA2 Protein; Female; Genetic Testing; Germ-Line Mutation; Healthcare Disparities; Humans; Medicaid; Medicare; Middle Aged; Mutation; Neoplasm Recurrence, Local; Ovarian Neoplasms; Retrospective Studies; United States; Young Adult",The objectives of this study were to determine the rate of germline and somatic testing in women with ovarian cancer and to identify disparities in testing at a comprehensive cancer center (CCC) and a safety net hospital (SNH).,FL,2011,2016,Retrospective cohort,tumor registry at the university of miami hospitals,Black,40,Hispanic White,166,Non-Hispanic White,144,Other/unknown,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29605049,10.1016/j.ygyno.2017.11.012,Gynecol Oncol,Gynecologic oncology,2018,07,10,Exploring the impact of income and race on survival for women with advanced ovarian cancer undergoing primary debulking surgery at a high-volume center.,"To evaluate patients with advanced ovarian cancer (OC) undergoing primary debulking surgery (PDS) at a high-volume center (HVC), to determine whether socio-demographic disparities in PDS outcome and overall survival (OS) were present. All patients with stages IIIB-IV high-grade OC undergoing PDS at our institution from 1/2001-12/2013 were identified. Patients self-identified race/ethnicity as non-Hispanic White (NHW), non-Hispanic Black (NHB), Asian (A), or Hispanic (H). Income level for the entire cohort was estimated using the census-reported income level for each patient's zip code as a proxy for SES. Main outcome measures were PDS outcome and median OS. Cox proportional hazards model was used to examine differences in OS by racial/ethnic and income category, controlling for selected clinical factors. 963 patients were identified for analysis: 855 NHW; 43 A, 34H, 28 NHB, and 3 unknown. PDS outcome was not significantly different among NHB and H as compared to NHW. Compared to NHW, Asians were more likely to have &gt;1cm residual (AOR 2.32, 95%CI 1.1-4.9, p=0.03). Median income for the entire cohort was $85,814 (range $10,926-$231,667). After adjusting for significant prognostic factors, there were no significant differences in PDS outcome between income groups (p=0.7281). Median OS was 55.1mos (95%CI 51.8-58.5) with no significant differences in OS between the income (p=0.628) or racial/ethnic (p=0.615) groups. Statistically significant socio-demographic disparities in PDS and survival outcomes were not observed among women with advanced OC treated at this HVC. Increased efforts are needed to centralize care to and increase the diversity of pts treated at HVCs.","High volume centers; Income disparities; Ovarian cancer; Racial disparities; Adult; Aged; Aged, 80 and over; Carcinoma, Ovarian Epithelial; Cohort Studies; Continental Population Groups; Cytoreduction Surgical Procedures; Female; Humans; Income; Middle Aged; Neoplasms, Glandular and Epithelial; Ovarian Neoplasms; Retrospective Studies; Socioeconomic Factors; Treatment Outcome; Young Adult","To evaluate patients with advanced ovarian cancer (OC) undergoing primary debulking surgery (PDS) at a high-volume center (HVC), to determine whether socio-demographic disparities in PDS outcome and overall survival (OS) were present.",Unclear,2001,2013,Retrospective cohort,Electronic Medical Record,Non-Hispanic White,855,Non-Hispanic Black,28,Asian,43,Hispanic,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28800945,10.1016/j.ygyno.2017.07.145,Gynecol Oncol,Gynecologic oncology,2018,07,10,Impact of age at diagnosis on racial disparities in endometrial cancer patients.,"Although black patients with endometrial cancer (EC) have worse survival compared with white patients, the interaction between age/race has not been examined. The primary objective was to evaluate the impact of age at diagnosis on racial disparities in disease presentation and outcome in EC. We evaluated women diagnosed with EC between 1991 and 2010 from the Surveillance, Epidemiology, and End Results. Mutation status for TP53 or PTEN, or with the aggressive integrative, transcript-based, or somatic copy number alteration-based molecular subtype were acquired from the Cancer Genome Atlas. Logistic regression model was used to estimate the interaction between age and race on histology. Cox regression model was used to estimate the interaction between age and race on survival. 78,184 white and 8518 black patients with EC were analyzed. Median age at diagnosis was 3-years younger for black vs. white patients with serous cancer and carcinosarcoma (P&lt;0.0001). The increased presentation of non-endometrioid histology with age was larger in black vs. white patients (P&lt;0.0001). The racial disparity in survival and cancer-related mortality was more prevalent in black vs. white patients, and in younger vs. older patients (P&lt;0.0001). Mutations in TP53, PTEN and the three aggressive molecular subtypes each varied by race, age and histology. Aggressive histology and molecular features were more common in black patients and older age, with greater impact of age on poor tumor characteristics in black vs. white patients. Racial disparities in outcome were larger in younger patients. Intervention at early ages may mitigate racial disparities in EC.",Age; Disparity; Endometrial cancer; Race; SEER; Survival; African Continental Ancestry Group; Age of Onset; Aged; Endometrial Neoplasms; European Continental Ancestry Group; Female; Healthcare Disparities; Humans; Middle Aged; PTEN Phosphohydrolase; SEER Program; Tumor Suppressor Protein p53; United States,to evaluate the impact of age at diagnosis on racial disparities in disease presentation and outcome in EC.,USA,1991,2010,Retrospective cohort,"Surveillance, Epidemiology, and End Results Program; Cancer Genome Atlas",White,78184,Black,8518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27697287,10.1016/j.ygyno.2016.09.026,Gynecol Oncol,Gynecologic oncology,2017,05,29,The generalizability of NCI-sponsored clinical trials accrual among women with gynecologic malignancies.,"Enrollment of a representative population to cancer clinical trials ensures scientific reliability and generalizability of results. This study evaluated the similarity of patients enrolled in NCI-supported group gynecologic cancer trials to the incident US population. Accrual to NCI-sponsored ovarian, uterine, and cervical cancer treatment trials between 2003 and 2012 were examined. Race, ethnicity, age, and insurance status were compared to the analogous US patient population estimated using adjusted SEER incidence data. There were 18,913 accruals to 156 NCI-sponsored gynecologic cancer treatment trials, ovarian (56%), uterine (32%), and cervical cancers (12%). Ovarian cancer trials included the least racial, ethnic and age diversity. Black women were notably underrepresented in ovarian trials (4% versus 11%). Hispanic patients were underrepresented in ovarian and uterine trials (4% and 5% versus 18% and 19%, respectively), but not in cervical cancer trials (14 versus 11%). Elderly patients were underrepresented in each disease area, with the greatest underrepresentation seen in ovarian cancer patients over the age of 75 (7% versus 29%). Privately insured women were overrepresented among accrued ovarian cancer patients (87% versus 76%), and the uninsured were overrepresented among women with uterine or cervical cancers. These patterns did not change over time. Several notable differences were observed between the patients accrued to NCI funded trials and the incident population. Improving representation of racial and ethnic minorities and elderly patients on cancer clinical trials continues to be a challenge and priority.","Clinical trials; Disparities; SEER; Adult; African Americans; Age Factors; Aged; Clinical Trials as Topic; Ethnic Groups; Female; Genital Neoplasms, Female; Geography; Hispanic Americans; Humans; Insurance, Health; Medically Uninsured; Middle Aged; Minority Groups; National Cancer Institute (U.S.); Ovarian Neoplasms; Patient Selection; SEER Program; United States; Uterine Cervical Neoplasms; Uterine Neoplasms",evaluated the similarity of patients enrolled in NCI-supported group gynecologic cancer trials to the incident US population,USA,2003,2012,Retrospective cohort,"Cancer Therapy Evaluation Program Clinical Data Update Service, Integrated Platform for Agents and Diseases, and Surveillance, Epidemiology and End Results program",White,-99,Black,-99,American Indian/Alaska Native,-99,Asian/Pacific Islander,-99,NA,NA,NA,NA,NA,NA,NA,NA,Not Hispanic,-99,Hispanic,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
27103178,10.1016/j.ygyno.2016.04.014,Gynecol Oncol,Gynecologic oncology,2017,05,01,Surgical wait time: A new health indicator in women with endometrial cancer.,"To evaluate factors associated with delayed surgical treatment among women with endometrial cancer. Using the National Cancer Database (NCDB), we analyzed time to first surgery for epithelial endometrial cancer patients who underwent surgical treatment from 2003 to 2011. Poisson regression was used to examine delays &gt;6weeks between diagnosis and surgery, controlled for patients' sociodemographic and clinical characteristics. Survival for women diagnosed between 2003 and 2006 with timely versus delayed surgery was compared using Cox proportional hazards regression. The study included 112,041 women diagnosed at 1108 continuously reporting NCDB hospitals. Survival through 2011 was available for 40,184 women. All patients underwent hysterectomy. Twenty-eight percent of patients underwent surgery &gt;6weeks after diagnosis. Poisson regression estimates indicated that being younger than 40years old, being black or Hispanic, having Medicaid or being uninsured, or being from the lowest education quartile were associated with a significantly higher likelihood of surgical wait time&gt;6weeks. Patients diagnosed in 2010-2011 were more likely (IRR 1.32, 95% CI 1.24-1.40) to undergo surgery &gt;6weeks after diagnosis compared to patients treated in 2003. Survival for women with surgical wait times &gt;6weeks was worse than those treated within 6weeks of diagnosis (HR 1.14, 95% CI 1.09-1.20). Being a minority patient and having lower socioeconomic status or poor insurance coverage were associated with an increased likelihood of delayed surgical treatment. Wait times &gt;6weeks from diagnosis of endometrial cancer to definitive surgery may have a negative impact on survival.","Delayed treatment; Endometrial cancer; Surgical wait time; Adult; Aged; Carcinoma, Endometrioid; Endometrial Neoplasms; Female; Humans; Insurance, Health; Middle Aged; Minority Groups; Proportional Hazards Models; Socioeconomic Factors; Time-to-Treatment; United States",To evaluate factors associated with delayed surgical treatment among women with endometrial cancer,USA,2003,2011,Retrospective cohort,National Cancer Database,Non-Hispanic White,91323,Non-Hispanic Black,9601,Hispanic,5748,Asian,2544,Other/Unknown,2825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
28159409,10.1016/j.ygyno.2017.01.024,Gynecol Oncol,Gynecologic oncology,2017,05,25,Disparities in receipt of care for high-grade endometrial cancer: A National Cancer Data Base analysis.,"To examine patterns of care and survival for Hispanic women compared to white and African American women with high-grade endometrial cancer. We utilized the National Cancer Data Base (NCDB) to identify women diagnosed with uterine grade 3 endometrioid adenocarcinoma, carcinosarcoma, clear cell carcinoma and papillary serous carcinoma between 2003 and 2011. The effect of treatment on survival was analyzed using the Kaplan-Meier method. Factors predictive of outcome were compared using the Cox proportional hazards model. 43,950 women were eligible. African American and Hispanic women had higher rates of stage III and IV disease compared to white women (36.5% vs. 36% vs. 33.5%, p&lt;0.001). African American women were less likely to undergo surgical treatment for their cancer (85.2% vs. 89.8% vs. 87.5%, p&lt;0.001) and were more likely to receive chemotherapy (36.8% vs. 32.4% vs. 32%, p&lt;0.001) compared to white and Hispanic women. Over the entire study period, after adjusting for age, time period of diagnosis, region of the country, urban or rural setting, treating facility type, socioeconomic status, education, insurance, comorbidity index, pathologic stage, histology, lymphadenectomy and adjuvant treatment, African American women had lower overall survival compared to white women (Hazard Ratio 1.21, 95% CI 1.16-1.26). Conversely, Hispanic women had improved overall survival compared to white women after controlling for the aforementioned factors (HR 0.87, 95% CI 0.80-0.93). Among women with high-grade endometrial cancer, African American women have lower all-cause survival while Hispanic women have higher all-cause survival compared to white women after controlling for treatment, sociodemographic, comorbidity and histopathologic variables.","Adenocarcinoma, Clear Cell; Adenocarcinoma, Papillary; African Americans; Aged; Carcinoma, Endometrioid; Carcinosarcoma; Cause of Death; Chemotherapy, Adjuvant; Comorbidity; Databases, Factual; Education; Endometrial Neoplasms; Ethnic Groups; European Continental Ancestry Group; Female; Healthcare Disparities; Hispanic Americans; Humans; Hysterectomy; Insurance Coverage; Kaplan-Meier Estimate; Middle Aged; Neoplasm Grading; Neoplasm Staging; Neoplasms, Cystic, Mucinous, and Serous; Proportional Hazards Models; Retrospective Studies; Social Class; Survival Rate; United States",To examine patterns of care and survival for Hispanic women compared to white and African American women with high-grade endometrial cancer,USA,2003,2011,Retrospective cohort,National Cancer Database,White,34035,African American,7584,Hispanic,2331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26706661,10.1016/j.ygyno.2015.12.012,Gynecol Oncol,Gynecologic oncology,2016,06,01,Dying well: How equal is end of life care among gynecologic oncology patients?,"To identify disparities in utilization of end of life (EoL) resources by gynecologic oncology (GO) patients. This retrospective analysis of the medical records of GO patients treated 1/2007-12/2011 and deceased 1/2012-8/2014 evaluated patient demographics, disease characteristics, and utilization of EoL resources. Chi-square, Fisher's exact test, Mann Whitney and Kruskal-Wallis tests were used for statistical analysis. Of 189 patients analyzed, 113 (60%) were white, 38 (20%) Hispanic, 31 (16%) black, and seven (4%) Asian. Ninety-five (48%) had ovarian cancer, 51 (26%) uterine, 47 (23%) cervical, seven (3%) vulvar/vaginal. In the last 30days of life (DoL), 18 (10%) had multiple hospital admissions, 10 (5%) admitted to the Intensive Care Unit (ICU), 30 (16%) multiple Emergency Room (ER) visits, 45 (24%) received aggressive medical care and eight (4%) received chemotherapy in the final 14 DoL. Furthermore, 54 (29%) had no Supportive Care referral and 29 (15%) no hospice referral. Only 46 (24%) had a Medical Power of Attorney (PoA) or Living Will (LW) on file. Non-white race was associated with increased odds of dying without hospice (OR 3.07; 95%CI [1.27, 2.46], p=0.013). However, non-white patients who enrolled in hospice did so earlier than white patients (42 v. 27days before death, p=0.054). Non-white patients were also significantly less likely to have PoA/LW documentation (24% v. 76%, p=0.009) even if enrolled in hospice (12% v. 31%, p=0.007). Significant racial disparities in hospice enrollment and PoA/LW documentation were seen in GO patients. This warrants further study to identify barriers to use of EoL resources.","Advance directives; End of life care; Hospice; Adult; Advance Directives; Aged; Aged, 80 and over; Female; Genital Neoplasms, Female; Healthcare Disparities; Hospices; Humans; Middle Aged; Palliative Care; Retrospective Studies; Terminal Care; Young Adult",To identify disparities in utilization of end of life (EoL) resources by gynecologic oncology (GO) patients,TX,2007,2014,Retrospective cohort,University of Texas MD Anderson Cancer Center Electronic Medical Record,Caucasian,113,Hispanic,38,African American,31,Asian,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26325527,10.1016/j.ygyno.2015.08.019,Gynecol Oncol,Gynecologic oncology,2016,01,07,Assessment of sexual activity and dysfunction in medically underserved women with gynecologic cancers.,"Sexual dysfunction is a common long-term side effect of treatments for gynecologic cancer. Studies of sexual problems in gynecologic cancer survivors overrepresent White non-Hispanic, highly educated, and married women. Less is known about the sexual health needs of women in medically underserved populations. We therefore conducted a study to characterize sexual activity and sexual function in this population. We recruited patients attending two gynecologic oncology clinics in a large public healthcare system that primarily serves uninsured and low-income patients. Participants were invited to complete a one-time survey to assess sexual function, sexual communication, sexual distress, relationship adjustment, depression, anxiety, prior help-seeking and help-seeking preferences, and reasons for sexual inactivity. Data were analyzed using descriptive statistics and multivariate models to predict sexual activity status and sexual dysfunction. Among 243 participants, the majority (n=160, 65.8%) were not sexually active in the past 4weeks, most often due to lack of a partner or lack of desire for sex. Just over one-fourth of sexually active participants were identified as likely cases of sexual dysfunction. Greater endorsement of depressive symptoms predicted both sexual inactivity and sexual dysfunction in multivariate analyses. Prior help-seeking for sexual problems was uncommon; however, a significant minority of participants expressed interest in receiving care for sexual problems. Gynecologic cancer survivors in our medically underserved population have high rates of sexual inactivity and sexual dysfunction. Future research should identify feasible strategies to address barriers to sexual healthcare in low-resource settings.","Depression; Gynecologic cancer; Sexual activity; Sexual dysfunction; Underserved; Cross-Sectional Studies; Depression; Female; Genital Neoplasms, Female; Health Services Accessibility; Humans; Medicaid; Medically Underserved Area; Medically Uninsured; Middle Aged; Poverty; Sexual Dysfunction, Physiological; Texas; United States",To estimate the prevalence of sexual inactivity and clinically significant sexual dysfunction in this population and to identify clinical and psychosocial prediictors of sexual inactivity and sexual dysfunction,TX,2012,2014,Cross-sectional,Gynecologic oncology clinics at Lyndon Baines Johnson Hospital (lbj) and Smith Clinic,White,133,American Indian or Alaska Native,2,Asian,4,Black or African American,54,Native Hawaiian or other pacific islander,1,More than one race,10,item missed or skipped,39,NA,NA,Not Hispanic or latino,86,hispanic or latino,147,Item missed or skipped,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
