act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],Thunder and lightning. Enter three Witches,NA
Act I,Scene I,First Witch,When shall we three meet again,1
Act I,Scene I,First Witch,"In thunder, lightning, or in rain?",2
Act I,Scene I,Second Witch,"When the hurlyburly's done,",3
Act I,Scene I,Second Witch,When the battle's lost and won.,4
Act I,Scene I,Third Witch,That will be ere the set of sun.,5
Act I,Scene I,First Witch,Where the place?,6
Act I,Scene I,Second Witch,Upon the heath.,7
Act I,Scene I,Third Witch,There to meet with Macbeth.,8
Act I,Scene I,First Witch,"I come, Graymalkin!",9
Act I,Scene I,Second Witch,Paddock calls.,10
Act I,Scene I,Third Witch,Anon.,11
Act I,Scene I,All,"Fair is foul, and foul is fair:",12
Act I,Scene I,All,Hover through the fog and filthy air.,13
Act I,Scene I,[stage direction],Exeunt,NA
Act I,Scene II,[stage direction],"Alarum within. Enter DUNCAN, MALCOLM, DONALBAIN, LENNOX, with Attendants, meeting a bleeding Sergeant",NA
Act I,Scene II,Duncan,"What bloody man is that? He can report,",14
Act I,Scene II,Duncan,"As seemeth by his plight, of the revolt",15
Act I,Scene II,Duncan,The newest state.,16
Act I,Scene II,Malcolm,This is the sergeant,17
Act I,Scene II,Malcolm,Who like a good and hardy soldier fought,18
Act I,Scene II,Malcolm,"'Gainst my captivity. Hail, brave friend!",19
Act I,Scene II,Malcolm,Say to the king the knowledge of the broil,20
Act I,Scene II,Malcolm,As thou didst leave it.,21
Act I,Scene II,Sergeant,Doubtful it stood;,22
Act I,Scene II,Sergeant,"As two spent swimmers, that do cling together",23
Act I,Scene II,Sergeant,And choke their art. The merciless Macdonwald--,24
Act I,Scene II,Sergeant,"Worthy to be a rebel, for to that",25
Act I,Scene II,Sergeant,The multiplying villanies of nature,26
Act I,Scene II,Sergeant,Do swarm upon him--from the western isles,27
Act I,Scene II,Sergeant,Of kerns and gallowglasses is supplied;,28
Act I,Scene II,Sergeant,"And fortune, on his damned quarrel smiling,",29
Act I,Scene II,Sergeant,Show'd like a rebel's whore: but all's too weak:,30
Act I,Scene II,Sergeant,For brave Macbeth--well he deserves that name--,31
Act I,Scene II,Sergeant,"Disdaining fortune, with his brandish'd steel,",32
Act I,Scene II,Sergeant,"Which smoked with bloody execution,",33
