act,scene,character,dialogue,line_number
Act I,Scene I,[stage direction],FRANCISCO at his post. Enter to him BERNARDO,NA
Act I,Scene I,Bernardo,Who's there?,1
Act I,Scene I,Francisco,"Nay, answer me: stand, and unfold yourself.",2
Act I,Scene I,Bernardo,Long live the king!,3
Act I,Scene I,Francisco,Bernardo?,4
Act I,Scene I,Bernardo,He.,5
Act I,Scene I,Francisco,You come most carefully upon your hour.,6
Act I,Scene I,Bernardo,"'Tis now struck twelve; get thee to bed, Francisco.",7
Act I,Scene I,Francisco,"For this relief much thanks: 'tis bitter cold,",8
Act I,Scene I,Francisco,And I am sick at heart.,9
Act I,Scene I,Bernardo,Have you had quiet guard?,10
Act I,Scene I,Francisco,Not a mouse stirring.,11
Act I,Scene I,Bernardo,"Well, good night.",12
Act I,Scene I,Bernardo,"If you do meet Horatio and Marcellus,",13
Act I,Scene I,Bernardo,"The rivals of my watch, bid them make haste.",14
Act I,Scene I,Francisco,"I think I hear them. Stand, ho! Who's there?",15
Act I,Scene I,[stage direction],Enter HORATIO and MARCELLUS,NA
Act I,Scene I,Horatio,Friends to this ground.,16
Act I,Scene I,Marcellus,And liegemen to the Dane.,17
Act I,Scene I,Francisco,Give you good night.,18
Act I,Scene I,Marcellus,"O, farewell, honest soldier:",19
Act I,Scene I,Marcellus,Who hath relieved you?,20
Act I,Scene I,Francisco,Bernardo has my place.,21
Act I,Scene I,Francisco,Give you good night.,22
Act I,Scene I,[stage direction],Exit,NA
Act I,Scene I,Marcellus,Holla! Bernardo!,23
Act I,Scene I,Bernardo,"Say,",24
Act I,Scene I,Bernardo,"What, is Horatio there?",25
Act I,Scene I,Horatio,A piece of him.,26
Act I,Scene I,Bernardo,"Welcome, Horatio: welcome, good Marcellus.",27
Act I,Scene I,Marcellus,"What, has this thing appear'd again to-night?",28
Act I,Scene I,Bernardo,I have seen nothing.,29
Act I,Scene I,Marcellus,"Horatio says 'tis but our fantasy,",30
Act I,Scene I,Marcellus,And will not let belief take hold of him,31
Act I,Scene I,Marcellus,"Touching this dreaded sight, twice seen of us:",32
Act I,Scene I,Marcellus,Therefore I have entreated him along,33
Act I,Scene I,Marcellus,With us to watch the minutes of this night;,34
Act I,Scene I,Marcellus,"That if again this apparition come,",35
Act I,Scene I,Marcellus,He may approve our eyes and speak to it.,36
Act I,Scene I,Horatio,"Tush, tush, 'twill not appear.",37
Act I,Scene I,Bernardo,Sit down awhile;,38
Act I,Scene I,Bernardo,"And let us once again assail your ears,",39
Act I,Scene I,Bernardo,That are so fortified against our story,40
