act,scene,character,dialogue,line_number
Act I,Prologue,Chorus,"Two households, both alike in dignity,",1
Act I,Prologue,Chorus,"In fair Verona, where we lay our scene,",2
Act I,Prologue,Chorus,"From ancient grudge break to new mutiny,",3
Act I,Prologue,Chorus,Where civil blood makes civil hands unclean.,4
Act I,Prologue,Chorus,From forth the fatal loins of these two foes,5
Act I,Prologue,Chorus,A pair of star-cross'd lovers take their life;,6
Act I,Prologue,Chorus,Whose misadventured piteous overthrows,7
Act I,Prologue,Chorus,Do with their death bury their parents' strife.,8
Act I,Prologue,Chorus,"The fearful passage of their death-mark'd love,",9
Act I,Prologue,Chorus,"And the continuance of their parents' rage,",10
Act I,Prologue,Chorus,"Which, but their children's end, nought could remove,",11
Act I,Prologue,Chorus,Is now the two hours' traffic of our stage;,12
Act I,Prologue,Chorus,"The which if you with patient ears attend,",13
Act I,Prologue,Chorus,"What here shall miss, our toil shall strive to mend.",14
Act I,Scene I,[stage direction],"Enter SAMPSON and GREGORY, of the house of Capulet, armed with swords and bucklers",NA
Act I,Scene I,Sampson,"Gregory, o' my word, we'll not carry coals.",15
Act I,Scene I,Gregory,"No, for then we should be colliers.",16
Act I,Scene I,Sampson,"I mean, an we be in choler, we'll draw.",17
Act I,Scene I,Gregory,"Ay, while you live, draw your neck out o' the collar.",18
Act I,Scene I,Sampson,"I strike quickly, being moved.",19
Act I,Scene I,Gregory,But thou art not quickly moved to strike.,20
Act I,Scene I,Sampson,A dog of the house of Montague moves me.,21
Act I,Scene I,Gregory,To move is to stir; and to be valiant is to stand:,22
Act I,Scene I,Gregory,"therefore, if thou art moved, thou runn'st away.",23
Act I,Scene I,Sampson,A dog of that house shall move me to stand: I will,24
Act I,Scene I,Sampson,take the wall of any man or maid of Montague's.,25
Act I,Scene I,Gregory,That shows thee a weak slave; for the weakest goes,26
Act I,Scene I,Gregory,to the wall.,27
Act I,Scene I,Sampson,"True; and therefore women, being the weaker vessels,",28
Act I,Scene I,Sampson,are ever thrust to the wall: therefore I will push,29
Act I,Scene I,Sampson,"Montague's men from the wall, and thrust his maids",30
Act I,Scene I,Sampson,to the wall.,31
Act I,Scene I,Gregory,The quarrel is between our masters and us their men.,32
Act I,Scene I,Sampson,"'Tis all one, I will show myself a tyrant: when I",33
Act I,Scene I,Sampson,"have fought with the men, I will be cruel with the",34
Act I,Scene I,Sampson,"maids, and cut off their heads.",35
Act I,Scene I,Gregory,The heads of the maids?,36
Act I,Scene I,Sampson,"Ay, the heads of the maids, or their maidenheads;",37
Act I,Scene I,Sampson,take it in what sense thou wilt.,38
Act I,Scene I,Gregory,They must take it in sense that feel it.,39
Act I,Scene I,Sampson,Me they shall feel while I am able to stand: and,40
Act I,Scene I,Sampson,'tis known I am a pretty piece of flesh.,41
Act I,Scene I,Gregory,"'Tis well thou art not fish; if thou hadst, thou",42
Act I,Scene I,Gregory,hadst been poor John. Draw thy tool! here comes,43
Act I,Scene I,Gregory,two of the house of the Montagues.,44
Act I,Scene I,Sampson,"My naked weapon is out: quarrel, I will back thee.",45
Act I,Scene I,Gregory,How! turn thy back and run?,46
Act I,Scene I,Sampson,Fear me not.,47
Act I,Scene I,Gregory,"No, marry; I fear thee!",48
Act I,Scene I,Sampson,Let us take the law of our sides; let them begin.,49
Act I,Scene I,Gregory,"I will frown as I pass by, and let them take it as",50
Act I,Scene I,Gregory,they list.,51
Act I,Scene I,Sampson,"Nay, as they dare. I will bite my thumb at them;",52
Act I,Scene I,Sampson,"which is a disgrace to them, if they bear it.",53
Act I,Scene I,[stage direction],Enter ABRAHAM and BALTHASAR,NA
Act I,Scene I,Abraham,"Do you bite your thumb at us, sir?",54
Act I,Scene I,Sampson,"I do bite my thumb, sir.",55
Act I,Scene I,Abraham,"Do you bite your thumb at us, sir?",56
Act I,Scene I,Sampson,"[Aside to GREGORY]  Is the law of our side, if I say",57
Act I,Scene I,Sampson,ay?,58
Act I,Scene I,Gregory,No.,59
Act I,Scene I,Sampson,"No, sir, I do not bite my thumb at you, sir, but I",60
Act I,Scene I,Sampson,"bite my thumb, sir.",61
Act I,Scene I,Gregory,"Do you quarrel, sir?",62
Act I,Scene I,Abraham,"Quarrel sir! no, sir.",63
Act I,Scene I,Sampson,"If you do, sir, I am for you: I serve as good a man as you.",64
Act I,Scene I,Abraham,No better.,65
Act I,Scene I,Sampson,"Well, sir.",66
Act I,Scene I,Gregory,Say 'better:' here comes one of my master's kinsmen.,67
Act I,Scene I,Sampson,"Yes, better, sir.",68
Act I,Scene I,Abraham,You lie.,69
Act I,Scene I,Sampson,"Draw, if you be men. Gregory, remember thy swashing blow.",70
Act I,Scene I,[stage direction],They fight,NA
Act I,Scene I,[stage direction],Enter BENVOLIO,NA
Act I,Scene I,Benvolio,"Part, fools!",71
Act I,Scene I,Benvolio,Put up your swords; you know not what you do.,72
Act I,Scene I,[stage direction],Beats down their swords,NA
Act I,Scene I,[stage direction],Enter TYBALT,NA
Act I,Scene I,Tybalt,"What, art thou drawn among these heartless hinds?",73
Act I,Scene I,Tybalt,"Turn thee, Benvolio, look upon thy death.",74
Act I,Scene I,Benvolio,"I do but keep the peace: put up thy sword,",75
Act I,Scene I,Benvolio,Or manage it to part these men with me.,76
Act I,Scene I,Tybalt,"What, drawn, and talk of peace! I hate the word,",77
Act I,Scene I,Tybalt,"As I hate hell, all Montagues, and thee:",78
Act I,Scene I,Tybalt,"Have at thee, coward!",79
Act I,Scene I,[stage direction],They fight,NA
Act I,Scene I,[stage direction],"Enter, several of both houses, who join the fray; then enter Citizens, with clubs",NA
Act I,Scene I,First Citizen,"Clubs, bills, and partisans! strike! beat them down!",80
Act I,Scene I,First Citizen,Down with the Capulets! down with the Montagues!,81
Act I,Scene I,[stage direction],"Enter CAPULET in his gown, and LADY CAPULET",NA
Act I,Scene I,Capulet,"What noise is this? Give me my long sword, ho!",82
Act I,Scene I,Lady Capulet,"A crutch, a crutch! why call you for a sword?",83
Act I,Scene I,Capulet,"My sword, I say! Old Montague is come,",84
Act I,Scene I,Capulet,And flourishes his blade in spite of me.,85
Act I,Scene I,[stage direction],Enter MONTAGUE and LADY MONTAGUE,NA
Act I,Scene I,Montague,"Thou villain Capulet,--Hold me not, let me go.",86
Act I,Scene I,Lady Montague,Thou shalt not stir a foot to seek a foe.,87
Act I,Scene I,[stage direction],"Enter PRINCE, with Attendants",NA
Act I,Scene I,Prince,"Rebellious subjects, enemies to peace,",88
Act I,Scene I,Prince,"Profaners of this neighbour-stained steel,--",89
Act I,Scene I,Prince,"Will they not hear? What, ho! you men, you beasts,",90
Act I,Scene I,Prince,That quench the fire of your pernicious rage,91
Act I,Scene I,Prince,"With purple fountains issuing from your veins,",92
Act I,Scene I,Prince,"On pain of torture, from those bloody hands",93
Act I,Scene I,Prince,"Throw your mistemper'd weapons to the ground,",94
Act I,Scene I,Prince,And hear the sentence of your moved prince.,95
Act I,Scene I,Prince,"Three civil brawls, bred of an airy word,",96
Act I,Scene I,Prince,"By thee, old Capulet, and Montague,",97
Act I,Scene I,Prince,"Have thrice disturb'd the quiet of our streets,",98
Act I,Scene I,Prince,And made Verona's ancient citizens,99
Act I,Scene I,Prince,"Cast by their grave beseeming ornaments,",100
Act I,Scene I,Prince,"To wield old partisans, in hands as old,",101
Act I,Scene I,Prince,"Canker'd with peace, to part your canker'd hate:",102
Act I,Scene I,Prince,"If ever you disturb our streets again,",103
Act I,Scene I,Prince,Your lives shall pay the forfeit of the peace.,104
Act I,Scene I,Prince,"For this time, all the rest depart away:",105
Act I,Scene I,Prince,You Capulet; shall go along with me:,106
Act I,Scene I,Prince,"And, Montague, come you this afternoon,",107
Act I,Scene I,Prince,"To know our further pleasure in this case,",108
Act I,Scene I,Prince,"To old Free-town, our common judgment-place.",109
Act I,Scene I,Prince,"Once more, on pain of death, all men depart.",110
Act I,Scene I,[stage direction],"Exeunt all but MONTAGUE, LADY MONTAGUE, and BENVOLIO",NA
Act I,Scene I,Montague,Who set this ancient quarrel new abroach?,111
Act I,Scene I,Montague,"Speak, nephew, were you by when it began?",112
Act I,Scene I,Benvolio,"Here were the servants of your adversary,",113
Act I,Scene I,Benvolio,"And yours, close fighting ere I did approach:",114
Act I,Scene I,Benvolio,I drew to part them: in the instant came,115
Act I,Scene I,Benvolio,"The fiery Tybalt, with his sword prepared,",116
Act I,Scene I,Benvolio,"Which, as he breathed defiance to my ears,",117
Act I,Scene I,Benvolio,"He swung about his head and cut the winds,",118
Act I,Scene I,Benvolio,Who nothing hurt withal hiss'd him in scorn:,119
Act I,Scene I,Benvolio,"While we were interchanging thrusts and blows,",120
Act I,Scene I,Benvolio,"Came more and more and fought on part and part,",121
Act I,Scene I,Benvolio,"Till the prince came, who parted either part.",122
Act I,Scene I,Lady Montague,"O, where is Romeo? saw you him to-day?",123
Act I,Scene I,Lady Montague,Right glad I am he was not at this fray.,124
Act I,Scene I,Benvolio,"Madam, an hour before the worshipp'd sun",125
Act I,Scene I,Benvolio,"Peer'd forth the golden window of the east,",126
Act I,Scene I,Benvolio,A troubled mind drave me to walk abroad;,127
Act I,Scene I,Benvolio,"Where, underneath the grove of sycamore",128
Act I,Scene I,Benvolio,"That westward rooteth from the city's side,",129
Act I,Scene I,Benvolio,So early walking did I see your son:,130
Act I,Scene I,Benvolio,"Towards him I made, but he was ware of me",131
Act I,Scene I,Benvolio,And stole into the covert of the wood:,132
Act I,Scene I,Benvolio,"I, measuring his affections by my own,",133
Act I,Scene I,Benvolio,"That most are busied when they're most alone,",134
Act I,Scene I,Benvolio,"Pursued my humour not pursuing his,",135
Act I,Scene I,Benvolio,And gladly shunn'd who gladly fled from me.,136
Act I,Scene I,Montague,"Many a morning hath he there been seen,",137
Act I,Scene I,Montague,With tears augmenting the fresh morning dew.,138
Act I,Scene I,Montague,Adding to clouds more clouds with his deep sighs;,139
Act I,Scene I,Montague,But all so soon as the all-cheering sun,140
Act I,Scene I,Montague,Should in the furthest east begin to draw,141
Act I,Scene I,Montague,"The shady curtains from Aurora's bed,",142
Act I,Scene I,Montague,"Away from the light steals home my heavy son,",143
Act I,Scene I,Montague,"And private in his chamber pens himself,",144
Act I,Scene I,Montague,"Shuts up his windows, locks far daylight out",145
Act I,Scene I,Montague,And makes himself an artificial night:,146
Act I,Scene I,Montague,"Black and portentous must this humour prove,",147
Act I,Scene I,Montague,Unless good counsel may the cause remove.,148
Act I,Scene I,Benvolio,"My noble uncle, do you know the cause?",149
Act I,Scene I,Montague,I neither know it nor can learn of him.,150
Act I,Scene I,Benvolio,Have you importuned him by any means?,151
Act I,Scene I,Montague,Both by myself and many other friends:,152
Act I,Scene I,Montague,"But he, his own affections' counsellor,",153
Act I,Scene I,Montague,Is to himself--I will not say how true--,154
Act I,Scene I,Montague,"But to himself so secret and so close,",155
Act I,Scene I,Montague,"So far from sounding and discovery,",156
Act I,Scene I,Montague,"As is the bud bit with an envious worm,",157
Act I,Scene I,Montague,"Ere he can spread his sweet leaves to the air,",158
Act I,Scene I,Montague,Or dedicate his beauty to the sun.,159
Act I,Scene I,Montague,Could we but learn from whence his sorrows grow.,160
Act I,Scene I,Montague,We would as willingly give cure as know.,161
Act I,Scene I,[stage direction],Enter ROMEO,NA
Act I,Scene I,Benvolio,"See, where he comes: so please you, step aside;",162
Act I,Scene I,Benvolio,"I'll know his grievance, or be much denied.",163
Act I,Scene I,Montague,"I would thou wert so happy by thy stay,",164
Act I,Scene I,Montague,"To hear true shrift. Come, madam, let's away.",165
Act I,Scene I,[stage direction],Exeunt MONTAGUE and LADY MONTAGUE,NA
Act I,Scene I,Benvolio,"Good-morrow, cousin.",166
Act I,Scene I,Romeo,Is the day so young?,167
Act I,Scene I,Benvolio,But new struck nine.,168
Act I,Scene I,Romeo,Ay me! sad hours seem long.,169
Act I,Scene I,Romeo,Was that my father that went hence so fast?,170
Act I,Scene I,Benvolio,It was. What sadness lengthens Romeo's hours?,171
Act I,Scene I,Romeo,"Not having that, which, having, makes them short.",172
Act I,Scene I,Benvolio,In love?,173
Act I,Scene I,Romeo,Out--,174
Act I,Scene I,Benvolio,Of love?,175
Act I,Scene I,Romeo,"Out of her favour, where I am in love.",176
Act I,Scene I,Benvolio,"Alas, that love, so gentle in his view,",177
Act I,Scene I,Benvolio,Should be so tyrannous and rough in proof!,178
Act I,Scene I,Romeo,"Alas, that love, whose view is muffled still,",179
Act I,Scene I,Romeo,"Should, without eyes, see pathways to his will!",180
Act I,Scene I,Romeo,Where shall we dine? O me! What fray was here?,181
Act I,Scene I,Romeo,"Yet tell me not, for I have heard it all.",182
Act I,Scene I,Romeo,"Here's much to do with hate, but more with love.",183
Act I,Scene I,Romeo,"Why, then, O brawling love! O loving hate!",184
Act I,Scene I,Romeo,"O any thing, of nothing first create!",185
Act I,Scene I,Romeo,O heavy lightness! serious vanity!,186
Act I,Scene I,Romeo,Mis-shapen chaos of well-seeming forms!,187
Act I,Scene I,Romeo,"Feather of lead, bright smoke, cold fire,",188
Act I,Scene I,Romeo,sick health!,189
Act I,Scene I,Romeo,"Still-waking sleep, that is not what it is!",190
Act I,Scene I,Romeo,"This love feel I, that feel no love in this.",191
Act I,Scene I,Romeo,Dost thou not laugh?,192
Act I,Scene I,Benvolio,"No, coz, I rather weep.",193
Act I,Scene I,Romeo,"Good heart, at what?",194
Act I,Scene I,Benvolio,At thy good heart's oppression.,195
Act I,Scene I,Romeo,"Why, such is love's transgression.",196
Act I,Scene I,Romeo,"Griefs of mine own lie heavy in my breast,",197
Act I,Scene I,Romeo,"Which thou wilt propagate, to have it prest",198
Act I,Scene I,Romeo,With more of thine: this love that thou hast shown,199
Act I,Scene I,Romeo,Doth add more grief to too much of mine own.,200
Act I,Scene I,Romeo,Love is a smoke raised with the fume of sighs;,201
Act I,Scene I,Romeo,"Being purged, a fire sparkling in lovers' eyes;",202
Act I,Scene I,Romeo,Being vex'd a sea nourish'd with lovers' tears:,203
Act I,Scene I,Romeo,"What is it else? a madness most discreet,",204
Act I,Scene I,Romeo,A choking gall and a preserving sweet.,205
Act I,Scene I,Romeo,"Farewell, my coz.",206
Act I,Scene I,Benvolio,Soft! I will go along;,207
Act I,Scene I,Benvolio,"An if you leave me so, you do me wrong.",208
Act I,Scene I,Romeo,"Tut, I have lost myself; I am not here;",209
Act I,Scene I,Romeo,"This is not Romeo, he's some other where.",210
Act I,Scene I,Benvolio,"Tell me in sadness, who is that you love.",211
Act I,Scene I,Romeo,"What, shall I groan and tell thee?",212
Act I,Scene I,Benvolio,"Groan! why, no.",213
Act I,Scene I,Benvolio,But sadly tell me who.,214
Act I,Scene I,Romeo,Bid a sick man in sadness make his will:,215
Act I,Scene I,Romeo,"Ah, word ill urged to one that is so ill!",216
Act I,Scene I,Romeo,"In sadness, cousin, I do love a woman.",217
Act I,Scene I,Benvolio,"I aim'd so near, when I supposed you loved.",218
Act I,Scene I,Romeo,A right good mark-man! And she's fair I love.,219
Act I,Scene I,Benvolio,"A right fair mark, fair coz, is soonest hit.",220
Act I,Scene I,Romeo,"Well, in that hit you miss: she'll not be hit",221
Act I,Scene I,Romeo,With Cupid's arrow; she hath Dian's wit;,222
Act I,Scene I,Romeo,"And, in strong proof of chastity well arm'd,",223
Act I,Scene I,Romeo,From love's weak childish bow she lives unharm'd.,224
Act I,Scene I,Romeo,"She will not stay the siege of loving terms,",225
Act I,Scene I,Romeo,"Nor bide the encounter of assailing eyes,",226
Act I,Scene I,Romeo,Nor ope her lap to saint-seducing gold:,227
Act I,Scene I,Romeo,"O, she is rich in beauty, only poor,",228
Act I,Scene I,Romeo,That when she dies with beauty dies her store.,229
Act I,Scene I,Benvolio,Then she hath sworn that she will still live chaste?,230
Act I,Scene I,Romeo,"She hath, and in that sparing makes huge waste,",231
Act I,Scene I,Romeo,For beauty starved with her severity,232
Act I,Scene I,Romeo,Cuts beauty off from all posterity.,233
Act I,Scene I,Romeo,"She is too fair, too wise, wisely too fair,",234
Act I,Scene I,Romeo,To merit bliss by making me despair:,235
Act I,Scene I,Romeo,"She hath forsworn to love, and in that vow",236
Act I,Scene I,Romeo,Do I live dead that live to tell it now.,237
Act I,Scene I,Benvolio,"Be ruled by me, forget to think of her.",238
Act I,Scene I,Romeo,"O, teach me how I should forget to think.",239
Act I,Scene I,Benvolio,By giving liberty unto thine eyes;,240
Act I,Scene I,Benvolio,Examine other beauties.,241
Act I,Scene I,Romeo,'Tis the way,242
Act I,Scene I,Romeo,"To call hers exquisite, in question more:",243
Act I,Scene I,Romeo,These happy masks that kiss fair ladies' brows,244
Act I,Scene I,Romeo,Being black put us in mind they hide the fair;,245
Act I,Scene I,Romeo,He that is strucken blind cannot forget,246
Act I,Scene I,Romeo,The precious treasure of his eyesight lost:,247
Act I,Scene I,Romeo,"Show me a mistress that is passing fair,",248
Act I,Scene I,Romeo,"What doth her beauty serve, but as a note",249
Act I,Scene I,Romeo,Where I may read who pass'd that passing fair?,250
Act I,Scene I,Romeo,Farewell: thou canst not teach me to forget.,251
Act I,Scene I,Benvolio,"I'll pay that doctrine, or else die in debt.",252
Act I,Scene I,[stage direction],Exeunt,NA
Act I,Scene II,[stage direction],"Enter CAPULET, PARIS, and Servant",NA
Act I,Scene II,Capulet,"But Montague is bound as well as I,",253
Act I,Scene II,Capulet,"In penalty alike; and 'tis not hard, I think,",254
Act I,Scene II,Capulet,For men so old as we to keep the peace.,255
Act I,Scene II,Paris,Of honourable reckoning are you both;,256
Act I,Scene II,Paris,And pity 'tis you lived at odds so long.,257
Act I,Scene II,Paris,"But now, my lord, what say you to my suit?",258
Act I,Scene II,Capulet,But saying o'er what I have said before:,259
Act I,Scene II,Capulet,My child is yet a stranger in the world;,260
Act I,Scene II,Capulet,"She hath not seen the change of fourteen years,",261
Act I,Scene II,Capulet,"Let two more summers wither in their pride,",262
Act I,Scene II,Capulet,Ere we may think her ripe to be a bride.,263
Act I,Scene II,Paris,Younger than she are happy mothers made.,264
Act I,Scene II,Capulet,And too soon marr'd are those so early made.,265
Act I,Scene II,Capulet,"The earth hath swallow'd all my hopes but she,",266
Act I,Scene II,Capulet,She is the hopeful lady of my earth:,267
Act I,Scene II,Capulet,"But woo her, gentle Paris, get her heart,",268
Act I,Scene II,Capulet,My will to her consent is but a part;,269
Act I,Scene II,Capulet,"An she agree, within her scope of choice",270
Act I,Scene II,Capulet,Lies my consent and fair according voice.,271
Act I,Scene II,Capulet,"This night I hold an old accustom'd feast,",272
Act I,Scene II,Capulet,"Whereto I have invited many a guest,",273
Act I,Scene II,Capulet,"Such as I love; and you, among the store,",274
Act I,Scene II,Capulet,"One more, most welcome, makes my number more.",275
Act I,Scene II,Capulet,At my poor house look to behold this night,276
Act I,Scene II,Capulet,Earth-treading stars that make dark heaven light:,277
Act I,Scene II,Capulet,Such comfort as do lusty young men feel,278
Act I,Scene II,Capulet,When well-apparell'd April on the heel,279
Act I,Scene II,Capulet,"Of limping winter treads, even such delight",280
Act I,Scene II,Capulet,Among fresh female buds shall you this night,281
Act I,Scene II,Capulet,"Inherit at my house; hear all, all see,",282
Act I,Scene II,Capulet,And like her most whose merit most shall be:,283
Act I,Scene II,Capulet,"Which on more view, of many mine being one",284
Act I,Scene II,Capulet,"May stand in number, though in reckoning none,",285
Act I,Scene II,Capulet,"Come, go with me.",286
Act I,Scene II,[stage direction],"To Servant, giving a paper",NA
Act I,Scene II,Capulet,"Go, sirrah, trudge about",287
Act I,Scene II,Capulet,Through fair Verona; find those persons out,288
Act I,Scene II,Capulet,"Whose names are written there, and to them say,",289
Act I,Scene II,Capulet,My house and welcome on their pleasure stay.,290
Act I,Scene II,[stage direction],Exeunt CAPULET and PARIS,NA
Act I,Scene II,Servant,Find them out whose names are written here! It is,291
Act I,Scene II,Servant,"written, that the shoemaker should meddle with his",292
Act I,Scene II,Servant,"yard, and the tailor with his last, the fisher with",293
Act I,Scene II,Servant,"his pencil, and the painter with his nets; but I am",294
Act I,Scene II,Servant,sent to find those persons whose names are here,295
Act I,Scene II,Servant,"writ, and can never find what names the writing",296
Act I,Scene II,Servant,person hath here writ. I must to the learned.--In good time.,297
Act I,Scene II,[stage direction],Enter BENVOLIO and ROMEO,NA
Act I,Scene II,Benvolio,"Tut, man, one fire burns out another's burning,",298
Act I,Scene II,Benvolio,One pain is lessen'd by another's anguish;,299
Act I,Scene II,Benvolio,"Turn giddy, and be holp by backward turning;",300
Act I,Scene II,Benvolio,One desperate grief cures with another's languish:,301
Act I,Scene II,Benvolio,"Take thou some new infection to thy eye,",302
Act I,Scene II,Benvolio,And the rank poison of the old will die.,303
Act I,Scene II,Romeo,Your plaintain-leaf is excellent for that.,304
Act I,Scene II,Benvolio,"For what, I pray thee?",305
Act I,Scene II,Romeo,For your broken shin.,306
Act I,Scene II,Benvolio,"Why, Romeo, art thou mad?",307
Act I,Scene II,Romeo,"Not mad, but bound more than a mad-man is;",308
Act I,Scene II,Romeo,"Shut up in prison, kept without my food,",309
Act I,Scene II,Romeo,"Whipp'd and tormented and--God-den, good fellow.",310
Act I,Scene II,Servant,"God gi' god-den. I pray, sir, can you read?",311
Act I,Scene II,Romeo,"Ay, mine own fortune in my misery.",312
Act I,Scene II,Servant,"Perhaps you have learned it without book: but, I",313
Act I,Scene II,Servant,"pray, can you read any thing you see?",314
Act I,Scene II,Romeo,"Ay, if I know the letters and the language.",315
Act I,Scene II,Servant,Ye say honestly: rest you merry!,316
Act I,Scene II,Romeo,"Stay, fellow; I can read.",317
Act I,Scene II,[stage direction],Reads,NA
Act I,Scene II,Romeo,'Signior Martino and his wife and daughters;,318
Act I,Scene II,Romeo,County Anselme and his beauteous sisters; the lady,319
Act I,Scene II,Romeo,widow of Vitravio; Signior Placentio and his lovely,320
Act I,Scene II,Romeo,nieces; Mercutio and his brother Valentine; mine,321
Act I,Scene II,Romeo,"uncle Capulet, his wife and daughters; my fair niece",322
Act I,Scene II,Romeo,Rosaline; Livia; Signior Valentio and his cousin,323
Act I,Scene II,Romeo,"Tybalt, Lucio and the lively Helena.' A fair",324
Act I,Scene II,Romeo,assembly: whither should they come?,325
Act I,Scene II,Servant,Up.,326
Act I,Scene II,Romeo,Whither?,327
Act I,Scene II,Servant,To supper; to our house.,328
Act I,Scene II,Romeo,Whose house?,329
Act I,Scene II,Servant,My master's.,330
Act I,Scene II,Romeo,"Indeed, I should have ask'd you that before.",331
Act I,Scene II,Servant,Now I'll tell you without asking: my master is the,332
Act I,Scene II,Servant,great rich Capulet; and if you be not of the house,333
Act I,Scene II,Servant,"of Montagues, I pray, come and crush a cup of wine.",334
Act I,Scene II,Servant,Rest you merry!,335
Act I,Scene II,[stage direction],Exit,NA
Act I,Scene II,Benvolio,At this same ancient feast of Capulet's,336
Act I,Scene II,Benvolio,"Sups the fair Rosaline whom thou so lovest,",337
Act I,Scene II,Benvolio,With all the admired beauties of Verona:,338
Act I,Scene II,Benvolio,"Go thither; and, with unattainted eye,",339
Act I,Scene II,Benvolio,"Compare her face with some that I shall show,",340
Act I,Scene II,Benvolio,And I will make thee think thy swan a crow.,341
Act I,Scene II,Romeo,When the devout religion of mine eye,342
Act I,Scene II,Romeo,"Maintains such falsehood, then turn tears to fires;",343
Act I,Scene II,Romeo,"And these, who often drown'd could never die,",344
Act I,Scene II,Romeo,"Transparent heretics, be burnt for liars!",345
Act I,Scene II,Romeo,One fairer than my love! the all-seeing sun,346
Act I,Scene II,Romeo,Ne'er saw her match since first the world begun.,347
Act I,Scene II,Benvolio,"Tut, you saw her fair, none else being by,",348
Act I,Scene II,Benvolio,Herself poised with herself in either eye:,349
Act I,Scene II,Benvolio,But in that crystal scales let there be weigh'd,350
Act I,Scene II,Benvolio,Your lady's love against some other maid,351
Act I,Scene II,Benvolio,"That I will show you shining at this feast,",352
Act I,Scene II,Benvolio,And she shall scant show well that now shows best.,353
Act I,Scene II,Romeo,"I'll go along, no such sight to be shown,",354
Act I,Scene II,Romeo,But to rejoice in splendor of mine own.,355
Act I,Scene II,[stage direction],Exeunt,NA
Act I,Scene III,[stage direction],Enter LADY CAPULET and Nurse,NA
Act I,Scene III,Lady Capulet,"Nurse, where's my daughter? call her forth to me.",356
Act I,Scene III,Nurse,"Now, by my maidenhead, at twelve year old,",357
Act I,Scene III,Nurse,"I bade her come. What, lamb! what, ladybird!",358
Act I,Scene III,Nurse,"God forbid! Where's this girl? What, Juliet!",359
Act I,Scene III,[stage direction],Enter JULIET,NA
Act I,Scene III,Juliet,How now! who calls?,360
Act I,Scene III,Nurse,Your mother.,361
Act I,Scene III,Juliet,"Madam, I am here.",362
Act I,Scene III,Juliet,What is your will?,363
Act I,Scene III,Lady Capulet,"This is the matter:--Nurse, give leave awhile,",364
Act I,Scene III,Lady Capulet,"We must talk in secret:--nurse, come back again;",365
Act I,Scene III,Lady Capulet,"I have remember'd me, thou's hear our counsel.",366
Act I,Scene III,Lady Capulet,Thou know'st my daughter's of a pretty age.,367
Act I,Scene III,Nurse,"Faith, I can tell her age unto an hour.",368
Act I,Scene III,Lady Capulet,She's not fourteen.,369
Act I,Scene III,Nurse,"I'll lay fourteen of my teeth,--",370
Act I,Scene III,Nurse,"And yet, to my teeth be it spoken, I have but four--",371
Act I,Scene III,Nurse,She is not fourteen. How long is it now,372
Act I,Scene III,Nurse,To Lammas-tide?,373
Act I,Scene III,Lady Capulet,A fortnight and odd days.,374
Act I,Scene III,Nurse,"Even or odd, of all days in the year,",375
Act I,Scene III,Nurse,Come Lammas-eve at night shall she be fourteen.,376
Act I,Scene III,Nurse,Susan and she--God rest all Christian souls!--,377
Act I,Scene III,Nurse,"Were of an age: well, Susan is with God;",378
Act I,Scene III,Nurse,"She was too good for me: but, as I said,",379
Act I,Scene III,Nurse,On Lammas-eve at night shall she be fourteen;,380
Act I,Scene III,Nurse,"That shall she, marry; I remember it well.",381
Act I,Scene III,Nurse,'Tis since the earthquake now eleven years;,382
Act I,Scene III,Nurse,"And she was wean'd,--I never shall forget it,--",383
Act I,Scene III,Nurse,"Of all the days of the year, upon that day:",384
Act I,Scene III,Nurse,"For I had then laid wormwood to my dug,",385
Act I,Scene III,Nurse,Sitting in the sun under the dove-house wall;,386
Act I,Scene III,Nurse,My lord and you were then at Mantua:--,387
Act I,Scene III,Nurse,"Nay, I do bear a brain:--but, as I said,",388
Act I,Scene III,Nurse,When it did taste the wormwood on the nipple,389
Act I,Scene III,Nurse,"Of my dug and felt it bitter, pretty fool,",390
Act I,Scene III,Nurse,To see it tetchy and fall out with the dug!,391
Act I,Scene III,Nurse,"Shake quoth the dove-house: 'twas no need, I trow,",392
Act I,Scene III,Nurse,To bid me trudge:,393
Act I,Scene III,Nurse,And since that time it is eleven years;,394
Act I,Scene III,Nurse,"For then she could stand alone; nay, by the rood,",395
Act I,Scene III,Nurse,She could have run and waddled all about;,396
Act I,Scene III,Nurse,"For even the day before, she broke her brow:",397
Act I,Scene III,Nurse,And then my husband--God be with his soul!,398
Act I,Scene III,Nurse,A' was a merry man--took up the child:,399
Act I,Scene III,Nurse,"'Yea,' quoth he, 'dost thou fall upon thy face?",400
Act I,Scene III,Nurse,Thou wilt fall backward when thou hast more wit;,401
Act I,Scene III,Nurse,"Wilt thou not, Jule?' and, by my holidame,",402
Act I,Scene III,Nurse,The pretty wretch left crying and said 'Ay.',403
Act I,Scene III,Nurse,"To see, now, how a jest shall come about!",404
Act I,Scene III,Nurse,"I warrant, an I should live a thousand years,",405
Act I,Scene III,Nurse,"I never should forget it: 'Wilt thou not, Jule?' quoth he;",406
Act I,Scene III,Nurse,"And, pretty fool, it stinted and said 'Ay.'",407
Act I,Scene III,Lady Capulet,"Enough of this; I pray thee, hold thy peace.",408
Act I,Scene III,Nurse,"Yes, madam: yet I cannot choose but laugh,",409
Act I,Scene III,Nurse,To think it should leave crying and say 'Ay.',410
