ID horse chestnut,year,date
1,1818,16.03.25
2,1819,01.04.25
3,1820,06.04.25
4,1821,10.04.25
5,1822,17.03.25
6,1823,04.04.25
7,1824,20.04.25
8,1825,06.04.25
9,1826,29.03.25
10,1827,09.04.25
11,1828,04.04.25
12,1829,06.04.25
13,1830,29.03.25
14,1831,31.03.25
15,1832,04.04.25
16,1833,10.04.25
17,1834,13.03.25
18,1835,07.04.25
19,1836,26.03.25
20,1837,20.04.25
21,1838,08.04.25
22,1839,06.04.25
23,1840,14.04.25
24,1841,25.03.25
25,1842,11.04.25
26,1843,25.03.25
27,1844,03.04.25
28,1845,09.04.25
29,1846,24.03.25
30,1847,03.04.25
31,1848,01.04.25
32,1849,07.04.25
33,1850,10.04.25
34,1851,07.04.25
35,1852,07.04.25
36,1853,18.04.25
37,1854,03.04.25
38,1855,12.04.25
39,1856,26.03.25
40,1857,03.04.25
41,1858,05.04.25
42,1859,18.03.25
43,1860,06.04.25
44,1861,30.03.25
45,1862,28.03.25
46,1863,04.04.25
47,1864,02.04.25
48,1865,11.04.25
49,1866,31.03.25
50,1867,24.03.25
51,1868,03.04.25
52,1869,08.04.25
53,1870,10.04.25
54,1871,27.03.25
55,1872,28.03.25
56,1873,27.03.25
57,1874,31.03.25
58,1875,04.04.25
59,1876,28.03.25
60,1877,31.03.25
61,1878,05.04.25
62,1879,28.03.25
63,1880,20.03.25
64,1881,19.03.25
65,1882,15.03.25
66,1883,03.04.25
67,1884,17.03.25
68,1885,20.03.25
69,1886,29.03.25
70,1887,12.04.25
71,1888,15.04.25
72,1889,12.04.25
73,1890,30.03.25
74,1891,15.04.25
75,1892,03.04.25
76,1893,27.03.25
77,1894,01.04.25
78,1895,09.04.25
79,1896,22.03.25
80,1897,22.03.25
81,1898,06.04.25
82,1899,28.03.25
83,1900,16.04.25
84,1901,09.04.25
85,1902,02.04.25
86,1903,26.03.25
87,1904,06.04.25
88,1905,31.03.25
89,1906,19.03.25
90,1907,03.04.25
91,1908,02.04.25
92,1909,04.04.25
93,1910,15.03.25
94,1911,21.03.25
95,1912,06.03.25
96,1913,13.03.25
97,1914,18.03.25
98,1915,25.03.25
99,1916,27.03.25
100,1917,16.04.25
101,1918,24.03.25
102,1919,23.03.25
103,1920,27.03.25
104,1921,16.03.25
105,1922,16.03.25
106,1923,24.03.25
107,1924,28.03.25
108,1925,30.03.25
109,1926,07.03.25
110,1927,21.03.25
111,1928,17.03.25
112,1929,29.03.25
113,1930,26.03.25
114,1931,25.03.25
115,1932,26.03.25
116,1933,20.03.25
117,1934,23.03.25
118,1935,23.03.25
119,1936,17.03.25
120,1937,27.02.25
121,1938,15.03.25
122,1939,16.03.25
123,1940,20.03.25
124,1941,19.03.25
125,1942,20.03.25
126,1943,04.03.25
127,1944,20.03.25
128,1945,11.03.25
129,1946,14.03.25
130,1947,18.03.25
131,1948,09.03.25
132,1949,18.03.25
133,1950,10.03.25
134,1951,17.03.25
135,1952,20.03.25
136,1953,19.03.25
137,1954,11.03.25
138,1955,25.03.25
139,1956,28.03.25
140,1957,01.03.25
141,1958,18.02.25
142,1959,28.02.25
143,1960,02.03.25
144,1961,20.02.25
145,1962,10.03.25
146,1963,19.03.25
147,1964,28.02.25
148,1965,18.03.25
149,1966,21.02.25
150,1967,23.02.25
151,1968,04.03.25
152,1969,03.03.25
153,1970,21.03.25
154,1971,21.03.25
155,1972,24.02.25
156,1973,16.03.25
157,1974,14.02.25
158,1975,31.01.25
159,1976,02.03.25
160,1977,18.02.25
161,1978,01.03.25
162,1979,22.02.25
163,1980,21.02.25
164,1981,09.03.25
165,1982,10.01.25
166,1983,08.03.25
167,1984,09.03.25
168,1985,15.03.25
169,1986,19.03.25
170,1987,19.03.25
171,1988,15.02.25
172,1989,26.02.25
173,1990,11.02.25
174,1991,03.01.25
175,1992,27.02.25
176,1993,26.02.25
177,1994,06.02.25
178,1995,14.02.25
179,1996,06.03.25
180,1997,27.02.25
181,1998,16.02.25
182,1999,09.03.25
183,2000,28.02.25
184,2001,15.02.25
185,2002,07.02.25
186,2002,29.12.25
187,2004,21.02.25
188,2005,19.03.25
189,2006,14.03.25
190,2007,02.03.25
191,2008,19.02.25
192,2009,06.03.25
193,2010,15.03.25
194,2011,28.02.25
195,2012,13.03.25
196,2013,21.03.25
197,2014,05.03.25
198,2015,13.03.25
199,2016,16.03.25
200,2017,11.03.25
201,2018,24.03.25
202,2019,12.03.25
203,2020,08.03.25
204,2021,12.03.25
205,2022,10.03.25
206,2023,09.03.25
207,2024,03.03.25
