paper,year,month,title
w0001,1973,6,"Education, Information, and Efficiency"
w0002,1973,6,"Hospital Utilization: An Analysis of SMSA Differences in Hospital Admission Rates, Occupancy Rates and Bed Rates"
w0003,1973,6,Error Components Regression Models and Their Applications
w0004,1973,7,Human Capital Life Cycle of Earnings Models: A Specific Solution and Estimation
w0005,1973,7,A Life Cycle Family Model
w0006,1973,7,A Review of Cyclical Indicators for the United States: Preliminary Results
w0007,1973,8,The Definition and Impact of College Quality
w0008,1973,9,Multinational Firms and the Factor Intensity of Trade
w0009,1973,9,From Age-Earnings Profiles to the Distribution of Earnings and Human Wealth
w0010,1973,9,Monte Carlo for Robust Regression: The Swindle Unmasked
w0011,1973,9,Weighted Ridge Regression: Combining Ridge and Robust Regression Methods
w0012,1973,10,Citizen Rights and the Cost of Law Enforcement
w0013,1973,10,Wage Comparisons - A Selectivity Bias
w0014,1973,10,The Effects on Income of Type of College Attended
w0015,1973,10,A Comparison of FIML and Robust Estimates of a Nonlinear Macroeconomic Model
w0016,1973,11,Monte Carlo Techniques in Studying Robust Estimators
w0017,1973,11,"Schooling, Ability, Non Pecuniary Rewards, Socioeconomic Background and the Lifetime Distribution of Earnings"
w0018,1973,11,The Deterrent Effect of Capital Punishment: A Question of Life and Death
w0019,1973,12,Utilization of Surgical Manpower in A Prepaid Group Practice
w0020,1973,12,Short-Run and Long-Run Prospects for Female Earnings
w0021,1973,12,Contraception and Fertility: Household Production Under Uncertainty
w0022,1973,12,The Correlation Between Health and Schooling
w0023,1973,12,What Happened During the Baby Boom? New Estimates of Age and Parity: Specific Birth Probabilities for American Women
w0024,1973,12,Optimal Adaptive Control Methods for Structurally Varying Systems
w0025,1973,12,The Covariance Structure of Earnings and the On the Job Training Hypothesis
w0026,1974,1,Migration Flows and Their Determinants: A Comparative Study of Internal Migration in Italy and the U.S.A.
w0027,1974,1,Production Within the Household
w0028,1974,1,The Wealth Effect in Occupational Choice
w0029,1974,1,Male-Female Differences in Wages and Employment: A Specific Human Capital Model
w0030,1974,1,The Timing and Spacing of Births and Women's Labor Force Participation: An Economic Analysis
w0031,1974,1,Price Expectations and Household's Demand for Financial Assets
w0032,1974,2,Operational Time and Seasonality in Distributed Lag Estimation
w0033,1974,2,Inflation and Market Structure 1967-1973
w0034,1974,2,Estimation of a Stochastic Model of Reproduction: An Econometric Approach
w0035,1974,3,Changes in the Recession Behavior of Wholesale Prices: The 1920s and Post World War II
w0036,1974,3,Economic Theories of Fertility: What do They Explain?
w0037,1974,4,Interpreting Spectral Analyses in Terms of Time-Domain Models
w0038,1974,4,A General Algorithm for Simultaneous Estimation of Constant and Randomly-Varying Parameters in Lineal Relations
w0039,1974,5,Unemployment Effects of Minimum Wages
w0040,1974,5,Legality and Reality: Some Evidence on Criminal Procedure
w0041,1974,5,Theories of Economic Regulation
w0042,1974,6,A Theory of Social Interactions
w0043,1974,6,Graphics for Data Analysis
w0044,1974,6,The Statistical Analysis of Local Structure in Social Networks
w0045,1974,6,The Incubator Hypothesis: Evidence from Five Cities
w0046,1974,7,The Singular Value Analysis in Matrix Computation
w0047,1974,7,The Distribution of Earnings and Human Wealth in Cycle Context
w0048,1974,7,Protection and Competitiveness in Egyptian Agriculture and Industry
w0049,1974,8,Years and Intensity of Schooling Investing
w0050,1974,8,Measuring the Effect of an Anti-Discrimination Program
w0051,1974,8,"Age, Experience and Wage Growth"
w0052,1974,8,Transportation/Communication Considerations in the Location of Headquarters for Multi-Establishment Manufacturing Firms
w0053,1974,8,Progress in Human Capital Analysis of the Distribution of Earnings
w0054,1974,8,Bilateral Trade as a Development Instrument Under Global Trade Restrictions
w0055,1974,9,Social Costs of Monopoly and Regulation
w0056,1974,9,Comparison of Robust and Varying Parameter Estimates of a Macroeconometric Model
