author,name,user_nber,user_repec
w0001.1,Finis Welch,finis_welch,NA
w0002.1,Barry R Chiswick,barry_chiswick,pch425
w0003.1,Swarnjit S Arora,swarnjit_arora,NA
w0004.1,Lee A Lillard,NA,pli669
w0005.1,James P Smith,james_smith,psm28
w0006.1,Victor Zarnowitz,victor_zarnowitz,NA
w0007.1,Lewis C Solmon,NA,NA
w0008.1,Merle Yahr Weiss,NA,NA
w0008.2,Robert E Lipsey,robert_lipsey,pli259
w0010.1,Paul W Holland,NA,NA
w0012.1,Melvin Reder,NA,NA
w0013.1,Reuben Gronau,reuben_gronau,pgr333
w0014.2,Paul Wachtel,paul_wachtel,pwa884
w0015.1,Ray C Fair,ray_fair,pfa24
w0016.1,David C Hoaglin,david_hoaglin,NA
w0017.1,Paul J Taubman,paul_taubman,NA
w0018.1,Isaac Ehrlich,isaac_ehrlich,peh1
w0019.1,Edward F X Hughes,edward_hughes,NA
w0019.2,Eugene M Lewit,eugene_lewit,NA
w0019.3,Richard Handschin,richard_handschin,NA
w0019.4,Richard N Watkins,richard_watkins,NA
w0020.1,Victor R Fuchs,victor_fuchs,pfu157
w0021.1,Robert J Willis,robert_willis,NA
w0021.2,Robert T Michael,robert_michael,NA
w0022.1,Michael Grossman,michael_grossman,pgr107
w0023.1,Warren C Sanderson,warren_sanderson,psa1311
w0024.1,Alexander H Sarris,alexander_sarris,NA
w0024.2,Michael Athans,michael_athans,NA
w0025.1,John C Hause,john_hause,NA
w0027.1,Arleen Leibowitz,arleen_leibowitz,NA
w0028.1,Yoram Weiss,yoram_weiss,NA
w0029.1,Elisabeth M Landes,elisabeth_landes,NA
w0030.1,Sue Goetz Ross,NA,NA
w0031.1,Lester D Taylor,NA,NA
w0032.1,Peter K Clark,peter_clark,NA
w0033.1,Phillip Cagan,phillip_cagan,NA
w0034.1,James J Heckman,james_heckman,phe22
w0037.1,Robert F Engle III,robert_engle,NA
w0039.1,Jacob Mincer,jacob_mincer,NA
w0040.1,William M Landes,william_landes,pla327
w0041.1,Richard A Posner,richard_posner,ppo25
w0042.1,Gary S Becker,gary_becker,NA
w0043.1,Roy E Welsch,roy_welsch,NA
w0044.2,Samuel Leinhardt,NA,NA
w0045.1,Raymond Struyk,NA,NA
w0045.2,Robert A Leone,NA,NA
w0046.1,Neil Kaden,neil_kaden,NA
w0046.2,Richard A Becker,richard_becker,NA
w0046.3,Virginia Klema,virginia_klema,NA
w0048.1,Bent Hansen,NA,NA
w0048.2,Karim Nashashibi,karim_nashashibi,NA
w0050.2,Orley C Ashenfelter,orley_ashenfelter,pas9
w0051.1,Edward P Lazear,edward_lazear,pla64
w0052.1,Warren G Lavey,NA,NA
w0056.1,Thomas F Cooley,thomas_cooley,pco35
w0057.1,Stephen J DeCanio,stephendecanio,NA
w0058.2,Richard W Hill,NA,NA
w0059.1,Ann P Bartel,ann_bartel,NA
w0060.1,Edwin Kuh,NA,NA
w0061.1,William Orchard-Hays,NA,NA
w0065.1,Kent D Wall,kent_wall,NA
w0066.1,David A Belsley,david_belsley,NA
w0067.1,Alan S Blinder,alan_blinder,pbl41
w0068.1,Forrest D Nelson,NA,NA
w0069.1,G S Maddala,NA,NA
w0071.2,Uri Ben-Zion,uri_ben-zion,NA
w0072.1,Edward N Wolff,edward_wolff,NA
w0073.1,Mark V Pauly,mark_pauly,NA
w0079.1,Michael R Darby,michael_darby,NA
w0083.1,Michael L Brown,NA,NA
w0086.1,Roy E Marsten,NA,NA
w0089.1,Robert J Shiller,robert_shiller,psh69
w0090.1,Takeshi Amemiya,takeshi_amemiya,NA
w0094.1,Vinay Dharmadhikari,NA,NA
w0095.1,John R Lott,johnlott,NA
w0101.1,Benjamin I Cohen,benjamin_cohen,NA
w0101.2,Jorge Katz,jorge_katz,NA
w0101.3,William T Beck,william_beck,NA
w0102.1,Kenneth I Wolpin,kenneth_wolpin,NA
w0106.1,Roy A Marsten,NA,NA
w0106.2,Thomas Morin,NA,NA
w0107.1,Michael J Boskin,michael_boskin,NA
w0109.2,Stanley S Wasserman,stanley_wasserman,NA
w0114.1,Daniel L Rubinfeld,daniel_rubinfeld,NA
w0114.2,Paul N Courant,paul_courant,pco444
w0115.1,Douglas Coate,douglas_coate,NA
w0118.1,William F Finan,NA,NA
w0123.2,Nigel Tomes,NA,NA
w0124.1,David M Gay,david_gay,NA
w0126.1,Arthur W Lake,arthur_lake,NA
w0132.1,Donald O Parsons,donald_parsons,ppa291
w0133.1,Sam Peltzman,sam_peltzman,NA
w0134.1,Fred Goldman,fred_goldman,NA
w0136.1,Joel Popkin,joel_popkin,NA
w0139.1,Kenneth E Warner,NA,NA
w0143.1,George J Borjas,george_borjas,pbo44
w0144.1,Eytan Sheshinski,eytan_sheshinski,psh109
w0149.1,Dennis M Bushe,dennis_bushe,NA
w0151.1,Joseph E Stiglitz,joseph_stiglitz,pst33
w0157.1,Cheng Hsiao,cheng_hsiao,phs10
w0157.2,P M Robinson,pm_robinson,NA
w0158.1,B Peter Pashigian,peter_pashigian,NA
w0159.1,Bruno Simeone,bruno_simeone,NA
w0160.1,J Huston McCulloch,j_mcculloch,NA
w0162.1,Sherwin Rosen,sherwin_rosen,NA
w0164.1,Anne O Krueger,anne_krueger,NA
w0165.1,G W Stewart,gw_stewart,NA
w0165.2,Gene Golub,gene_golub,NA
w0166.1,Robert Halborsen,robert_halborsen,NA
w0169.2,Robert B Schnabel,robert_schnabel,NA
w0174.2,Joel Hay,NA,NA
w0176.1,Irving B Kravis,irving_kravis,NA
w0179.1,Benjamin M Friedman,benjamin_friedman,NA
w0179.2,V Vance Roley,vance_roley,NA
w0180.1,Linda N Edwards,linda_edwards,NA
w0182.1,Eliot R J Kalter,NA,NA
w0183.2,Richard Butler,richard_butler,NA
w0188.1,Jerry R Green,jerry_green,pgr476
w0189.1,David E Coleman,NA,NA
w0190.1,Bert G Hickman,bert_hickman,NA
w0190.2,Lawrence J Lau,lawrence_lau,NA
w0190.3,Yoshimi Kuroda,NA,NA
w0194.1,David A Graham,NA,NA
w0196.2,John E Dennis,NA,NA
w0197.1,M Scott Matthews,m_scott_matthews,NA
w0200.1,Anna L Ozorio de Alneida,Anna_L_Ozorio_de_Alneida,NA
w0201.1,Martin S Feldstein,martin_feldstein,pfe112
w0204.1,Michael D Hurd,michael_hurd,phu137
w0207.1,Daniel J Frisch,NA,NA
w0208.1,H M Shefrin,NA,NA
w0208.2,Richard H Thaler,richard_thaler,NA
w0209.1,William F Sharpe,william_sharpe,NA
w0212.1,Anthony J Pellechio,anthony_pellechio,NA
w0214.1,J S Flemming,NA,NA
w0216.1,John B Shoven,john_shoven,NA
w0218.2,Zvi Bodie,zvi_bodie,pbo569
w0219.2,Dov Chernichovsky,dov_chernichovsky,NA
w0224.1,James L Medoff,james_medoff,NA
w0225.1,Richard B Freeman,richard_freeman,pfr23
w0226.1,Robert E Hall,robert_hall,pha128
w0234.1,Joel B Slemrod,joel_slemrod,psl10
w0240.1,Ann D Colle,ann_colle,NA
w0243.2,J Gregory Ballentine,j_gregory_ballentine,NA
w0244.1,Beatrice N Vaccara,beatrice_vaccara,NA
w0245.1,Avram Kisselgoff,avram_kisselgoff,NA
w0247.1,Laurie Goodman,NA,NA
w0250.3,Shlomo Yitzhaki,shlomo_yitzhaki,pyi12
w0253.1,Alan J Auerbach,alan_auerbach,pau33
w0265.1,Barr Rosenberg,barr_rosenberg,NA
w0265.2,Philip R Perry,philip_r_perry,NA
w0266.1,David H Pyle,NA,NA
w0266.2,Jay B Morrison,NA,NA
w0267.1,Robert Jacobson,NA,NA
w0267.2,Sherman J Maisel,sherman_maisel,NA
w0268.1,Stephen D Nadauld,NA,NA
w0269.1,David F Bradford,david_bradford_deceased,NA
w0270.1,Lawrence W Kenny,lawrence_kenny,pke84
w0274.1,Kim B Clark,kim_clark,NA
w0274.2,Lawrence H Summers,lawrence_summers,psu137
w0279.2,William J Newton,NA,NA
w0281.1,Takatoshi Ito,takatoshi_ito,pit3
w0286.1,A Mitchell Polinsky,mitchell_polinsky,ppo94
w0287.1,Jacob A Frenkel,jacob_frenkel,NA
w0288.1,Boyan Jovanovic,boyan_jovanovic,NA
w0290.2,Kenneth W Clements,kenneth_clements,NA
w0291.1,Casey Ichniowski,casey_ichniowski,NA
w0293.3,Romualdo A Roldan,romualdo_roldan,NA
w0297.1,Akira Konakayama,akira_konakayama,NA
w0297.2,Michael Gort,michael_gort,NA
w0298.1,Charles E McLure,charles_mclure,pmc33
w0300.1,James A Wilcox,james_wilcox,NA
w0300.2,Robert J Gordon,robert_gordon,pgo50
w0303.1,Franco Modigliani,franco_modigliani,NA
