paper,program
w0074,EFG
w0087,IFM
w0087,ITI
w0107,PE
w0116,PE
w0117,LS
w0129,HE
w0131,IFM
w0131,ITI
w0134,HE
w0135,PE
w0141,LS
w0145,LS
w0178,ME
w0182,ME
w0184,PR
w0186,PE
w0188,EFG
w0193,PE
w0198,LS
w0199,LS
w0201,EFG
w0204,PE
w0205,ME
w0206,PE
w0207,PE
w0210,LE
w0211,HE
w0212,PE
w0213,HE
w0216,LS
w0216,PR
w0217,LE
w0218,ME
w0219,HE
w0221,PE
w0224,LS
w0225,LS
w0226,EFG
w0227,LE
w0228,LS
w0229,EFG
w0230,CH
w0231,ME
w0232,PE
w0234,PE
w0235,ME
w0236,HE
w0239,ME
w0240,HE
w0241,PE
w0242,LS
w0243,PE
w0248,LS
w0249,LS
w0250,PE
w0251,EFG
w0252,EFG
w0253,PE
w0254,PE
w0255,PE
w0256,HE
w0257,PE
w0258,ME
w0259,PE
w0261,ME
w0262,CH
w0263,LE
w0266,CF
w0269,PE
w0272,PE
w0273,LS
w0274,LS
w0275,PE
w0276,PE
w0277,LS
w0278,LS
w0279,EFG
w0280,LS
w0282,LS
w0283,EFG
w0284,EFG
w0284,ME
w0285,LS
w0286,LE
w0287,IFM
w0287,ITI
w0288,EFG
w0288,IFM
w0288,ITI
w0289,IFM
w0289,ITI
w0290,EFG
w0290,IFM
w0290,ITI
w0292,LS
w0293,IFM
w0293,ITI
w0294,ME
w0295,ME
w0296,PE
w0298,PE
w0299,LS
w0300,EFG
w0301,LS
w0302,PE
w0303,EFG
w0303,ME
w0304,EFG
w0305,LS
w0306,EFG
w0307,IFM
w0307,ITI
w0307,PE
w0308,HE
w0309,LS
w0310,IFM
w0310,ITI
w0310,PE
w0311,IFM
w0311,ITI
w0312,PE
w0313,EFG
w0314,PE
w0315,LS
w0316,LS
w0317,IFM
w0317,ITI
w0317,PE
w0318,EFG
w0319,PE
w0322,EFG
w0324,PE
w0325,LS
w0326,EFG
w0327,IFM
w0327,ITI
w0329,EFG
w0330,LS
w0331,PE
w0332,LS
w0333,IFM
w0333,ITI
w0334,PE
w0335,IFM
w0335,ITI
w0336,IFM
w0336,ITI
w0337,PE
w0338,LE
w0339,EFG
w0340,IFM
w0340,ITI
w0341,EFG
w0342,LS
w0343,EFG
w0344,PR
w0345,ME
w0346,PR
w0348,ME
w0349,PE
w0350,LS
w0352,IFM
w0352,ITI
w0353,LS
w0354,ME
w0355,PE
w0356,IFM
w0356,ITI
w0357,LS
w0358,PR
w0359,PR
w0360,PR
w0361,EFG
w0362,PE
w0363,LS
w0364,LS
w0365,LS
w0366,ME
w0367,IFM
w0367,ITI
w0368,PE
w0369,EFG
w0370,ME
w0370,PE
w0371,IFM
w0371,ITI
w0372,AG
w0373,ME
w0374,DAE
w0375,DAE
w0376,PE
w0377,IFM
w0377,ITI
w0378,LS
w0380,IFM
w0380,ITI
w0381,EFG
w0382,IFM
w0382,ITI
w0383,PE
w0384,LS
w0385,EFG
w0386,EFG
w0388,PE
w0389,IFM
w0389,ITI
w0390,IFM
w0390,ITI
w0391,IFM
w0391,ITI
w0393,LS
w0394,LS
w0395,PE
w0396,LS
w0397,LS
w0398,HE
w0399,LS
w0400,LS
w0400,PR
w0401,LS
w0402,PE
w0403,PE
w0404,PE
w0405,CH
w0406,IFM
w0406,ITI
w0407,IFM
w0407,ITI
w0408,PR
w0409,PE
w0410,ME
w0411,PE
w0412,IFM
w0412,ITI
w0413,PE
w0414,EFG
w0414,IFM
w0414,ITI
w0415,LS
w0416,HE
w0417,HE
w0418,EFG
w0419,HE
w0420,LE
w0421,LS
w0422,PE
w0423,PR
w0424,EFG
w0424,LS
w0425,EFG
w0426,IFM
w0426,ITI
w0427,EFG
w0427,PR
w0428,PE
w0429,IFM
w0429,ITI
w0430,EFG
w0431,EFG
w0432,EFG
w0433,EFG
w0434,PR
w0435,EFG
w0436,PE
w0437,IFM
w0437,ITI
w0438,PR
w0439,IFM
w0439,ITI
w0440,EFG
w0441,PR
w0442,ME
w0442,PE
w0443,EFG
w0444,ME
w0446,LS
w0447,ME
w0447,PE
w0448,EFG
w0448,PE
w0449,IFM
w0449,ITI
w0450,EFG
w0450,IFM
w0450,ITI
w0451,HE
w0452,EFG
w0452,IFM
w0452,ITI
w0453,EFG
w0453,IFM
w0453,ITI
w0454,HE
w0455,EFG
w0456,ME
w0457,PE
w0458,ME
w0459,EFG
w0460,EFG
w0461,IFM
w0461,ITI
w0462,IFM
w0462,ITI
w0463,LE
w0464,EFG
w0465,PE
w0466,IFM
w0466,ITI
w0467,PE
w0468,PE
w0469,IFM
w0469,ITI
w0470,ME
w0471,ME
w0472,IFM
w0472,ITI
w0473,IFM
w0473,ITI
w0474,IFM
w0474,ITI
w0475,IFM
w0475,ITI
w0476,IFM
w0476,ITI
w0477,PE
w0478,LS
w0479,LS
w0480,PE
w0481,PE
w0482,IFM
w0482,ITI
w0483,PE
w0484,LS
w0485,IFM
w0485,ITI
w0486,LS
w0487,PE
w0488,EFG
w0489,EFG
w0490,EFG
w0491,EFG
w0492,IFM
w0492,ITI
w0493,IFM
w0493,ITI
w0494,IFM
w0494,ITI
w0495,PE
w0496,EFG
w0496,PE
w0497,PE
w0498,EFG
w0499,PE
w0500,IFM
w0500,ITI
w0501,IFM
w0501,ITI
w0502,EFG
w0503,EFG
w0504,PE
w0505,EFG
w0506,EFG
w0507,EFG
w0508,ME
w0508,PE
w0509,ME
w0509,PE
w0510,HE
w0511,IFM
w0511,ITI
w0512,LS
w0513,LS
w0514,LS
w0515,EFG
w0516,IFM
w0516,ITI
w0517,EFG
w0518,EFG
w0519,LS
w0520,PE
w0521,IFM
w0521,ITI
w0522,IFM
w0522,ITI
w0523,PE
w0524,IFM
w0524,ITI
w0525,ME
w0526,PE
w0527,IFM
w0527,ITI
w0528,IFM
w0528,ITI
w0529,DAE
w0530,PE
w0531,IFM
w0531,ITI
w0532,IFM
w0532,ITI
w0533,PE
w0534,EFG
w0535,IFM
w0535,ITI
w0536,ME
w0537,IFM
w0537,ITI
w0538,EFG
w0539,HE
w0540,IFM
w0540,ITI
w0541,IFM
w0541,ITI
w0542,ME
w0543,PE
w0544,EFG
w0545,IFM
w0545,ITI
w0546,PE
w0547,PE
w0548,LS
w0549,IFM
w0549,ITI
w0550,EFG
w0551,EFG
w0552,LS
w0553,PE
w0554,IFM
w0554,ITI
w0555,IFM
w0555,ITI
w0556,IFM
w0556,ITI
w0557,IFM
w0557,ITI
w0558,EFG
w0559,EFG
w0560,EFG
w0560,LS
w0561,PR
w0562,EFG
w0563,ME
w0564,ME
w0565,ME
w0566,ME
w0567,IFM
w0567,ITI
w0568,PE
w0569,EFG
w0569,IFM
w0569,ITI
w0570,LS
w0571,IFM
w0571,ITI
w0572,IFM
w0572,ITI
w0573,ME
w0574,ME
w0575,EFG
w0575,IFM
w0575,ITI
w0576,PE
w0577,PE
w0578,LS
w0579,PE
w0580,IFM
w0580,ITI
w0581,CF
w0581,ME
w0582,EEE
w0582,IFM
w0582,ITI
w0583,PE
w0584,LS
w0585,IFM
w0585,ITI
w0586,CF
w0586,ME
w0587,ME
w0588,PE
w0589,IFM
w0589,ITI
w0590,IFM
w0590,ITI
w0591,IFM
w0591,ITI
w0592,IFM
w0592,ITI
w0593,ME
w0594,ME
w0595,ME
w0596,EFG
w0597,PR
w0598,IFM
w0598,ITI
w0598,ME
w0599,IFM
w0599,ITI
w0600,LS
w0601,IFM
w0601,ITI
w0602,IFM
w0602,ITI
w0603,LS
w0604,EFG
w0604,PE
w0605,EFG
w0605,PE
w0606,PE
w0607,IFM
w0607,ITI
w0608,EFG
w0609,HE
w0610,PE
w0611,HE
w0612,HE
w0613,PE
w0614,PE
w0615,HE
w0616,PE
w0617,LS
w0618,LS
w0619,EFG
w0620,EFG
w0621,EFG
w0622,EFG
w0624,LS
w0625,IFM
w0625,ITI
w0626,IFM
w0626,ITI
w0627,PE
w0628,IFM
w0628,ITI
w0629,IFM
w0629,ITI
w0630,EFG
w0631,PE
w0632,PE
w0633,LS
w0634,LS
w0635,EFG
w0636,EFG
w0637,PE
w0638,ME
w0639,ME
w0640,ME
w0641,IFM
w0641,ITI
w0642,LS
w0643,IFM
w0643,ITI
w0644,IFM
w0644,ITI
w0645,ME
w0646,LS
w0647,IFM
w0647,ITI
w0647,ME
w0648,IFM
w0648,ITI
w0648,ME
w0649,PE
w0650,ME
w0651,IFM
w0651,ITI
w0652,EFG
w0652,LS
w0653,EFG
w0653,LS
w0654,PE
w0655,HE
w0656,LS
w0657,PE
w0658,IFM
w0658,ITI
w0659,PE
w0660,IFM
w0660,ITI
w0660,PR
w0661,PE
w0662,LE
w0663,LS
w0664,IFM
w0664,ITI
w0665,EFG
w0666,IFM
w0666,ITI
w0667,LS
w0668,LS
w0669,LS
w0670,EFG
w0671,LS
w0671,PR
w0672,LS
w0673,PE
w0674,LS
w0675,EFG
w0676,LS
w0677,EFG
w0677,IFM
w0677,ITI
w0678,ME
w0679,EFG
w0680,EFG
w0681,PE
w0682,PE
w0683,LS
w0684,EFG
w0685,IFM
w0685,ITI
w0686,IFM
w0686,ITI
w0687,PE
w0688,PE
w0689,IFM
w0689,ITI
w0689,PE
w0690,ME
w0691,EFG
w0692,DAE
w0693,EFG
w0694,PE
w0695,LS
w0696,IFM
w0696,ITI
w0697,LS
w0698,PE
w0699,ME
w0700,ME
w0701,ME
w0701,PE
w0702,ME
w0703,ME
w0703,PE
w0704,ME
w0705,IFM
w0705,ITI
w0706,LS
w0707,DAE
w0708,EFG
w0709,LS
w0710,LS
w0711,LS
w0712,EFG
w0713,IFM
w0713,ITI
w0714,LE
w0715,IFM
w0715,ITI
w0716,EFG
w0717,LS
w0718,PE
w0719,ME
w0720,EFG
w0721,EFG
w0722,DAE
w0723,IFM
w0723,ITI
w0724,PE
w0725,ME
w0726,EFG
w0727,LE
w0728,EFG
w0729,PE
w0730,PE
w0731,ME
w0732,ME
w0733,PE
w0735,LS
w0736,IFM
w0736,ITI
w0737,ME
w0738,ME
w0739,ME
w0740,PE
w0741,LE
w0742,LE
w0743,PE
w0744,EFG
w0745,ME
w0746,LE
w0746,PE
w0747,ME
w0748,EFG
w0748,IFM
w0748,ITI
w0749,IFM
w0749,ITI
w0750,LS
w0751,LS
w0752,LS
w0753,PE
w0754,DAE
w0755,ME
w0756,EFG
w0757,PE
w0758,PE
w0759,IFM
w0759,ITI
w0760,ME
w0761,EFG
w0762,PE
w0763,LS
w0764,HE
w0765,LS
w0766,IFM
w0766,ITI
w0767,PE
w0768,HE
w0769,LS
w0770,IFM
w0770,ITI
w0771,LS
w0772,LS
w0772,PE
w0773,IFM
w0773,ITI
w0774,IFM
w0774,ITI
w0775,ME
w0776,IFM
w0776,ITI
w0777,LS
w0777,PE
w0778,LS
w0779,IFM
w0779,ITI
w0780,HE
w0781,LS
w0782,IFM
w0782,ITI
w0783,EFG
w0783,IFM
w0783,ITI
w0784,IFM
w0784,ITI
w0784,PE
w0785,IFM
w0785,ITI
w0786,PR
w0787,PE
w0788,LS
w0788,PE
w0789,EFG
w0790,LS
w0791,IFM
w0791,ITI
w0792,IFM
w0792,ITI
w0793,IFM
w0793,ITI
w0794,IFM
w0794,ITI
w0795,DAE
w0796,IFM
w0796,ITI
w0797,IFM
w0797,ITI
w0798,PE
w0799,PE
w0800,LS
w0800,PE
w0801,IFM
w0801,ITI
w0802,PE
w0803,LS
w0804,LS
w0805,LS
w0806,PE
w0807,EFG
w0808,LS
w0809,EFG
w0810,ME
w0811,HE
w0811,PE
w0812,EFG
w0812,LS
w0813,HE
w0814,IFM
w0814,ITI
w0815,LS
w0816,LS
w0817,PE
w0818,EFG
w0818,ME
w0819,PE
w0820,LS
w0821,LS
w0822,PE
w0823,EFG
w0824,PE
w0825,PE
w0826,PR
w0827,LS
w0828,PE
w0829,PE
w0830,ME
w0831,ME
w0832,EFG
w0832,IFM
w0832,ITI
w0833,IFM
w0833,ITI
w0834,IFM
w0834,ITI
w0835,HE
w0835,LS
w0836,PE
w0837,LS
w0838,ME
w0839,IFM
w0839,ITI
w0841,IFM
w0841,ITI
w0842,IFM
w0842,ITI
