paper,author
w0001,w0001.1
w0002,w0002.1
w0003,w0003.1
w0004,w0004.1
w0005,w0005.1
w0006,w0006.1
w0007,w0007.1
w0008,w0008.1
w0008,w0008.2
w0009,w0004.1
w0010,w0010.1
w0011,w0010.1
w0012,w0012.1
w0013,w0013.1
w0014,w0007.1
w0014,w0014.2
w0015,w0015.1
w0016,w0016.1
w0017,w0017.1
w0018,w0018.1
w0019,w0019.1
w0019,w0019.2
w0019,w0019.3
w0019,w0019.4
w0020,w0020.1
w0021,w0021.1
w0021,w0021.2
w0022,w0022.1
w0023,w0023.1
w0024,w0024.1
w0024,w0024.2
w0025,w0025.1
w0026,w0003.1
w0027,w0027.1
w0028,w0028.1
w0029,w0029.1
w0030,w0030.1
w0031,w0031.1
w0032,w0032.1
w0033,w0033.1
w0034,w0021.1
w0034,w0034.1
w0035,w0033.1
w0036,w0023.1
w0037,w0037.1
w0038,w0024.1
w0039,w0039.1
w0040,w0040.1
w0041,w0041.1
w0042,w0042.1
w0043,w0043.1
w0044,w0010.1
w0044,w0044.2
w0045,w0045.1
w0045,w0045.2
w0046,w0046.1
w0046,w0046.2
w0046,w0046.3
w0047,w0004.1
w0048,w0048.1
w0048,w0048.2
w0049,w0027.1
w0050,w0034.1
w0050,w0050.2
w0051,w0051.1
w0052,w0052.1
w0053,w0039.1
w0054,w0048.2
w0055,w0041.1
w0056,w0056.1
w0057,w0056.1
w0057,w0057.1
w0058,w0010.1
w0058,w0058.2
w0059,w0059.1
w0060,w0043.1
w0060,w0060.1
w0061,w0061.1
w0062,w0040.1
w0062,w0041.1
w0063,w0068.1
w0064,w0043.1
w0065,w0065.1
w0066,w0046.3
w0066,w0066.1
w0067,w0028.1
w0067,w0067.1
w0068,w0068.1
w0069,w0069.1
w0070,w0068.1
w0070,w0069.1
w0071,w0018.1
w0071,w0071.2
w0072,w0072.1
w0073,w0073.1
w0074,w0021.2
w0075,w0016.1
w0076,w0043.1
w0076,w0046.2
w0077,w0065.1
w0078,w0058.2
w0079,w0079.1
w0080,w0004.1
w0081,w0027.1
w0082,w0058.2
w0083,w0083.1
w0084,w0058.2
w0085,w0056.1
w0085,w0065.1
w0086,w0086.1
w0087,w0008.1
w0087,w0008.2
