player,year,tournament,outcome,gender
Margaret Court,1968,Australian Open,Finalist,Female
Billie Jean Moffitt King,1968,Australian Open,Won,Female
Maria Bueno,1968,Australian Open,Absent,Female
Ann Haydon-Jones,1968,Australian Open,Absent,Female
Nancy Richey Gunter,1968,Australian Open,Absent,Female
Lesley Turner Bowrey,1968,Australian Open,Semi-finalist,Female
Françoise Dürr,1968,Australian Open,Absent,Female
Virginia Wade,1968,Australian Open,Absent,Female
Rosemary Casals,1968,Australian Open,Quarterfinalist,Female
Judy Tegart Dalton,1968,Australian Open,Semi-finalist,Female
Kerry Melville Reid,1968,Australian Open,3rd Round,Female
Carole Caldwell Graebner,1968,Australian Open,Absent,Female
Helga Niessen Masthoff,1968,Australian Open,Absent,Female
Christine Truman Janes,1968,Australian Open,Absent,Female
Jan Lehane O'Neill,1968,Australian Open,Absent,Female
Karen Hantze Susman,1968,Australian Open,Absent,Female
Olga Morozova,1968,Australian Open,Absent,Female
Evonne Goolagong Cawley,1968,Australian Open,3rd Round,Female
Věra Puzejova Suková,1968,Australian Open,NA,Female
Dorothy Head Knode,1968,Australian Open,Absent,Female
Darlene Hard,1968,Australian Open,Absent,Female
Zsuzsa Körmöczy,1968,Australian Open,NA,Female
Shirley Bloomer Brasher,1968,Australian Open,Absent,Female
Lorraine Coghlan Robinson,1968,Australian Open,1st Round,Female
Nell Hall Hopman,1968,Australian Open,NA,Female
Renée Schuurman Haygarth,1968,Australian Open,NA,Female
Helen Gourlay Cawley,1968,Australian Open,1st Round,Female
Wendy Turnbull,1968,Australian Open,NA,Female
Betty Stöve,1968,Australian Open,Absent,Female
Sharon Walsh,1968,Australian Open,NA,Female
Margaret Court,1968,French Open,Absent,Female
Billie Jean Moffitt King,1968,French Open,Semi-finalist,Female
Maria Bueno,1968,French Open,Quarterfinalist,Female
Ann Haydon-Jones,1968,French Open,Finalist,Female
Nancy Richey Gunter,1968,French Open,Won,Female
Lesley Turner Bowrey,1968,French Open,Absent,Female
Françoise Dürr,1968,French Open,4th Round,Female
Virginia Wade,1968,French Open,Absent,Female
Rosemary Casals,1968,French Open,4th Round,Female
Judy Tegart Dalton,1968,French Open,Absent,Female
Kerry Melville Reid,1968,French Open,4th Round,Female
Carole Caldwell Graebner,1968,French Open,Absent,Female
Helga Niessen Masthoff,1968,French Open,Absent,Female
Christine Truman Janes,1968,French Open,Absent,Female
Jan Lehane O'Neill,1968,French Open,Absent,Female
Karen Hantze Susman,1968,French Open,Absent,Female
Olga Morozova,1968,French Open,2nd Round,Female
Evonne Goolagong Cawley,1968,French Open,Absent,Female
Věra Puzejova Suková,1968,French Open,NA,Female
Dorothy Head Knode,1968,French Open,Absent,Female
Darlene Hard,1968,French Open,Absent,Female
Zsuzsa Körmöczy,1968,French Open,NA,Female
Shirley Bloomer Brasher,1968,French Open,Absent,Female
Lorraine Coghlan Robinson,1968,French Open,Absent,Female
Nell Hall Hopman,1968,French Open,NA,Female
Renée Schuurman Haygarth,1968,French Open,NA,Female
Helen Gourlay Cawley,1968,French Open,3rd Round,Female
Wendy Turnbull,1968,French Open,NA,Female
Betty Stöve,1968,French Open,Absent,Female
Sharon Walsh,1968,French Open,NA,Female
Margaret Court,1968,Wimbledon,Quarterfinalist,Female
Billie Jean Moffitt King,1968,Wimbledon,Won,Female
Maria Bueno,1968,Wimbledon,Quarterfinalist,Female
Ann Haydon-Jones,1968,Wimbledon,Semi-finalist,Female
Nancy Richey Gunter,1968,Wimbledon,Semi-finalist,Female
Lesley Turner Bowrey,1968,Wimbledon,Quarterfinalist,Female
Françoise Dürr,1968,Wimbledon,Quarterfinalist,Female
Virginia Wade,1968,Wimbledon,1st Round,Female
Rosemary Casals,1968,Wimbledon,4th Round,Female
Judy Tegart Dalton,1968,Wimbledon,Finalist,Female
Kerry Melville Reid,1968,Wimbledon,3rd Round,Female
Carole Caldwell Graebner,1968,Wimbledon,Absent,Female
Helga Niessen Masthoff,1968,Wimbledon,2nd Round,Female
Christine Truman Janes,1968,Wimbledon,2nd Round,Female
Jan Lehane O'Neill,1968,Wimbledon,Absent,Female
Karen Hantze Susman,1968,Wimbledon,Absent,Female
Olga Morozova,1968,Wimbledon,1st Round,Female
Evonne Goolagong Cawley,1968,Wimbledon,Absent,Female
Věra Puzejova Suková,1968,Wimbledon,NA,Female
Dorothy Head Knode,1968,Wimbledon,Absent,Female
Darlene Hard,1968,Wimbledon,Absent,Female
Zsuzsa Körmöczy,1968,Wimbledon,NA,Female
Shirley Bloomer Brasher,1968,Wimbledon,4th Round,Female
Lorraine Coghlan Robinson,1968,Wimbledon,Absent,Female
Nell Hall Hopman,1968,Wimbledon,NA,Female
Renée Schuurman Haygarth,1968,Wimbledon,NA,Female
Helen Gourlay Cawley,1968,Wimbledon,4th Round,Female
Wendy Turnbull,1968,Wimbledon,NA,Female
Betty Stöve,1968,Wimbledon,Absent,Female
Sharon Walsh,1968,Wimbledon,NA,Female
Margaret Court,1968,US Open,Quarterfinalist,Female
Billie Jean Moffitt King,1968,US Open,Finalist,Female
Maria Bueno,1968,US Open,Semi-finalist,Female
Ann Haydon-Jones,1968,US Open,Semi-finalist,Female
Nancy Richey Gunter,1968,US Open,Absent,Female
Lesley Turner Bowrey,1968,US Open,Absent,Female
Françoise Dürr,1968,US Open,3rd Round,Female
Virginia Wade,1968,US Open,Won,Female
Rosemary Casals,1968,US Open,3rd Round,Female
Judy Tegart Dalton,1968,US Open,Quarterfinalist,Female
Kerry Melville Reid,1968,US Open,Absent,Female
Carole Caldwell Graebner,1968,US Open,1st Round,Female
Helga Niessen Masthoff,1968,US Open,Absent,Female
Christine Truman Janes,1968,US Open,Absent,Female
Jan Lehane O'Neill,1968,US Open,Absent,Female
Karen Hantze Susman,1968,US Open,Absent,Female
Olga Morozova,1968,US Open,Absent,Female
Evonne Goolagong Cawley,1968,US Open,Absent,Female
Věra Puzejova Suková,1968,US Open,NA,Female
Dorothy Head Knode,1968,US Open,Absent,Female
Darlene Hard,1968,US Open,Absent,Female
Zsuzsa Körmöczy,1968,US Open,NA,Female
Shirley Bloomer Brasher,1968,US Open,Absent,Female
Lorraine Coghlan Robinson,1968,US Open,Absent,Female
Nell Hall Hopman,1968,US Open,NA,Female
Renée Schuurman Haygarth,1968,US Open,NA,Female
Helen Gourlay Cawley,1968,US Open,Absent,Female
Wendy Turnbull,1968,US Open,NA,Female
Betty Stöve,1968,US Open,Absent,Female
Sharon Walsh,1968,US Open,NA,Female
Margaret Court,1969,Australian Open,Won,Female
Billie Jean Moffitt King,1969,Australian Open,Finalist,Female
Maria Bueno,1969,Australian Open,Absent,Female
Ann Haydon-Jones,1969,Australian Open,Semi-finalist,Female
Nancy Richey Gunter,1969,Australian Open,Absent,Female
Lesley Turner Bowrey,1969,Australian Open,2nd Round,Female
Françoise Dürr,1969,Australian Open,2nd Round,Female
Virginia Wade,1969,Australian Open,Absent,Female
Rosemary Casals,1969,Australian Open,Quarterfinalist,Female
Judy Tegart Dalton,1969,Australian Open,1st Round,Female
Kerry Melville Reid,1969,Australian Open,Semi-finalist,Female
Carole Caldwell Graebner,1969,Australian Open,Absent,Female
Helga Niessen Masthoff,1969,Australian Open,Absent,Female
Christine Truman Janes,1969,Australian Open,Absent,Female
Jan Lehane O'Neill,1969,Australian Open,Absent,Female
Karen Hantze Susman,1969,Australian Open,Absent,Female
Olga Morozova,1969,Australian Open,Absent,Female
Evonne Goolagong Cawley,1969,Australian Open,2nd Round,Female
Věra Puzejova Suková,1969,Australian Open,NA,Female
Dorothy Head Knode,1969,Australian Open,Absent,Female
Darlene Hard,1969,Australian Open,Absent,Female
Zsuzsa Körmöczy,1969,Australian Open,NA,Female
Shirley Bloomer Brasher,1969,Australian Open,Absent,Female
Lorraine Coghlan Robinson,1969,Australian Open,Absent,Female
Nell Hall Hopman,1969,Australian Open,NA,Female
Renée Schuurman Haygarth,1969,Australian Open,NA,Female
Helen Gourlay Cawley,1969,Australian Open,Quarterfinalist,Female
Wendy Turnbull,1969,Australian Open,NA,Female
Betty Stöve,1969,Australian Open,Absent,Female
Sharon Walsh,1969,Australian Open,Absent,Female
Margaret Court,1969,French Open,Won,Female
Billie Jean Moffitt King,1969,French Open,Quarterfinalist,Female
Maria Bueno,1969,French Open,Absent,Female
Ann Haydon-Jones,1969,French Open,Finalist,Female
Nancy Richey Gunter,1969,French Open,Semi-finalist,Female
Lesley Turner Bowrey,1969,French Open,Semi-finalist,Female
Françoise Dürr,1969,French Open,3rd Round,Female
Virginia Wade,1969,French Open,2nd Round,Female
Rosemary Casals,1969,French Open,Quarterfinalist,Female
Judy Tegart Dalton,1969,French Open,Absent,Female
Kerry Melville Reid,1969,French Open,Absent,Female
Carole Caldwell Graebner,1969,French Open,Absent,Female
Helga Niessen Masthoff,1969,French Open,Absent,Female
Christine Truman Janes,1969,French Open,Absent,Female
Jan Lehane O'Neill,1969,French Open,Absent,Female
Karen Hantze Susman,1969,French Open,Absent,Female
Olga Morozova,1969,French Open,3rd Round,Female
Evonne Goolagong Cawley,1969,French Open,Absent,Female
Věra Puzejova Suková,1969,French Open,NA,Female
Dorothy Head Knode,1969,French Open,1st Round,Female
Darlene Hard,1969,French Open,Absent,Female
Zsuzsa Körmöczy,1969,French Open,NA,Female
Shirley Bloomer Brasher,1969,French Open,Absent,Female
Lorraine Coghlan Robinson,1969,French Open,Absent,Female
Nell Hall Hopman,1969,French Open,NA,Female
Renée Schuurman Haygarth,1969,French Open,NA,Female
Helen Gourlay Cawley,1969,French Open,2nd Round,Female
Wendy Turnbull,1969,French Open,NA,Female
Betty Stöve,1969,French Open,Absent,Female
Sharon Walsh,1969,French Open,Absent,Female
Margaret Court,1969,Wimbledon,Semi-finalist,Female
Billie Jean Moffitt King,1969,Wimbledon,Finalist,Female
Maria Bueno,1969,Wimbledon,Absent,Female
Ann Haydon-Jones,1969,Wimbledon,Won,Female
Nancy Richey Gunter,1969,Wimbledon,Quarterfinalist,Female
Lesley Turner Bowrey,1969,Wimbledon,Quarterfinalist,Female
Françoise Dürr,1969,Wimbledon,2nd Round,Female
Virginia Wade,1969,Wimbledon,3rd Round,Female
Rosemary Casals,1969,Wimbledon,Semi-finalist,Female
Judy Tegart Dalton,1969,Wimbledon,Quarterfinalist,Female
Kerry Melville Reid,1969,Wimbledon,2nd Round,Female
Carole Caldwell Graebner,1969,Wimbledon,2nd Round,Female
Helga Niessen Masthoff,1969,Wimbledon,Absent,Female
Christine Truman Janes,1969,Wimbledon,4th Round,Female
Jan Lehane O'Neill,1969,Wimbledon,Absent,Female
Karen Hantze Susman,1969,Wimbledon,Absent,Female
Olga Morozova,1969,Wimbledon,4th Round,Female
Evonne Goolagong Cawley,1969,Wimbledon,Absent,Female
Věra Puzejova Suková,1969,Wimbledon,NA,Female
Dorothy Head Knode,1969,Wimbledon,Absent,Female
