year,grand_slam,name,rolling_win_count,tournament_date,gender
1968,australian_open,Billie Jean King,1,1968-01-10,Female
1968,french_open,Nancy Richey,1,1968-06-09,Female
1968,wimbledon,Billie Jean King,2,1968-07-14,Female
1968,us_open,Virginia Wade,1,1968-09-09,Female
1969,australian_open,Margaret Court,1,1969-01-10,Female
1969,french_open,Margaret Court,2,1969-06-09,Female
1969,wimbledon,Ann Haydon-Jones,1,1969-07-14,Female
1969,us_open,Margaret Court,3,1969-09-09,Female
1970,australian_open,Margaret Court,4,1970-01-10,Female
1970,french_open,Margaret Court,5,1970-06-09,Female
1970,wimbledon,Margaret Court,6,1970-07-14,Female
1970,us_open,Margaret Court,7,1970-09-09,Female
1971,australian_open,Margaret Court,8,1971-01-10,Female
1971,french_open,Evonne Goolagong Cawley,1,1971-06-09,Female
1971,wimbledon,Evonne Goolagong Cawley,2,1971-07-14,Female
1971,us_open,Billie Jean King,3,1971-09-09,Female
1972,australian_open,Virginia Wade,2,1972-01-10,Female
1972,french_open,Billie Jean King,4,1972-06-09,Female
1972,wimbledon,Billie Jean King,5,1972-07-14,Female
1972,us_open,Billie Jean King,6,1972-09-09,Female
1973,australian_open,Margaret Court,9,1973-01-10,Female
1973,french_open,Margaret Court,10,1973-06-09,Female
1973,wimbledon,Billie Jean King,7,1973-07-14,Female
1973,us_open,Margaret Court,11,1973-09-09,Female
1974,australian_open,Evonne Goolagong Cawley,3,1974-01-10,Female
1974,french_open,Chris Evert,1,1974-06-09,Female
1974,wimbledon,Chris Evert,2,1974-07-14,Female
1974,us_open,Billie Jean King,8,1974-09-09,Female
1975,australian_open,Evonne Goolagong Cawley,4,1975-01-10,Female
1975,french_open,Chris Evert,3,1975-06-09,Female
1975,wimbledon,Billie Jean King,9,1975-07-14,Female
1975,us_open,Chris Evert,4,1975-09-09,Female
1976,australian_open,Evonne Goolagong Cawley,5,1976-01-10,Female
1976,french_open,Sue Barker,1,1976-06-09,Female
1976,wimbledon,Chris Evert,5,1976-07-14,Female
1976,us_open,Chris Evert,6,1976-09-09,Female
1977,australian_open,Kerry Melville Reid,1,1977-01-10,Female
1977,australian_open,Evonne Goolagong Cawley,6,1977-01-10,Female
1977,french_open,Mima Jaušovec,1,1977-06-09,Female
1977,french_open,Mima Jaušovec,2,1977-06-09,Female
1977,wimbledon,Virginia Wade,3,1977-07-14,Female
1977,wimbledon,Virginia Wade,4,1977-07-14,Female
1977,us_open,Chris Evert,7,1977-09-09,Female
1977,us_open,Chris Evert,8,1977-09-09,Female
1978,australian_open,Chris O'Neil,1,1978-01-10,Female
1978,french_open,Virginia Ruzici,1,1978-06-09,Female
1978,wimbledon,Martina Navratilova,1,1978-07-14,Female
1978,us_open,Chris Evert,9,1978-09-09,Female
1979,australian_open,Barbara Jordan,1,1979-01-10,Female
1979,french_open,Chris Evert,10,1979-06-09,Female
1979,wimbledon,Martina Navratilova,2,1979-07-14,Female
1979,us_open,Tracy Austin,1,1979-09-09,Female
1980,australian_open,Hana Mandlíková,1,1980-01-10,Female
1980,french_open,Chris Evert,11,1980-06-09,Female
1980,wimbledon,Evonne Goolagong Cawley,7,1980-07-14,Female
1980,us_open,Chris Evert,12,1980-09-09,Female
1981,australian_open,Martina Navratilova,3,1981-01-10,Female
1981,french_open,Hana Mandlíková,2,1981-06-09,Female
1981,wimbledon,Chris Evert,13,1981-07-14,Female
1981,us_open,Tracy Austin,2,1981-09-09,Female
1982,australian_open,Chris Evert,14,1982-01-10,Female
1982,french_open,Martina Navratilova,4,1982-06-09,Female
1982,wimbledon,Martina Navratilova,5,1982-07-14,Female
1982,us_open,Chris Evert,15,1982-09-09,Female
1983,australian_open,Martina Navratilova,6,1983-01-10,Female
1983,french_open,Chris Evert,16,1983-06-09,Female
1983,wimbledon,Martina Navratilova,7,1983-07-14,Female
1983,us_open,Martina Navratilova,8,1983-09-09,Female
1984,australian_open,Chris Evert,17,1984-01-10,Female
1984,french_open,Martina Navratilova,9,1984-06-09,Female
1984,wimbledon,Martina Navratilova,10,1984-07-14,Female
1984,us_open,Martina Navratilova,11,1984-09-09,Female
1985,australian_open,Martina Navratilova,12,1985-01-10,Female
1985,french_open,Chris Evert,18,1985-06-09,Female
1985,wimbledon,Martina Navratilova,13,1985-07-14,Female
1985,us_open,Hana Mandlíková,3,1985-09-09,Female
1986,french_open,Chris Evert,19,1986-06-09,Female
1986,wimbledon,Martina Navratilova,14,1986-07-14,Female
1986,us_open,Martina Navratilova,15,1986-09-09,Female
1987,australian_open,Hana Mandlíková,4,1987-01-10,Female
1987,french_open,Steffi Graf,1,1987-06-09,Female
1987,wimbledon,Martina Navratilova,16,1987-07-14,Female
1987,us_open,Martina Navratilova,17,1987-09-09,Female
1988,australian_open,Steffi Graf,2,1988-01-10,Female
1988,french_open,Steffi Graf,3,1988-06-09,Female
1988,wimbledon,Steffi Graf,4,1988-07-14,Female
1988,us_open,Steffi Graf,5,1988-09-09,Female
1989,australian_open,Steffi Graf,6,1989-01-10,Female
1989,french_open,Arantxa Sánchez Vicario,1,1989-06-09,Female
1989,wimbledon,Steffi Graf,7,1989-07-14,Female
1989,us_open,Steffi Graf,8,1989-09-09,Female
1990,australian_open,Steffi Graf,9,1990-01-10,Female
1990,french_open,Monica Seles,1,1990-06-09,Female
1990,wimbledon,Martina Navratilova,18,1990-07-14,Female
1990,us_open,Gabriela Sabatini,1,1990-09-09,Female
1991,australian_open,Monica Seles,2,1991-01-10,Female
1991,french_open,Monica Seles,3,1991-06-09,Female
1991,wimbledon,Steffi Graf,10,1991-07-14,Female
1991,us_open,Monica Seles,4,1991-09-09,Female
1992,australian_open,Monica Seles,5,1992-01-10,Female
1992,french_open,Monica Seles,6,1992-06-09,Female
1992,wimbledon,Steffi Graf,11,1992-07-14,Female
1992,us_open,Monica Seles,7,1992-09-09,Female
1993,australian_open,Monica Seles,8,1993-01-10,Female
1993,french_open,Steffi Graf,12,1993-06-09,Female
1993,wimbledon,Steffi Graf,13,1993-07-14,Female
1993,us_open,Steffi Graf,14,1993-09-09,Female
1994,australian_open,Steffi Graf,15,1994-01-10,Female
1994,french_open,Arantxa Sánchez Vicario,2,1994-06-09,Female
1994,wimbledon,Conchita Martínez,1,1994-07-14,Female
1994,us_open,Arantxa Sánchez Vicario,3,1994-09-09,Female
1995,australian_open,Mary Pierce,1,1995-01-10,Female
1995,french_open,Steffi Graf,16,1995-06-09,Female
1995,wimbledon,Steffi Graf,17,1995-07-14,Female
1995,us_open,Steffi Graf,18,1995-09-09,Female
1996,australian_open,Monica Seles,9,1996-01-10,Female
1996,french_open,Steffi Graf,19,1996-06-09,Female
1996,wimbledon,Steffi Graf,20,1996-07-14,Female
