team,team_name,year,total,home,away,week,weekly_attendance
Arizona,Cardinals,2000,893926,387475,506451,1,77434
Arizona,Cardinals,2000,893926,387475,506451,2,66009
Arizona,Cardinals,2000,893926,387475,506451,3,NA
Arizona,Cardinals,2000,893926,387475,506451,4,71801
Arizona,Cardinals,2000,893926,387475,506451,5,66985
Arizona,Cardinals,2000,893926,387475,506451,6,44296
Arizona,Cardinals,2000,893926,387475,506451,7,38293
Arizona,Cardinals,2000,893926,387475,506451,8,62981
Arizona,Cardinals,2000,893926,387475,506451,9,35286
Arizona,Cardinals,2000,893926,387475,506451,10,52244
Arizona,Cardinals,2000,893926,387475,506451,11,64223
Arizona,Cardinals,2000,893926,387475,506451,12,65356
Arizona,Cardinals,2000,893926,387475,506451,13,42094
Arizona,Cardinals,2000,893926,387475,506451,14,50289
Arizona,Cardinals,2000,893926,387475,506451,15,53472
Arizona,Cardinals,2000,893926,387475,506451,16,37452
Arizona,Cardinals,2000,893926,387475,506451,17,65711
Atlanta,Falcons,2000,964579,422814,541765,1,54626
Atlanta,Falcons,2000,964579,422814,541765,2,75466
Atlanta,Falcons,2000,964579,422814,541765,3,73025
Atlanta,Falcons,2000,964579,422814,541765,4,58761
Atlanta,Falcons,2000,964579,422814,541765,5,65424
Atlanta,Falcons,2000,964579,422814,541765,6,50947
Atlanta,Falcons,2000,964579,422814,541765,7,66019
Atlanta,Falcons,2000,964579,422814,541765,8,56508
Atlanta,Falcons,2000,964579,422814,541765,9,46178
Atlanta,Falcons,2000,964579,422814,541765,10,70097
Atlanta,Falcons,2000,964579,422814,541765,11,74309
Atlanta,Falcons,2000,964579,422814,541765,12,67447
Atlanta,Falcons,2000,964579,422814,541765,13,55175
Atlanta,Falcons,2000,964579,422814,541765,14,44680
Atlanta,Falcons,2000,964579,422814,541765,15,NA
Atlanta,Falcons,2000,964579,422814,541765,16,64900
Atlanta,Falcons,2000,964579,422814,541765,17,41017
Baltimore,Ravens,2000,1062373,551695,510678,1,55049
Baltimore,Ravens,2000,1062373,551695,510678,2,68843
Baltimore,Ravens,2000,1062373,551695,510678,3,73464
Baltimore,Ravens,2000,1062373,551695,510678,4,68481
Baltimore,Ravens,2000,1062373,551695,510678,5,73018
Baltimore,Ravens,2000,1062373,551695,510678,6,65194
Baltimore,Ravens,2000,1062373,551695,510678,7,83252
Baltimore,Ravens,2000,1062373,551695,510678,8,69200
Baltimore,Ravens,2000,1062373,551695,510678,9,69405
Baltimore,Ravens,2000,1062373,551695,510678,10,54759
Baltimore,Ravens,2000,1062373,551695,510678,11,68490
Baltimore,Ravens,2000,1062373,551695,510678,12,69416
Baltimore,Ravens,2000,1062373,551695,510678,13,68361
Baltimore,Ravens,2000,1062373,551695,510678,14,NA
Baltimore,Ravens,2000,1062373,551695,510678,15,68805
Baltimore,Ravens,2000,1062373,551695,510678,16,37452
Baltimore,Ravens,2000,1062373,551695,510678,17,69184
Buffalo,Bills,2000,1098587,560695,537892,1,72492
Buffalo,Bills,2000,1098587,560695,537892,2,77722
Buffalo,Bills,2000,1098587,560695,537892,3,77884
Buffalo,Bills,2000,1098587,560695,537892,4,NA
Buffalo,Bills,2000,1098587,560695,537892,5,72617
Buffalo,Bills,2000,1098587,560695,537892,6,73901
Buffalo,Bills,2000,1098587,560695,537892,7,72351
Buffalo,Bills,2000,1098587,560695,537892,8,64116
Buffalo,Bills,2000,1098587,560695,537892,9,72861
Buffalo,Bills,2000,1098587,560695,537892,10,60292
Buffalo,Bills,2000,1098587,560695,537892,11,72420
Buffalo,Bills,2000,1098587,560695,537892,12,78457
Buffalo,Bills,2000,1098587,560695,537892,13,65546
Buffalo,Bills,2000,1098587,560695,537892,14,73002
Buffalo,Bills,2000,1098587,560695,537892,15,56671
Buffalo,Bills,2000,1098587,560695,537892,16,47230
Buffalo,Bills,2000,1098587,560695,537892,17,61025
Carolina,Panthers,2000,1095192,583489,511703,1,80257
Carolina,Panthers,2000,1095192,583489,511703,2,66879
Carolina,Panthers,2000,1095192,583489,511703,3,73025
Carolina,Panthers,2000,1095192,583489,511703,4,NA
Carolina,Panthers,2000,1095192,583489,511703,5,73310
Carolina,Panthers,2000,1095192,583489,511703,6,72192
Carolina,Panthers,2000,1095192,583489,511703,7,50015
Carolina,Panthers,2000,1095192,583489,511703,8,73169
Carolina,Panthers,2000,1095192,583489,511703,9,46178
Carolina,Panthers,2000,1095192,583489,511703,10,66048
Carolina,Panthers,2000,1095192,583489,511703,11,72981
Carolina,Panthers,2000,1095192,583489,511703,12,64208
Carolina,Panthers,2000,1095192,583489,511703,13,73295
Carolina,Panthers,2000,1095192,583489,511703,14,73358
Carolina,Panthers,2000,1095192,583489,511703,15,77481
Carolina,Panthers,2000,1095192,583489,511703,16,72159
Carolina,Panthers,2000,1095192,583489,511703,17,60637
Chicago,Bears,2000,1080684,535552,545132,1,64104
Chicago,Bears,2000,1080684,535552,545132,2,65569
Chicago,Bears,2000,1080684,535552,545132,3,66944
Chicago,Bears,2000,1080684,535552,545132,4,66944
Chicago,Bears,2000,1080684,535552,545132,5,59869
Chicago,Bears,2000,1080684,535552,545132,6,66944
Chicago,Bears,2000,1080684,535552,545132,7,66944
Chicago,Bears,2000,1080684,535552,545132,8,65553
Chicago,Bears,2000,1080684,535552,545132,9,NA
Chicago,Bears,2000,1080684,535552,545132,10,66944
Chicago,Bears,2000,1080684,535552,545132,11,72420
Chicago,Bears,2000,1080684,535552,545132,12,66944
Chicago,Bears,2000,1080684,535552,545132,13,77354
Chicago,Bears,2000,1080684,535552,545132,14,66944
Chicago,Bears,2000,1080684,535552,545132,15,66944
Chicago,Bears,2000,1080684,535552,545132,16,68306
Chicago,Bears,2000,1080684,535552,545132,17,71957
Cincinnati,Bengals,2000,967434,469992,497442,1,NA
Cincinnati,Bengals,2000,967434,469992,497442,2,64006
Cincinnati,Bengals,2000,967434,469992,497442,3,45653
Cincinnati,Bengals,2000,967434,469992,497442,4,68481
Cincinnati,Bengals,2000,967434,469992,497442,5,61535
Cincinnati,Bengals,2000,967434,469992,497442,6,63406
Cincinnati,Bengals,2000,967434,469992,497442,7,54328
Cincinnati,Bengals,2000,967434,469992,497442,8,61603
Cincinnati,Bengals,2000,967434,469992,497442,9,73118
Cincinnati,Bengals,2000,967434,469992,497442,10,54759
Cincinnati,Bengals,2000,967434,469992,497442,11,62170
Cincinnati,Bengals,2000,967434,469992,497442,12,60292
Cincinnati,Bengals,2000,967434,469992,497442,13,63925
Cincinnati,Bengals,2000,967434,469992,497442,14,50289
Cincinnati,Bengals,2000,967434,469992,497442,15,68498
Cincinnati,Bengals,2000,967434,469992,497442,16,50469
Cincinnati,Bengals,2000,967434,469992,497442,17,64902
Cleveland,Browns,2000,1057139,581544,475595,1,72418
Cleveland,Browns,2000,1057139,581544,475595,2,64006
Cleveland,Browns,2000,1057139,581544,475595,3,73018
Cleveland,Browns,2000,1057139,581544,475595,4,45702
Cleveland,Browns,2000,1057139,581544,475595,5,73018
Cleveland,Browns,2000,1057139,581544,475595,6,44296
Cleveland,Browns,2000,1057139,581544,475595,7,75811
Cleveland,Browns,2000,1057139,581544,475595,8,57659
Cleveland,Browns,2000,1057139,581544,475595,9,73118
Cleveland,Browns,2000,1057139,581544,475595,10,72718
Cleveland,Browns,2000,1057139,581544,475595,11,72618
Cleveland,Browns,2000,1057139,581544,475595,12,68498
Cleveland,Browns,2000,1057139,581544,475595,13,68361
Cleveland,Browns,2000,1057139,581544,475595,14,51262
Cleveland,Browns,2000,1057139,581544,475595,15,72318
Cleveland,Browns,2000,1057139,581544,475595,16,72318
Cleveland,Browns,2000,1057139,581544,475595,17,NA
Dallas,Cowboys,2000,1075470,504360,571110,1,62872
Dallas,Cowboys,2000,1075470,504360,571110,2,66009
Dallas,Cowboys,2000,1075470,504360,571110,3,84431
Dallas,Cowboys,2000,1075470,504360,571110,4,64127
Dallas,Cowboys,2000,1075470,504360,571110,5,73310
Dallas,Cowboys,2000,1075470,504360,571110,6,NA
Dallas,Cowboys,2000,1075470,504360,571110,7,78189
Dallas,Cowboys,2000,1075470,504360,571110,8,62981
Dallas,Cowboys,2000,1075470,504360,571110,9,63554
Dallas,Cowboys,2000,1075470,504360,571110,10,65636
Dallas,Cowboys,2000,1075470,504360,571110,11,62170
Dallas,Cowboys,2000,1075470,504360,571110,12,69416
Dallas,Cowboys,2000,1075470,504360,571110,13,63878
Dallas,Cowboys,2000,1075470,504360,571110,14,65621
Dallas,Cowboys,2000,1075470,504360,571110,15,63467
Dallas,Cowboys,2000,1075470,504360,571110,16,61311
Dallas,Cowboys,2000,1075470,504360,571110,17,68498
Denver,Broncos,2000,1140030,604042,535988,1,65956
Denver,Broncos,2000,1140030,604042,535988,2,75466
Denver,Broncos,2000,1140030,604042,535988,3,62078
Denver,Broncos,2000,1140030,604042,535988,4,74596
Denver,Broncos,2000,1140030,604042,535988,5,75684
Denver,Broncos,2000,1140030,604042,535988,6,56079
Denver,Broncos,2000,1140030,604042,535988,7,75811
Denver,Broncos,2000,1140030,604042,535988,8,61603
Denver,Broncos,2000,1140030,604042,535988,9,NA
Denver,Broncos,2000,1140030,604042,535988,10,78305
Denver,Broncos,2000,1140030,604042,535988,11,75951
Denver,Broncos,2000,1140030,604042,535988,12,75218
Denver,Broncos,2000,1140030,604042,535988,13,68661
Denver,Broncos,2000,1140030,604042,535988,14,64900
Denver,Broncos,2000,1140030,604042,535988,15,75218
