agency,station_name,line
NYCT,Clark St,2
NYCT,Clark St,3
NYCT,125 St,4
NYCT,125 St,5
NYCT,125 St,6
NYCT,Astor Pl,6
NYCT,Kings Hwy,B
NYCT,Kings Hwy,Q
NYCT,Newkirk Av,B
NYCT,Newkirk Av,Q
NYCT,137 St-City College,1
NYCT,23 St,6
NYCT,50 St,C
NYCT,50 St,E
NYCT,86 St,1
Metro-North,Tuckahoe,Harlem
Metro-North,Fleetwood,Harlem
NYCT,Grand Central-42 St,S
NYCT,Grand Central-42 St,4
NYCT,Grand Central-42 St,5
NYCT,Grand Central-42 St,6
NYCT,Grand Central-42 St,7
NYCT,Wall St,2
NYCT,Wall St,3
NYCT,104 St,J
NYCT,104 St,Z
NYCT,111 St,J
NYCT,111 St,Z
NYCT,Woodhaven Blvd,J
NYCT,Woodhaven Blvd,Z
NYCT,103 St,6
Metro-North,Harlem-125 St,City Terminal Zone
Metro-North,Mount Vernon West,Harlem
NYCT,34 St-Herald Sq,B
NYCT,34 St-Herald Sq,D
NYCT,34 St-Herald Sq,F
NYCT,34 St-Herald Sq,M
NYCT,34 St-Herald Sq,Q
NYCT,34 St-Herald Sq,N
NYCT,34 St-Herald Sq,R
NYCT,34 St-Herald Sq,W
NYCT,116 St-Columbia University,1
NYCT,34 St-Herald Sq,B
NYCT,34 St-Herald Sq,D
NYCT,34 St-Herald Sq,F
NYCT,34 St-Herald Sq,M
NYCT,34 St-Herald Sq,N
NYCT,34 St-Herald Sq,Q
NYCT,34 St-Herald Sq,R
NYCT,42 St-Port Authority Bus Terminal,A
NYCT,42 St-Port Authority Bus Terminal,C
NYCT,42 St-Port Authority Bus Terminal,E
NYCT,42 St-Port Authority Bus Terminal,N
NYCT,42 St-Port Authority Bus Terminal,R
NYCT,42 St-Port Authority Bus Terminal,Q
NYCT,42 St-Port Authority Bus Terminal,S
NYCT,42 St-Port Authority Bus Terminal,1
NYCT,42 St-Port Authority Bus Terminal,2
NYCT,42 St-Port Authority Bus Terminal,3
NYCT,42 St-Port Authority Bus Terminal,7
Metro-North,North White Plains,Harlem
NYCT,Jamaica Ctr-Parsons/Archer,E
NYCT,Jamaica Ctr-Parsons/Archer,J
NYCT,Jamaica Ctr-Parsons/Archer,Z
Metro-North,Scarsdale,Harlem
Metro-North,Hartsdale,Harlem
NYCT,207 St,1
NYCT,125 St,1
LIRR,Bay Shore,Montauk
NYCT,34 St-Herald Sq,B
NYCT,34 St-Herald Sq,D
NYCT,34 St-Herald Sq,F
NYCT,34 St-Herald Sq,M
NYCT,34 St-Herald Sq,N
NYCT,34 St-Herald Sq,R
NYCT,34 St-Herald Sq,Q
LIRR,"Great Neck (relocated from LIRR Westbury, 2001)",Port Washington
NYCT,Court Sq-23 St,E
NYCT,Court Sq-23 St, M
NYCT,Court Sq-23 St, G
NYCT,Court Sq-23 St, 7
NYCT,Intervale Av,2
NYCT,Intervale Av,5
LIRR,Merrick,Babylon
LIRR,Bellmore,Babylon
NYCT,Westchester Sq-E Tremont Av,6
LIRR,Penn Station,City Terminal Zone
NYCT,Houston St,1
NYCT,Union St,R
NYCT,57 St-7 Av,N
NYCT,57 St-7 Av,Q
NYCT,57 St-7 Av,R
NYCT,96 St,6
NYCT,Christopher St-Sheridan Sq,1
NYCT,50 St,1
NYCT,Cortelyou Rd,Q
NYCT,Beverley Rd,Q
NYCT,Prospect Park,B
NYCT,Prospect Park,Q
NYCT,Prospect Park,S
NYCT,Parkside Av,Q
LIRR,Ronkonkoma,Ronkonkoma
NYCT,Grand Army Plaza,2
NYCT,Grand Army Plaza,3
NYCT,135 St,2
NYCT,135 St,3
NYCT,34 St-Herald Sq,N
NYCT,34 St-Herald Sq,R
NYCT,34 St-Herald Sq,Q
NYCT,Lexington Av/59 St,4
NYCT,Lexington Av/59 St,5
NYCT,Lexington Av/59 St,6
NYCT,Lexington Av/59 St,N
NYCT,Lexington Av/59 St,R
NYCT,Lexington Av/59 St,W
NYCT,125 St,2
NYCT,125 St,3
NYCT,Utica Av,A
NYCT,Utica Av,C
NYCT,3 Av-149 St,2
NYCT,3 Av-149 St,5
NYCT,110 St,6
NYCT,Brooklyn Bridge-City Hall/Chambers St,J
NYCT,Brooklyn Bridge-City Hall/Chambers St,M
NYCT,Brooklyn Bridge-City Hall/Chambers St,4
NYCT,Brooklyn Bridge-City Hall/Chambers St,5
NYCT,Brooklyn Bridge-City Hall/Chambers St,6
NYCT,Flatbush Av-Brooklyn College,2
NYCT,Flatbush Av-Brooklyn College,5
NYCT,Woodhaven Blvd,M
NYCT,Woodhaven Blvd,R
NYCT,Roosevelt Island,F
Metro-North,Cortlandt,Hudson
NYCT,5 Av/59 St,N
NYCT,5 Av/59 St,R
NYCT,5 Av/59 St,Q
NYCT,Nevins St,2
NYCT,Nevins St,3
NYCT,Nevins St,4
NYCT,Nevins St,5
NYCT,33 St,6
NYCT,Cortlandt St,R
NYCT,Broadway-Lafayette St,B
NYCT,Broadway-Lafayette St,D
NYCT,Broadway-Lafayette St,F
NYCT,Broadway-Lafayette St,M
NYCT,Broadway-Lafayette St,6
Metro-North,Grand Central Terminal,City Terminal Zone
NYCT,Canal St,N
NYCT,Canal St,R
NYCT,Canal St,Q
NYCT,Canal St,W
NYCT,Canal St,J
NYCT,Canal St,Z
NYCT,Canal St,6
NYCT,Sheepshead Bay,B
NYCT,Sheepshead Bay,Q
Metro-North,Grand Central Terminal,City Terminal Zone
NYCT,34 St-Penn Station,1
NYCT,34 St-Penn Station,2
NYCT,34 St-Penn Station,3
Metro-North,Grand Central Terminal,City Terminal Zone
LIRR,Huntington,Port Jefferson
NYCT,Chambers St/Park Pl,A
NYCT,Chambers St/Park Pl,C
NYCT,Chambers St/Park Pl,E
NYCT,Chambers St/Park Pl,2
NYCT,Chambers St/Park Pl,3
NYCT,Central Park North (110 St),2
NYCT,Central Park North (110 St),3
NYCT,14 St-Union Sq,L
NYCT,14 St-Union Sq,N
NYCT,14 St-Union Sq,R
NYCT,14 St-Union Sq,Q
NYCT,14 St-Union Sq,4
NYCT,14 St-Union Sq,5
NYCT,14 St-Union Sq,6
NYCT,36 St,D
NYCT,36 St,N
NYCT,36 St,R
NYCT,Cathedral Pkwy (110 St),B
NYCT,Cathedral Pkwy (110 St),C
NYCT,Brighton Beach,B
NYCT,Brighton Beach,Q
NYCT,Woodside-61 St,7
LIRR,Bayside,City Terminal Zone
NYCT,Franklin Av,C
NYCT,Franklin Av,S
NYCT,Flushing-Main St,7
NYCT,Park Pl,S
NYCT,Botantic Garden/Franklin Av,S
NYCT,Botantic Garden/Franklin Av,2
NYCT,Botantic Garden/Franklin Av,3
NYCT,Botantic Garden/Franklin Av,4
NYCT,Botantic Garden/Franklin Av,5
NYCT,Inwood-207 St,A
Metro-North,Harlem-125 St,City Terminal Zone
NYCT,116 St,2
NYCT,116 St,3
NYCT,46 St,7
NYCT,40 St,7
NYCT,33 St,7
Metro-North,Wassaic,Wassaic
NYCT,Grand Central-42 St,7
NYCT,Grand Central-42 St,4
NYCT,Grand Central-42 St,5
NYCT,Grand Central-42 St,6
NYCT,Grand Central-42 St,S
NYCT,Whitehall St,R
NYCT,Tremont Avenue,B
NYCT,Tremont Avenue,D
NYCT,Metropolitan Av/Lorimer St,G
NYCT,Grand Central-42 Street,S
NYCT,Grand Central-42 Street,4
NYCT,Grand Central-42 Street,5
NYCT,Grand Central-42 Street,6
NYCT,Grand Central-42 Street,7
NYCT,81 St-Museum of Natural History,B
NYCT,81 St-Museum of Natural History,C
NYCT,Queensboro Plaza,N
NYCT,Queensboro Plaza,W
NYCT,Queensboro Plaza,7
NYCT,Broadway Junction,A
NYCT,Broadway Junction,C
NYCT,Broadway Junction,J
NYCT,Broadway Junction,L
NYCT,Broadway Junction,Z
NYCT,Court Sq-23 St,E
NYCT,Court Sq-23 St,M
NYCT,Court Sq-23 St,G
NYCT,Court Sq-23 St,7
NYCT,34 St-Penn Station,A
NYCT,34 St-Penn Station,C
NYCT,34 St-Penn Station,E
NYCT,Times Sq-42 St,N
NYCT,Times Sq-42 St,Q
NYCT,Times Sq-42 St,R
NYCT,Times Sq-42 St,S
NYCT,Times Sq-42 St,1
NYCT,Times Sq-42 St,2
NYCT,Times Sq-42 St,3
NYCT,Times Sq-42 St,7
NYCT,Times Sq-42 St,A
NYCT,Times Sq-42 St,C
NYCT,Times Sq-42 St,E
NYCT,Church Av,2
NYCT,Church Av,5
Metro-North,Mount Vernon East,New Haven
NYCT,66 St-Lincoln Center,1
NYCT,14 St-8 Av,A
NYCT,14 St-8 Av,C
NYCT,14 St-8 Av,E
NYCT,14 St-8 Av,L
NYCT,Canal St,A
NYCT,Canal St,C
NYCT,Canal St,E
NYCT,Lorimer St,J
NYCT,Lorimer St,M
NYCT,Gates Av,J
NYCT,Gates Av,Z
NYCT,161 St-Yankee Stadium,B
NYCT,161 St-Yankee Stadium,D
NYCT,161 St-Yankee Stadium,4
Metro-North,Pleasantville,Harlem
NYCT,23 St,N
NYCT,23 St,R
NYCT,Hewes St,J
NYCT,Hewes St,M
NYCT,Chauncey St,J
NYCT,Chauncey St,Z
NYCT,28 St,N
NYCT,28 St,R
NYCT,Times Sq-42 St,N
NYCT,Times Sq-42 St,Q
NYCT,Times Sq-42 St,R
NYCT,Times Sq-42 St,W
NYCT,Times Sq-42 St,S
NYCT,Times Sq-42 St,1
NYCT,Times Sq-42 St,2
NYCT,Times Sq-42 St,3
NYCT,Times Sq-42 St,7
