year,quarter,purpose,trips,region_id,ws_id,region,lon,lat
2014,4,Business,3.2724,4,946830-99999,Aberfoyle Park,138.60939195838046,-35.079959
2014,4,Business,1.7111,6,948650-99999,Acton,144.8245078489581,-37.861905650000004
2014,4,Business,104.5548,9,946750-99999,Adelaide,138.6005034659356,-34.926111250000005
2014,4,Holiday,96.3376,9,946750-99999,Adelaide,138.6005034659356,-34.926111250000005
2014,4,Holiday,37.183,14,943840-99999,Agnes Water - Miriam Vale,151.7011828572438,-24.3836121
2014,4,Business,11.2575,16,943680-99999,Airlie - Whitsundays,148.91326519131164,-20.119286949999996
2014,4,Holiday,67.2443,16,943680-99999,Airlie - Whitsundays,148.91326519131164,-20.119286949999996
2014,4,Business,36.7288,20,948010-99999,Albany,117.89096457836368,-35.01396080000001
2014,4,Holiday,37.6294,20,948010-99999,Albany,117.89096457836368,-35.01396080000001
2014,4,Holiday,2.9808,23,959360-99999,Albert Park,144.96136528444893,-37.844559450000006
2014,4,Business,30.9531,29,958960-99999,Albury - South,146.8969830607971,-36.03647029999999
2014,4,Holiday,28.9844,29,958960-99999,Albury - South,146.8969830607971,-36.03647029999999
2014,4,Business,2.76,30,949010-99999,Albury Surrounds,147.21867531251877,-35.75770045
2014,4,Holiday,14.7956,30,949010-99999,Albury Surrounds,147.21867531251877,-35.75770045
2014,4,Holiday,2.9765,32,956780-99999,Aldgate - Stirling,138.7344289754001,-35.0440475
2014,4,Holiday,1.7959,33,956790-99999,Aldinga,138.46554629148358,-35.29632765000001
2014,4,Business,2.9232,35,948810-99999,Alexandra,145.83478188064117,-37.281673399999995
2014,4,Holiday,52.563,35,948810-99999,Alexandra,145.83478188064117,-37.281673399999995
2014,4,Business,14.1815,41,951210-99999,Alligator,131.64280211075214,-12.926343799999996
2014,4,Holiday,9.5443,41,951210-99999,Alligator,131.64280211075214,-12.926343799999996
2014,4,Holiday,7.5739,44,949130-99999,Alps - West,148.0374063367036,-37.0012141
2014,4,Business,4.2351,45,948650-99999,Altona,144.8245078489581,-37.861905650000004
2014,4,Holiday,2.543,47,948650-99999,Altona North,144.8378956811944,-37.833094700000004
2014,4,Business,1.6796,50,941530-99999,Anindilyakwa,136.58656937567557,-13.978923349999997
2014,4,Business,12.0747,51,957790-99999,Anna Bay,152.03774209381362,-32.777495699999996
2014,4,Holiday,1.1327,51,957790-99999,Anna Bay,152.03774209381362,-32.777495699999996
2014,4,Business,0.7929,52,947680-99999,Annandale (NSW),151.17202287671296,-33.87921835
2014,4,Holiday,1.9627,54,945760-99999,Annerley,153.03275153424016,-27.512556049999993
