obs_lat,obs_lon,date,time,year,month,day,hour,weekday,dayofyear,sci_name,organism_name,record_type,obs_state,ws_id
-33.93,151.35,2014-01-04,00:00:00,2014,1,4,0,Saturday,4,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,NA,947800-99999
-33.93,151.35,2015-07-28,00:00:00,2015,7,28,0,Tuesday,209,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,NA,947800-99999
-33.93,151.35,2014-08-07,00:00:00,2014,8,7,0,Thursday,219,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,NA,947800-99999
-33.800584,151.295491,2024-12-22,11:44:00,2024,12,22,11,Sunday,357,Mobula alfredi,Manta ray,HUMAN_OBSERVATION,New South Wales,957680-99999
-33.800117,151.296864,2024-12-22,12:50:25,2024,12,22,12,Sunday,357,Mobula alfredi,Manta ray,HUMAN_OBSERVATION,New South Wales,957680-99999
-33.79972,151.294765,2024-12-22,08:19:48,2024,12,22,8,Sunday,357,Mobula alfredi,Manta ray,HUMAN_OBSERVATION,New South Wales,957680-99999
-33.7796,151.196,2014-04-25,06:34:06,2014,4,25,6,Friday,115,Mobula alfredi,Manta ray,OBSERVATION,New South Wales,947680-99999
-30.21,153.24,2017-03-03,00:00:00,2017,3,3,0,Friday,62,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.24,2017-03-04,00:00:00,2017,3,4,0,Saturday,63,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.23,2017-02-27,00:00:00,2017,2,27,0,Monday,58,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.21,2017-02-26,00:00:00,2017,2,26,0,Sunday,57,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.23,2017-03-03,00:00:00,2017,3,3,0,Friday,62,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.26,2017-02-26,00:00:00,2017,2,26,0,Sunday,57,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.17,2017-03-02,00:00:00,2017,3,2,0,Thursday,61,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.22,2015-11-29,00:00:00,2015,11,29,0,Sunday,333,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.19,2017-02-26,00:00:00,2017,2,26,0,Sunday,57,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.26,2017-02-27,00:00:00,2017,2,27,0,Monday,58,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.18,2017-03-04,00:00:00,2017,3,4,0,Saturday,63,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.25,2015-11-29,00:00:00,2015,11,29,0,Sunday,333,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.18,2017-03-01,00:00:00,2017,3,1,0,Wednesday,60,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.17,2017-02-27,00:00:00,2017,2,27,0,Monday,58,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.2,2017-02-26,00:00:00,2017,2,26,0,Sunday,57,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.23,2017-03-04,00:00:00,2017,3,4,0,Saturday,63,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.21,2017-02-20,00:00:00,2017,2,20,0,Monday,51,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.22,2017-03-05,00:00:00,2017,3,5,0,Sunday,64,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.24,2017-02-27,00:00:00,2017,2,27,0,Monday,58,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.24,2015-11-29,00:00:00,2015,11,29,0,Sunday,333,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
-30.21,153.23,2015-11-29,00:00:00,2015,11,29,0,Sunday,333,Mobula alfredi,Manta ray,MACHINE_OBSERVATION,New South Wales,947910-99999
