year,parent_entity,parent_type,commodity,production_value,production_unit,total_emissions_MtCO2e
1962,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,0.91250000000000010000,Million bbl/yr,0.36388483089848550000
1962,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1.84324999999999980000,Bcf/yr,0.13435521203446849000
1963,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1.82500000000000020000,Million bbl/yr,0.72776966179697100000
1963,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,4.42380000000000000000,Bcf/yr,0.32245250888272436000
1964,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,7.30000000000000100000,Million bbl/yr,2.91107864718788400000
1964,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,17.32654999999999700000,Bcf/yr,1.26293899312400360000
1965,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,10.95000000000000100000,Million bbl/yr,4.36661797078182600000
1965,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,25.06820000000000000000,Bcf/yr,1.82723088366877160000
1966,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,13.50499999999999900000,Million bbl/yr,5.38549549729758500000
1966,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,29.86065000000000000000,Bcf/yr,2.17655443495838960000
1967,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,14.60000000000000100000,Million bbl/yr,5.82215729437576800000
1967,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,29.86065000000000000000,Bcf/yr,2.17655443495838960000
1968,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,18.25000000000000000000,Million bbl/yr,7.27769661796970900000
1968,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,39.07690000000000000000,Bcf/yr,2.84833049513073180000
1969,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,22.26500000000000000000,Million bbl/yr,8.87878987392304700000
1969,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,47.18720000000000000000,Bcf/yr,3.43949342808239370000
1970,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,25.73250000000000000000,Million bbl/yr,10.26155223133729200000
1970,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,53.82290000000000400000,Bcf/yr,3.92317219140648050000
1971,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,34.30999999999999500000,Million bbl/yr,13.68206964178305400000
1971,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,72.99270000000000000000,Bcf/yr,5.32046639656495100000
1972,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,37.96000000000000000000,Million bbl/yr,15.13760896537699600000
1972,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,79.62840000000000000000,Bcf/yr,5.80414515988903900000
1973,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,117.71249999999999000000,Million bbl/yr,46.94114318590463000000
1973,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.32360000000000000000,Bcf/yr,7.09395519541993700000
1974,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,302.11050000000000000000,Million bbl/yr,120.47498981387058000000
1974,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.32360000000000000000,Bcf/yr,7.09395519541993700000
