country,invasion_cost,rank
China,22259e7,1
USA,18173e7,2
Japan,12075e7,3
Germany,85864e6,4
Italy,44228e6,5
France,38159e6,6
Korea,3762e7,7
India,36913e6,8
Russian,34336e6,9
United,2567e7,10
Brazil,24761e6,11
Australia,24719e6,12
Malaysia,22776e6,13
Singapore,21726e6,14
Thailand,2117e7,15
Indonesia,17971e6,16
Saudi,16722e6,17
Spain,15984e6,18
Netherlands,15769e6,19
Belgium,12299e6,20
Switzerland,9808e6,21
Canada,9298e6,22
South,8435e6,23
Turkey,7899e6,24
Nigeria,7446e6,25
Sweden,7247e6,26
Austria,6298e6,27
Argentina,6007e6,28
Iran,5907e6,29
Vietnam,5728e6,30
Mexico,5555e6,31
Poland,5456e6,32
Philippines,5216e6,33
Israel,4635e6,34
Hungary,3457e6,35
Chile,3427e6,36
Ukraine,3314e6,37
Algeria,3219e6,38
Finland,3197e6,39
Ireland,2932e6,40
Denmark,2911e6,41
Iraq,2548e6,42
Pakistan,2431e6,43
Romania,2179e6,44
Norway,2165e6,45
Venezuela,201e7,46
Colombia,1931e6,47
Czech,1883e6,48
Portugal,1806e6,49
Greece,1749e6,50
Peru,1419e6,51
Egypt,1328e6,52
New,1229e6,53
Bulgaria,1167e6,54
Morocco,9385e5,55
Kazakhstan,8538e5,56
Sudan,8426e5,57
Bangladesh,8112e5,58
Kenya,7898e5,59
Sri,732e6,60
Slovakia,6473e5,61
Yemen,5719e5,62
Congo,5528e5,63
Tunisia,4491e5,64
Slovenia,4377e5,65
Costa,4281e5,66
Trinidad,4268e5,67
Lithuania,3719e5,68
Ecuador,3067e5,69
Azerbaijan,3041e5,70
Cambodia,2562e5,71
Croatia,2418e5,72
Uruguay,2315e5,73
Jordan,2291e5,74
Belarus,2099e5,75
Ghana,1945e5,76
Cameroon,1783e5,77
Mauritius,1594e5,78
Togo,1453e5,79
Latvia,1431e5,80
El,1375e5,81
Panama,1246e5,82
Paraguay,1121e5,83
Lebanon,1082e5,84
Estonia,1016e5,85
Mozambique,959e5,86
Luxembourg,891e5,87
Equatorial,827e5,88
Malta,745e5,89
Ethiopia,662e5,90
Malawi,633e5,91
Georgia,626e5,92
Honduras,618e5,93
Cyprus,584e5,94
Tajikistan,575e5,95
Dominican,514e5,96
Guinea,474e5,97
Madagascar,392e5,98
Nicaragua,381e5,99
Macedonia,35e6,100
Jamaica,343e5,101
Laos,317e5,102
Moldova,302e5,103
Iceland,295e5,104
Mali,282e5,105
Fiji,266e5,106
Armenia,243e5,107
Niger,233e5,108
Nepal,227e5,109
Burkina,192e5,110
Rwanda,16100000.000000002,111
Mongolia,142e5,112
Barbados,121e5,113
Kyrgyzstan,92e5,114
Suriname,79e5,115
Vanuatu,76e5,116
Albania,73e5,117
Qatar,55e5,118
Bosnia,44e5,119
Belize,43e5,120
Gambia,36e5,121
Guinea,18e5,122
Burundi,16e5,123
Cape,3e5,124
