species,authority,country,kingdom,environment_system,origin
Abelia rupestris,L.Späth,Algeria,Plantae,terrestrial,Alien
Abelia triflora,R.Br.,Algeria,Plantae,terrestrial,Alien
Abelia uniflora,R.Br.,Algeria,Plantae,terrestrial,Alien
Abelmoschus esculentus,Moench (L.),Algeria,Plantae,terrestrial,Alien
Abelmoschus esculentus,Moench (L.),Chad,Plantae,terrestrial,Alien
Abelmoschus esculentus,Moench (L.),Madagascar,Plantae,terrestrial,Alien
Abelmoschus esculentus,Moench (L.),Seychelles,Plantae,terrestrial,Alien
Abelmoschus esculentus,Moench (L.),South Africa,Plantae,terrestrial,Alien
Abelmoschus esculentus,Moench (L.),Zimbabwe,Plantae,terrestrial,Alien
Abelmoschus ficulneus,Wight & Arn. ex Wight (L.),Chad,Plantae,terrestrial,Alien
Abelmoschus ficulneus,Wight & Arn. ex Wight (L.),Madagascar,Plantae,terrestrial,Alien
Abelmoschus moschatus,Medik.,Seychelles,Plantae,terrestrial,Alien
Abies nordmanniana,Spach (Steven),Algeria,Plantae,terrestrial,Alien
Abroma augustum,L. f. (L.),Algeria,Plantae,terrestrial,Alien
Abrus precatorius,L.,Algeria,Plantae,terrestrial,Alien
Abudefduf vaigiensis,"(Quoy & Gaimard, 1825)",Egypt,Animalia,marine,Alien
Abutilon aurantiacum,Linden,Algeria,Plantae,terrestrial,Alien
Abutilon bedfordianum,A.St.-Hil.,Algeria,Plantae,terrestrial,Alien
Abutilon coccineum,Hort. ex Regel,Algeria,Plantae,terrestrial,Alien
Abutilon ferrugineum,Kunth,Algeria,Plantae,terrestrial,Alien
Abutilon fruticosum,Guill. & Perr.,Seychelles,Plantae,terrestrial,Alien
Abutilon grandiflorum,G.Don,Algeria,Plantae,terrestrial,Alien
Abutilon grandiflorum,Sweet (Willd.),Angola,Plantae,terrestrial,Alien
Abutilon grandiflorum,Sweet (Willd.),Burkina Faso,Plantae,terrestrial,Alien
Abutilon grandiflorum,Sweet (Willd.),Gabon,Plantae,terrestrial,Alien
Abutilon grandiflorum,Sweet (Willd.),Mozambique,Plantae,terrestrial,Alien
Abutilon grandiflorum,Sweet (Willd.),Sao Tome and Principe,Plantae,terrestrial,Alien
Abutilon grandiflorum,Sweet (Willd.),Senegal,Plantae,terrestrial,Alien
Abutilon grandiflorum,Sweet (Willd.),South Africa,Plantae,terrestrial,Alien
Abutilon grandiflorum,Sweet (Willd.),Ethiopia,Plantae,terrestrial,Alien
Abutilon hirtum,Sweet (Lam.),Algeria,Plantae,terrestrial,Alien
Abutilon indicum,Sweet (L.),Madagascar,Plantae,terrestrial,Alien
Abutilon insigne,Planch.,Algeria,Plantae,terrestrial,Alien
Abutilon megapotamicum,A. St.-Hil. & Naudin (A. Spreng.),Rwanda,Plantae,terrestrial,Alien
Abutilon pannosum,Schltdl. (Forst. fil.),Seychelles,Plantae,terrestrial,Alien
Abutilon pictum,Walp. (Gillies ex Hook. & Arn.),Algeria,Plantae,terrestrial,Alien
Abutilon theophrasti,Medik.,Ethiopia,Plantae,terrestrial,Alien
Abutilon theophrasti,Medik.,Eritrea,Plantae,terrestrial,Alien
Abutilon theophrasti,Medik.,Morocco,Plantae,terrestrial,Alien
Abutilon theophrasti,Medik.,South Africa,Plantae,terrestrial,Alien
Abyla trigona,"Quoy & Gaimard, 1827",Egypt,Animalia,marine,Alien
Acacia adunca,A.Cunn. ex G.Don,South Africa,Plantae,terrestrial,Alien
Acacia armata,R.Br.,Algeria,Plantae,terrestrial,Alien
Acacia auriculiformis,Benth.,Benin,Plantae,terrestrial,Alien
Acacia auriculiformis,Benth.,Burundi,Plantae,terrestrial,Alien
Acacia auriculiformis,Benth.,Cameroon,Plantae,terrestrial,Alien
Acacia auriculiformis,Benth.,Comoros,Plantae,terrestrial,Alien
Acacia auriculiformis,Benth.,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Acacia auriculiformis,Benth.,Ghana,Plantae,terrestrial,Alien
Acacia auriculiformis,A.Cunn. ex Benth.,Madagascar,Plantae,terrestrial,Alien
Acacia auriculiformis,Benth.,Malawi,Plantae,terrestrial,Alien
Acacia auriculiformis,Benth.,Nigeria,Plantae,terrestrial,Alien
Acacia auriculiformis,Benth.,Rwanda,Plantae,terrestrial,Alien
Acacia auriculiformis,Benth.,Senegal,Plantae,terrestrial,Alien
Acacia auriculiformis,Benth.,Sierra Leone,Plantae,terrestrial,Alien
Acacia auriculiformis,Benth.,Kenya,Plantae,terrestrial,Alien
Acacia auriculiformis,Benth.,Uganda,Plantae,terrestrial,Alien
Acacia auriculiformis,Benth.,United Republic of Tanzania,Plantae,terrestrial,Alien
Acacia baileyana,Mill.,Swaziland,Plantae,terrestrial,Alien
Acacia baileyana,F.Muell.,Algeria,Plantae,terrestrial,Alien
Acacia baileyana,F.Muell.,South Africa,Plantae,terrestrial,Alien
Acacia baileyana,F.Muell.,Zimbabwe,Plantae,terrestrial,Alien
Acacia buxifolia,A.Cunn.,Algeria,Plantae,terrestrial,Alien
Acacia caven,Molina (Molina),Algeria,Plantae,terrestrial,Alien
Acacia colei,Maslin & L.A.J.Thomson,Kenya,Plantae,terrestrial,Alien
Acacia colei,Maslin & L.A.J.Thomson,United Republic of Tanzania,Plantae,terrestrial,Alien
Acacia concinna,DC. (Willd.),Seychelles,Plantae,terrestrial,Alien
Acacia confusa,Merr.,Mauritius,Plantae,terrestrial,Alien
Acacia confusa,Merr.,Seychelles,Plantae,terrestrial,Alien
Acacia crassicarpa,A.Cunn. ex Benth.,Madagascar,Plantae,terrestrial,Alien
Acacia cultriformis,A.Cunn. ex G.Don,South Africa,Plantae,terrestrial,Alien
Acacia cyclops,G.Don,Algeria,Plantae,terrestrial,Alien
Acacia cyclops,G.Don,Burkina Faso,Plantae,terrestrial,Alien
Acacia cyclops,G.Don,Cameroon,Plantae,terrestrial,Alien
Acacia cyclops,G.Don,Egypt,Plantae,terrestrial,Alien
Acacia cyclops,G.Don,Libya,Plantae,terrestrial,Alien
Acacia cyclops,A.Cunn. ex G.Don,Madagascar,Plantae,terrestrial,Alien
Acacia cyclops,G.Don,Mali,Plantae,terrestrial,Alien
Acacia cyclops,G.Don,Mauritania,Plantae,terrestrial,Alien
Acacia cyclops,G.Don,Morocco,Plantae,terrestrial,Alien
Acacia cyclops,G.Don,Niger,Plantae,terrestrial,Alien
Acacia cyclops,G.Don,Senegal,Plantae,terrestrial,Alien
Acacia cyclops,A.Cunn. ex G.Don,South Africa,Plantae,terrestrial,Alien
Acacia cyclops,A.Cunn. ex G.Don,Tunisia,Plantae,terrestrial,Alien
Acacia cyclops,G.Don,Ethiopia,Plantae,terrestrial,Alien
Acacia dealbata,Mill.,Swaziland,Plantae,terrestrial,Alien
Acacia dealbata,Link,Algeria,Plantae,terrestrial,Alien
Acacia dealbata,Link,Burundi,Plantae,terrestrial,Alien
Acacia dealbata,Link,Madagascar,Plantae,terrestrial,Alien
Acacia dealbata,Link,Mauritius,Plantae,terrestrial,Alien
Acacia dealbata,Link,Mozambique,Plantae,terrestrial,Alien
Acacia dealbata,Link,Rwanda,Plantae,terrestrial,Alien
Acacia dealbata,Link,South Africa,Plantae,terrestrial,Alien
Acacia dealbata,Link,Zambia,Plantae,terrestrial,Alien
Acacia dealbata,Link,Zimbabwe,Plantae,terrestrial,Alien
Acacia dealbata,Link,Ethiopia,Plantae,terrestrial,Alien
Acacia dealbata,Link,Kenya,Plantae,terrestrial,Alien
Acacia dealbata,Link,Uganda,Plantae,terrestrial,Alien
Acacia decurrens,Mill.,Swaziland,Plantae,terrestrial,Alien
Acacia decurrens,Willd.,Democratic Republic of the Congo,Plantae,terrestrial,Alien
Acacia decurrens,Willd.,Madagascar,Plantae,terrestrial,Alien
Acacia decurrens,Willd.,Morocco,Plantae,terrestrial,Alien
Acacia decurrens,Willd.,Rwanda,Plantae,terrestrial,Alien
Acacia decurrens,Willd.,South Africa,Plantae,terrestrial,Alien
Acacia decurrens,Willd.,Zimbabwe,Plantae,terrestrial,Alien
Acacia decurrens,Willd.,Ethiopia,Plantae,terrestrial,Alien
Acacia decurrens,Willd.,Kenya,Plantae,terrestrial,Alien
Acacia decurrens,Willd.,Uganda,Plantae,terrestrial,Alien
Acacia dietrichiana,F.Muell.,Algeria,Plantae,terrestrial,Alien
Acacia drepanolobium,Sjostedt,Ethiopia,Plantae,terrestrial,Alien
Acacia elata,Mill.,Swaziland,Plantae,terrestrial,Alien
Acacia elata,A.Cunn. ex Benth.,South Africa,Plantae,terrestrial,Alien
Acacia elata,Benth.,Zimbabwe,Plantae,terrestrial,Alien
Acacia farnesiana,Willd. (L.),Algeria,Plantae,terrestrial,Alien
Acacia farnesiana,Willd. (L.),Comoros,Plantae,terrestrial,Alien
Acacia farnesiana,Willd. (L.),Egypt,Plantae,terrestrial,Alien
Acacia farnesiana,Willd. (L.),Ghana,Plantae,terrestrial,Alien
Acacia farnesiana,Willd. (L.),Libya,Plantae,terrestrial,Alien
Acacia farnesiana,Willd. (L.),Mauritius,Plantae,terrestrial,Alien
Acacia farnesiana,Willd. (L.),Morocco,Plantae,terrestrial,Alien
Acacia farnesiana,Willd. (L.),Mozambique,Plantae,terrestrial,Alien
Acacia farnesiana,Willd. (L.),Sudan,Plantae,terrestrial,Alien
Acacia farnesiana,Willd. (L.),Togo,Plantae,terrestrial,Alien
Acacia farnesiana,Willd. (L.),Ethiopia,Plantae,terrestrial,Alien
Acacia farnesiana,Willd. (L.),Kenya,Plantae,terrestrial,Alien
Acacia farnesiana,Willd. (L.),Uganda,Plantae,terrestrial,Alien
Acacia fimbriata,A.Cunn. ex G.Don,South Africa,Plantae,terrestrial,Alien
Acacia floribunda,Willd. (Vent.),Algeria,Plantae,terrestrial,Alien
Acacia hockii,De Wild.,Uganda,Plantae,terrestrial,Alien
Acacia holosericea,G.Don,Burkina Faso,Plantae,terrestrial,Alien
Acacia holosericea,A.Cunn. ex G.Don,Madagascar,Plantae,terrestrial,Alien
Acacia implexa,Benth.,South Africa,Plantae,terrestrial,Alien
Acacia karroo,Hayne,Algeria,Plantae,terrestrial,Alien
Acacia karroo,Hayne,Libya,Plantae,terrestrial,Alien
Acacia karroo,Hayne,Mauritius,Plantae,terrestrial,Alien
Acacia karroo,Hayne,Morocco,Plantae,terrestrial,Alien
Acacia longifolia,Mill.,Swaziland,Plantae,terrestrial,Alien
Acacia longifolia,Willd. (Andrews),Madagascar,Plantae,terrestrial,Alien
Acacia longifolia,Willd. (Andrews),Mauritius,Plantae,terrestrial,Alien
