country,invasion_cost,rank
China,11729e7,1
USA,70381e6,2
Brazil,3376e7,3
India,33065e6,4
Japan,2349e7,5
Korea,14349e6,6
Turkey,13267e6,7
Argentina,13204e6,8
France,12532e6,9
Mexico,11277e6,10
Iran,11276e6,11
Nigeria,10251e6,12
Indonesia,955e7,13
Thailand,8066e6,14
Australia,7815e6,15
Vietnam,749e7,16
Ukraine,6953e6,17
Egypt,6737e6,18
Canada,6694e6,19
Pakistan,663e7,20
Germany,6481e6,21
Bangladesh,5623e6,22
Spain,5576e6,23
Russian,5084e6,24
Philippines,4839e6,25
Greece,4342e6,26
United,4005e6,27
South,3922e6,28
Romania,3524e6,29
Algeria,2862e6,30
Morocco,2531e6,31
Colombia,2476e6,32
Poland,2449e6,33
Ethiopia,2312e6,34
Venezuela,2167e6,35
Chile,2095e6,36
Netherlands,1981e6,37
Hungary,1979e6,38
Belarus,1777e6,39
Peru,158e7,40
Cameroon,1574e6,41
Italy,1447e6,42
Denmark,1417e6,43
Nepal,1411e6,44
Sudan,1373e6,45
Portugal,1365e6,46
Belgium,1351e6,47
Kazakhstan,1344e6,48
Czech,1336e6,49
Austria,1304e6,50
Iraq,1234e6,51
Kenya,123e7,52
Mozambique,1218e6,53
Cambodia,1121e6,54
Ghana,1114e6,55
Bulgaria,1112e6,56
Madagascar,1074e6,57
Malawi,1071e6,58
Paraguay,1012e6,59
Guinea,9775e5,60
Tunisia,9492e5,61
Ecuador,9347e5,62
Switzerland,9241e5,63
Dominican,873e6,64
Jamaica,8717e5,65
Sri,8291e5,66
Yemen,806e6,67
Saudi,8035e5,68
Honduras,7943e5,69
Croatia,7556e5,70
Azerbaijan,7307e5,71
New,6397e5,72
Albania,6372e5,73
Finland,6007e5,74
Slovakia,5734e5,75
Burkina,5577e5,76
Costa,5568e5,77
Sweden,5469e5,78
Israel,5184e5,79
Uruguay,5091e5,80
Laos,5082e5,81
Mali,5047e5,82
El,4751e5,83
Norway,4194e5,84
Burundi,3979e5,85
Lithuania,3924e5,86
Moldova,3875e5,87
Armenia,336e6,88
Malaysia,333e6,89
Bosnia,3274e5,90
Kyrgyzstan,302e6,91
Georgia,3015e5,92
Tajikistan,2971e5,93
Ireland,2776e5,94
Lebanon,2768e5,95
Nicaragua,264100000.00000003,96
Rwanda,2551e5,97
Mauritius,2276e5,98
Macedonia,2184e5,99
Congo,2128e5,100
Slovenia,202e6,101
Niger,1973e5,102
Latvia,1873e5,103
Panama,1612e5,104
Togo,1532e5,105
Jordan,1164e5,106
Guinea,1143e5,107
Cyprus,1085e5,108
Estonia,1021e5,109
Fiji,871e5,110
Mongolia,647e5,111
Luxembourg,647e5,112
Belize,422e5,113
Cape,408e5,114
Gambia,376e5,115
Suriname,365e5,116
Trinidad,288e5,117
Vanuatu,235e5,118
Barbados,203e5,119
Equatorial,165e5,120
Malta,144e5,121
Qatar,5e6,122
Iceland,48e5,123
Singapore,7e5,124
