Subcategory,hoursPerDay,uncertainty
Active recreation,0.0,0.0
Allocation,0.62,0.03
Artifacts,0.37,0.02
Buildings,0.16,0.07
Energy,0.03,0.01
Food growth & collection,0.73,0.04
Food preparation,0.09,0.01
Food processing,0.04,0.0
Health care,0.06,0.01
Human transportation,0.03,0.06
Hygiene & grooming,0.02,0.01
Infrastructure,0.05,0.0
Inhabited environment,0.07,0.01
Interactive,0.01,0.09
Material transportation,0.12,0.01
Materials,0.06,0.01
Meals,0.0,0.0
Passive,0.01,0.0
Physical child care,0.01,0.0
Religious practice,0.0,0.0
Schooling & research,0.11,0.01
Sleep & bedrest,0.0,0.0
Social,0.01,0.0
Waste management,0.01,0.0
