team_code,full_name
ATL,Atlanta Thrashers
HFD,Hartford Whalers
MNS,Minnesota North Stars
QUE,Quebec Nordiques
WIN,Winnipeg Jets (1979)
CLR,Colorado Rockies
SEN,Ottawa Senators (1917)
HAM,Hamilton Tigers
PIR,Pittsburgh Pirates
QUA,Philadelphia Quakers
DCG,Detroit Cougars
MWN,Montreal Wanderers
QBD,Quebec Bulldogs
MMR,Montreal Maroons
NYA,New York Americans
SLE,St. Louis Eagles
OAK,Oakland Seals
AFM,Atlanta Flames
KCS,Kansas City Scouts
CLE,Cleveland Barons
DFL,Detroit Falcons
BRK,Brooklyn Americans
NJD,New Jersey Devils
CGS,California Golden Seals
TAN,Toronto Arenas
TSP,Toronto St. Patricks
NHL,NHL
DET,Detroit Red Wings
BOS,Boston Bruins
WPG,Winnipeg Jets
SJS,San Jose Sharks
PIT,Pittsburgh Penguins
TBL,Tampa Bay Lightning
PHI,Philadelphia Flyers
TOR,Toronto Maple Leafs
BUF,Buffalo Sabres
CAR,Carolina Hurricanes
ARI,Arizona Coyotes
CGY,Calgary Flames
MTL,Montréal Canadiens
WSH,Washington Capitals
LAK,Los Angeles Kings
VAN,Vancouver Canucks
COL,Colorado Avalanche
NSH,Nashville Predators
ANA,Anaheim Ducks
VGK,Vegas Golden Knights
NYI,New York Islanders
SEA,Seattle Kraken
DAL,Dallas Stars
PHX,Phoenix Coyotes
CHI,Chicago Blackhawks
NYR,New York Rangers
CBJ,Columbus Blue Jackets
FLA,Florida Panthers
EDM,Edmonton Oilers
MIN,Minnesota Wild
STL,St. Louis Blues
OTT,Ottawa Senators
