team_code,season,position_type,player_id,headshot,first_name,last_name,sweater_number,position_code,shoots_catches,height_in_inches,weight_in_pounds,height_in_centimeters,weight_in_kilograms,birth_date,birth_city,birth_country,birth_state_province
ATL,19992000,forwards,8467867,https://assets.nhle.com/mugs/nhl/19992000/ATL/8467867.png,Bryan,Adams,26,L,L,72,185,183,84,1977-03-20,Fort St. James,CAN,British Columbia
ATL,19992000,forwards,8445176,https://assets.nhle.com/mugs/nhl/19992000/ATL/8445176.png,Donald,Audette,28,R,R,68,191,173,87,1969-09-23,Laval,CAN,Quebec
ATL,19992000,forwards,8460014,https://assets.nhle.com/mugs/nhl/19992000/ATL/8460014.png,Eric,Bertrand,83,L,L,73,205,185,93,1975-04-16,St-Ephrem,CAN,Quebec
ATL,19992000,forwards,8460510,https://assets.nhle.com/mugs/nhl/19992000/ATL/8460510.png,Jason,Botterill,28,L,L,76,217,193,98,1976-05-19,Edmonton,CAN,Alberta
ATL,19992000,forwards,8459596,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459596.png,Andrew,Brunette,15,L,L,73,215,185,98,1973-08-24,Sudbury,CAN,Ontario
ATL,19992000,forwards,8445733,https://assets.nhle.com/mugs/nhl/19992000/ATL/8445733.png,Kelly,Buchberger,7,R,L,74,200,188,91,1966-12-02,Langenburg,CAN,Saskatchewan
ATL,19992000,forwards,8460573,https://assets.nhle.com/mugs/nhl/19992000/ATL/8460573.png,Hnat,Domenichelli,9,L,L,72,195,183,88,1976-02-17,Edmonton,CAN,Alberta
ATL,19992000,forwards,8459450,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459450.png,Shean,Donovan,10,R,R,75,218,191,99,1975-01-22,Timmins,CAN,Ontario
ATL,19992000,forwards,8446675,https://assets.nhle.com/mugs/nhl/19992000/ATL/8446675.png,Nelson,Emerson,19,R,R,70,180,178,82,1967-08-17,Hamilton,CAN,Ontario
ATL,19992000,forwards,8446823,https://assets.nhle.com/mugs/nhl/19992000/ATL/8446823.png,Ray,Ferraro,21,C,L,69,200,175,91,1964-08-23,Trail,CAN,British Columbia
ATL,19992000,forwards,8447071,https://assets.nhle.com/mugs/nhl/19992000/ATL/8447071.png,Johan,Garpenlov,29,L,L,71,185,180,84,1968-03-21,Stockholm,SWE,NA
ATL,19992000,forwards,8460482,https://assets.nhle.com/mugs/nhl/19992000/ATL/8460482.png,Stephen,Guolla,8,C,L,72,190,183,86,1973-03-15,Toronto,CAN,Ontario
ATL,19992000,forwards,8460524,https://assets.nhle.com/mugs/nhl/19992000/ATL/8460524.png,Matt,Johnson,12,L,L,77,235,196,107,1975-11-23,Welland,CAN,Ontario
ATL,19992000,forwards,8459571,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459571.png,Andreas,Karlsson,24,C,L,76,201,193,91,1975-08-19,Ludvika,SWE,NA
ATL,19992000,forwards,8458888,https://assets.nhle.com/mugs/nhl/19992000/ATL/8458888.png,Denny,Lambert,27,L,L,71,211,180,96,1970-01-07,Wawa,CAN,Ontario
ATL,19992000,forwards,8458649,https://assets.nhle.com/mugs/nhl/19992000/ATL/8458649.png,Martin,Prochazka,21,R,R,71,171,180,78,1972-03-03,Slany,CZE,NA
ATL,19992000,forwards,8451673,https://assets.nhle.com/mugs/nhl/19992000/ATL/8451673.png,Mike,Stapleton,9,C,R,70,183,178,83,1966-05-05,Sarnia,CAN,Ontario
ATL,19992000,forwards,8467055,https://assets.nhle.com/mugs/nhl/19992000/ATL/8467055.png,Patrik,Stefan,27,C,L,74,205,188,93,1980-09-16,Pribram,CZE,NA
ATL,19992000,forwards,8459562,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459562.png,Per,Svartvadet,39,C,L,73,190,185,86,1975-05-17,Ornskoldsvik,SWE,NA
