year,level_min,level_max,depth_min,depth_max
622,11.57,17.58,2.7699999999999996,8.779999999999998
623,10.88,17.37,2.08,8.57
624,11.69,17.64,2.889999999999999,8.84
625,11.69,17.47,2.889999999999999,8.669999999999998
626,9.84,17.5,1.0399999999999991,8.7
627,13.22,18.02,4.42,9.219999999999999
628,11.78,17.55,2.9799999999999986,8.75
629,11.03,16.38,2.2299999999999986,7.579999999999998
630,12.11,17.43,3.3099999999999987,8.629999999999999
631,12.92,17.45,4.119999999999999,8.649999999999999
632,11.24,16.85,2.4399999999999995,8.05
633,11.71,18.5,2.91,9.7
634,11.33,17.8,2.5299999999999994,9
635,12.27,18.36,3.469999999999999,9.559999999999999
636,11.42,18.05,2.619999999999999,9.25
637,12.16,17.83,3.3599999999999994,9.029999999999998
638,12.59,17.36,3.789999999999999,8.559999999999999
639,12.99,18.01,4.1899999999999995,9.21
640,12.32,17.51,3.5199999999999996,8.71
641,11.17,18.04,2.369999999999999,9.239999999999998
642,11.55,16.92,2.75,8.120000000000001
643,12.32,17.43,3.5199999999999996,8.629999999999999
644,10.83,17.48,2.0299999999999994,8.68
645,10.2,17.41,1.3999999999999986,8.61
646,13.94,17.83,5.139999999999999,9.029999999999998
647,11.96,17.68,3.16,8.879999999999999
648,11.48,17.51,2.6799999999999997,8.71
649,10.83,17.62,2.0299999999999994,8.82
650,11.89,15.93,3.09,7.129999999999999
651,11.33,17.55,2.5299999999999994,8.75
652,10.34,17.49,1.5399999999999991,8.689999999999998
653,11.57,17.69,2.7699999999999996,8.89
654,10.34,17.35,1.5399999999999991,8.55
655,10.97,17.37,2.17,8.57
656,12.99,17.91,4.1899999999999995,9.11
657,11.57,17.37,2.7699999999999996,8.57
658,11.3,17.56,2.5,8.759999999999998
659,11.55,17.4,2.75,8.599999999999998
660,13.49,17.95,4.6899999999999995,9.149999999999999
661,12.32,17.62,3.5199999999999996,8.82
662,11.03,17.23,2.2299999999999986,8.43
663,11.03,17.67,2.2299999999999986,8.870000000000001
664,10.83,17.9,2.0299999999999994,9.099999999999998
