year,lake,species,grand_total,comments,region,values
1991,Erie,American Eel,1,NA,Michigan (MI),0
1991,Erie,American Eel,1,NA,New York (NY),0
1991,Erie,American Eel,1,NA,Ohio (OH),0
1991,Erie,American Eel,1,NA,Pennsylvania (PA),0
1991,Erie,American Eel,1,NA,U.S. Total,0
1991,Erie,American Eel,1,NA,Canada (ONT),1
1992,Erie,American Eel,0,NA,Michigan (MI),0
1992,Erie,American Eel,0,NA,New York (NY),0
1992,Erie,American Eel,0,NA,Ohio (OH),0
1992,Erie,American Eel,0,NA,Pennsylvania (PA),0
1992,Erie,American Eel,0,NA,U.S. Total,0
1992,Erie,American Eel,0,NA,Canada (ONT),0
1993,Erie,American Eel,0,NA,Michigan (MI),0
1993,Erie,American Eel,0,NA,New York (NY),0
1993,Erie,American Eel,0,NA,Ohio (OH),0
1993,Erie,American Eel,0,NA,Pennsylvania (PA),0
1993,Erie,American Eel,0,NA,U.S. Total,0
1993,Erie,American Eel,0,NA,Canada (ONT),0
1994,Erie,American Eel,0,NA,Michigan (MI),0
1994,Erie,American Eel,0,NA,New York (NY),0
1994,Erie,American Eel,0,NA,Ohio (OH),0
1994,Erie,American Eel,0,NA,Pennsylvania (PA),0
1994,Erie,American Eel,0,NA,U.S. Total,0
1994,Erie,American Eel,0,NA,Canada (ONT),0
1995,Erie,American Eel,0,NA,Michigan (MI),0
1995,Erie,American Eel,0,NA,New York (NY),0
1995,Erie,American Eel,0,NA,Ohio (OH),0
1995,Erie,American Eel,0,NA,Pennsylvania (PA),0
1995,Erie,American Eel,0,NA,U.S. Total,0
1995,Erie,American Eel,0,NA,Canada (ONT),0
1996,Erie,American Eel,0,NA,Michigan (MI),0
1996,Erie,American Eel,0,NA,New York (NY),0
1996,Erie,American Eel,0,NA,Ohio (OH),0
1996,Erie,American Eel,0,NA,Pennsylvania (PA),0
1996,Erie,American Eel,0,NA,U.S. Total,0
1996,Erie,American Eel,0,NA,Canada (ONT),0
1997,Erie,American Eel,0,NA,Michigan (MI),0
1997,Erie,American Eel,0,NA,New York (NY),0
1997,Erie,American Eel,0,NA,Ohio (OH),0
1997,Erie,American Eel,0,NA,Pennsylvania (PA),0
1997,Erie,American Eel,0,NA,U.S. Total,0
1997,Erie,American Eel,0,NA,Canada (ONT),0
1998,Erie,American Eel,0,NA,Michigan (MI),0
1998,Erie,American Eel,0,NA,New York (NY),0
1998,Erie,American Eel,0,NA,Ohio (OH),0
1998,Erie,American Eel,0,NA,Pennsylvania (PA),0
1998,Erie,American Eel,0,NA,U.S. Total,0
1998,Erie,American Eel,0,NA,Canada (ONT),0
1999,Erie,American Eel,0,NA,Michigan (MI),0
1999,Erie,American Eel,0,NA,New York (NY),0
1999,Erie,American Eel,0,NA,Ohio (OH),0
1999,Erie,American Eel,0,NA,Pennsylvania (PA),0
1999,Erie,American Eel,0,NA,U.S. Total,0
1999,Erie,American Eel,0,NA,Canada (ONT),0
1885,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1885,Erie,Blue Pike,NA,NA,New York (NY),1166
1885,Erie,Blue Pike,NA,NA,Ohio (OH),3153
1885,Erie,Blue Pike,NA,NA,Pennsylvania (PA),3570
1885,Erie,Blue Pike,NA,NA,U.S. Total,7889
1885,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1886,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1886,Erie,Blue Pike,NA,NA,New York (NY),NA
1886,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1886,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1886,Erie,Blue Pike,NA,NA,U.S. Total,NA
1886,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1887,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1887,Erie,Blue Pike,NA,NA,New York (NY),NA
1887,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1887,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1887,Erie,Blue Pike,NA,NA,U.S. Total,NA
1887,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1888,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1888,Erie,Blue Pike,NA,NA,New York (NY),NA
1888,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1888,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1888,Erie,Blue Pike,NA,NA,U.S. Total,NA
1888,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1889,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1889,Erie,Blue Pike,NA,NA,New York (NY),NA
1889,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1889,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1889,Erie,Blue Pike,NA,NA,U.S. Total,NA
1889,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1890,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1890,Erie,Blue Pike,NA,NA,New York (NY),288
1890,Erie,Blue Pike,NA,NA,Ohio (OH),3955
1890,Erie,Blue Pike,NA,NA,Pennsylvania (PA),3246
1890,Erie,Blue Pike,NA,NA,U.S. Total,7489
1890,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1891,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1891,Erie,Blue Pike,NA,NA,New York (NY),NA
1891,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1891,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1891,Erie,Blue Pike,NA,NA,U.S. Total,NA
1891,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1892,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1892,Erie,Blue Pike,NA,NA,New York (NY),NA
1892,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1892,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1892,Erie,Blue Pike,NA,NA,U.S. Total,NA
1892,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1893,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1893,Erie,Blue Pike,NA,NA,New York (NY),NA
1893,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1893,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1893,Erie,Blue Pike,NA,NA,U.S. Total,NA
1893,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1894,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1894,Erie,Blue Pike,NA,NA,New York (NY),NA
1894,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1894,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1894,Erie,Blue Pike,NA,NA,U.S. Total,NA
1894,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1895,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1895,Erie,Blue Pike,NA,NA,New York (NY),NA
1895,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1895,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1895,Erie,Blue Pike,NA,NA,U.S. Total,NA
1895,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1896,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1896,Erie,Blue Pike,NA,NA,New York (NY),NA
1896,Erie,Blue Pike,NA,NA,Ohio (OH),NA
1896,Erie,Blue Pike,NA,NA,Pennsylvania (PA),NA
1896,Erie,Blue Pike,NA,NA,U.S. Total,NA
1896,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1897,Erie,Blue Pike,NA,NA,Michigan (MI),NA
1897,Erie,Blue Pike,NA,NA,New York (NY),396
1897,Erie,Blue Pike,NA,NA,Ohio (OH),1787
1897,Erie,Blue Pike,NA,NA,Pennsylvania (PA),2669
1897,Erie,Blue Pike,NA,NA,U.S. Total,4852
1897,Erie,Blue Pike,NA,NA,Canada (ONT),NA
1898,Erie,Blue Pike,NA,NA,Michigan (MI),NA
