accident_id,accident_type,datetime,county,municipality,species,lat,long,sex,juvenile,outcome
192412,Road,2024-07-01T00:06:00Z,Dalarna County,Malung-Sälen,Roe deer,61.16489,13.20427,Female,No,Died at the scene
192637,Road,2024-07-01T00:13:00Z,Örebro County,Lindesberg,Moose,59.5367,15.25812,Male,No,Assessed uninjured
194163,Road,2024-07-01T00:28:00Z,Stockholm County,Österåker,Wild boar,59.54813,18.27599,Female,No,Euthanised
192439,Road,2024-07-01T00:30:00Z,Stockholm County,Värmdö,Roe deer,59.28928,18.40191,Unknown,Unknown,Not found
192299,Road,2024-07-01T00:33:00Z,Södermanland County,Nyköping,Fallow deer,58.90982,16.80955,Female,No,Euthanised
192411,Road,2024-07-01T00:41:00Z,Dalarna County,Säter,Roe deer,60.36528,15.78704,Male,No,Euthanised
192406,Road,2024-07-01T00:50:00Z,Östergötland County,Åtvidaberg,Fallow deer,58.15403,16.0702,Male,Unknown,Not found
192487,Road,2024-07-01T00:51:00Z,Örebro County,Örebro,Wild boar,59.3413,15.56543,Unknown,No,Assessed uninjured
192269,Road,2024-07-01T00:52:00Z,Västra Götaland County,Orust,Roe deer,58.18661,11.69313,Female,No,Died at the scene
192392,Road,2024-07-01T01:10:00Z,Västra Götaland County,Kungälv,Roe deer,57.84219,11.87637,Female,No,Euthanised
192320,Road,2024-07-01T01:24:00Z,Dalarna County,Mora,Roe deer,61.04987,14.6099,Female,No,Died at the scene
192278,Road,2024-07-01T01:34:00Z,Halland County,Kungsbacka,Roe deer,57.357,12.20903,Unknown,Unknown,Not found
192413,Road,2024-07-01T01:40:00Z,Jönköping County,Jönköping,Other animals,58.02733,14.4862,Unknown,Unknown,Found dead
192422,Road,2024-07-01T02:15:00Z,Västra Götaland County,Alingsås,Roe deer,57.8086,12.53985,Male,No,Euthanised
192276,Road,2024-07-01T02:30:00Z,Västra Götaland County,Svenljunga,Roe deer,57.5676,13.0992,Unknown,Unknown,Assessed uninjured
192271,Road,2024-07-01T02:40:00Z,Östergötland County,Motala,Moose,58.57919,15.10034,Female,No,Euthanised
192372,Road,2024-07-01T02:45:00Z,Västra Götaland County,Lerum,Wild boar,57.82619,12.22451,Unknown,Unknown,Not found
193808,Road,2024-07-01T02:45:00Z,Skåne County,Hässleholm,Wild boar,56.02298,13.69867,Female,Yes,Found dead
194747,Road,2024-07-01T03:03:00Z,Kalmar County,Hultsfred,Roe deer,57.34417,15.58256,Female,No,Found dead
192378,Road,2024-07-01T03:11:00Z,Skåne County,Hässleholm,Roe deer,56.06836,13.84162,Male,No,Found dead
192285,Road,2024-07-01T03:14:00Z,Skåne County,Klippan,Wild boar,56.04108,13.38936,Male,No,Died at the scene
192285,Road,2024-07-01T03:14:00Z,Skåne County,Klippan,Wild boar,56.04108,13.38936,Male,No,Died at the scene
192302,Road,2024-07-01T03:30:00Z,Västmanland County,Arboga,Roe deer,59.39272,15.85706,Unknown,Unknown,"Assessed injured, not found"
192300,Road,2024-07-01T03:40:00Z,Södermanland County,Nyköping,Roe deer,58.77304,17.02848,Unknown,Unknown,Died at the scene
192334,Road,2024-07-01T03:45:00Z,Östergötland County,Kinda,Roe deer,58.14334,15.63632,Unknown,No,Not found
192394,Road,2024-07-01T03:56:00Z,Västra Götaland County,Strömstad,Roe deer,58.91201,11.35842,Male,No,Found dead
192337,Road,2024-07-01T04:00:00Z,Västra Götaland County,Karlsborg,Roe deer,58.49377,14.44997,Male,No,Assessed uninjured
193384,Road,2024-07-01T04:00:00Z,Västra Götaland County,"Mölndal, Askim",Roe deer,57.60205,12.11804,Female,No,Died at the scene
192792,Road,2024-07-01T04:04:00Z,Västra Götaland County,Tranemo,Roe deer,57.50956,13.41679,Unknown,No,"Assessed injured, not found"
192305,Road,2024-07-01T04:11:00Z,Stockholm County,Nykvarn,Roe deer,59.18312,17.43291,Female,No,Assessed uninjured
192309,Road,2024-07-01T04:15:00Z,Kronoberg County,Växjö,Roe deer,56.99758,14.8575,Female,No,Assessed uninjured
194864,Road,2024-07-01T04:41:00Z,Uppsala County,Heby,Roe deer,60.0931,17.03809,Unknown,Unknown,Not found
193150,Road,2024-07-01T04:45:00Z,Kalmar County,Oskarshamn,Roe deer,57.27024,16.4369,Unknown,Unknown,Not found
196488,Road,2024-07-01T04:45:00Z,Västra Götaland County,Lilla Edet,Roe deer,58.20966,12.13181,Unknown,No,Not found
192273,Road,2024-07-01T04:49:00Z,Jämtland County,Krokom,Moose,63.35105,14.4791,Female,No,Euthanised
194657,Road,2024-07-01T04:55:00Z,Kalmar County,Borgholm,Roe deer,57.2801,17.00756,Male,No,Died at the scene
192348,Road,2024-07-01T05:00:00Z,Skåne County,Ängelholm,Roe deer,56.19117,12.84931,Female,No,Died at the scene
193062,Road,2024-07-01T05:00:00Z,Uppsala County,Uppsala,Wild boar,59.95565,17.47798,Male,No,Euthanised
193126,Road,2024-07-01T05:30:00Z,Uppsala County,Uppsala,Roe deer,59.94486,17.83804,Male,No,Died at the scene
192574,Road,2024-07-01T05:32:00Z,Dalarna County,Älvdalen,Roe deer,61.27467,13.78483,Female,No,Died at the scene
192493,Road,2024-07-01T05:42:00Z,Södermanland County,Nyköping,Roe deer,58.75771,17.02494,Female,No,Euthanised
192290,Road,2024-07-01T05:45:00Z,Västra Götaland County,Göteborg,Roe deer,57.73412,11.89611,Female,No,Died at the scene
192308,Road,2024-07-01T05:45:00Z,Kronoberg County,Växjö,Roe deer,56.91245,14.8446,Female,No,Died at the scene
192281,Road,2024-07-01T05:49:00Z,Dalarna County,Leksand,Roe deer,60.69733,14.97189,Female,No,Died at the scene
192301,Road,2024-07-01T06:00:00Z,Gävleborg County,Söderhamn,Roe deer,61.36526,17.01164,Male,No,Died at the scene
193554,Road,2024-07-01T06:00:00Z,Västra Götaland County,Vårgårda,Roe deer,57.93289,12.85466,Male,No,Died at the scene
192343,Road,2024-07-01T06:10:00Z,Västmanland County,Fagersta,Roe deer,59.95026,16.02188,Male,No,Died at the scene
192287,Road,2024-07-01T06:15:00Z,Västra Götaland County,Borås,Roe deer,57.61247,13.01772,Female,Yes,Died at the scene
195342,Road,2024-07-01T06:30:00Z,Kalmar County,Mörbylånga,Roe deer,56.52949,16.40185,Male,No,Euthanised
192303,Road,2024-07-01T06:45:00Z,Jönköping County,Gislaved,Roe deer,57.28311,13.67299,Female,Yes,Died at the scene
192499,Road,2024-07-01T06:50:00Z,Dalarna County,Falun,Roe deer,60.71351,15.28555,Unknown,No,Assessed uninjured
194558,Road,2024-07-01T07:00:00Z,Kalmar County,Kalmar,Roe deer,56.7011,16.31231,Male,No,Died at the scene
193223,Railway,2024-07-01T07:04:00Z,Skåne County,Höör,Roe deer,55.91712,13.4862,Unknown,Unknown,Found dead
192296,Road,2024-07-01T07:42:00Z,Värmland County,Hagfors,Roe deer,59.9686,13.65772,Female,No,Died at the scene
193099,Road,2024-07-01T07:45:00Z,Blekinge County,Karlshamn,Wild boar,56.32873,14.70006,Female,Yes,Died at the scene
192289,Road,2024-07-01T07:53:00Z,Västra Götaland County,Borås,Roe deer,57.79537,12.76431,Female,Yes,Died at the scene
192317,Road,2024-07-01T08:00:00Z,Halland County,Halmstad,Roe deer,56.718,13.30913,Female,No,Euthanised
193154,Road,2024-07-01T08:00:00Z,Värmland County,Torsby,Roe deer,60.59373,13.07335,Male,No,Euthanised
192345,Road,2024-07-01T08:05:00Z,Västra Götaland County,Orust,Roe deer,58.14482,11.70839,Unknown,Unknown,Not found
192588,Road,2024-07-01T08:05:00Z,Stockholm County,Norrtälje,Roe deer,59.78309,18.82376,Unknown,Unknown,Assessed uninjured
