1,"t","Honey Bee Colonies: Released May 12, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2015 and April-June 2015"
1,"h","","","","","","","",""
1,"h","","April 1","April-June","April-June","April-June","April-June","April-June","April-June"
1,"h","State","","","","","","",""
1,"h","","number of","Maximum","Lost","Percent","Added","Renovated","Percent"
1,"h","","colonies","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
1,"h","","","","","","","",""
1,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
1,"d","Alabama",7500,7500,860,12,1900,680,9
1,"d","Arizona",33000,33000,5500,17,19500,7000,21
1,"d","Arkansas",13500,13500,1900,14,11500,5500,41
1,"d","California",1040000,1050000,104000,10,170000,285000,27
1,"d","Colorado",12000,25000,1900,8,6000,3500,14
1,"d","Connecticut",3000,3000,80,3,1100,150,5
1,"d","Florida",210000,215000,35000,16,44000,24000,11
1,"d","Georgia",114000,124000,23000,19,25000,19000,15
1,"d","Hawaii",13500,13500,120,1,1100,1200,9
1,"d","Idaho",62000,72000,6500,9,16500,10500,15
1,"d","",,,,,,,
1,"d","Illinois",9500,9500,1300,14,6000,1500,16
1,"d","Indiana",8000,12500,1300,10,4900,4300,34
1,"d","Iowa",12500,24000,1400,6,6500,3100,13
1,"d","Kansas",6000,7000,670,10,2800,420,6
1,"d","Kentucky",7500,8500,980,12,3600,1500,18
1,"d","Louisiana",44000,45000,1800,4,6500,8000,18
1,"d","Maine",4600,30000,3200,11,3500,700,2
1,"d","Maryland",8000,11000,370,3,2600,710,7
1,"d","Massachusetts",4100,14000,320,2,940,510,4
1,"d","Michigan",58000,88000,9500,11,13500,5500,6
1,"d","",,,,,,,
1,"d","Minnesota",71000,125000,12500,10,20000,21000,17
1,"d","Mississippi",89000,89000,11000,12,5500,10000,11
1,"d","Missouri",11500,12500,500,4,1900,1800,14
1,"d","Montana",36000,210000,4200,2,14000,33000,16
1,"d","Nebraska",29000,68000,4100,6,15500,4600,7
1,"d","New Jersey",8500,19000,1800,10,2100,2900,15
1,"d","New Mexico",6500,8500,1000,12,1500,330,4
1,"d","New York",24000,34000,1100,3,11000,1500,4
1,"d","North Carolina",19500,23000,1800,8,5500,3300,14
1,"d","North Dakota",121000,450000,29000,6,39000,61000,14
1,"d","",,,,,,,
1,"d","Ohio",17500,19000,2100,11,10000,6000,32
1,"d","Oklahoma",25000,27000,2200,8,5500,2200,8
1,"d","Oregon",82000,95000,5500,6,14500,9500,10
1,"d","Pennsylvania",15500,19000,1600,8,8500,2600,14
1,"d","South Carolina",17500,18500,950,5,1100,2000,11
1,"d","South Dakota",100000,290000,21000,7,27000,23000,8
1,"d","Tennessee",7500,7500,730,10,3600,920,12
1,"d","Texas",305000,315000,33000,11,76000,94000,30
1,"d","Utah",24000,27000,3400,13,10000,3900,14
1,"d","Vermont",6000,6000,100,2,580,50,1
1,"d","",,,,,,,
1,"d","Virginia",7500,7500,270,4,2100,430,6
1,"d","Washington",105000,127000,5000,4,15000,13000,10
1,"d","West Virginia",4700,4700,570,12,2900,590,13
1,"d","Wisconsin",25000,65000,4600,7,10000,5500,9
1,"d","Wyoming",12000,25000,3200,13,7500,5000,20
1,"d","",,,,,,,
1,"d","Other States 5/",8600,11200,1940,17,4140,1960,18
1,"d","",,,,,,,
1,"d","United States",2849500,"(X)",352860,12,661860,692850,24
1,"c",""
1,"f","(X)  Not applicable."
1,"f","1/ April 1 number of colonies plus all colonies moved into that state during the quarter."
1,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 number of colonies."
1,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
1,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 number of colonies."
1,"f","5/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations."
