id,scene_description
3,[Close-up of the boy as he grins confidently over his shoulder in the direction of the girl.]
5,[Happily surprised.]
6,[Close-up of Sokka; whispering.]
6,"[A look of bliss adorns his face. He licks his lips and wiggles his fingers, not taking his eyes off the fish.]"
8,[Struggling with the water that passes right in front of her.]
10,[Exclaims indignantly.]
14,[Cut to her face; she sighs lightly before answering in slight annoyance.]
15,"[Grabbing his warrior's wolf knot with his left hand as he turns away from her, wringing the water out of it. Meanwhile, Katara has crossed her arms.]"
16,"[Cut to her face as she raises an eyebrow skeptically, arms still crossed.]"
20,[A touch of bitterness in her voice.]
21,"[He waves his hands, mockingly imitating waterbending.]"
23,[Indignantly.]
24,[Annoyed.]
24,[Cut to a close-up of the siblings; Katara is staring down at her brother in anger while he rants calmly.]
26,[She brings her hands up to her head and swings them back down and behind her in her rage; the movement creates a small wave of water behind her.]
26,[Hands raised back to her head.]
26,"[Swings her arms back down again, creating a slightly larger wave; she raises her hands back to her head during a brief loss for words.]"
26,"[Throwing a hand upward, a short jet of water shoots upward as well.]"
28,[Points to herself.]
30,"[Pointing to the iceberg behind her, his voice subdued by fright.]"
31,"[Close-up of a rage-fueled Katara as she continues her outburst, a finger pointed in Sokka's face.]"
33,"[In a screeching voice, his eyes open wide in fear.]"
36,[He releases her.]
37,[Astonished.]
38,"[Sarcastically, glancing at her and smirking.]"
38,[Nudging her with his elbow.]
42,"[He grabs his spear from the ice and runs after Katara, who is already at the ice's edge.]"
44,"[He turns around to face another person in uniform, who sits at a small table.]"
45,[The man is playing some sort of card game. He answers calmly while looking over the tile he's holding toward his nephew.]
46,[Turning around again to face the light.]
48,[Gestures at the light while facing his uncle again.]
48,[The light dwindles and disappears.]
49,[With continuing disinterest and an air of skepticism.]
49,"[He looks at the tile in his hand, depicting the symbol of airbending.]"
49,[He places it on a tile carrying the symbol of firebending and gestures toward the open place at the other side of the table while continuing in a relaxed voice.]
50,"[Furiously, still facing Iroh.]"
52,[Brandishing his spear in defense once again.]
54,[Waves the spear away. Annoyed.]
56,[In a weak voice.]
59,[Curiously.]
60,"[In a clear, happy, hopeful tone.]"
61,[Awkwardly.]
63,"[Looking around and rubbing his head, while Katara scrambles on her feet.]"
64,[Aggressively.]
64,[Points at the top of the crater.]
64,[He pokes the boy in his side with his spear.]
65,[Lazily pushes the spear away.]
67,[Exclaims happily.]
67,"[He hangs down the side of the beast to look at its eyes, which are still closed.]"
69,[Laughing cheerfully.]
73,[Sarcastically.]
73,[Katara shoots him an odd look.]
75,[Cheerfully.]
75,"[Green slime is hanging from Sokka's face to his glove, dripping down as he retracts his hand. Katara covers her mouth in disgust.]"
76,[Pointing his spear accusingly again at Aang who is surprised to see the thing.]
77,[Pushes Sokka's spear away again and addresses him sarcastically.]
77,[Aang shoots the two an earnest grin.]
78,"[The boy sneezes, creating an air blast that sends him soaring into the air. He lands on the ground, unharmed.]"
78,[He sniffles a bit.]
79,[Total disbelief.]
79,[Points to the sky.]
80,[He looks questioningly toward the sky.]
81,[Gasps for air in comprehension.]
83,[Walks away.]
83,"[He realizes, however, that he is stranded in the middle of the ocean with no way home.]"
84,[Aang airbends himself onto Appa.]
85,[Katara runs to the side of the bison.]
87,[While climbing on top of Appa with the help of Aang.]
92,[Sarcastically.]
93,[Katara shoots her brother an angry glance.]
93,"[Katara smiles at Aang, who returns this gesture. When she wants to move back, she realizes that he is still smiling at her.]"
94,[Uncomfortably.]
95,"[Surprised, Katara smiles back.]"
97,[Yawns and stretches.]
97,"[After a short pause, he abandons his try at a veiled suggestion and delivers his request more clearly, his tone tired.]"
103,[He smiles weakly at Katara.]
104,[She slants her eyes in disappointment for a second before smiling again at Aang.]
107,"[Aang shoots up, throwing the covers of his body and gasping for air. Katara perches beside him and stands up as she sees that Aang is awake.]"
107,[She points to the door of the tent.]
109,[Points to the line of villagers in front of them.]
111,[Uncomfortably.]
114,[Shocked disbelief.]
115,[Gesturing.]
118,[Annoyed.]
119,[Aang uses a small air current to get his staff back.]
119,"[He opens his staff into a glider, making Sokka gasp in fright and cover his head with his hands.]"
120,[Excited.]
121,"[He moves his glider around him, visually demonstrating what he is talking about.]"
122,[Mockingly states his disbelief.]
123,"[Accepting Sokka's challenge, smiling.]"
125,[In admiration.]
129,[Shocked.]
131,[Offering her hand to pull him out of the snow.]
133,[Annoyed.]
133,[He wedges himself free from underneath the weight of the snow and stalks off.]
134,[Surprised and with admiration.]
135,[Nervously.]
138,[Excitedly.]
139,[Calmly.]
140,[Clenches her fist and closes her eyes in hope.]
142,[Muffled.]
144,[Sternly.]
146,[Sighs while he gets up.]
146,[Zuko lowers his arms and looks at his uncle.]
146,[Iroh moves his both hand up in front of him to emphasize the breathing motion.]
146,[He stretches his left arm out as if he was sending a fire blast.]
146,[Iroh directs a fire blast at his nephew that evaporates just before it would scorch him.]
147,"[With suppressed anger, he walks toward his uncle and addresses him.]"
148,[He sits down again on his chair.]
148,[He yells his order.]
150,[The suppressed anger is very apparent in his voice.]
