discontinued,gauge_divisor,grams,id,machine_washable,max_gauge,min_gauge,name,permalink,rating_average,rating_count,rating_total,texture,thread_size,wpi,yardage,yarn_company_name,yarn_weight_crochet_gauge,yarn_weight_id,yarn_weight_knit_gauge,yarn_weight_name,yarn_weight_ply,yarn_weight_wpi,texture_clean
FALSE,4,198,2059,TRUE,NA,17,Super Saver Solids,red-heart-super-saver-solids,3.58,17616,63069,cable plied,NA,NA,364,Red Heart,NA,1,18,Aran,10,8,cable plied
FALSE,4,170,3330,TRUE,NA,18,Simply Soft Solids,caron-simply-soft-solids,4.03,19133,77147,plied,NA,NA,315,Caron,NA,1,18,Aran,10,8,plied
FALSE,4,100,523,NA,20,18,Cascade 220®,cascade-yarns-cascade-220,4.48,21517,96470,plied,NA,9,220,Cascade Yarns ®,NA,12,20,Worsted,10,9,plied
FALSE,4,100,5741,TRUE,NA,16,Vanna's Choice,lion-brand-vannas-choice,3.87,13959,54036,plied,NA,NA,170,Lion Brand,NA,1,18,Aran,10,8,plied
FALSE,4,100,1666,NA,NA,18,Worsted,malabrigo-yarn-worsted,4.73,20638,97630,singles,NA,8,210,Malabrigo Yarn,NA,1,18,Aran,10,8,singles
FALSE,4,100,62569,TRUE,22,18,Rios,malabrigo-yarn-rios,4.81,20250,97421,plied,NA,NA,210,Malabrigo Yarn,NA,12,20,Worsted,10,9,plied
FALSE,4,70,818,TRUE,NA,20,Sugar'n Cream Solids & Denim,lily-sugarn-cream-solids--denim,4.11,13053,53632,"4 single plies, s-plied, non-mercerized",NA,NA,120,Lily,NA,12,20,Worsted,10,9,"4 single plies, s-plied, non-mercerized"
FALSE,4,100,3518,TRUE,22,20,220 Superwash,cascade-yarns-220-superwash,4.42,14828,65478,NA,NA,NA,220,Cascade Yarns ®,NA,12,20,Worsted,10,9,NA
FALSE,4,100,26385,TRUE,NA,32,Sock,malabrigo-yarn-sock,4.74,18508,87693,plied,NA,NA,440,Malabrigo Yarn,NA,13,32,Light Fingering,3,NA,plied
FALSE,4,NA,53539,TRUE,30,26,Tosh Merino Light,madelinetosh-tosh-merino-light,4.7,15991,75155,single,NA,NA,420,madelinetosh,NA,5,28,Fingering,4,14,single
