feature_id,feature_name,state_name,county_name,county_numeric,date_created,date_edited,prim_lat_dec,prim_long_dec
479,Adamana,Arizona,Apache,1,1980-02-08,2022-06-07,34.9766921,-109.8223383
492,Adobe,Arizona,Maricopa,13,1980-02-08,2022-06-07,33.6892053,-112.1226529
511,Agua Fria,Arizona,Maricopa,13,1980-02-08,2022-06-07,33.6055945,-112.3146036
538,Ajo,Arizona,Pima,19,1980-02-08,2022-06-07,32.3717249,-112.8607099
542,Ak Chin,Arizona,Pinal,21,1980-02-08,2022-06-07,33.0328285,-112.0731983
580,Alhambra,Arizona,Maricopa,13,1980-02-08,2022-06-07,33.4983756,-112.1343177
581,Ali Chuk,Arizona,Pima,19,1980-02-08,2011-01-12,31.8150745,-112.5568109
605,Allenville,Arizona,Maricopa,13,1980-02-08,2022-06-07,33.3519866,-112.5865542
728,Apache Flats,Arizona,Cochise,3,1980-02-08,2022-06-07,31.5581502,-110.3625803
765,Arizola,Arizona,Pinal,21,1980-02-08,2022-06-07,32.8511698,-111.7142947
770,Arizona City,Arizona,Pinal,21,1980-02-08,2022-06-07,32.7558935,-111.6709584
887,Audley,Arizona,Yavapai,25,1980-02-08,2022-06-07,35.4016666,-113.039081
895,Avondale,Arizona,Maricopa,13,1980-02-08,2022-06-07,33.4355977,-112.3496021
929,Bacavi,Arizona,Navajo,17,1984-06-27,2011-01-29,35.9236136,-110.65736
949,Bagdad,Arizona,Yavapai,25,1980-02-08,2022-06-07,34.5811305,-113.2046414
971,Bakerville,Arizona,Cochise,3,1980-02-08,2022-06-07,31.4228777,-109.8872962
1006,Bapchule,Arizona,Pinal,21,1980-02-08,2022-08-30,33.136441,-111.873193
1154,Beardsley,Arizona,Maricopa,13,1980-02-08,2022-06-07,33.6614262,-112.3790519
1248,Benson,Arizona,Cochise,3,1980-02-08,2022-06-07,31.9678611,-110.2945174
1379,Big Springs,Arizona,Coconino,5,1980-02-08,2022-06-07,36.6016535,-112.3499036
1436,Bisbee,Arizona,Cochise,3,1980-02-08,2022-06-07,31.4481547,-109.9284084
1437,Bisbee Junction,Arizona,Cochise,3,1980-02-08,2022-06-07,31.3514908,-109.8861844
1657,Blackwater,Arizona,Pinal,21,1980-02-08,2022-06-07,33.0311702,-111.582627
1887,Bouse,Arizona,La Paz,12,1980-02-08,2022-06-07,33.9325235,-114.0057748
1959,Briggs,Arizona,Cochise,3,1980-02-08,2022-06-07,31.4184333,-109.8970186
2081,Buckeye,Arizona,Maricopa,13,1980-02-08,2022-06-07,33.3703197,-112.5837766
2129,Buena Vista,Arizona,Graham,9,1980-02-08,2022-06-07,32.8436758,-109.5620205
