sample,lead,lead2,notes
1,0,0,NA
2,104,NA,sample removed: house had a filter
3,10,10,NA
4,6,6,NA
5,5,5,NA
6,0,0,NA
7,3,3,NA
8,0,0,NA
9,13,13,NA
10,4,4,NA
11,8,8,NA
12,6,6,NA
13,2,2,NA
14,1,1,NA
15,1,1,NA
16,0,0,NA
17,2,2,NA
18,7,7,NA
19,3,3,NA
20,5,5,NA
21,0,0,NA
22,5,5,NA
23,5,5,NA
24,42,42,NA
25,22,22,NA
26,8,8,NA
27,20,NA,sample removed: business not residence
28,6,6,NA
29,2,2,NA
30,5,5,NA
31,3,3,NA
32,2,2,NA
33,3,3,NA
34,4,4,NA
35,21,21,NA
36,7,7,NA
37,3,3,NA
38,42,42,NA
39,0,0,NA
40,7,7,NA
41,29,29,NA
42,18,18,NA
43,1,1,NA
44,2,2,NA
45,3,3,NA
46,1,1,NA
47,5,5,NA
48,0,0,NA
49,3,3,NA
50,10,10,NA
51,2,2,NA
52,5,5,NA
53,2,2,NA
54,3,3,NA
55,0,0,NA
56,3,3,NA
57,9,9,NA
58,11,11,NA
59,0,0,NA
60,0,0,NA
61,3,3,NA
62,6,6,NA
63,2,2,NA
64,0,0,NA
65,2,2,NA
66,0,0,NA
67,2,2,NA
68,0,0,NA
69,3,3,NA
70,5,5,NA
71,2,2,NA
