country,index,n,minutes,seconds,index_as_time
Australia,10.075824344431634,171,10,4,10:04
Italy,11.866254474454932,15,11,51,11:51
New Zealand,12.748509668976883,35,12,44,12:44
Switzerland,14.400591643042029,18,14,24,14:24
Netherlands,14.864245992803408,73,14,51,14:51
Puerto Rico,14.884318766066837,1,14,53,14:53
Slovenia,14.949664429530202,4,14,56,14:56
Germany,14.975336532677408,167,14,58,14:58
Norway,15.487412664966175,22,15,29,15:29
Belgium,15.76546723324627,19,15,45,15:45
Ireland,15.955025319715052,45,15,57,15:57
Canada,16.191939788299486,130,16,11,16:11
Finland,16.44150862987428,16,16,26,16:26
Kuwait,17.4,1,17,23,17:23
UK,17.494985451105048,595,17,29,17:29
USA,17.894095372525623,600,17,53,17:53
Sweden,18.219354838709673,20,18,13,18:13
Malta,18.744525547445257,1,18,44,18:44
Israel,18.83975215648159,14,18,50,18:50
Spain,18.947642615264385,30,18,56,18:56
Austria,19.036838855731634,13,19,2,19:02
Denmark,19.40368342458935,36,19,24,19:24
Croatia,20.885115606936413,9,20,53,20:53
France,21.24961800250035,31,21,14,21:14
Iceland,21.971830985915492,2,21,58,21:58
South Korea,23.81118881118881,4,23,48,23:48
Singapore,25.205045396380477,20,25,12,25:12
Slovakia,25.264632627646325,10,25,15,25:15
Estonia,27.418278852568378,2,27,25,27:25
Czechia,28.377763164550537,67,28,22,28:22
Poland,29.423647146034128,100,29,25,29:25
Japan,29.693877551020403,9,29,41,29:41
Portugal,29.95609950778236,13,29,57,29:57
Hungary,30.365174334639985,17,30,21,30:21
North Macedonia,30.642201834862387,1,30,38,30:38
Barbados,31.54471544715447,1,31,32,31:32
Cyprus,31.81082762912259,3,31,48,31:48
Ecuador,33.3,2,33,17,33:17
Latvia,34.09230769230769,6,34,5,34:05
Lithuania,34.64968152866243,3,34,38,34:38
Greece,35.54262110401803,23,35,32,35:32
South Africa,35.972477064220186,8,35,58,35:58
Moldova,36.62337662337662,1,36,37,36:37
Bulgaria,36.96000000000001,6,36,57,36:57
UAE,39.83333333333333,3,39,49,39:49
China,40.26251025430682,9,40,15,40:15
Romania,40.742255071552144,17,40,44,40:44
Serbia,41.81478016838166,7,41,48,41:48
Georgia,44.93392070484581,1,44,56,44:56
Ukraine,45.847665847665844,4,45,50,45:50
Thailand,48.214285714285715,1,48,12,48:12
Guatemala,48.75695732838589,2,48,45,48:45
Chile,48.87961859356377,10,48,52,48:52
Kazakstan,50.56603773584906,1,50,33,50:33
Armenia,51.96078431372548,1,51,57,51:57
Russia,52.22976501305483,14,52,13,52:13
Colombia,52.54378648874062,6,52,32,52:32
Taiwan,54.54545454545455,1,54,32,54:32
Brazil,56.84508816120906,14,56,50,56:50
Costa Rica,57.55310110450297,3,57,33,57:33
Lebanon,59.13669064748203,1,59,8,59:08
Argentina,60.274233479337276,22,60,16,60:16
Mauritius,62.53968253968254,1,62,32,62:32
Malaysia,67.1436198611853,18,67,8,67:08
Belarus,68.70229007633587,2,68,42,68:42
Maldives,70.83333333333333,1,70,49,70:49
Turkey,73.05179282868525,10,73,3,73:03
Iraq,73.49768875192605,3,73,29,73:29
Mexico,74.54233409610987,24,74,32,74:32
Indonesia,77.78371161548732,8,77,47,77:47
Jordan,77.87234042553193,1,77,52,77:52
Bolivia,79.33333333333333,2,79,19,79:19
Jamaica,84.1025641025641,1,84,6,84:06
Algeria,86.87499999999999,1,86,52,86:52
Saudi Arabia,91.29807692307692,1,91,17,91:17
Uruguay,93.96610169491525,1,93,57,93:57
El Salvador,95.99999999999999,1,95,59,95:59
Egypt,104.41558441558442,1,104,24,104:24
Philippines,110.5789990186457,11,110,34,110:34
Oman,118.87640449438203,3,118,52,118:52
Nicaragua,123.87096774193549,1,123,52,123:52
Sri Lanka,137.58620689655174,1,137,35,137:35
Vietnam,162.43176178660048,6,162,25,162:25
India,172.18085106382975,11,172,10,172:10
Djibouti,172.75862068965517,1,172,45,172:45
Qatar,186.99386503067487,1,186,59,186:59
Pakistan,277.03703703703707,2,277,2,277:02
