country,year,mat_m_ld_bb,mat_m_ld_ab,mat_v_ld_bb,mat_v_ld_ab,co_ld,jp_ld_m,jp_ld_co,jp_part_time,jp_later,par1_ld,par1_fr,par1_rr,par1_cap,par1_for_whom,par1_second_parent,par1_work,par1_later,par2_ld,par2_fr,par2_for_whom,par2_second_parent,par2_work,par2_later,par3_ld,par3_rr,par3_cap,par3_for_whom,par3_second_parent,par3_work,par3_later,par_incentives,user_note,currency
AT,1970,6,6,0,0,0,52.17857142857143,0,no,no,46.17857142857143,NA,-98,-98,mothers,0,no,no,46.17857142857142,NA,mothers,0,no,no,0,-98,-98,Not applicable,-98,Not applicable,Not applicable,no,yes,Austrian Schilling (ATS)
AT,1971,6,6,0,0,0,52.17857142857143,0,no,no,46.17857142857142,NA,-98,-98,mothers,0,no,no,46.17857142857142,NA,mothers,0,no,no,0,-98,-98,Not applicable,-98,Not applicable,Not applicable,no,no,Austrian Schilling (ATS)
AT,1972,6,6,0,0,0,52.17857142857143,0,no,no,46.17857142857142,NA,-98,-98,mothers,0,no,no,46.17857142857142,NA,mothers,0,no,no,0,-98,-98,Not applicable,-98,Not applicable,Not applicable,no,no,Austrian Schilling (ATS)
AT,1973,6,6,0,0,0,52.17857142857143,0,no,no,46.17857142857142,NA,-98,-98,mothers,0,no,no,46.17857142857142,NA,mothers,0,no,no,0,-98,-98,Not applicable,-98,Not applicable,Not applicable,no,no,Austrian Schilling (ATS)
AT,1974,8,8,0,0,0,52.17857142857143,0,no,NA,44.17857142857142,2000,-98,-98,mothers,0,no,no,44.17857142857142,2000,mothers,0,no,no,0,-98,-98,Not applicable,-98,Not applicable,Not applicable,no,yes,Austrian Schilling (ATS)
AT,1975,8,8,0,0,0,52.17857142857143,0,no,NA,44.17857142857142,2000,-98,-98,mothers,0,no,no,44.17857142857142,2000,mothers,0,no,no,0,-98,-98,Not applicable,-98,Not applicable,Not applicable,no,no,Austrian Schilling (ATS)
AT,1976,8,8,0,0,0,52.17857142857143,0,no,NA,44.17857142857142,2000,-98,-98,mothers,0,yes,no,44.17857142857142,2000,mothers,0,yes,no,0,-98,-98,Not applicable,-98,Not applicable,Not applicable,no,no,Austrian Schilling (ATS)
AT,1977,8,8,0,0,0,52.17857142857143,0,no,NA,44.17857142857142,2000,-98,-98,mothers,0,yes,no,44.17857142857142,2000,mothers,0,yes,no,0,-98,-98,Not applicable,-98,Not applicable,Not applicable,no,no,Austrian Schilling (ATS)
AT,1978,8,8,0,0,0,52.17857142857143,0,no,NA,44.17857142857142,2000,-98,-98,mothers,0,yes,no,44.17857142857142,2000,mothers,0,yes,no,0,-98,-98,Not applicable,-98,Not applicable,Not applicable,no,no,Austrian Schilling (ATS)
AT,1979,8,8,0,0,0,52.17857142857143,0,no,NA,44.17857142857142,2000,-98,-98,mothers,0,yes,no,44.17857142857142,2000,mothers,0,yes,no,0,-98,-98,Not applicable,-98,Not applicable,Not applicable,no,no,Austrian Schilling (ATS)
