brand,product,url,description,imgSrc,imgAlt,name,specific
CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,Fair Porcelain L10  selected,https://images.ulta.com/is/image/Ulta/2537273sw?$tn$,Fair Porcelain L10,Fair Porcelain,L10
CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,Light Ivory L20,https://images.ulta.com/is/image/Ulta/2533518sw?$50px$,Light Ivory L20,Light Ivory,L20
CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,Golden Ivory L30,https://images.ulta.com/is/image/Ulta/2533517sw?$50px$,Golden Ivory L30,Golden Ivory,L30
CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,Classic Ivory L40,https://images.ulta.com/is/image/Ulta/2533514sw?$50px$,Classic Ivory L40,Classic Ivory,L40
CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,Fair Beige L50,https://images.ulta.com/is/image/Ulta/2533521sw?$50px$,Fair Beige L50,Fair Beige,L50
CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,Light Nude L60,https://images.ulta.com/is/image/Ulta/2533525sw?$50px$,Light Nude L60,Light Nude,L60
CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,Natural Ivory L70,https://images.ulta.com/is/image/Ulta/2537267sw?$50px$,Natural Ivory L70,Natural Ivory,L70
CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,True Ivory L80,https://images.ulta.com/is/image/Ulta/2537272sw?$50px$,True Ivory L80,True Ivory,L80
CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,Classic Beige L90,https://images.ulta.com/is/image/Ulta/2537276sw?$50px$,Classic Beige L90,Classic Beige,L90
CoverGirl,TruBlend Matte Made Liquid Foundation,https://www.ulta.com/trublend-matte-made-liquid-foundation?productId=pimprod2000386,Golden Natural M10,https://images.ulta.com/is/image/Ulta/2533531sw?$50px$,Golden Natural M10,Golden Natural,M10
